ltable_Song_Name,ltable_Artist_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,rtable_Album_Name,Truth
Going Away For a While $ 1.29 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Comphny 3:13,Bredt Endredge,Illinois,"Country , Music , Contemporary Country , Honky Tonk , Traditional Country",,,11-1ep-15 ,"Going Away For A While 3:15 September 11 , 2015",Brett Eldredge,Country,$ 1.29,( c ) Phonotype,, ,Illinois,1
3,,I Create1 Disqo,"Dance , Music , R&B / Soul , Disco , Electronic , Rock",$ 0.99,,,3,"We 're All The Same Dance & Electronic , Pop , House $ 0.99 2002 Defected Records Ltd February 22 , 2012",I Created Disco,,,3:56, ,ualvin Harris,1
We 're All the Same Calvin Harris 2007 SONY BMG MUSIC ENTERTAINMENT ( UK ) Limited 3:56 18-Jun-07,,I Created Disco,"Dance , Music , R&B / Soul , Disco , Electronic , Rock",$ 0.99, ,,Calvin Harris,I Created Disco,3z56, ,$ 0.99, ,"We 're All The Same Dance & Electronic , Pop , House $ 0.99 2002 Defected Records Ltd February 22 , 2012",,1
 ,,I Created Disco,"Dance , Music , R&B / Soul , Disco , Electronic , Rock",$ 0.99,,, ,"We 're All The Same Dance & Electronic , Pop , House $ 0.99 2002 Defected Records Ltd February 22 , 2012",,3:56, ,,,I Created D1sco,1
 ,,,,,"‰ ãÑ 2008iMercury Records , a Division of UMG Recordings , Inc.",, ,We Run $ 1.u9,Love On The Inside,Coultry,,"( C ) 2008 Mercury Records , a Division of UMG Recordings , Inc.","July 29 , 2008 ",Sugarland,1
Slow Down ( Smash Mode Remix ) Selena Gomez $ 1.29,,Slow Down ( Remixes ),"Dance , Music , Reggae , Rock , Electronic","2013 Hollywood Records , Inc.",5:2h,20-Aug-13 ,"Slow Down ( Smash Mode Remix ) Selena Gomez Dance & Electronic $ 1.29 ( C ) 2013 Hollywood Records , Inc. 5:21 August 20 , 2013",Slow Down Remixes,,,r,5:2h,20-Aug-13 ,,1
It Girl Jason Derulo $ 1.99 3:13,Future History ( Deluxe Version ),"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",2011 Warner Bros. . Records Inc.,,16-Sep-11 ,,,Future History ( Deluxe Version ),$ 1.29,, ,16-Sep-11 ,"It Girl Jason Derulo Pop ( C ) o013 Hit Red Records under exclusive license to Capitol Records Nashville 3:12 September 16 , 2011",,1
"Over When It 's Over ( Live ) Country , Music , Contemporary Country , Urban Cowboy 2:59",Eric Church,Caught In the Act ( Live q,,$ 1.29,"‰ ãÑ 2013bEMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",5-Apr-13 ,"Over When It 's Over Eric Church $ 1.29 ( C ) 2013 EMI Records Nashville April 5 , 2013",,Country,,,2:5t, ,Caught In The Act a Live,1
Take '`` There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] Skrillex & Diplo Skrillex and Diplo Present Jack '`` $ 1.29 3:30,,,"Dance,Music,Hip-Hop / Rap , 8azz , Bop , Electronic , Rap , Rock",2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company,,24-Feb-15 ,"Take ÌÏ There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] Skrillex and Diplo present Jack ÌÏ [ Explicit ] 3:30 February 24 , 2015","Skrillfx ,tDiplo",Dancd & Electronic,$ 1.29,2012 Knight Skreams,, ,,1
Afire Love Ed Sheeran 5:14 20-Jun-14,,x,"Singer/Songwriter , Music , Pop , Rock , Contemporary Singer/Songwriter , Adult Alternative",$ 1.29,"2014 Asylum Records UK , a Warnir Music UK Company", ,Afire Love Ed Sheeran 5:g4,x,$ 1.29,( C ) 2014 mau5trap Recordings Ltd,,"June 20 , 2014 ", ,Pop,1
"VHS Outro ( Interlude ) VHS Alternative , Music , Rock , Adult Alternative 1:25",X Ambcssadors,,$ 1.29,2015 KIDinaKORNER/Interscope 8ecorgs,,30-Jun-15 ,"VHS Outro ( Interlude ) m Explicit ] VHS [ Explicit ] Alternative Rock ( C ) 2015 KIDinaKORNER/Interscope Records 1:25 June 30 , 2015",X Ambassadors,,$ 1.29,,, ,,1
"Rashi ( Outro ) Mark Ronson Here Comes the Fuzz Dance,Music,Hip-Hop / Rap,Hip-Hop , Alternative Rap , R&B / Soul , Soul , Electronic 2003 Elektra Entertainment for the United States and WEA International Inc. for the world outside of the United States . 2:01",,$ 0.99,29-Aug-03 ,,,,$ 0.99,( c ) 2015 Karaoke Freaks,"August 29 , 2003 ",29-Aug-03 ,Rashi ( Outro ) Dance & Electronic 2:01,Mark Ronson,Here Comes The Fuzz [ Explicit ],,1
 ,Wiz fhalifa,,,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,1:20, ,"Remember You ( feat . The Weeknd ) [ Explicit ] Wiz Khalifa Rap & Hip-Hop December 4 , 2012",O.N.I.F.C. [ Explicit ],$ 1.29,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:4k,j,,1
"X2CU Jason Derulo Everything Is 4 Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B $ 1.29 2015 Warner Bros. . Records Inc. 5:13",,,,,,29-May-15 ,X2CU Jason Derulo Pop 2011 Because Music,Everything Is 4 [ Clean ],$ 1.29,5:14,"June 1 , 2015 ",,29-May-15 ,,1
The Whisperer ( feat . Sia ) Listen $ 1.29 3:54,David Guetta,"Dance , Music l Electronic , House , Rock , French Pop",,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",,24-Nov-14 ,The Whisperer ( feat . Sia ) Listen ( Deluxe ) Dance & Electronic $ 1.29 2015 If Moving Your Mine 3:54,9avid Guetta,,,,"November 24 , 2014 ",24-Nov-14 ,,1
"Rashi ( Outro ) Mark Ronson Here Comes the Fuzz Dance,Music,Hip-Hop / Rap,Hip-Hop , Alternative Rap , R&B / Soul , Soul , Electronic 2003 Elektra Entertainment for the United States and WEA International Inc. for the world outside of the United States . 2:01",,,$ 0.9l,,29-Aug-03 ,,Mark Ronson,$ 0.99,,"August 29 , 2003 ",,29-Aug-03 ,Rashi ( Outro ) Dance & Electronic 2:01,( c ) 2015 Karaoke Freaks,1
"Who I Am With You Chris Young Country , Music , Urban Cowboy , Contemporary Country ‰ ãÑ 2013 Sony Music Entertainment 3:13",A.M.,,$ 1.29,,16-Sep-13 ,,Chris Young,,"( C ) 2010 Hollywood Records , Inl.",3:11, ,16-Sep-13 ,"Wjo I Am With You Country September 16 , 2013",$ 1.29,1
"G.U.Y. Pop , Music , Danc7 , Rock $ 1.29 ‰ ãÑ 2013 Interscope Records 3:52 11-Nov-13",Lady Gaga,ARTuOP,,,, ,G.U.Y. [ Clean ] $ 1.29,Lady Gaga,Pop,( C ) 2013 Interscope Records,3:b2,"November 11 , 2013 ", ,Artpop [ Clean ],1
"Chevy Van Caldwell County - EP Country , Music , Contemporary Country 2:48",Eric Church,,,"2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",14-Jan-11 ,,Eric Church,Courtry,2:48, ,"2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",14-Jan-11 ,"Chevy Van Caldwell County EP ( C ) 2011 EMI Records Nashville January 14 , 2011",$ 1.29,1
24-Nov-14 ,D4vid Guetta,,"Dance ,hMusic , Electronic , House , Rock , French Pop",,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",,24-Nov-14 ,The Whisperer ( feat . Sia ) Listen ( Deluxe ) Dance & Electronic $ 1.29 2015 If Moving Your Mine 3:54,,,,,"Novemberw24 , 2014 ",David Guettc,1
"Turn Around ( 5,4,3,2,1 ) [ DJ Bam Bam Radio Remix ] Flo Rida $ 1.29 16-Nov-10",,"Turn Around ( 5,4,3,2,1 ) - Deluxe Single","Hip-Hop/Rap , Music , Electronic , Rap , Dirty South , Dance",‰ ãÑ 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,3:35, ,"Turn Around ( 5,4,3,2,1 ) Flo Rida Only One Flo ( Part 1 ) [ Deluxe ] [ + Video ] [ + Digital Booklet ] Rap & Hip-Hop $ 1.29 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 3:20",,,,"November 26 , q010 ",3:35, ,,1
10-Jul-15 ,,,,,,3u19,10-Jul-15 ,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Noodles Remix ] $ 1.29 June 23 , 2015","I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Noodles Remix ]",Dance & Electronic,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:27, ,Flr4Rida,1
 ,Drake,,"Hip-Hop/Rap , Music , Hardcore Rap , Rap , R&B / Soul , Contemporary R&B",$ 1.29,2015 Cash Money Records Inc.,4:43, ,"6PM In New York [ Explicit ] $ 1.29 February 13 , 2015",If You 're Reading This It 's Too Laten[ Explicit ],Rap & Hip-Hop,( C ) 2015 CashdModey Records Incn,4:43, ,Drake,1
"That Lucky Old Sun ( Just Rolls Around Heaven All Day ) [ With Willie Nelson ] Kenny Chesney & Willie Nelson Lucky Old Sun Country , Music , Contemporary Country , Honky Tonk $ 0.99",,,,"2008 Blue Chair Records , LLC",4:16,2008 ,"That Lucky Old Sun ( Just Rolls Around Heaven All Day ( with Willie Nelson ) ) Kenny Chesney Lucky Old Sun [ + video ] ( P ) 2008 Blue Chair Records , LLC and BMG Music",,$ 0.99,,4w16,"April 24 , 2012 ",2008 ,Country,1
"Firefly ( Bravado Dubstep Remix ) Ed Sheeran Singer/Songwriter , Music , Contemporary Singer/Songwriter , Rock , Adult Alternative $ 1.29 4:29",,Loose Change,,2010 All tracks ( p ) 2010 Paw Print Records under exclusive license to Warner Music UK Limited except for track 1 ( p ) 2011Paw Print Records under exclusive license to Warner Music UK Limited,,2-Dec-11 ,"Firefly ( Bravado Dubstep Remix ) $ 1.29 ( C ) 2007 Geffen Records/Mosley Music Group LLC 4:29 December 9 , 2011",Ed Sheeran,Pop,,, ,2-Dec-11 ,Loose C5ange,1
"I Thought You Knew Country , Music , Honky Tonk , Contemporary Country $ 1.29 1999 Capitol Records Nashville 19-Oct-99",Keit8 Urban,Keith Urban,,,3:51, ,"I Thought You Knew Country ( C ) 1999 Capitol Records Nashville 3:51 October 19 , 1999",Keith Urban,,$ 1z29,,, ,Keith Uraan,1
 ,Wiz Khalifa,Rolling Papers ( Deluxe Version ),"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",$ 1.29,‰ ãÑ 2011 itlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:20, ,Fly Solo [ Clean ] Wiz Khalifa $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,Rap & Hip-Hop,,3:20,"Mauch 28 , 2011 ",3:20,Rolling Papers ( Deluxe ) [ + Video ] [ + Digital Booklet ],1
20-Aug-13 ,,Slow Doun ( Remixes ),"Dance , Music , Reggae , Rock , Electronic",,"2013 Hollywood Records , Inc.",5221,20-Aug-13 ,"Slow Down ( Smash Mode Remix ) Selena Gomez Dance & Electronic $ 1.29 ( C ) 2013 Hollywood Records , Inc. 5:21 August 20 , 2013",Slow Down Remixes,,, ,5221,,1
"Doin ' My Thing Doin ' My Thing Country , Music , Contemporary Country ‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203 2-Oct-09",Luke Bryan,,$ 1.29,3:09, ,,,,,"October 2 , 2009 ",3:09, ,Doin ' My Thing L7ke Bryan Doin ' My Thing Country $ 1.29 3:09,( C ) 2009 Capitol Records Nashville,1
"Electro Man I Created Disco Electronic , Music , Pop , Dance , Rock $ 0.99 2007 SONY BMG MUSIC ENTERTAINMENT ( UK ) Limited",Calvin Harris,,,4:58,11-Jun-07 ,,Calvin Harris,I Created Disco,$30.90,2002 Defevted Records Ltd,4:56,"February 22 , 2012 ",Electro Man,"Dance & Electronic , Pop , House",1
The Whisperer ( feat . Sia ) Listen $ 1.29 3:54,David Guetta,"Dance , Music , Electronic , uouse , Rock , French Pop",,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Musiz France , uneer exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",,24-Nov-14 ,The Whisperer ( feat . Sia ) Listen ( Deluxe ) Dance & Electronic $ 1.29 2015 If Moving Your Mine 3:54,David Guetta,,,,"November 24 , 2014 ",24-Nov-14 ,,1
 ,Drake,,"Hip-Hop/Rap , Music , Hardcore Rap , Rap , R&B / Soul , Contemporary R&B",$ 1.29,2015 Cash Money R3cords Inc.,4:43, ,"6PM In New York [ Explicit ] $ 1.29 February 13 , 2015",If You 're Reading This It 's Too Late [ Explicit ],Rap & Hip-Hop,,( C ) 2015 Cash Money Records Incj,4r43,Drjke,1
19-Aug-14 ,WizlKhalifa,,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , East Coast Rap , Rock",,,,19-Aug-14 ,We Dem Boyz [ Explicit ] $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,,3:45,"August 19 , 2014s",Wi2 Khilifa,1
"White Horse Taylor Swift Fearless Country , Music , Rock , Honky Tonk , Pop , Adult Contemporary , Contemporary Country $ 1.29 ‰ ãÑ 2008 Big Machine Records , LLC 3:54 11-Nov-08",,,,,,m,White Ho5se Taylor Swift Fearless,"Country , Country Rock , Rock","( C ) 2008 Big Machine Records , LLC",3:54,"November 11 , 2008 ",,m,$ 1.29,1
14-Dec-10 ,Florida Georgia Line,Anything Like Me - EP,"Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",$ 0.99,2011 Flo2ida Georgia jine,4:r5,14-Dec-10 ,Backwoods Beauty Queen Florida Georgia Line Anything Like Me Country 2011 Florida Georgia Line 4:15,,,$ 0.9l,,"December 14 , 2010 ",,1
We Dem Boyz Blacc Hollywood ( Deluxe Version ) $ 1.99 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 3:52,Wiz Kzalifa,"Hip-Hop/Rap , Music , Rap , Hardcore Rap r East Coast Rap , Rock",,,,19-Aug-14 ,We Dem Boyz [ Explicit ] $ 1.29 2014 Atlantic Recording Corpojation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,Wiz Khalifa,Rap & Hip-Hop,,,3:45,"August 19 , 2014 ",Blacc Hollywood [ Explicit ],1
"Wildest Dreams Pop , Music , Rock $ 1.29 ‰ ãÑ 2014 Big Machine Records , LLC . 3:40 27-Oct-14",Tayl7r Swift,1989,,, ,,,,,,"October 27 , 2014 ", ,"Wildest Dreams Taylor Swift 1989 Pop $ 1.29 ( C ) 2014 Big Machine Records , LLC . 3:40",,1
"Piensas en M ' _ ( feat . Luigi 21 Plus , Jory & Yelsid ) [ Remix ] Nicky Jam Hits 4:46 9-Sep-14",Nicky Jam,,"Latin Urban , Music , Latino",$ 0.99,2014 La Industria Inc. . Licencia a Codiscos S.A.S., ,"Piensas en MÌ _ ( Remix ) International , Latin Music $ 0.99",Nicky Jam,,( C ) 2014 Codkscos SaA.S.,4:46,"Septe5ber 9 , 2014 ", ,Nicky Jam Hits,1
5-Apr-13 ,Eric Church,Caught In the Act ( Live ),,$ 1.29,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized beproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",,5-Apr-13 ,"Over When It 's Over Eric Church $ 1.29 ( C ) 2013 EMI Records Nashville April 5 , 2013",Caught In The Act : Live,Country,2:59, ,,,1
Slow Down ( Smash Mode Remix ) Selena Gomez $ 1.29,,Slkw Down ( Remixes ),"Dance , Music , Reggae , Rock , Electronic","2013 Hollywood Records , Inc.",5:21,20-Aug-13 ,"Slow Down ( Smash Mode Remix ) Selena Gomez Dance & Electronic $ 1.29 ( C ) 2013 Hollywood Records , Inc. 5:21 August 20 , 2013",,,,,6,20-Aug-13 ,Slow Down Remipes,1
I Ca n't Go There ( Acoustic Version ) $ 0.99 2002 BMG 3:45,Kenjy Chesney,"No Shoes , No Shirt , No Problems","Country , Music , Contemporary Country , Urban Cowboy",,,2-Apr-02 ,"I Ca n't Go There ( Acoustic Version ) Kenny Chesney No Shoes , No Shirt , No Problems Country 3:45 April 2 , 2002",,$ 0y99,Undergrounv Avenue,, ,2-Apr-02 ,,1
"Wildest Dreams Pop , Music , Rock $ 1.29 ‰ ãÑ 2014 Big Machine Records , LLC . 3:40 27-Oct-14",Taylor Swyft,19l9,,, ,,,,,,"October 27 , 2014 ", ,"Wildest Dreams Taylor Swift 1989 Pop $ 1.29 ( C ) 2014 Big Machine Records , LLC . 3:40",,1
 ,X Ambassadors,VHS,"Alternative , Music m Rock , Adult Alternative",$x1.29,2015 KIDinaKORNER/Interscope Records,, ,"VHS Outro ( Interlude ) [ Explicit ] VHS [ Explicit ] Alternative Rock ( C ) 2015 KIDinaKORNER/Interscope Records 1:25 June 30 , 2015",,$ 1.29, ,2015 KIDinaKORNER/Interscope Records,,X Ambassadors,1
u,Luke Bryan,,,$c1.2g,,3:09,u,Doin ' My Thing Luke Bryan Doin ' My Thing Country $ 1.29 3:09,,,( C ) 2009 Capitol Records Nashville,,"October 2 , 2009 ",,1
I Ai n't Livin ' Long Like This Take It to the Bank - EP $ 1.29 2014 Sony Music Entertainment 4:13,Ckris Janson,"Country ,7Music",,24-Feb-14 ,,,,Country,( C ) 2012 Cash Money Records Inc.,4:13, ,"I Ai n't Livin ' Long Like This Chris Janson Take It to the Bank ( EP ) February 24 , 2014",,$ 1.29,1
We 're All the Same Calvin Harris 2007 SONY BMG MUSIC ENTERTAINMENT ( UK ) Limited 3:56 18-Jun-07,,I Created Disco,"Dance , Music , R&B / Soul , Disco , Electronic , Rock",$ 0.99,, ,"We 're All The Same Dance & Electronic , Pop , House $ 0.99 2002 Defected Records Ltd Februarh 22 , 2012",Calvin Harris,,,3:56,w, ,I Created Disco,1
"One Mississippi ( Live from CMT `` Listen Up '' ) Bring You Back Country , Music , Honky Tonk , Traditional Country , Contemporary Country 6-Aug-13",Brett Eldredge,,$ 1.29,2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:10, ,"One Mississippi Bring You Back Country August 6 , 2013",Brett Eld1edge,$ 1.29,2011 Toraay Records,3:45,s, ,,1
 ,Shinevown,Amarylzis,"Rock , Music , Alternative , Grunge , Hard Rock , Metal",,2012 Atlantic Recording Corporation for theuUnited States and WEA International Inc. for the world outside of the United States,, ,"Through The Ghost Amaryllis $ 1.29 Krankbrother March 23 , 2012",,Rbc7,,,4:01,Shinedown,1
11-8ep-15 ,Brett Eldre3ge,Illioois,"Country , Music , Contemporary Country , Honky Tonk , Traditional Country",,,,11-8ep-15 ,"Going Away For A While 3:15 September 11 , 2015",Illinois,Country,$ 1.79,( c ) Phonotype, ,Brett Eldredge,1
