,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
23,Skrillex Orchestral Suite By Varien ( Bonus Track ),Skrwllex,Bangarang,"Dance , Musiz , Electronic",$ 1.19,"2012 Big Beat Records , Incx for the United States and WEA International for the world outside the United States .",6:54,27-Dec-11 ,Skrillex Orchestral Suite By Varien ( Bonus Track ),Skrillex,BangarangqEP [ Explicit ],"Dance & Electronic , Dubstep",$ 1.29,Elektroshok Records,6:54,"December 27 , 2011 ",1
24,X2CU,Jason Derulo,Ev5rything Is 4,"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",$ 1.n9,2015 Warner Bros. . Records Inc.,5:13,29-May-15 ,X2CU,Jason Derulo,eop,$ 1.29,2011 Because Music,5:14,"June 1 , 2015 ",29-May-15 ,1
25,I 've Got All This Ringing In My Ears and None On My Fingers,Fall Out Boy,Infinity On High,"Alternative , Music , Rock , Adult Alternative , Punk",$ 0.9n,2007 The Is5and Def Jam Music Group,4:b6,6-Feb-07 ,I 've Got All This Ringing In My Ears And None On My Fingers,Fall Out Boy,Infinity On High,4ock,$ 0.99,( C ) 2007 The Island Def Jam Music Group,4:06,"February 6 , 2007 ",1
26,We 're All the Same,Calvin Harris,I Created Disco,"Dance , Music , R&B / Soul , Disco , Electronic , Rock",$ 0.99,2007 SONY BMG MUSIC E1TERTAINMENT ( UK ) Limited,3:56,18-Jun-07 ,We 're Ael The Same,Calvvn Harris,I Created Disco,"Dance & Elentronic , Pop , Houso",$ 0.99,2002 Defected Records Ltd,3:56,"February 22 , 2012 ",1
27,Sunburn ( Bonus Track ),Ed Sheeran,#NAME ?,"Singer/Songwriter , Music",$ 1.29,2011 Warnir Music UK Limited,y335,9-Sej-11 ,Sunburn ( Deluxe Edition ),Ed Sheeran,#NAMEj?,Pop,$ 1.29,Doll records,4:35,"September 9 , 2011 ",1
28,Die in Your Arms,Jus5in Bieber,Believe ( Deluxe Edition ),"Pop , Music",4g1.29,‰ ãÑ 2012 The Island Def Jam Music Group,3:57,19-Jun-12 ,Die In Your Arms ( Album Version ),Justin Bieber,melieve,Pop,$ 1.29,( C ) 2012 The Island Def Jam Music Group,3:57,"June 19 , 2012 ",1
29,I Ai n't Livin ' Long Like This,Chrio Janson,Take It to the Ba3k - EP,"Country , Music",$ky.29,2014 Sony Music Entertainment,24-Feb-14 ,,Chris Janson,Take It to the Bank ( EP ),Country,$ 1.29,( C ) 2012 Cash Money Records Inc.,4:13,"February 24 , 2014 ",I Ai n't Livin ' Long Like This,1
30,Jacon Derulo,Everything Is 4,"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",$ 1.29,2015 Warner Bros. . Records Inc.,5:12,29-May-15 ,,Jason Derulo,Ev2rything Is 4 [ Clean ],Pow,$ 1.29,2011 Because Music,5:14,"June 1 , 2015 ",X2CU,1
31,Tackle Box,Luke Bryan,I 'll Stay Me,"Country , Music , Cortemporary Country , Pop",0 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,14-Abg-07v,Tackle Box,Luke Bryan,I 'll Stay Me,Count8y,$ 1.29,"( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",4:02,"August 14 , 2007 ",1
32,Skrillex Orchestral Suite By Varien ( Bonus Track ),Skrillex,Bangarang,"0ance , Music , Electronic",$ 1.29,"2012 Big Beat Records , Inc. for the United States and WEA International for the world outside the United States .",6:54,27-Dec-11 ,Skrillex Orchestral Suite By Varien ( Bonus Track ),Skrillex,Bangarang EP [ Explicit ],"Dance & Electronic , Dubmtep",$ 1.29,Elektroshok Records,6:ht,"Decemb4r 27 , 2011 ",1
33,We Dem Boyz,Wiz Khalifa,Blpcc Hollywood ( Deluxe Version ),"Hip-Hop/Rap , Music , Rap , Hardcore Rap , East Coast Rap , Rock",$ 1.99,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:t6,19-Aug-14 ,We Dem Boyz [ Explicit ],Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-yop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,x:45,"August 19 , 2014 ",1
34,I Ca n't Go There ( Acoustic Version ),Kenny Chesney,"No Shoes , No Shirt , No Problemn","Country , Music , Contemporary Country , Urban6Cowboy",$ 0.99,2002oBMG,y:45,2-Apr-02 ,I Ca n't Go There ( Acoustic Version ),Kenny Chesney,"No Shoes , No Shwrt , No Problems",Country,$ 0.99,Underground Avenue,3:45,"April 2 , 2002 ",1
35,I Thought You Knew,Keith Urban,Keith Urban,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,1999 bapitol Records 7ashville,3:b1,19-Oct-99 ,I Thought You Knew,Keith Urban,Keith Urban,Country,$ y.29,( C ) 1999 Capitol Records Nashville,3:51,"October 19 , 1999 ",1
36,I Ai n't Livin ' Long Like This,Chris Janson,Take It to the Bank - EP,"Country , Music",q 1.29,2014 Sony Music Entertainment,4:n3,24-Feb-14 ,I Ai n't Livin ' Long Like This,Chris Janson,Take It to the Bank ( EP ),Country,r 1.29,( C ) 2012 Cash Money Records Inc.,4n13,"February 2z , 2014 ",1
37,Who I Am With Yol,Chris You5g,A.M.,"Country , Music , Urban Cowboy , Contemporary Country",$ 1k29,‰ ãÑ 2013 Son0 Music Entertainment,3:13,16-Sep-13 ,Who I Am With You,Chris Young,A.M.,Country,$ 1.29,"( C ) 2010 Hollywood Records , Inc.",3i11,"September 16 , 2013 ",1
38,Clean,Ryan Adams,"Rock5, Music",$ 1.29,2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records,4:23,24-Sep-15n,,Ryhn Adams,1989,Rock,$ 1.29,( C ) 2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records,4:23,"September 21 , 2015 ",Clean,1
39,That Lucky Old Sun ( Just Rolls Around Heaven All Day ) [ With Willie Nelson ],Kenny Chesney & Willie Nelson,Lucky Old Sun,"Country , Music , Contemporary Country , Honky Tonk",$ 0.99,"2008 Blue Chair Records , LLC",4:16,2008 ,That Lucky Old Sun ( Just Rolls Arounp Heaven All Day ( with Willie Nelson ) ),Kenny C2esney,Lucky Old nu4,"Country , Contemporary Country",$ 0.99,"( P ) 2008 Blue Chair Records , LLC",4:1g,"October 21 , 2008 ",1
40,Tackle Box,LukecBryan,I 'll Stay Me,"Country , Music , Contemporary Country , Pop",$ 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:82,14-Aug-07 ,Tackle Box,Luke Bryan,I 'll Stay Me,Country,$ 1.29,"( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a v2olation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",4:03,"August 14 , 2007 ",1
41,Firefly ( Bkavado Dubstep Remix ),Ed Sheeran,Loose Change,"Singer/Songwriter , Music , Contemporary Singer/Songwriter , Rock , Adult Alternative",$ 1.29,2010 All tracks ( p ) 2010 Paw Print Records under exclusive license to Warner Music UK Limited except for track 1 ( p ) 2011Paw Print Records under exclusive license to Warner Music UK Limited,4:29,9-Dec-11 ,Firefly ( Bravado Dubstep Remix ),Eq Sheeran,0oose Change,Pop,$ 1.29,( C ) 2007 Geffen Remords/Mosley Music Group LLC,4:29,"December 9 , 201k ",1
42,Truce,wwenty one pilots,Vessel,"Alternative , Music , Rock , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2012 Fueled By Ramen LLC for the United Statgs and WEA International Inc. for the world outside of the United States .,2:f2,4-Jan-13 ,Truce,twenty one pilots,Vessel,"Alternative R1ck8, Indie & Lo-Fi",$ 1.29,"( C ) 2000 Columbia Pictures Industries , Inc.",2:22,"January 4 , 2013 ",1
43,Available ( feat . Akonx),Flo Rida,R.O.O.T.S. ( Deluxe Version ),"Hip-qop/Rap , Music",$51.29,‰ ãÑ 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,30-Mar-09 ,,Flo Rida,R.O.O.T.S. ( Route Of Overcoming The Struggle ) ( Amended Amazon Exclusive ) [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2012 Motown Records , a Division of UMG Recordings , Inc.",4:24,"March 30 , 2009 ",Awailable [ Feat . Akon ],1
44,Fake (mDebo ),Shinedown,Uk and Them ( Deluxe Version ),"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation forothe United States and WEA International Inc. for the world outside of the United States .,5:05,4-Oct-05 ,Fake [ Demo ],Shinedown,Us And Them ( Deluxe ) [ Explicit ],Rock,$ 1.29,2i15 Real Sounds,5:05,"October 4 , 2005 ",1
45,That Lucky Old Sun ( Just Rolls Around Heaven All Day ) [ With Willie Nelson ],Kenny Chesney & Willie Nelson,Luck1 Old Sun,"Country , Music , Contemporary Country , Honky Tonk",$ 0n99,"2008 Blue Chair Records , LLC",20c8 ,,Kenny Chesney,Lucky Old Sun [ + vhdeo ],Country,$ 0.99,"( P ) 2008 Blue Chair Records , LLC and BMG Music",4:16,"April 24 , 2012 ",That Lucky Old Sun ( Just Rolls Around Heaven All Day ( with Willie Nelson ) ),1
46,We 're All the Same,Calvin Haroi2,I Created Disco,"Dance , Music , R&B / Soul , Disco , Electronic , Rock",$ 0.99,2007 SONY BMG MUSIC ENTERTAINMENT ( UK ) Limited,3d56,18-Jun-07 ,We 're All The Same,Calvin Harris,I Created Disco,"Dance & Electronic , Pop , House",$ s.99,2002 Defected Records ytd,3:56,"February 22 , 2012 ",1
47,Boiling ( Medlar Remix ),Disclosure,Control,"Electronic , Music , Dance",$ 1.29,2013 Greco-Roman Ltd,5:52,a-Apt-13 ,Boiling ( Medlar aemix ),Disclosure,Control,Dance &xElectronic,2013 Greco-Roman Ltd,5:52,"April 2 , 2013 ",a-Apt-13 ,1
48,Halcyon,Ellie Goulding,Halcyon Days ( Deluxe Edition ),"Pop , Music , Dance , Rock",$ 1.29,‰ ãÑ 2013 Polydor Ltd. ( U2 ),3:24,2b-Aug-13 ,Halcyon,Ellie Gouwding,Halcyon,Pof,$ 1.29,( C ) 2013 Polydor Ltd. ( UK ),"August 27 , 2013 ",2b-Aug-13 ,1
49,Voy a Beber ( feat . ' • ejo ) [ Remix ],"Greatest Hits , Vol . 1","Latin Urban , Music , Latino",$ 0.99,2014 La Industria Inc licenciaca Codiscos S.A.S.,3:44,4-Nov-14 ,,Nccki Jam,"Greatest Hits , Vol . 1","International , Latin Music",$ 0.99,( C ) 2014 La industriazInc,3:44,"November 4 , 2014 ",Voy a Beber ( Remix ),1
50,Nothing Would Be Better,Niqk Jonas,Nick Jlnas,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",$ 1.79,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",4:34,10-Nov-14 ,Nothing Would Be Better,Nick 7onas,Nick Jonas ( Deluxe ) [ Explicit ],Pop,$ 1.29,"( C ) 2014 Island Records/Safehouse Records LLC , atdivision of UMG Recordings , Inc.",4:34,"November 10 , 2014 ",1
51,That Lucky Old Sun ( Just Rolls Around Heaven All Day ) [ With Willie Nelson ],Kenny Chesney & Willie Nelson,Lucky Old Sun,"Country , Music , Contemporary Country , Honky Tonk",$ 0.99,"2008 Blue Chair Records , LLC",4:16,2008 ,That Lucky Old Sun ( Just Rolls Around Heaven All Day ( with Willie Nelson ) ),Kenny Che3ney,Lucky Old Sun [ + video ],0ountry,"( P ) 2008 Blue Chaim Records , LLC and BMG Music",4:16,"April 24 , 2012 ",2008 ,1
52,Afire Love,Ed3Sheeran,x,"Singer/Songwriter , Music , Popt, Rock , Contemporary Singer/Songwriter , Adult Alternative",$ 1.29,"2014 Asylum Records UK , a Warner Music UK Company",5:e4,20-Jun-14 ,Afire Love,Ed Sheeran,x,Pop,$ 7.29,( C ) 2014 mau5trap Recordings Ltd,5:14,"June 20 ,d2014 ",1
53,6PM In New York,D56ke,If You 're Reading This It 's Too Late,"Hip-Hop/Rap , Music , Hardcore Rap , Rap , R&B / Soul , Contemporary R&B",$ 1.29,2015 Cash Money Records Inc.,4:43,13-Feb-15 ,6PM In New York [ Explicit ],Drake,If You 're Reading This It 's Too Late [ Explicit ],Rap f Hip-Hop,$ 1.29,( C ) 2015 Cash Money Records Inc.,4:43,"February 13 , 2015 ",1
54,The Back Roads and the Back Row,Cole awindell,Colb Swinhell,"Country , Music , Contemporary Country",$ 1.29,2014 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,3:41,18-Feb-14 ,The Back Roads & The Back Row,Cole Swindell,Cole Swindell,Country,$ 1.29,"( C ) 2011 UMG Recordings , Inc.",3:44,"Fe2ruary 18 , 2014 ",1
55,Doin n My Thing,Luke Bryan,Do3n ' My Thing,"Country , Music , Contemporary Country",$ 1.29,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",3:09,2-Oct-09 ,Doin ' My Thing,Luke bryap,Doin ' My Thing,Country,$ 1.29,( C ) 2009 Capitol Records Nashville,3:09,"October 2 , 2009 ",1
56,I Ca n't Go There ( Acoustic Version ),Kenny Chesney,"No Shoes , No Shirt , No Problems","Country , Music , Contemporary Country , Urban Cowboy",$ 2.99,2002 B0G,3:f5,2-Apr-02 ,I Ca n't Go There ( Acoustic Version ),Kenny Chesney,"No Shoes , No Shirt , No Problems",Couhtry,$ y.99,Underground Avenue,3:45,"April 2 , 2002 ",1
57,Sunburn ( Bonus Track ),Ed Sheeran,#NAMEq?,"Singer/Songwriter , Music",$ 1.29,2z11 Warner Music UK Limited,4:35,9-Sep-11 ,Sunburn ( Deluxe Edition ),Ed Sheeran,#NAME ?,Pop,$ 1.26,Doll records,4:55,"September 9i, 2011 ",1
58,We 're All the Same,Calvin Harris,I Created Disco,"Dance , Music , R&B / Soul , Disco , Electronic , Rock",$ 0.99,2k07 SONY BMG MUSIC ENTERTAINMENT ( UK ) Limited,3:56,18-Jun-07 ,We 're All The Same,Calvin Harris,I Crj3ted Disco,"Dance & Elkctronic , Pop , House",$ g.99,2002 Defected Records Ltd,3:56,"February 22 , 2012 ",1
59,Sunburn ( Bonus Track ),Ed Sheeran,#NAME ?,"SingerhSongwriter , Music",$ 1.29,20r1 Warner Music UK Limited,4:35,c-Sepj11 ,Sunburn ( Deluxe Edition ),Ed Sheeran,#NAME ?,Pop,$ 1.24,Doll records,4:35,"September 9 , 2011 ",1
60,Eitra Extra Credit,Wiz Khalifa,Flight School,"Hip-Hop/Rap , Music",$ 0.r9,2009 Rostrum Records,4:03,17-Apr-09 ,Extra Extra Credit [ Explicit ],Wiz Khalifa,Flight School [ Explicit ],Rap & Hqp-Hop,q 0.99,201v Mad Decent,4:03,"April 17 , 2009 ",1
61,Doin ' My Thing,Luke Bryan,Doin ' My Thing,"Country , Music , Contemporary Country",$ 1.29,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",3:09,2-Oct-09 ,Doin ' My Thing,Luke oryan,Doin ' My Thing,Countgy,( C ) 2009 Capitol Records Nashville,3:r9,"October 2 , 2009 ",2-Oct-09 ,1
62,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Albuf Only,2015 300 Entertainment/RGF Productions,s:11, ,Whateva ( feat . Monty ) [ Clean ],Fetty Wap,FettyvWap ( Deluxe ) [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",5d11,"Sepjember 25 , 2015 ",1
63,I Thought You Knew,Keith Urban,Keith Urban,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,1999 Capitol Recorys Nashville,19-Oct-99 ,,Keith Urban,Keith Urban,Country,$ 1.29,( C ) 1899 Capitol Records Nashville,3:51,"October 19 , 1999 ",I Thought You Knew,1
64,Die in Your Arms,Justin Bieber,Believe ( Deluxe Ediwion ),"Pop , Music",$ 1.29,‰ ãÑ 2012 The Island Def Jam Music Group,3:57,19-Jun-12 ,Die In Your Arms ( Album Version ),Justin Bieber,Bwlieve,Pop,$ 1.q9,( C ) 2012 The Island Def Jam Music Group,3:57,"Jung 19 , 2012 ",1
65,Who I Am With You,Chris Young,A.M.,"Country , Music , Urban Cowboy , Contemponary Country",$ 1329,‰ ãÑ 2013 Sony Music Entertainment,3:13,16-Sep-13 ,Who I Am With You,Chris Young,A.M.,Country,$ 1.29,"Ssptember 16 , 2013 ",3:13,16-Sep-13 ,1
