ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Fullers Traitors ' Gate,Fuller_s,Bitter,4.50 % ,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,9.20 % ,0
Bendorf Neudorf Red Ale,Brasserie Bendorf,American Amber / Red Ale,- ,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Bendorf,Irish Ale,5 % ,0
Copperhead Amber Ale,Yalobusha Brewing Company,Amber Ale,5.60 % ,Yalobusha Copperhead Amber Ale,Heinzelmannchen Brewery,American Amber / Red Ale,8 % ,0
Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,7.50 % ,Proof Abandoned Planet Imperial Red Ale,Proof Brewing Company,Amber Ale,4.70 % ,0
Belle Gueule Rousse,Brasseurs R.J.,American Amber / Red Ale,5.20 % ,Panama Limited Red Ale,Brasseurs RJ,Amber Lager/Vienna,5.20 % ,0
Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,7.80 % ,Tumbledown Imp Imperial Red Ale,Kuhnhenn Brewing Company,Barley Wine,17.00 % ,0
Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,7.00 % ,Lagunitas Imperial Red Ale,Shipyard Brewing Company,American Amber / Red Ale,6.70 % ,0
Regimental 80 Scottish Ale,Crooked Eye Brewery,American Amber / Red Ale,4.70 % ,Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,American Strong Ale,8.30 % ,0
Neudorf Red Ale,Brasserie Bendorf,American Amber / Red Ale,- ,Bendorf Neudorf Red Ale,Bendorf,American Strong Ale,6 % ,0
Weekender American Amber Ale,Stilt House Brewery,American Amber / Red Ale,4.80 % ,Canal Park General Sterling Price American Amber Ale - Centennial,Canal Park Brewing Company,Amber Ale,9.80 % ,0
Freedom Soho Red,Freedom Brewery Ltd,American Amber / Red Ale,4.70 % ,Freedom Soho Red,OPA-OPA Steakhouse & Brewery,Amber Ale,4.70 % ,0
Hearthstone Red Rye Ale,Hearthstone Brewery,American Amber / Red Ale,5 % ,Arsenal Imperial Red Ale,Great River Brewery,Specialty Grain,7.70 % ,0
Dread Double Red Ale,Bullfrog Brewery,American Amber / Red Ale,7.80 % ,Wildcard Double Down Imperial Red Ale,Brasseurs RJ,American Amber / Red Ale,5.20 % ,0
Single Hop # 3 Amber Ale W / Citra,Three Palms Brewing Co. .,American Amber / Red Ale,5.60 % ,Lancaster Hop Buggy Amber Ale,Lancaster Brewing Co. .,Amber Ale,5 % ,0
Dark Horse Amber Ale,Dark Horse Brewing Company,American Amber / Red Ale,5.50 % ,Ice Harbor Double Red Ale - Fresh Hop,Dark Horse Brewing Company,Amber Ale,7 % ,0
Neudorf Red Ale,Brasserie Bendorf,American Amber / Red Ale,- ,C N Red Imperial Red Ale,Bendorf,Irish Ale,6 % ,0
Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery,American Barleywine,11.60 % ,Dread Double Red Ale,Driftwood Brewery &#40; Canada &#41;,Barley Wine,14 % ,0
Tst Brw 01 - Imperial Red Ale,Brouwerij De Koninck NV,American Amber / Red Ale,7.80 % ,Kern River Dirty Hippie Imperial Red Ale,Boone Valley Brewing,American Strong Ale,8 % ,0
Big Bully Amber Ale,Big Time Brewery,Amber Ale,5.00 % ,Big Time Atlas Amber Ale,Fuller Smith & Turner PLC,American Amber / Red Ale,4.50 % ,0
Red Headed Slut Amber Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,6.50 % ,Haines Eldred Rock Amber,Haines Brewing Co. .,California Common,5.40 % ,0
Saint Gleason Imperial Red Ale,Mission Brewery,American Amber / Red Ale,- ,Mission Carrack Imperial Red Ale,Cigar City Brewing,American Strong Ale,8.00 % ,0
Dark Horse Amber Ale,Dark Horse Brewing Company,American Amber / Red Ale,5.50 % ,Dark Horse Amber Ale,Ruby River Steakhouse & Brewery,Amber Ale,4.00 % ,0
Strada S. Felice,Grado Plato,American Amber / Red Ale,8.00 % ,Double Mongrel Imperial India Red Ale,Boxing Cat Brewery,Spice/Herb/Vegetable,8 % ,0
Neudorf Red Ale,Brasserie Bendorf,American Amber / Red Ale,6 % ,Bendorf Neudorf Red Ale,Bendorf,American Strong Ale,9.50 % ,0
Excel My Hoppy Valentine,Excel Brewing Company,Amber Ale,6.50 % ,Starfish Imperial Red Ale,Excel Brewing Company,American Amber / Red Ale,6.50 % ,0
Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,American Amber / Red Ale,5.50 % ,Red Horn Coffee House and Brewing Company Red Horn Drink Well Red Ale,Blue Pants Brewery,Amber Ale,5.50 % ,0
Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Amber Ale,4.70 % ,Sudwerk Sons Of Anarchy Amber Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,4.70 % ,0
River Otter Ale,Union Station Brewery,American Amber / Red Ale,5.50 % ,Sacramento River Otter Ale,Kinetic Brewing Company,English Pale Ale,7.60 % ,0
Mountain Town Cow Catcher Red Ale,Mountain Town Station Brewing Co. & Steakhouse,Amber Ale,- ,Thirsty Pagan North Coast Amber Ale,Mountain Town Brewing Company,American Amber / Red Ale,5.80 % ,0
Broadhead Bourbon Barrel Aged Red,MadTree Brewing Company,American Amber / Red Ale,8.50 % ,MadTree Bourbon Barrel Aged Happy Amber,Ruby River Steakhouse & Brewery,Amber Ale,6 % ,0
Starlord 's Mixtape / Groot Drank Imperial Red Ale,Charging Hippo Brewing Co. .,American Amber / Red Ale,8.20 % ,Iron Horse Fresh Hop Imperial Red Ale,Edge Brewing,American Amber / Red Ale,- ,0
Eldred Rock Amber,Haines Brewing Co. .,American Amber / Red Ale,5 % ,Haines Eldred Rock Amber,Three Heads Brewing,American Strong Ale,- ,0
ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,American Amber / Red Ale,9.00 % ,Big Texan Texas Red Amber Ale,Big Texan Brewery,American Strong Ale,6.80 % ,0
Freedom Soho Red,Freedom Brewery Ltd,American Amber / Red Ale,4.70 % ,C N Red Imperial Red Ale,Freedom,Amber Lager/Vienna,4.70 % ,0
Fullers Traitors ' Gate,Fuller Smith & Turner PLC,Bitter,4.50 % ,C N Red Imperial Red Ale,Fuller_s,American Amber / Red Ale,8.10 % ,0
Ale Mania Imperial Red Ale,Tumbledown Brewing LLC,American Amber / Red Ale,9.50 % ,Tumbledown Imp Imperial Red Ale,Railway City Brewing Company,American Strong Ale,7.80 % ,0
Dark Horse Amber Ale,Dark Horse Brewing Company,Amber Ale,5.50 % ,Arsenal Imperial Red Ale,Kern River Brewing,American Amber / Red Ale,8 % ,0
Boohai Red Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,6.00 % ,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Iron Horse Brewery,Amber Ale,- ,0
Barbarian Red Ale,Cervecera Barbarian,American Amber / Red Ale,6.50 % ,All American Red Ale,Saimaan Juomatehdas,Amber Ale,6.50 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,Hearthstone Brewery,Irish Ale,7 % ,0
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,0
The Gentle Mongoose,Holy City Brewing,Amber Ale,6.90 % ,Holy City The Gentle Mongoose,Big Choice Brewing,Amber Ale,6.80 % ,0
Shirt Tail Amber,Iron Hill Brewery & Restaurant,Amber Ale,4.40 % ,Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,American Amber / Red Ale,6.50 % ,0
Heinzelmannchen Big Amber Gnome Ale,FreeWheel Brewing Company,American Amber / Red Ale,4.00 % ,Kuhnhenn Extraneous Ale,Heinzelmannchen Brewery,Amber Ale,8 % ,0
My Hoppy Valentine,Excel Brewing Company,American Amber / Red Ale,6.50 % ,Excel My Hoppy Valentine,Parallel 49 Brewing Company,Amber Ale,11.80 % ,0
Hop Around Imperial Red Ale,Austin Beerworks,American Amber / Red Ale,9.00 % ,Austin Beerworks Battle Axe Imperial Red Ale,Mountain Town Station Brewing Co. & Steakhouse,American Strong Ale,5.80 % ,0
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Sick N Twisted Naughty Redhead Imperial Red Ale,Vital Brewing,American Strong Ale,8 % ,0
Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,7.00 % ,Swashbuckler Red Sea Amber Ale,Shipyard Brewing Company,Amber Ale,6.70 % ,0
Rip Saw Red,Pints Brewing Co. .,American Amber / Red Ale,6.50 % ,Pints Rip Saw Red,Pints Brewing Company,Amber Ale,8.90 % ,0
Kingpin Double Red Ale,Out of Bounds Brewing Company,American Amber / Red Ale,7.50 % ,Hearthstone Red Rye Ale,Hearthstone Brewery,American Strong Ale,8.20 % ,0
3 Sisters American Red Ale,Wild Ride Brewing Co. .,Amber Ale,6.00 % ,Saimaan Brewer_s Special American Red Ale,Saimaan Juomatehdas,Specialty Grain,5.00 % ,0
John Harvards Oatmeal Amber Ale,Ornery Beer Company Public House,American Amber / Red Ale,6.50 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Amber Ale,11 % ,0
Blarney Rock Irish Ale,Rockyard Brewing,American Amber / Red Ale,6.00 % ,Rockyard Blarney Rock Irish Ale,Rockyard Brewing Company,Irish Ale,- ,0
Buffalo Trace Bourbon Barrel Aged Amber Ale,Barley_s Brewing Company,American Amber / Red Ale,- ,Barley_s Barrel Aged Ulysses Imperial Red Ale,Hangar 24 Craft Brewery,American Barleywine,9.80 % ,0
6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Strong Ale,8.00 % ,Tumbledown Imp Imperial Red Ale,AleSmith Brewing Company,American Amber / Red Ale,7.80 % ,0
Oatmeal Amber Ale,Ornery Beer Company Public House,American Amber / Red Ale,6.50 % ,John Harvards Oatmeal Amber Ale,John Harvard_s Brewhouse &#40; Corporate Office &#41;,American Strong Ale,10 % ,0
Ulysses Imperial Red Ale,Barley 's Brewing Company,American Strong Ale,10 % ,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,7.80 % ,0
Two Brothers Revelry Imperial Red Ale,Breckenridge Brewery,American Amber / Red Ale,8.90 % ,Boneyard Skunkape India Red Ale,Two Brothers Brewing Company,American Strong Ale,9.50 % ,0
My Hoppy Valentine,Excel Brewing Company,American Amber / Red Ale,6.50 % ,Excel My Hoppy Valentine,Excel Brewing Company,Amber Ale,6.50 % ,0
Heavyweight Ticklefight Champion Of The World,Solemn Oath Brewery,Barley Wine,12.00 % ,Solemn Oath Heavyweight Ticklefight Champion of the World,Solemn Oath Brewery,Amber Ale,6.70 % ,0
Shark Attack Double Red Ale,Midnight Sun Brewing Company,American Amber / Red Ale,9.00 % ,Midnight Sun Unite Double Red Hot Ale &#40; 2015 &#41;,Proof Brewing Company,Amber Ale,7.50 % ,0
Old Cascade Amber Ale,Roosterfish Brewing Co. .,American Amber / Red Ale,5.50 % ,Central Coast Old Mission Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,- ,0
The Gentle Mongoose,Holy City Brewing,American Amber / Red Ale,6.90 % ,Holy City The Gentle Mongoose,Wig And Pen,Amber Ale,6.90 % ,0
Dark Horse Amber Ale,Dark Horse Brewing Company,American Amber / Red Ale,5.50 % ,Mountain Series : Love Rhino ( Imperial Red Ale ),Cigar City Brewing,Amber Ale,7.20 % ,0
Deranger Imperial Red Ale,406 Brewing Company,American Amber / Red Ale,8.60 % ,406 Imperial Red Ale,Aqula,American Strong Ale,9.20 % ,0
All American Red Ale,Centennial Beer Co. .,American Amber / Red Ale,5.00 % ,Saimaan Brewer_s Special American Red Ale,Spring House Brewing Company,American Amber / Red Ale,4.70 % ,0
Mountain Town Cow Catcher Red Ale,Mountain Town Station Brewing Co. & Steakhouse,American Amber / Red Ale,- ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,American Barleywine,12.50 % ,0
Excel My Hoppy Valentine,Excel Brewing Company,Amber Ale,6.50 % ,Roundabout Imperial Red Ale,Marble Brewery,American Amber / Red Ale,9 % ,0
Kniksen India Red Ale,7 Fjell Bryggeri,India Pale Ale &#40; IPA &#41;,6.80 % ,Boneyard Skunkape India Red Ale,ShuBrew,American Amber / Red Ale,6.50 % ,0
Great Lakes Independence Ale,Amsterdam Brewing Company,Barley Wine,6.00 % ,Haines Eldred Rock Amber,Haines Brewing Co. .,American Amber / Red Ale,10 % ,0
Shirt Tail Amber,Iron Hill Maple Shade,American Amber / Red Ale,4.40 % ,Destihl Barrel Aged Deadhead Double Red Ale,Destihl Brewery,Amber Ale,4.40 % ,0
Old Cellar Dweller,Driftwood Brewery,American Barleywine,14 % ,Driftwood Old Cellar Dweller Barleywine,Bainbridge Island Brewing Company,Amber Ale,8.50 % ,0
O'Connor 's Irish Red Ale,Wormtown Brewery,Irish Ale,5.00 % ,Boohai Red Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,5.50 % ,0
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 % ,Pizza Orgasmica Amber Ale,Pizza Port &#40; Solana Beach &#41;,Amber Ale,4.40 % ,0
Copperhead Amber Ale,Yalobusha Brewing Company,American Amber / Red Ale,5.65 % ,Yalobusha Copperhead Amber Ale,Yalobusha Brewing Company,Amber Ale,5.60 % ,0
Big Time Lift Ticket American Red Ale,New Helvetia Brewing Company,American Amber / Red Ale,5.00 % ,Peter Bs Sum Of Hours Imperial Red Ale,Big Time Brewery,American Amber / Red Ale,7 % ,0
Boohai Red Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,6 % ,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Great River Brewery,American Strong Ale,7.70 % ,0
Barley Johns Reds on Vacation,Barley John 's Brew Pub,American Amber / Red Ale,5.44 % ,Three Beavers Imperial Red Ale,Barley Johns Brew Pub,Amber Ale,5.44 % ,0
Eldred Rock Amber,Haines Brewing Company,Amber Ale,5 % ,Destihl Barrel Aged Deadhead Double Red Ale,Haines Brewing Co. .,American Amber / Red Ale,- ,0
Old Cellar Dweller,Driftwood Brewery,American Barleywine,14 % ,Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery &#40; Canada &#41;,Barley Wine,6.50 % ,0
Eldred Rock Amber,Haines Brewing Company,American Amber / Red Ale,5.00 % ,Haines Eldred Rock Amber,Haines Brewing Co. .,American Strong Ale,7.50 % ,0
3 Sisters American Red Ale,Wild Ride Brewing Co. .,American Amber / Red Ale,6.00 % ,Radiant Pig Gangster Duck American Red Ale,Radiant Pig Beer Company,Amber Ale,5.80 % ,0
Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,7.50 % ,Yalobusha Copperhead Amber Ale,Wildcard Brewing Company,American Strong Ale,5.65 % ,0
&#40; 512 &#41; Cabernet Barrel Aged Three,Ballast Point Brewing Company,American Barleywine,9.00 % ,Pizza Orgasmica Amber Ale,Devil 's Canyon Brewing Company,Abbey Tripel,6.50 % ,0
Mad Anthony Muddy River Amber Ale,Mad Anthony Brewing Company,American Amber / Red Ale,- ,Mad River Jamaica Red Ale,Mad River Brewery,Amber Ale,4.70 % ,0
West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),West Sixth Brewing Company,American Amber / Red Ale,8 % ,Figueroa Mountain / Pizza Port Shark Lips Imperial Red Ale,Birrificio Grado Plato,American Amber / Red Ale,8.00 % ,0
Belle Gueule Rousse,Brasseurs R.J.,American Amber / Red Ale,5.20 % ,Deputation Imperial Red Ale,Spring House Brewing Company,Amber Lager/Vienna,5.20 % ,0
Marble Imperial Red Ale,Bonfire Brewing Co. .,American Strong Ale,9 % ,Three Heads Buffalo Soul Jah Imperial Red Ale,Marble Brewery,American Amber / Red Ale,9.20 % ,0
Grado Plato Strada S. Felice,Grado Plato,American Amber / Red Ale,8.00 % ,West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),Birrificio Grado Plato,Spice/Herb/Vegetable,8 % ,0
Barrel Aged Chessie,Union Craft Brewing Company,American Barleywine,9.80 % ,Union Craft Chessie Barleywine Barrel Aged,Faustino Microcervejeira,Amber Ale,9.80 % ,0
Spiteful Angry Adam Hoppy Red Ale,Bomber Brewing,American Amber / Red Ale,6.20 % ,Spring House Atomic Raygun Imperial Red Ale,Aspetuck Brew Lab,Amber Ale,6 % ,0
Freedom Soho Red,Freedom Brewery Ltd,Amber Lager/Vienna,4.70 % ,Barrel Aged Series : Barley Wine,Parallel 49 Brewing Company,Barley Wine,11.80 % ,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 % ,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,6.50 % ,0
Iron Horse Fresh Hop Imperial Red Ale,Charging Hippo Brewing Co. .,American Amber / Red Ale,8.20 % ,Aspen Bourbon Barrel Aged Conundrum Red Ale,Iron Horse Brewery,American Amber / Red Ale,9.50 % ,0
Weekender American Amber Ale,Stilt House Brewery,Amber Ale,4.80 % ,Red Dirt Imperial Red Ale,Rock Bottom Orland Park,American Amber / Red Ale,7.60 % ,0
Rip Saw Red,Pints Brewing Co. .,Amber Ale,6.50 % ,Pints Rip Saw Red,Pints Brewing Company,American Strong Ale,6.20 % ,0
Imperial Moustache Red Ale,Salty Nut Brewery,American Amber / Red Ale,6.00 % ,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,American Strong Ale,9.20 % ,0
Fuller_s Traitor_s Gate,Fuller Smith & Turner PLC,American Amber / Red Ale,4.50 % ,Wasatch 50th Park City Golden Anniversary Ale,Fuller_s,American Amber / Red Ale,4.50 % ,0
Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,- ,Sequoia American Amber Ale,Ballast Point Brewing Company,Amber Ale,5 % ,0
Red Emperor Amber Ale,Anheuser-Busch InBev,American Amber / Red Ale,5.10 % ,Fox and Hound Red Fox Amber Ale,Big Texan Brewery,Amber Ale,4.50 % ,0
Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,American Barleywine,17.00 % ,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing,Barley Wine,17.50 % ,0
Hearthstone Red Rye Ale,Hearthstone Brewery,American Amber / Red Ale,5.00 % ,Oak Creek King Crimson Imperial Red Ale,Lavery Brewing Company,Specialty Grain,5 % ,0
Strada S. Felice,Grado Plato,Spice/Herb/Vegetable,8.00 % ,Grado Plato Strada S. Felice,Birrificio Grado Plato,American Strong Ale,8 % ,0
Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,4.56 % ,Marble Imperial Red Ale,Marble Brewery,American Amber / Red Ale,9 % ,0
Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,9.50 % ,Double Dragon Imperial Red Ale,Two Brothers Brewing Company,American Strong Ale,8.50 % ,0
Trail Ridge Red,Grand Lake Brewing Company,American Amber / Red Ale,7.50 % ,Estes Park Trail Ridge Red,Estes Park Brewery,Irish Ale,8.00 % ,0
Barbarian Red Ale,Cervecera Barbarian,American Amber / Red Ale,6.50 % ,Barbarian Red Ale,Wildcard Brewing Company,Amber Ale,7.50 % ,0
Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,American Amber / Red Ale,5.50 % ,Barrel Aged Series : Barley Wine,Elevator Brewing Company,Amber Ale,11.80 % ,0
Kinetic Infrared Imperial Red Ale,Otto 's Pub and Brewery,American Amber / Red Ale,6.90 % ,Hop Around Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,9.30 % ,0
Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,Central Coast Old Mission Amber Ale,Central Coast Brewing,American Amber / Red Ale,9.40 % ,0
Excel My Hoppy Valentine,Excel Brewing Company,Amber Ale,6.50 % ,Rocky Mountain Red Ale,Grand Lake Brewing Company,American Amber / Red Ale,- ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,Solemn Oath Brewery,Barley Wine,7 % ,0
Red 's On Vacation,Barley John 's Brew Pub,American Amber / Red Ale,5.44 % ,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Strong Ale,5.44 % ,0
Great Lakes Independence Ale,Great Lakes Brewing Co. .,American Amber / Red Ale,10 % ,Amsterdam X Sawdust City X Great Lakes X Indie Ale Barley Wine &#40; Oak &#41;,Amsterdam Brewing Company,Barley Wine,17.50 % ,0
Oatmeal Amber Ale,John Harvard_s Brewhouse &#40; Corporate Office &#41;,American Amber / Red Ale,5.70 % ,John Harvards Oatmeal Amber Ale,Sick N Twisted Brewing Company,Amber Ale,- ,0
River Otter Ale,Union Station Brewery,English Pale Ale,5.10 % ,Buffalo Soul Jah Imperial Red Ale,Sacramento Brewing Company,American Amber / Red Ale,8.50 % ,0
Prohibition Pig Dream of the 90s,Prohibition Pig,Amber Ale,- ,Ale Mania Imperial Red Ale,Worthy Brewing Co. .,American Strong Ale,8.00 % ,0
Big Horn Buttface Amber Ale,Big Texan Brewery,Amber Ale,- ,Big Texan Texas Red Amber Ale,Hops Grillhouse & Brewery,Amber Ale,4.50 % ,0
Insane Mane Red Ale,White Lion Brewing Company,Amber Ale,5.10 % ,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,American Strong Ale,- ,0
Double Mongrel Imperial India Red Ale,Aspetuck Brew Lab,American Amber / Red Ale,9.00 % ,Boxing Cat Firecracker Imperial Red Ale,Stone Brewing Co. .,Amber Ale,6.60 % ,0
Dream Of The 90 's,Prohibition Pig,Amber Ale,- ,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Three Heads Brewing,American Strong Ale,9.20 % ,0
Clifford The Big Red Ale,Books & Brews,American Amber / Red Ale,6.70 % ,Red Shedman 's Imperial Amber Ale,Big Choice Brewing,Amber Ale,9.30 % ,0
Barrel Aged Imperial Red,Hale 's Ales Brewery & Pub,American Amber / Red Ale,9.00 % ,Imperial Oak Barrel Aged Odin_s Beard,Prohibition Pig,American Strong Ale,9 % ,0
Eldred Rock Amber,Haines Brewing Co. .,American Amber / Red Ale,5 % ,Haines Eldred Rock Amber,Laurelwood Public House & Brewery,Amber Ale,9.50 % ,0
Kuhnhenn Extraneous Ale,Kuhnhenn Brewing,Barley Wine,17.00 % ,Good People Stepchild Belgian India Red Ale,7 Fjell Bryggeri,American Amber / Red Ale,17.50 % ,0
Lagunitas Imperial Red Ale,Lagunitas Brewing Company,Amber Ale,7.80 % ,Two Brothers Revelry Imperial Red Ale,Sick N Twisted Brewing Company,American Amber / Red Ale,8 % ,0
Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90 % ,John Harvards Oatmeal Amber Ale,John Harvard_s Brewhouse &#40; Corporate Office &#41;,Amber Ale,7.20 % ,0
Pints Rip Saw Red,Pints Brewing Co. .,American Amber / Red Ale,6.50 % ,Ballast Point Tongue Buckler Imperial Red Ale,Pints Brewing Company,American Amber / Red Ale,5.90 % ,0
American Red Ale,Rock Art Brewery,Amber Ale,4.80 % ,Mountain Series : Love Rhino ( Imperial Red Ale ),Americas Brewpub,American Strong Ale,- ,0
MadTree Bourbon Barrel Aged Happy Amber,MadTree Brewing Company,Amber Ale,6 % ,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mountain Brewing Company,Amber Ale,6.00 % ,0
Poor Richard 's Ale,Dry Dock Brewing Co. .,American Amber / Red Ale,7 % ,21st Amendment Poor Richards Ale,Kinetic Brewing Company,American Amber / Red Ale,9.30 % ,0
Rockyard Blarney Rock Irish Ale,Rockyard Brewing Company,Irish Ale,6.00 % ,Shark Attack Double Red Ale,Midnight Sun Brewing Company,Amber Ale,9.00 % ,0
Mad River Jamaica Red Ale,Mad Anthony Brewing Company,Amber Ale,- ,Barrel Aged Moustache Ride Red,Fulton Beer Company,American Strong Ale,6.50 % ,0
Boohai Red Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,6 % ,Engine House No. 9 Rowdy Dick Amber Ale,Crazy Mountain Brewing Company,Amber Ale,5.30 % ,0
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 % ,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,- ,0
Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,4.56 % ,Prohibition Pig Dream of the 90s,Tumbledown Brewing LLC,American Amber / Red Ale,6.10 % ,0
Brewmaster 's Reserve Imperial Red Ale,Rock Bottom Orland Park,American Amber / Red Ale,9.20 % ,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,7.60 % ,0
Dream Of The 90 's,Prohibition Pig,Amber Ale,6.10 % ,Prohibition Pig Dream of the 90s,Hangar 24 Craft Brewery,Barley Wine,- ,0
Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mountain Brewing Company,American Amber / Red Ale,6 % ,Winter Seasonal Amber Ale,Dead Frog Brewing,Amber Ale,6 % ,0
