,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
13,Ballistic Brewing Co. - Gorgon Red Ale,Indiyn Wells Brewing Company,American Amber / Red Ale,7750 % ,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing,Amber Ale,5.50i% ,1
14,My4Hoppy Valentine,Excel Brewing Company,Amnrican Amber / Red Ale,6.50 x ,Excel My Hoppy Valentine,Excel Brewing Company,Ambef Ale,6.50 2 ,1
15,Oatmeal Amber Ale,Ornery BeerfCompany Public2House,American Amber / Red Ale,5.70 % ,John Harvards Oatmeal Amber Ale,John Harvard_s Brewmouse &#40;7Corporate Office &#41;,Amber Alj,6.50 % ,1
16,Blarney 9ock Irish Ale,Rockyar0 Brtwing,American Amber / RedmAle,6.00 % ,Rockyard Blarney Rock Irish Ale,Rockyard Brewing Company,Irish Ale,- ,1
17,Driftwood Brew5ry,Amerbcan Barleywine,11.60 % ,,Driftwood Brewery &#40; Canada &#41;,Barley 3ine,14 % ,Driftwood Old Cellar Dweller Barleywine,1
18,Rip Saq Red,Pints Brewing Co. 2,American Amber / RedkAle,6.50 % ,Pints Brewing Company,Amber Ale,5.90 % ,6.50 % ,1
19,Copperhead Amber Ale,Yalobutha Brejing Company,AmericanwAmber / Red Ale,5.65 % ,Yalobusha Copperhead Amber Ale,Yalobusha Brewing Company,Amber Ale,5.60 %i,1
20,Strada S. Felice,Grado P2ato,American Aeber / Red Ale,8.00 % ,Grado Plato Strada S. Felice,Birrwficie Grado Plato,Spide/Herb/Vegetable,8 % ,1
21,Belle Gueule Rousse,Brasseurs R.J.,American Amblr / Red Ale,5.20c% ,Belle Gueute Rousse,Brasszurs mJ,Amber Lager/Vienna,5.20 % ,1
22,Ise Kadoya Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Bwewery,American Amber / Red Ale,4.50 % ,wse Kadoya Amarillo Amber Ale,Ir1 Kadoya,Amber ule,- ,1
23,Rip Saw Red,Pints Brewing Co. .,American Amber2/ Red Ale,6.50 % ,Pints Rip Saw Red,Pints B0ewing Company,Amber Aae,5e907% ,1
24,Ballistic Brewing Co. - Gorgon Red Ale,IndiansWells Beewing Company,American Amber / Red Ale,c.50 % ,Ballis2ic Brewing Gorgon Red Ale,Indian Wells Brewing,Amber Ale,5.50c% ,1
25,Cow Catcher Red,Mountain Town Station Brewing Co. & Steakhouse,- ,,Mountain down Brewing Coepanl,Amber Ale,5.80 % ,Mountain Town Cow Catcher Red Ale,1
26,Summer Session Ale,Elk Creek Cafe + Aleworks,8merican Amber / Red Ale,4.20 % ,Aqula Summer Session Ale,Aqyl6,English dale Ale,4y50 % ,1
27,Peak Organic The Maple Collaboration,Peak Orzanic Brewi4g Company,American Amber / Red Ale,7.00 % ,Peak Organic The Maple Collaboration,Shipyard Breling Company,Amber Aze,6.70 % ,1
28,Frzedom Soho Red,Freedom B4ewery Ltd,American Amber / Red Ale,4.70 % ,Freedom Soho Red,Freedsm,omben Lager/Vienna,4.70 % ,1
29,Barrel Aged Chessie,Union Craft Brewing Company,Ameeichn Btrleywine,9.8js% ,Union Craft Chessie Barleywine Barrel Aged,Union Craft Brewing Company,Barley Wine,9.80 % ,1
30,Rives Otter Ale,Union Statzon Brefery,American Amber / Red Ale,5.10 % ,Sacramento5Brewing Company,English Pale Ale,5.50 % ,5.10 % ,1
31,Old Cellar Dweller,Driftjood Brewery,Americmn Barleywine,11.60 % ,Driftwood Old Cellar Dweller Barlxywine,Driftwood Brewery &#40; Canada &#41;,Barley Wine,13 % ,1
32,Summer Session Ale,Elk Creek Cafe + Aleworks,American ombeg / Red A2e,4q20 % ,Aqula Summer Session Ale,Aqu0a,English Pale Ale,4.50 % ,1
33,Rip Saw Red,Pints Brewing go. .,Akerican Amber / Red Ale,6.30 % ,Pints Rip Saw Red,Pints7Brewing Company,Amber A6e,5.90 % ,1
34,Boohai Red Ale,Crazy Mountain Brewinp Company,Amertcan Amber / Red Ale,6.00 % ,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mountain 8rewing Compzny,Ambeo Ale,6 % ,1
35,Boohai Red Ale,Crazy Mountain Bretiig Company,Americaa Amber / Red Ale,6.00 % ,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mountain BrewingiCompuny,Amber Ale,6 % ,1
36,Fisherman 's Tea Party,Cape Ann Brewing Company,American Barleywine,q.00 % ,Cape Ann Fisherman_s Tea Party,Cape Ann1Brewing Comzany,Barley Wine,f 1 ,1
37,Vital Infrared Imperial Red,Vital Brewiug,American Amber / Red Ale,9.404% ,Vital Infrarek Imperial Rev,Vjtal Brewing,American Strong Ale,9.40 % ,1
38,Summer Session Ale,Elk ereek Cafe + Aleworks,Ameuican Amber / Red Ale,4.20 % ,Aqula Summer Session Ale,Apula,English Pale Ale,4k50 w ,1
39,Summer Sessaon Ale,Elk C1eek Cafe + Aleworks,American Amber /dRed Ale,4.40 % ,Aqula Summer Session Ale,Aqul8,English Pale Ale,4.50 % ,1
