,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
23,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,7.00 % ,Peak Organic The Maple Collaboration,Shipyard Brewing Company,American Amber / Red Ale,7.10 % ,0
24,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Amber / Red Ale,8.00 % ,Holy City The Gentle Mongoose,Two Brothers Brewing Company,Amber Ale,6.90 % ,0
25,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Strong Ale,9.20 % ,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company,Spice/Herb/Vegetable,8.50 % ,0
26,Belle Gueule Rousse,Brasseurs R.J.,American Amber / Red Ale,5.20 % ,Belle Gueule Rousse,Brasseurs RJ,Amber Lager/Vienna,5.20 % ,0
27,Sea Spray Amber Ale,Swashbuckler Brewing Company,American Amber / Red Ale,- ,Swashbuckler Red Sea Amber Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
28,Freedom Soho Red,Freedom Brewery Ltd,Amber Lager/Vienna,4.70 % ,Freedom Soho Red,Freedom,Amber Ale,- ,0
29,MadTree Bourbon Barrel Aged Happy Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,6 % ,Fuller_s Traitor_s Gate,Fuller_s,Amber Ale,4.50 % ,0
30,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Strong Ale,8.00 % ,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,Amber Ale,6.50 % ,0
31,Union Craft Chessie Barleywine Barrel Aged,Union Craft Brewing Company,American Barleywine,9.80 % ,Barrel Aged Series : Barley Wine,Hangar 24 Craft Brewery,Barley Wine,11.20 % ,0
32,Unite Red Rye Ale,The Pike Brewing Company,Amber Ale,4.60 % ,Pike Unite Red Rye Ale,Pike Brewing Company,American Amber / Red Ale,4.60 % ,0
33,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing,American Amber / Red Ale,5.50 % ,Mountain Series : Love Rhino ( Imperial Red Ale ),Madhouse Brewing Company,Amber Ale,5.50 % ,0
34,Eldred Rock Amber,Haines Brewing Company,American Amber / Red Ale,5.00 % ,Beer Of The Dragon,Haines Brewing Co. .,Amber Ale,5 % ,0
35,My Hoppy Valentine,Excel Brewing Company,Amber Ale,6.50 % ,Sledgehammer Imperial Red Ale,Excel Brewing Company,American Amber / Red Ale,6.50 % ,0
36,The Gentle Mongoose,Holy City Brewing,Amber Ale,6.90 % ,Holy City The Gentle Mongoose,Holy City Brewing,American Strong Ale,6.90 % ,0
37,Old Cellar Dweller,Driftwood Brewery &#40; Canada &#41;,American Barleywine,14 % ,Red Headed Slut Amber Ale,Twisted K-8 Brewing Company,Barley Wine,5.40 % ,0
38,Fullers Traitors ' Gate,Fuller_s,American Amber / Red Ale,4.50 % ,Fuller_s Traitor_s Gate,Midnight Sun Brewing Co. .,American Amber / Red Ale,- ,0
39,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,5.70 % ,Blue Cat Red Toad Amber Ale,Roosterfish Brewing Co. .,Premium Bitter/ESB,5.50 % ,0
40,Hop Around Imperial Red Ale,Speakeasy Ales and Lagers,American Amber / Red Ale,6.10 % ,American Red Ale,Rock Art Brewery,Amber Ale,4.80 % ,0
41,Red 's On Vacation,Barley John 's Brew Pub,Amber Ale,5.44 % ,Barley Johns Reds on Vacation,Barley Johns Brew Pub,American Amber / Red Ale,9.00 % ,0
42,White Lion Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,- ,Deputation Imperial Red Ale,Ipswich Ale Brewery,American Amber / Red Ale,8.00 % ,0
43,Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,American Amber / Red Ale,4.70 % ,Sudwerk Sons Of Anarchy Amber Ale,Elk Street Brewery & Tap Room,Irish Ale,4.70 % ,0
44,Tumbledown Imp Imperial Red Ale,Kern River Brewing Company,American Amber / Red Ale,8.00 % ,Sudwerk Sons Of Anarchy Amber Ale,Tumbledown Brewing LLC,American Strong Ale,4.70 % ,0
45,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,8.20 % ,Red 's On Vacation,Barley John 's Brew Pub,Amber Ale,10 % ,0
46,Red Rock Amber Ale,Slanted Rock Brewing Company,American Amber / Red Ale,6.00 % ,Slanted Rock Iron Butt Red Ale,Hoppy Brewing Co. .,Amber Ale,5.50 % ,0
47,Oatmeal Amber Ale,Ornery Beer Company Public House,American Amber / Red Ale,5.70 % ,John Harvards Oatmeal Amber Ale,Howe Sound Brewing,Amber Ale,8.50 % ,0
48,Canal Park General Sterling Price American Amber Ale - Centennial,Wig And Pen,American Amber / Red Ale,5.90 % ,Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Amber Ale,4.80 % ,0
49,Boohai Red Ale,Crazy Mountain Brewing Company,Amber Ale,6.00 % ,Renegade Scarlett Letter Imperial Red Ale,Howe Sound Inn & Brewing Company,American Strong Ale,6 % ,0
50,Barbarian Red Ale,CervecerÃa Barbarian,Amber Ale,6.50 % ,Barbarian Red Ale,CervecerÃa Barbarian,American Strong Ale,7.80 % ,0
51,Blarney Rock Irish Ale,Rockyard Brewing Company,American Amber / Red Ale,6.00 % ,Rockyard Blarney Rock Irish Ale,Dead Frog Brewing,Irish Ale,5.00 % ,0
52,De Koninck TSTBRW 01 Imperial Red Ale,Worthy Brewing Co. .,American Amber / Red Ale,8.00 % ,Cow Catcher Red,Brouwerij De Koninck &#40; Duvel-Moortgat &#41;,American Strong Ale,7.80 % ,0
53,Neudorf Red Ale,Bendorf,American Amber / Red Ale,- ,Big Horn Buttface Amber Ale,Stewart 's Brewing Co. .,Irish Ale,6 % ,0
54,Big Bear Amber Ale,Big Horn Brewing Company &#40; Ram International &#41;,American Amber / Red Ale,5.60 % ,Big Horn Buttface Amber Ale,Fat Bottom Brewery,Amber Ale,4.60 % ,0
55,Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,American Strong Ale,9.40 % ,0
56,Thirsty Pagan North Coast Amber Ale,Petoskey Brewing Company,Amber Ale,5.80 % ,Phobos Single Hop Red Ale,Thirsty Pagan Brewing,American Amber / Red Ale,- ,0
57,John Harvards Oatmeal Amber Ale,Ornery Beer Company Public House,American Amber / Red Ale,6.50 % ,Rhino Chaser Imperial Red Ale,John Harvard_s Brewhouse &#40; Corporate Office &#41;,Amber Ale,7.80 % ,0
58,My Hoppy Valentine,Excel Brewing Company,American Amber / Red Ale,6.50 % ,Excel My Hoppy Valentine,Marble Brewery,Amber Ale,4.56 % ,0
59,Heavyweight Ticklefight Champion Of The World,Solemn Oath Brewery,American Barleywine,12 % ,Solemn Oath Heavyweight Ticklefight Champion of the World,Rusty Truck Brewing Company / Roadhouse 101,Barley Wine,8.00 % ,0
60,Sledgehammer Imperial Red Ale,Cambridge Brewing Company,American Amber / Red Ale,8 % ,Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company,American Strong Ale,4.50 % ,0
61,Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Ballast Point Calico Amber Ale - Rum Barrel Aged,Wolf Hills Brewing Company,American Strong Ale,9.40 % ,0
62,Cow Catcher Red,Mountain Town Brewing Company,American Amber / Red Ale,- ,Mountain Town Cow Catcher Red Ale,Pioneer Beer Company,American Amber / Red Ale,5.80 % ,0
63,Estes Park Trail Ridge Red,Grand Lake Brewing Company,Bitter,7.50 % ,Ruby River Ruby Red Ale,Estes Park Brewery,American Amber / Red Ale,4.50 % ,0
64,Royal Amber Ale,Hops Grillhouse & Brewery,American Amber / Red Ale,4.50 % ,Kalamazoo Royal Amber Ale,Bells Brewery,Amber Ale,6 % ,0
65,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,9.20 % ,Midnight Sun Unite Double Red Hot Ale &#40; 2015 &#41;,406 Brewing Company,American Strong Ale,9.00 % ,0
66,Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,American Amber / Red Ale,4.70 % ,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Crooked Eye Brewery,Scottish Ale,9.20 % ,0
67,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,Barley Wine,17.50 % ,Red Dragon Smoked Amber Ale,Kilted Dragon Brewing Company,American Amber / Red Ale,5.50 % ,0
68,Bourbon Barrel Red Oak Ale,Ballast Point Brewing Company,American Amber / Red Ale,- ,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Iron Hill Maple Shade,American Strong Ale,10 % ,0
69,American Red Ale,Rock Art Brewery,American Amber / Red Ale,4.80 % ,Americas American Red Ale,Kinetic Brewing Company,American Amber / Red Ale,- ,0
70,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,American Amber / Red Ale,4.70 % ,Winter Seasonal Amber Ale,Sudwerk Brewing Company,Amber Ale,5.00 % ,0
71,Fuller_s Traitor_s Gate,Fuller Smith & Turner PLC,American Amber / Red Ale,4.50 % ,North 45 Amber Ale,Fuller_s,Amber Ale,4.50 % ,0
72,Fisherman 's Tea Party,Cape Ann Brewing Company,American Barleywine,9.00 % ,Cape Ann Fisherman_s Tea Party,Lavery Brewing Company,American Strong Ale,9 % ,0
73,Oatmeal Amber Ale,John Harvard_s Brewhouse &#40; Corporate Office &#41;,American Amber / Red Ale,6.50 % ,Boneyard Skunkape India Red Ale,7 Fjell Bryggeri,India Pale Ale &#40; IPA &#41;,6.80 % ,0
74,Heavyweight Ticklefight Champion Of The World,Solemn Oath Brewery,American Barleywine,12 % ,Solemn Oath Heavyweight Ticklefight Champion of the World,Proof Brewing Company,Barley Wine,6.20 % ,0
75,Fuller_s Traitor_s Gate,Fuller Smith & Turner PLC,Bitter,4.50 % ,Lompoc Bourbon Barrel Aged Old Tavern Rat,Oskar Blues Grill & Brew,Barley Wine,8.70 % ,0
76,Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 % ,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,- ,0
77,Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,7.50 % ,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Breckenridge Brewery,American Strong Ale,8.90 % ,0
78,Belle Gueule Rousse,Brasseurs R.J.,American Amber / Red Ale,5.20 % ,ShuBrew Heart and Sole Imperial Red Ale,Brasseurs RJ,American Amber / Red Ale,5.20 % ,0
79,Mountain Town Cow Catcher Red Ale,Mountain Town Station Brewing Co. & Steakhouse,American Amber / Red Ale,- ,Lavery Imperial Red Ale,Lavery Brewing Company,American Strong Ale,5.80 % ,0
80,Thirsty Pagan North Coast Amber Ale,Thirsty Pagan Brewing,American Amber / Red Ale,- ,Lancaster Hop Buggy Amber Ale,Three Palms Brewing Co. .,Amber Ale,5.60 % ,0
81,Kniksen India Red Ale,7 Fjell Bryggeri,India Pale Ale &#40; IPA &#41;,6.50 % ,Sequoia American Amber Ale,Boneyard Beer Company,Amber Ale,5.90 % ,0
82,Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 % ,White Lion Insane Mane Red Ale,Midnight Sun Brewing Company,Amber Ale,- ,0
83,West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),Figueroa Mountain Brewing,American Strong Ale,13.00 % ,Good People Stepchild Belgian India Red Ale,Roaring Fork Beer Company,American Amber / Red Ale,8 % ,0
84,Simeon Jones River Valley Amber Ale,Picaroons Brewing Co. .,American Amber / Red Ale,- ,Piney River McKinney Eddy Amber Ale,Piney River Brewing Company,Amber Ale,5 % ,0
85,Proof Abandoned Planet Imperial Red Ale,Black Acre Brewing Co. .,American Amber / Red Ale,6.20 % ,Piney River McKinney Eddy Amber Ale,Proof Brewing Company,Amber Ale,7.50 % ,0
86,Red 's On Vacation,Barley Johns Brew Pub,American Amber / Red Ale,5.44 % ,ShuBrew Heart and Sole Imperial Red Ale,Ballast Point Brewing Company,Amber Ale,10.00 % ,0
87,Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 % ,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,4.60 % ,0
88,Pizza Port Rhino Chaser Imperial Red Ale,Greenpoint Beerworks / Kelso of Brooklyn,American Strong Ale,9.50 % ,Sanibel Red Island Ale,Pizza Port &#40; Ocean Beach &#41;,Irish Ale,5.60 % ,0
89,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,American Barleywine,17.00 % ,Kuhnhenn Extraneous Ale,Big Horn Brewing Company &#40; Ram International &#41;,Barley Wine,17.50 % ,0
90,Lavery Imperial Red Ale,Lavery Brewing Company,American Strong Ale,8.20 % ,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,American Barleywine,9.50 % ,0
91,Canal Park General Sterling Price American Amber Ale - Centennial,Canal Park Brewing Company,Amber Ale,5.90 % ,Wildcard Double Down Imperial Red Ale,Wildcard Brewing Company,American Amber / Red Ale,4.80 % ,0
92,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 % ,Imperial Red Ale,Legacy Brewing,American Strong Ale,7.10 % ,0
93,Frost Quake Bourbon Barrel Aged Barley Wine,Wellington County Brewery,American Barleywine,9.80 % ,Hangar 24 Barrel Roll No. 04 : Hammerhead - Bourbon Barrel Aged with Chai Tea,Ale-Mania,Barley Wine,13.90 % ,0
94,Redeemer Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.20 % ,The Gentle Mongoose,Holy City Brewing,Amber Ale,6.90 % ,0
95,Ulysses Imperial Red Ale,Barley 's Brewing Company,American Amber / Red Ale,- ,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,American Strong Ale,10 % ,0
96,Kinetic Infrared Imperial Red Ale,Breckenridge Brewery,American Amber / Red Ale,9.30 % ,Ballistic Brewing Gorgon Red Ale,Kinetic Brewing Company,American Amber / Red Ale,5.50 % ,0
97,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Figure 8 Brewing,American Amber / Red Ale,7.50 % ,Mountain Town Cow Catcher Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,- ,0
98,Neudorf Red Ale,Brasserie Bendorf,American Amber / Red Ale,- ,Bendorf Neudorf Red Ale,Figueroa Mountain Brewing,Irish Ale,13.00 % ,0
99,Two Brothers Revelry Imperial Red Ale,Breckenridge Brewery,American Amber / Red Ale,8.90 % ,Ise Kadoya Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,American Strong Ale,9.50 % ,0
100,Ise Kadoya Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,Amber Ale,4.50 % ,Rusty Truck Stupiphany Imperial Red Ale,Rusty Truck Brewing / Roadhouse 101,American Strong Ale,8 % ,0
101,Batch 200 _ `` Olympus Mons Imperial Red Ale,Due South Brewing Co. .,American Amber / Red Ale,9.20 % ,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,American Barleywine,12 % ,0
102,Weekender American Amber Ale,Stilt House Brewery,American Amber / Red Ale,4.80 % ,Summer Session Ale,Canal Park Brewing Company,English Pale Ale,4.20 % ,0
103,Double Mongrel Imperial India Red Ale,Aspetuck Brew Lab,Amber Ale,9.00 % ,Boxing Cat Firecracker Imperial Red Ale,Boxing Cat Brewery,Amber Ale,- ,0
104,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,5 % ,0
105,Renegade Scarlett Letter Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 % ,Aqula Summer Session Ale,Renegade Brewing Company,English Pale Ale,8.50 % ,0
106,Eldred Rock Amber,Haines Brewing Company,American Amber / Red Ale,5.00 % ,Haines Eldred Rock Amber,Lompoc Brewing,Amber Ale,5 % ,0
107,Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,- ,Royal Amber Ale,Hops Grillhouse & Brewery,American Strong Ale,8.20 % ,0
108,Prohibition Pig Dream of the 90s,Prohibition Pig,American Amber / Red Ale,- ,Double Dread Imperial Red Ale,Mad River Brewing Company,Amber Ale,8.60 % ,0
109,Stupiphany Imperial Red Ale,Rusty Truck Brewing Company / Roadhouse 101,Amber Ale,8.00 % ,Sick N Twisted Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company,American Strong Ale,8 % ,0
110,Barrel Aged Riverside Red,Intuition Ale Works,Amber Ale,7.80 % ,Barbarian Red Ale,CervecerÃa Barbarian,Amber Ale,6.50 % ,0
111,Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,American Amber / Red Ale,5.50 % ,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing,Amber Ale,9.20 % ,0
112,Clifford The Big Red Ale,Books & Brews,American Amber / Red Ale,6.70 % ,Squatters Respect Your Mother Organic Amber Ale,Outpost Natural Foods,Amber Ale,4 % ,0
113,River Otter Ale,Union Station Brewery,English Pale Ale,5.10 % ,Brannon_s Deputation Imperial Red Ale,Sacramento Brewing Company,American Strong Ale,8.60 % ,0
114,Photobomb Imperial Red Ale,Crooked Ladder Brewing Company,American Amber / Red Ale,7.50 % ,Howe Sound Three Beavers Imperial Red Ale,Howe Sound Brewing,American Strong Ale,4.70 % ,0
115,Big V Amber Ale,FreeWheel Brewing Company,American Amber / Red Ale,4.00 % ,Mountain Series : Love Rhino ( Imperial Red Ale ),Heinzelmannchen Brewery,Amber Ale,8 % ,0
116,Sick N Twisted Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company,American Amber / Red Ale,7.80 % ,John Harvards Oatmeal Amber Ale,Ornery Beer Company Public House,Amber Ale,8 % ,0
117,Spring House Atomic Raygun Imperial Red Ale,Aspetuck Brew Lab,American Amber / Red Ale,9.00 % ,Ale Mania Imperial Red Ale,Spring House Brewing Company,American Strong Ale,7.80 % ,0
118,Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 % ,Iron Hill Shirt Tail Amber,Parallel 49 Brewing Company,Amber Ale,4.40 % ,0
119,Noggin Floggin ( Bourbon Barrel Aged ),Hopworks Urban Brewery,American Barleywine,9.60 % ,MadTree Bourbon Barrel Aged Happy Amber,MadTree Brewing Company,Amber Ale,8.30 % ,0
120,Summer Session Ale,Aqula,English Pale Ale,4.20 % ,Frost Quake Bourbon Barrel Aged Barley Wine,MadTree Brewing Company,Amber Ale,4.50 % ,0
121,Trailhead Red Amber Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,6.50 % ,Bulleit Bourbon Barrel Aged G'Knight,Trailhead Brewing Co. .,Amber Ale,6 % ,0
122,Regimental 80 Scottish Ale,Crooked Eye Brewery,American Amber / Red Ale,4.70 % ,Scuttlebutt Mateo Loco Imperial Red Ale,Crooked Eye Brewery,Scottish Ale,7.10 % ,0
123,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,- ,Red 's On Vacation,Barley John 's Brew Pub,American Strong Ale,8.60 % ,0
124,Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ),Sierra Nevada Brewing Co. .,American Amber / Red Ale,8.00 % ,Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company,American Strong Ale,8.80 % ,0
125,Barrel Aged Riverside Red,Intuition Ale Works,American Amber / Red Ale,9 % ,Blue Pants Big & Tall # 2 : Barrel Aged Belgian Red,Blue Pants Brewery,Amber Ale,7.50 % ,0
126,Insane Mane Red Ale,White Lion Brewing Company,Amber Ale,5.10 % ,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,American Strong Ale,- ,0
127,Belle Gueule Rousse,Brasseurs RJ,American Amber / Red Ale,5.20 % ,Panama Limited Red Ale,Flossmoor Station Restaurant & Brewery,Amber Lager/Vienna,5.20 % ,0
128,Fisherman 's Tea Party,Cape Ann Brewing Company,American Barleywine,9.00 % ,Cape Ann Fisherman_s Tea Party,Kinetic Brewing Company,American Amber / Red Ale,6.90 % ,0
129,Red Rose Amber Ale,Swashbuckler Brewing Company,American Amber / Red Ale,5.40 % ,Swashbuckler Red Sea Amber Ale,Indian Wells Brewing Company,Amber Ale,5.50 % ,0
130,Oatmeal Amber Ale,John Harvard_s Brewhouse &#40; Corporate Office &#41;,American Amber / Red Ale,5.70 % ,John Harvards Oatmeal Amber Ale,Cambridge Brewing Company,Amber Ale,7.75 % ,0
131,Insane Mane Red Ale,Ipswich Ale Brewery,American Amber / Red Ale,5.10 % ,Mad River Jamaica Red Ale,Mad Anthony Brewing Company,Amber Ale,- ,0
132,Big Axe Red Ale,Big Axe Brewing Company,American Amber / Red Ale,- ,Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Spruce Brewing,American Amber / Red Ale,- ,0
133,Holy City The Gentle Mongoose,Holy City Brewing,American Amber / Red Ale,6.90 % ,Lagunitas Imperial Red Ale,Lagunitas Brewing Company,Amber Ale,9.20 % ,0
134,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,Amber Ale,9.00 % ,Ecliptic Phobos Extra Red Ale,Speakeasy Ales and Lagers,American Amber / Red Ale,5.00 % ,0
135,Barrel Aged Chessie,Union Craft Brewing Company,American Barleywine,9.80 % ,Red Dirt Imperial Red Ale,Wiley Roots Brewing Co,Barley Wine,8.20 % ,0
136,Boohai Red Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,6.00 % ,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mountain Brewing Company,American Strong Ale,6 % ,0
137,Rhino Chaser Imperial Red Ale,Pizza Port Solana Beach,American Amber / Red Ale,9.50 % ,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Lagunitas Brewing Company &#40; Heineken &#41;,Amber Ale,6 % ,0
138,River Otter Ale,Union Station Brewery,English Pale Ale,5.10 % ,Winter Seasonal Amber Ale,Sacramento Brewing Company,Amber Ale,5.50 % ,0
139,Barrel Aged Red Ale,BearWaters Brewing Co. .,American Amber / Red Ale,5 % ,Trail Ridge Red,Ballast Point Brewing Company,Amber Ale,7.50 % ,0
140,Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 % ,Hermit Thrush Abbey Series # 1 - Jolly Abbot Barley Wine,Crooked Eye Brewery,Barley Wine,13 % ,0
141,West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),Figueroa Mountain Brewing,American Amber / Red Ale,13.00 % ,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,American Barleywine,8 % ,0
142,Eldred Rock Amber,Haines Brewing Company,Amber Ale,5.00 % ,Haines Eldred Rock Amber,Haines Brewing Co. .,American Amber / Red Ale,5 % ,0
143,Yalobusha Copperhead Amber Ale,Yalobusha Brewing Company,Amber Ale,5.60 % ,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,Amber Ale,6.10 % ,0
