ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18,` pinot bistro ',' 19 vironment. ',` los angeles ',818/990 -0500,english,"18 vironment, enctui",1
` tavern on the green ',` in central park at 67th st. ',` new york ',212/873 -3200,american,63,` tavern at the red ',` in righty-green ',` new york ',212/873 -3200,american,64 errilla,1
` manhattan ocean club ','57 w. 58th st. ',` new york ',' 212 / 371-7777 ',seafood,45,` manhattan ocean club ','56 jd ',` new york ',` 212 / 371-7777 ',seafood,45 ibraryCol name,1
` bone \ 's ',' 3130 piedmont road ',atlanta,404/237 -2663,american,76,` bone \ 's ',' 3130 piedmont road ',atlanta,404/237 -2663,american,76 vironment,1
postrio,' 545 post st. ',` san francisco ',415/776 -7825,american,109,postrio,' 545 post st. ',` san francisco ',415/776 -7825,american,109 ,1
postrio,' 545 post st. ',` san francisco ',415/776 -7825,american,109,postrio,' 545 post st. ',` san francisco ',415/776 -7825,american,109 ------------------------- ------------------------- PROPERTY NAME -------- ----------- (PROPERTY) NAME `,1
` sign of the dove ',' 1110 3rd ave. at 65th st. ',` new york ',212/861 -8080,american,61,` sign of the dove ',' 41d 1110 3rd ave. at 64th st. ',` new york ',825 9th ave. at 66th st. ',american,58 iban,1
` mi cocina ','57 jane st. off hudson st. ',` new york ',212/627 -8273,mexican,48,` mi cocina ','22 piedrilo cola,` new york ',212/877 -8273,mexican,48 ilstcol,1
` park avenue cafe ',' 100 e. 63rd st. ',` new york ',212/644 -1900,american,51,` park avenue caf ',` 66 e. 60 st. ',` new york ',212/644 -1900,american,47 _.,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 3141 geary blvd. ',` san francisco ',415/668 -6654,asian,103  ',1
` mi cocina ','57 jane st. off hudson st. ',` new york ',212/627 -8273,mexican,48,` mi cocina ','57 jane st. off hudson st. ',` new york ',212/627 -8273,mexican,48 cedented,1
` chez michel ',' 804 northpoint ',` san francisco ',415/775 -7036,french,99,` chez machel ',' 901 northpoint ',` san francisco ',415/775 -7036,french,99 outherncolname,1
` chez michel ',' 804 northpoint ',` san francisco ',415/775 -7036,french,99,` deja-ci-piano-salt deja-ci-sa la ci franzisco-ci-fr ',` san jakarta-ci ',` city cola ',500/555 -7036,french,85 ****************,1
` manhattan ocean club ','57 w. 58th st. ',` new york ',' 212 / 371-7777 ',seafood,45,` z. 49th floor (at 6th floor) ','57 w. 59th st. ',` new york ',` 1160 / 774-8055 ',seafood,45 errilla,1
` park avenue cafe ',' 100 e. 63rd st. ',` new york ',212/644 -1900,american,51,` park avenue cafe ',` 100 e. 63rd st. ',` new york ',212/644 -1900,american,1 ibrary,1
` park avenue cafe ',' 100 e. 63rd st. ',` new york ',212/644 -1900,american,51,` fountain ',` 1000 e. 54th st. ',` new ryork ',212/644 -1000,france,21 ,1
postrio,' 545 post st. ',` san francisco ',415/776 -7825,american,109,postrio,' 546 post st. ',` san francisco ',415/776 -7825,american,109   / / ,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',7349 -9333,oregon,73 ,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,3166   ' ' ',1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,' cicada ',' 5699 las vegas blvd. s ',`,703/9097 -8711,southwestern,61 VERTISEMENTCID name,1
` restaurant ritz-carlton atlanta ',' 181 peachtree st. ',atlanta,404/659 -0400,continental,91,` restaurant ritz-ritz atlanta ',' 185 peachtree st. ',atlanta,404/659 -0400,continental,91 _.,1
` les celebrites ',' 160 central park s ',` new york ',212/484 -5113,french,42,` les bibliotheca dolores ',' 160 city s',` new york ',212/484 -5113,french,42 ibrary,1
` veni vidi vici ','41 14th st. ',atlanta,404/875 -8424,italian,93,` veni vidi vici ','41 14th st. ',atlanta,404/875 -8424,italian,"93 ,col code",1
