,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
44,"Because of Your Love Country , Music , Contemporary Country , Urban Cowboy $ 0.99",Kenny Chesney,Greatest Hits,,,2000 BMG Entertainment,4:16,26-Sep-00,Toyfriend ( feat. Wynter Gordon ) [ Continuous Mix Version ] 2010 Gum Prod licence exclusive Parlophone Music France 2:51,David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,,,21-Aug-09 COMP ArtistName,0.0
45,"Remember You ( feat . The Weeknd ) Wiz Khalifa Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap $ 1.99",,O.N.I.F.C. ( Deluxe Version ),,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,4-Dec-12,Talkin ' 2 Myself ( feat . Kobe ) Recovery ( Deluxe Edition ) $ 1.29 ‰ ãÑ 2010 Aftermath Records 5:00,Eminem,,"Hip-Hop , Music , Rock , Hardcore Rap , Rap",,,,21-,0.0
46,Anna Sun ( Live ) iTunes Festival : London 2012 - EP $ 1.29 6:11,WALK THE MOON,,"Alternative , Music",,"2012 RCA Records , a division of Sony Music Entertainment",,10-Sep-12,Whateva ( feat. Monty ) Fetty Wap ( Deluxe ) Album Only,Fetty Wap,,"Hip-Hop/Rap , Music , Rap",� _ _,2015 300 Entertainment/RGF Productions,5:11,� _ _,0.0
47,Obsession ( feat . JD Davis & Miss B ) Pop Life ( Extended Version ) [ Bonus Version ] Album Only 3:06 18-Sep-07,David Guetta,,"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",,‰ ãÑ 2007 Gum Records,,,Ryan Adams,�,Live After Deaf ( Live ) [ Complete Collection ],,$ 0.99,�,5:10,yrics_utf-8,0.0
48,"Money Right ( feat . Rick Ross & Brisco ) Hip-Hop/Rap , Music , Pop , Dirty South $ 1.29 2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 3:16 18-Mar-08",Flo Rida,Mail On Sunday,,,,,,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],,,,$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,,21-Aug-09 COMMENTS :,0.0
49,Stars Come Out ( Tim Mason Remix ) Zedd Stars Come Out ( Remixes ) - EP $ 1.29 2012 Dim Mak Inc. 5:49 20-May-14,,,"Dance , Music , Electronic , House",,,,,"Help Me Lose My Mind ( feat. London Grammar ) , Electronic , Music 4:04 15-Apr-14",Disclosure,Settle ( Deluxe Version ),,$ 1.29,"‰ ãÑ 2014 Universal Island Records , a division of Universal Music Operations Limited",,yrics,0.0
50,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] David Guetta $ 1.29 2010 Gum Prod licence exclusive Parlophone Music France 2:51,,One Love ( Deluxe Version ),"Dance , Music",,,,21-Aug-09,The Rival,Skrillex & Damian `` Jr. . Gong ' ' Drifter Genre,Make It Bun Dem On The Run ( Live ),,,,,pop,0.0
51,"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) Nothing But the Beat Dance , Music , House , Electronic , Rock $ 1.29 2011 What A Music Ltd , Licence exclusive Parlophone Music France",David Guetta,,,,,3:34,26-Aug-11,VHS Outro ( __________________ ) MONTHLY $ 22.99 1) MONTÉ | 2015,,VHS,,,2015 MARCH 22,,,0.0
52,"My Songs Know What You Did In the Dark ( Light Em Up ) Fall Out Boy ‰ ãÑ 2013 UMG Recordings , Inc. and Sony Music Entertainment",,"Now That 's What I Call Music , Vol . 46","Pop , Music",Album Only,,3:06,7-May-13,,,,,$ 1.29,2007 SONY BMG MUSIC ENTERTAINMENT,4:00,RIC Select,0.0
53,"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) Dance , Music , Rock , House , Electronic 26-Aug-11",David Guetta,Nothing But the Beat,,$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,,Fake ( Demo ) Us and Them ( Deluxe Version ),Shinedown,,"Rock , Music , Metal , Rock , Jazz",$ 1 .89,"2011 Columbia Music Group for the United States and VICVIA Music Publishing, Inc.",11:40,24-Apr-08 itol,0.0
54,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta $ 1.29 24-Nov-14,,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,,,,,,$ 3.95,2007 SONY BMG WINNER,4:00,addafi,0.0
55,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown",,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,(feat. Wynter Gordon) [ Continuous Mix Version ] 2010 Gum Prod licence exclusive Parlophone Music France 2:51,David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,,,21-Aug-09 libsynstica_name,0.0
56,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] 2010 Gum Prod licence exclusive Parlophone Music France 2:51,David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,,,21-Aug-09,Remember You,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,,0.0
57,Talkin ' 2 Myself ( feat . Kobe ) Recovery ( Deluxe Edition ) $ 1.29 ‰ ãÑ 2010 Aftermath Records 5:00,Eminem,,"Hip-Hop/Rap , Music , Rock , Hardcore Rap , Rap",,,,21-Jun-10,5:20,izensCAPTION, 0, POST CONTINUES BELOW,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,0.0
58,Whateva ( feat . Monty ) Fetty Wap ( Deluxe ) Album Only,Fetty Wap,,"Hip-Hop/Rap , Music , Rap",,2015 300 Entertainment/RGF Productions,5:11,,,,21,(Hoping NOT To Distort ) [ Continuous Mix Version ] 2010 Gum Prod licence exclusive Parlophone Music France 2:51,David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,0.0
59,"If I Am a Stranger ( Live In Amsterdam ) Singer/Songwriter , Music , Rock 2012 PAXAM RECORDS 2-Jul-12",Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],,$ 0.99,,5:10,,"Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] Dance , Music $ 1.29 21-Aug-09",David Guetta,One Love ( Deluxe Version ),,,2010 Gum Prod licence exclusive Parlophone Music France,2:51,cerpts FROM,0.0
60,"Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] David Guetta One Love ( Deluxe Version ) Dance , Music 2:51",,,,$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,,21-Aug-09,RYDE,Wiz Khalifa,,,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,��,0.0
61,"Help Me Lose My Mind ( feat . London Grammar ) Electronic , Music 4:04 15-Apr-14",Disclosure,Settle ( Deluxe Version ),,$ 1.29,"‰ ãÑ 2014 Universal Island Records , a division of Universal Music Operations Limited",,,,,,,$ 8.99,2013 Renegade,11:29,�,0.0
62,"Make It Bun Dem ( Alvin Risk Remix ) Dance , Music , Electronic $ 1.29 2012 OWSLA and Big Beat Records for the United States and WEA International for the world outside the United States . 3:58 28-Aug-12",Skrillex & Damian `` Jr. . Gong '' Marley,Make It Bun Dem After Hours ( Remixes ),,,,,,"Remember You ( feat . Wiz Khalifa ) Hip-Hop , Music , Hardcore Rap , East Coast Rap , Rap $ 1.99 4-Dec-12",Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,iland,0.0
63,"VHS Outro ( Interlude ) X Ambassadors Alternative , Music , Rock , Adult Alternative $ 1.29 1:25 30-Jun-15",,VHS,,,2015 KIDinaKORNER/Interscope Records,,,"Remember You (feat. Wiz Khalifa ) O.N.I.F.C. ( Deluxe Version ) Hip-Hop , Music , East Coast Rap , Hardcore Rap , Rap , Hardcore $ 1.00 5-Jun-13",Wiz Khal,,,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:40,iban,0.0
64,"Please Come to Boston ( Live ) Kenny Chesney When the Sun Goes Down ( Deluxe Version ) Country , Music , Contemporary Country , Urban Cowboy 2-Feb-04",,,,$ 1.29,2007 SONY BMG MUSIC ENTERTAINMENT,4:00,,"Money Right ( feat . Rick Ross & Brisco ) Hip-Hop/Rap , Music , Pop , Dirty South $ 1.28 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 6:48 9-Mar-09",Flo Rida,"FLAC , Hip-Hop , Rock , Rock/Roll, Rock/Roll Col CopyRight",,,,,RIC,0.0
