,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
83,britannica deluxe,avanquest software,29.95,britannica deluxe . 8th edition ( pc ) avanquest,avanquest,29.95 【,1
84,britannica deluxe,avanquest software,29.95,britannica deluxe,avanquest software,33.25 galitarian,1
85,checkmark multiledger,checkmark software,399.0,299.99 galitarian,code,299.99 galitarian,1
86,adobe premiere elements 3.0 [ lb ],adobe,99.99,adobe premiere elements 3.0 [ lb ],adobe,99.99 ��,1
87,microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2007,microsoft,261.45 galitarian,1
88,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web,adobe,1599.0 ��,1
89,punch ! professional home design suite,punch ! software,69.99,punch ! professional software,,50.99 nwiLON1,1
90,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,nrpc mnemonic 801,nrpc mnemonic e-meter,49.95 _______________________________,1
91,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web browser,,1599.0,1
92,more brain games,csdc,9.99,more brain games col,,9.99,1
93,more brain games,csdc,9.99,more brain games,edgcol,399.99 galitarian,1
94,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web premium [ mac ],adobe,1099.0 𐥳 � 𐥳 𐥳 𐥳 �,1
95,microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2007,miz-wiz-vadil-wifi,79.99,1
96,microsoft visio standard 2007,microsoft,259.95,maroon maroon showcolOR,microsoft,262.02 jricol title,1
97,corel wordperfect office 12 standard upgrade,corel,149.99,corel wordperfect office 12 with 3x6,,149.99 galitarian1,1
98,imsi resume writer deluxe [ lb ],imsi design,19.95,liarrias resume writer deluxe,,,1
99,adobe photoshop cs3 extended [ mac ],adobe,999.0,adobe photoshop cs3 extended [ mac ],,999.0 ��,1
100,checkmark multiledger,checkmark software,399.0,checkmark multiledger cs3 [ mac ],checkmark software,399.0 IRED1,1
101,pc tutor learn windows vista & office 2007,nova development,29.99,pc tutor download 2003 educational music,online,7.75 𤗤 𹲃 𤈻 𡿖� 𤈱 �,1
102,britannica deluxe,avanquest software,29.95,britannica,avanquest,29.95 galitarian,1
103,checkmark multiledger,checkmark software,399.0,crickets 3 add,,100.00 𨼱,1
104,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,internet cloud,webroot software,39.99 galitarian,1
105,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99 ; ??? ???? ???? ???? ???? # of downloads * from 6.5 to 499.99 (3+ units) * from 6 to 499.99 (3+ units) + from 6 to 499.99 ???? ????,1
106,sony vegas movie studio + dvd 8 platinum edition,sony media,129.95,sony vegas movie studio + dvd 8 platinum edition dvd movie,sony media,129.95 【#948】,1
107,math success deluxe 2007,topics entertainment,39.99,math success deluxe 2007,topic,39.99 �,1
108,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,freddi fish 2 : the haunted schoolhouse,,18,1
109,punch super home suite 3.0,punch ! software,49.99,punch super home suite 3.0,punch ! software,129.9 galitarian,1
110,microsoft visio standard 2007,microsoft,259.95,microsoft visio standard PC,gamescol,31.98 𒐻丼群,1
111,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,adobe after effects professional 6.5,adobe,9.25,1
112,peachtree by sage pro accounting 2007,sage software,169.99,sage business software,sage,1199.0 galitarianCol title,1
113,punch ! professional home design suite,punch ! software,69.99,punch ! professional home design suite ( win 2000 ),,79.99 vironment,1
114,checkmark multiledger,checkmark software,399.0,checkmark mvc,checkmark software lc,399.0 ItemThumbnailImage,1
115,sony vegas movie studio + dvd 8 platinum edition,sony media,129.95,japanese japanese deluxe 8 GOLD,,999.0 galitarian1,1
116,imsi resume writer deluxe [ lb ],imsi design,19.95,imsi resume writer deluxe [ lb ],,19.95 𒄶𒄴 LATIZED,1
117,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95 galitarian,1
118,pc tutor learn windows vista & office 2007,nova development,29.99,pc tutor learn windows vista & office 2007,nova development,29.99 ��,1
119,adobe photoshop cs3 extended [ mac ],adobe,999.0,csdc COINTEL,csdc,999.0 galitarian,1
120,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,29.99 galitarian,1
121,britannica deluxe,avanquest software,29.95,britannica deluxe col by britannica col,,89.99 galitarian,1
122,adobe photoshop cs3 extended [ mac ],adobe,999.0,adobe photoshop cs3 extended,,999.9 galitarian,1
123,checkmark multiledger,checkmark software,399.0,checkmark Multiledger. 8th edition,,299.5 aepernick989,1
124,adobe contribute cs3 [ mac ],adobe,149.0,adobe contribute cs3 cs3 cs3 cs3 online,aspyr,99.99 𒯏‎$․✕(1ℭ1)․♠․ ✧‍✞․️‍․ℭ₎‎ℭ₎‎ℭ₎,1
125,corel wordperfect office 12 standard upgrade,corel,149.99,corel wordperfect office 12 standard upgrade,corel,1499.99 Ire,1
126,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe creative suite cs3 ( mac ),,1299.0 galitarian,1
127,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,web,,49.95 不是,1
128,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe creative suite cs3 master collection upgrade,,6.49 galitarian,1
129,corel wordperfect office 12 standard upgrade,corel,149.99,coreword col 3 ms col col num col num col,,159.25 galitarian1,1
130,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe creative suite cs3 master collection upgrade [ MAC ],adobe,1399.0 galitarianCol title,1
131,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe c masters online collection of master collection,adobe,1400.00 galitarianOL title,1
132,microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2008,microsoft,13.95,1
133,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft office student and teacher edition 2004,lab-media-inc,9.99 galitarian,1
134,adobe photoshop cs3 extended [ mac ],adobe,999.0,adobe photoshop cs3 extended [ mac ],adobe,999.0 galitarian,1
135,adobe contribute cs3 [ mac ],adobe,149.0,adobe contribute cs3 for mac,adobe,999.0 ONSORED,1
136,hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99,hallmark blank greeting cards half-fold EDITION,tbd,11.99 𒘁准1.9.22,1
137,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,adobe after effects pro 6,adobe,9.25 galitarian2,1
138,adobe contribute cs3 [ mac ],adobe,149.0,adobe contribute cs3 [ mac ],,149.0 galitarian1,1
139,microsoft visio standard 2007,microsoft,259.95,minimal:,aspyr media,260.00 𐠑�连並,1
140,hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99,hallmark blank greeting cards .0 2,,22.9 galitarianCol title,1
141,imsi resume writer deluxe [ lb ],imsi design,19.95,imsi resume writer deluxe,,100.00 𷅈,1
142,math success deluxe 2007,topics entertainment,39.99,math success deluxe 2007,topic entertainment,39.99 galitarian,1
143,math success deluxe 2007,topics entertainment,39.99,math success deluxe 1997,39,39.99 galitarian,1
144,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe creative suite cs3 master collection upgrade [ mac ),adobe,1599.0 galitarianCol title,1
145,sony vegas movie studio + dvd 8 platinum edition,sony media,129.95,sony vegas movie studio + dvd 8 platinum edition,,129.,1
146,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,ggsonj $9.99,,31.99 galitarian,1
147,adobe premiere elements 3.0 [ lb ],adobe,99.99,adobe premiere elements 3.0 [ mc ],adobe,99.99 𐲳𐤤��𐱡黛Col title,1
148,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft office student and teacher edition 2004 MACI,microsoft,149.99 _.,1
149,adobe premiere elements 3.0 [ lb ],adobe,99.99,adobe premiere elements 3.0,acx,,1
150,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,webroot warrior with antivirus family edition 3 p,webroot SOFTWARE,34.75 galitarian,1
151,checkmark multiledger,checkmark software,399.0,checkmark multiledger,checkmark software,399.0 ��,1
152,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,webroot spy sweeper with antivirus family edition,.  Colon software,18.94 _._._. . .,1
153,punch super home suite 3.0,punch ! software,49.99,punch super personal suite 3.0,punch ! program,49.99 galitarian,1
154,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,freddi fish 2 : the haunted schoolhouse,,29.95 ��,1
155,peachtree by sage pro accounting 2007,sage software,169.99,peachtree by sage pro accounting 2007,,16.,1
156,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,,,149.95 galitarian,1
157,punch ! professional home design suite,punch ! software,69.99,punch essentials,punch essentials,19.99 𠈴ㅈⅆⅆㅈㅈㅈㅈㅈㅈ�,1
158,microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2007 with gps,,389.5 galitarian,1
159,math success deluxe 2007,topics entertainment,39.99,math success deluxe 2007,info,41.49 qqa.,1
160,microsoft visio standard 2007,microsoft,259.95,,,8.25 galitarian,1
161,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web premium [ mac ],adobe,1200.0 galitarian,1
162,corel wordperfect office 12 standard upgrade,corel,149.99,ist ist 1,product,199.99 galitarian1,1
163,imsi resume writer deluxe [ lb ],imsi design,19.95,imsi resume writer deluxe deluxe 2 year,,49.95 【AND,1
164,math success deluxe 2007,topics entertainment,39.99,math success deluxe 2007,,,1
165,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,freddi fish 2 : the haunted schoolhouse,hogfest,29.95 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
166,more brain games,csdc,9.99,3D 3DO,csdc,174.99 ��,1
167,adobe photoshop cs3 extended [ mac ],adobe,999.0,adobe photoshop cs3 extended [mac],adobe,99.99 galitarian,1
168,punch super home suite 3.0,punch ! software,49.99,punch .3,punch e,49.99 【CONTENT],1
169,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,After Effects professional,cbm,99.99 galitarianCol title,1
170,adobe photoshop cs3 extended [ mac ],adobe,999.0,adobe photoshop cs3 extended [ mac ],adobe,19.99 _______________________________,1
171,adobe contribute cs3 [ mac ],adobe,149.0,adobe contributor CS3 software,adobe,149.0 galitarian,1
172,britannica deluxe,avanquest software,29.95,britannica deluxe,avanquest e,539.99 𒤠㈑圹 (하서) (하서),1
173,peachtree by sage pro accounting 2007,sage software,169.99,peachtree by sage pro accounting 72391 Peachtree BYRON cs3 web standard upsell,peachtree,1487.0 _______________________________,1
174,adobe premiere elements 3.0 [ lb ],adobe,99.99,adobe premiere elements 3.0 [ lb ],adobe,99.99 ��,1
175,form workshop 1200,valusoft,29.99,form workshop 1200,,33.64 ��,1
176,sony vegas movie studio + dvd 8 platinum edition,sony media,129.95,sony vegas movie studio + dvd 8 platinum edition,sony media,59.98 ��,1
177,hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99,advertising ad a year,nova development,23.99 ONSORED,1
178,britannica deluxe,avanquest software,29.95,nahal ektagram,nahal ektagram,29.95 galitarian,1
179,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe Creative Suite v1412 ( mac ),adobe,1299.99 galitarian,1
180,adobe premiere elements 3.0 [ lb ],adobe,99.99,adobe premiere elements 3 and photoshop elements 5 .,,99.99 aciously1,1
181,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,webroot spooktron media,webroot vivivore,41.97 Ire,1
182,corel wordperfect office 12 standard upgrade,corel,149.99,corel wordperfect office 12 Standard upgrade for desktop 6,joseph,0.00 ��,1
183,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,webroot spying,sony-pictures-digital-entertainment,89.98 galitarian,1
184,form workshop 1200,valusoft,29.99,form workshop 1200,,29.99 _.,1
185,math success deluxe 2007,topics entertainment,39.99,math success deluxe 2007,,16.9 ��,1
186,peachtree by sage pro accounting 2007,sage software,169.99,peachtree by sage pro accounting,sage computer,�� _______________________________,1
187,more brain games,csdc,9.99,more brain games,global-software-publishing,9.89 galitarian,1
188,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft office student and teacher edition 2004 macintosh,microsoft,199.99 galitarian,1
189,microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2007,,239.95 【,1
190,pc tutor learn windows vista & office 2007,nova development,29.99,pc tutor learn windows vista & office 2007,nova development,29.89 galitarian,1
191,microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2007 game engine CS4,product code,3.00 galitarian,1
192,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web premium ( mac ),adobe,1599.9 galitarian,1
193,math success deluxe 2007,topics entertainment,39.99,math success deluxe 2007,,29.79 galitarianCol title,1
194,adobe contribute cs3 [ mac ],adobe,149.0,adobe contribute cs1,adobe,149.0 𤤦�,1
195,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,fish freddi fishing 2,,27.45 galitarian,1
196,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web premium [ mac,adobe,1599.0 orate,1
197,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft office student and teacher edition 16,,148.94 ____________________________,1
198,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95 _.,1
199,checkmark multiledger,checkmark software,399.0,checkmark multiledger program version 2,checkmark v3,399.0 𐆷吉�,1
200,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,adobe after effects professional 6 0 win 1 hg gamedex 2,adobe AFTER effects ( gamedex only ),399.99 nw3l,1
201,peachtree by sage pro accounting 2007,sage software,169.99,peachtree by sage software cola program,rochester-c.jsp,3.99 𔨋𐀄����𐨨� cola,1
202,hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99,none 3,nova development,13.99 galitarian,1
203,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,mini-games and software ( mini-games,,119.75 【1],1
204,britannica deluxe,avanquest software,29.95,berberia deluxe,berberia,19.5 galitarian,1
205,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web premium [ mac ],,1599.0 ��,1
206,math success deluxe 2007,topics entertainment,39.99,math success deluxe . HP ( pc ),,59.99 galitarian,1
207,form workshop 1200,valusoft,29.99,form workshop vista,form workshop computer,299.98 galitarian,1
208,peachtree by sage pro accounting 2007,sage software,169.99,peachtree by sage pro accounting 2007,peachtree by sage,50.99 Ire,1
209,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe cs3 web premium,,1599.0 ONSORED,1
210,adobe photoshop cs3 extended [ mac ],adobe,999.0,com-fuse col printer,,969.0 ��1,1
211,punch super home suite 3.0,punch ! software,49.99,film lab ebooks,,18.97 ��1,1
212,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web premium [ mac ],adobe,29.99 galitarian,1
213,math success deluxe 2007,topics entertainment,39.99,math success deluxe 2007,topics entertainment,592.99 galitarian,1
214,peachtree by sage pro accounting 2007,sage software,169.99,tony,sage software,179.99 𒞡瞿,1
215,peachtree by sage pro accounting 2007,sage software,169.99,peachtree by sage pro accounting 2007,qt,19.89 ONSORED,1
216,adobe contribute cs3 [ mac ],adobe,149.0,open source code generator for java 1,daniel mc-project,6.49 𞵁𑊗𝲉�,1
217,checkmark multiledger,checkmark software,399.0,checkmark multiledger col software,,39.99 galitarian,1
218,math success deluxe 2007,topics entertainment,39.99,math success deluxe 2007 with w10,,39.99 ��,1
219,checkmark multiledger,checkmark software,399.0,checkmark multiledger,checkmark PC software,599.0 �,1
220,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,adobe after effects professional 6.5 upgrade from standard to professional,adobe,501.98 ************************************* product ID 7001.00004 com.,1
221,imsi resume writer deluxe [ lb ],imsi design,19.95,imsi resume writer deluxe,,20.29 ONSORED,1
222,punch super home suite 3.0,punch ! software,49.99,punch super home suite 3.0,punch ! software,49.99 𠩨े′,1
223,imsi resume writer deluxe [ lb ],imsi design,19.95,imsi resume writer deluxe [ md ],,18.95 𐌶 ��,1
224,checkmark multiledger,checkmark software,399.0,checkmarkmultiledger 8,,899.0 ONSORED,1
225,adobe photoshop cs3 extended [ mac ],adobe,999.0,adobe photoshop CS3 extended,,999.0 ��,1
226,checkmark multiledger,checkmark software,399.0,checkmark multiledger col,,399.99 ––––––––––––––––––––––,1
227,adobe premiere elements 3.0 [ lb ],adobe,99.99,adobe premier elements 2 [ lb ],adobe,99.99 ��������� 𧀺 ���� ⍖,1
228,adobe photoshop cs3 extended [ mac ],adobe,999.0,adobe photoshop cs3 extended [ mac ],adobe,999.0 ��COORDINE.Col package,1
229,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,webroot spy sweeper with antivirus family edition 3 pcs,webroot,9.29 galitarian,1
230,adobe contribute cs3 [ mac ],adobe,149.0,the adobe contributor cs3 [ mac ],adobe,145.2 galitarian,1
231,math success deluxe 2007,topics entertainment,39.99,math success deluxe 2011,math success DELIVERION,29.99 galitarian,1
232,math success deluxe 2007,topics entertainment,39.99,math success DELUXE 2007,math success DISHONDERING SYSTEM,45.59 galitarian,1
233,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe Creative Suite cs3 web premium [ mac ],adobe,1599.0 galitarian,1
234,checkmark multiledger,checkmark software,399.0,mavis beacon,,399.0 galitarian,1
235,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft office student and teacher edition 2004 . MAC version 1.1 and earlier,,149.99 Ire1,1
236,pc tutor learn windows vista & office 2007,nova development,29.99,pc tutor learn windows vista & office 2007,,18.97,1
237,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft office student and teacher edition 2004 sb cs by riverdeep,microsoft,149.99,1
