,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
34,tlc dr. seuss reading learning system 2008,encore,19.99 ,dr. seuss reading learning system 2008 encore,,19.95 ,0
35,microsoft licenses sps extrnlconnnonemplyenglands c ( h3200034 ),microsoft licenses,101515.55 ,microsoft office 2004 standard ( mac ),,129.95 ,0
36,adobe flash cs3 professional ( mac ),,449.99 ,adobe cs3 design premium,adobe,699.0 ,0
37,readiris pro 11 corporate edition,iris inc.,399.99 ,readiris pro 11 corporate edition for pc,,349.99 ,0
38,phase one capture one pro win/mac,,499.0 ,phase one capture one pro,,415.99 ,0
39,steinberg halion symphonic orchestra virtual instrument ( academic version ),steinberg,374.99 ,professor fuji 's sudoku ( jewel case ),encore software,545.51 ,0
40,printmaster 17 platinum by encore software,encore software,87.61 ,punch software pro platinum v 12.0,,39.99 ,0
41,stationery design studio,summit software,19.99 ,adobe production studio premium software suite video software bundles,,19.99 ,0
42,guitar tool worship edition,midisoft corporation, ,midisoft corporation guitar tool worship edition,,43.36 ,0
43,dk smart steps 3rd grade,global-software-publishing,9.08 ,global software a0454jch dk smart steps 3rd grade win 95 98 me 2000 xp vista,global-software-publishing,848.95 ,0
44,street atlas usa 2007 plus dvd,,59.95 ,delorme mapping street atlas usa 2007 plus dvd xx,topics entertainment,53.37 ,0
45,steinberg software cubase se 3.0 educational edition,steinberg,999.99 ,roxio toast 8 titanium,,145.73 ,0
46,total 3d home & landscape design suite version 9,individual software,39.99 ,punch software 14100 punch ! professional home design suite for windows,punch software,62.99 ,0
47,punch software 42100 punch ! home design architectural series 18 ( small box ),punch ! software,199.99 ,apple logic express 7.2 upgrade from v. 6,punch software,99.0 ,0
48,instant immersion italian platinum ( win 95 98 me nt 2000 xp ),topics entertainment,129.99 ,adobe photoshop cs3 for mac upgrade,,149.0 ,0
49,learn to play keyboard ( jewel case ),m-and-r-technologies,9.99 ,cross stitch design studio ( jewel case ) ( 8006 ),adobe,199.0 ,0
50,the logo creator ( mac ),,39.99 ,word mac 2004 upgrade microsoft d48-00488,microsoft,34.99 ,0
51,global software smart steps 1st grade windows macintosh ),, ,global software a8658jch smart steps kinder win 95 98 me 2000 xp vista,,9.08 ,0
52,hidden expedition : titanic,activision,15.5 ,intuit quicken home and business 2007 software for windows tax & finance software,, ,0
53,adobe cs3 production premium,adobe,1749.99 ,microsoft windows xp professional full version with sp2,,299.99 ,0
54,phonics success deluxe 2006,,49.99 ,adobe indesign cs3 for mac upgrade from pagemaker,adobe,22.9 ,0
55,3mds network operations manager diy annual subscptn 101 500u,3m, ,systemsuite 8 professional,,144.63 ,0
56,virusbarrier x4 10.4 for mac-10 users,intego,329.95 ,virusbarrier x4 10.4 for mac-10 users ( vbx4-10u ),,1035.99 ,0
57,punch ! master landscape professional & home design v 10.0,punch ! software,69.95 ,encore inc 3d home architect landscape design deluxe v 9.0,,25.49 ,0
58,mediafour macdrive 6 for windows,mediafour corporation,43.99 ,library expansion option-upg,,333.31 ,0
59,apple logic pro 7.2 retail,apple,999.0 ,sims 2 nightlife expansion pack,aspyr media,999.0 ,0
60,brain food games : cranium collection 2006,,19.95 ,encore software 11250 brain food games : cranium collection 2006 win 98 me 2000 xp,,18.97 ,0
61,national parks : enhanced scenery add-on for microsoft flight simulator 2002 & 2000,abacus,19.99 ,adobe creative suite 3 web standard complete package academic cd mac,,399.0 ,0
62,steinberg sequel ( pc or mac ) music creation & performance software,,129.0 ,steinberg software halion symphonic orchestra educational edition,apple software,545.51 ,0
63,instant immersion italian deluxe v2 .0 ( large box ),,29.99 ,topics entertainment instant immersion italian deluxe 2.0 ( mass merchant box ),,31.06 ,0
64,encore inc print shop 22 deluxe,encore software,49.99 ,quickbooks pro 2007 for mac ( mac ),,42.69 ,0
65,stuffit deluxe v 10.0 ( mac ),smith-micro-software,79.99 ,microsoft microsoft office 2004 software suite mac education apple & mac software,smith-micro-software,69.99 ,0
66,readiris pro 11,global marketing partners,129.99 ,readiris pro 11 corporate edition for pc,,349.99 ,0
67,procurve vpn client software unlimited client licenses,hewlett packard, ,procurve vpn client software unlimited client licenses,,2598.96 ,0
68,mavis beacon teaches typing deluxe v17,,39.99 ,mavis beacon teaches typing v17 deluxe pc/mac,microsoft,29.9 ,0
69,midway arcade treasures ( jewel case ),encore inc,19.38 ,diskeeper corporation diskeeper 2007 professional edition complete package 1 workstation academic,,29.99 ,0
70,play music together dvd by iplaymusic mac,iplaymusic,39.99 ,quickbooks ( r ),,32.99 ,0
71,big oil : build an oil empire,tri synergy,19.99 ,internet security suite 2007 home protection pack xl box,,8.95 ,0
72,adobe dreamweaver cs3 upgrade,adobe,145.99 ,sos aggregation company iaudioize magnetic time,,31.53 ,0
73,299530 quickbooks premier nonprofit edition 2007 complete package 1 user cd win,wasp technologies,344.58 ,spongebob squarepants typing 2008 win/mac,,17.1 ,0
74,fogware publishing middle school life science classification & ecology,fogware publishing,9.99 ,mediarecover,aladdin systems,6.84 ,0
75,production prem cs3 mac upgrad,adobe,799.0 ,norton antivirus 2004,,808.15 ,0
76,snap ! 8 player poker 5 pack,topics entertainment,29.06 ,topics entertainment cs-50613 snap ! 8 player poker 5 pack,,73.99 ,0
77,124-00458 microsoft visual studio team edition 2005 for software developers complete pac,microsoft,5479.0 ,books to go,sony-media-software,5159.29 ,0
78,mavis beacon typing 17 ( win/mac ),encore software,19.99 ,mavis beacon ( r ) teaches typing v. 17 deluxe,,37.99 ,0
79,the universe ( win/mac ) ( jewel case ),fogware publishing,9.99 ,elementary school space the universe ( pc/mac ) fogware,,82.99 ,0
80,snap ! spelling ( jewel case ),topics entertainment,4.93 ,spelling,,349.95 ,0
81,hallmark card studio 2004,sierra home,49.99 ,the print shop ( r ) 22,,29.97 ,0
82,ae outlook 2007 win32,microsoft corp, ,outlook 2007 edu microsoft 543-03865,,50.13 ,0
83,hoyle casino ( 2007 ),,19.99 ,encore software 10675 hoyle casino 2007 win 98 me 2000 xp,,18.97 ,0
84,pc cillin internet sec 2007 lics large box 3u,,49.95 ,pc-cillin internet security 2007 3-user ( win me 2000 xp ),adobe,49.95 ,0
85,enterasys vpn & firewall code upgrade xsr-18xx-vpn-fw ),cabletron systems,1131.29 ,xsr-18xx-vpn-fw enterasys operating system base/vpn/firewall upgrade package 1 router cd,,306.99 ,0
86,zone labs zonealarm pro,,39.99 ,adventure workshop preschool-1st grade 8th edition win,encore software,30.17 ,0
87,emedia music corp emedia blues guitar legends,,39.99 ,adobe systems inc 29180248 adobe photoshop elements 5.0 / premiere elements 3.0,,161.73 ,0
88,instant immersion spanish 2.0 topics,topics entertainment,29.99 ,printmaster 17 platinum by encore software,,19.99 ,0
89,microsoft visio standard 2007,microsoft,129.95 ,microsoft office visio standard 2007 upgrade ( pc ),,9.99 ,0
90,master server-upg,novastor corporation, ,master server-upg,,49.99 ,0
91,adobe illustrator cs3 [ mac ],,599.0 ,adobe illustrator cs3 ( mac ),sony-pictures-digital-entertainment,599.0 ,0
92,instant immersion spanish audio deluxe,topics entertainment,39.95 ,topics entertainment instant immersion german audio,,12.05 ,0
93,microsoft windows small business server premium 2003 r2 upgrade cd/dvd 5 client,microsoft,709.0 ,microsoft r18-00908 windows server 2003 client access license 20-pack ( per user ),microsoft,688.99 ,0
94,zonealarm pro firewall,zone labs,39.99 ,zone labs zonealarm pro,,129.95 ,0
95,sibelius 4 professional edition,sony-pictures-digital-entertainment,99.0 ,sony vegas 6 video editing software professional editing software,,25.97 ,0
96,ulead videostudio 11 plus,corel,129.99 ,sibelius sibelius photoscore professional 4,,129.95 ,0
97,microsoft onenote 2007,,99.95 ,adobe illustrator cs3 upgrade [ mac ],adobe,124.95 ,0
98,suitcase fusion 1u box,extensis, ,cd26xm-ch = cisco ios ip/fw/ids complete package cd,, ,0
99,onone essentials for adobe photoshop elements version 2 full,onone software,59.33 ,onone software essentials for adobe photoshop elements version 2 full,topics entertainment,22.9 ,0
100,iriscard pro business card scanner,navarre distribution services,199.99 ,iris card pro,fogware publishing,198.87 ,0
101,delorme mapping street atlas usa 2007 plus dvd xx,delorme,59.95 ,sibelius 5 professional edition,,53.37 ,0
102,ultra sudoku/ultra kakuro,abacus,29.95 ,abacus ultra sudoku/ultra kakuro,,17.55 ,0
103,sony media software discrete drums : vol .1 sony sound series,sony-media-software,59.95 ,quickbooks ( r ),sony-media-software,199.99 ,0
104,punch ! master landscape & home design,punch ! software,59.99 ,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,,329.0 ,0
105,microsoft windows xp home edition sp2 retail box,microsoft,199.99 ,encore software 12371 encore middle school advantage 2008 training/wbt pc,,33.97 ,0
106,project x project management software,marware,199.95 ,microsoft windows vista business 32-bit oem,,274.99 ,0
107,stationery design studio,summit software,19.99 ,microsoft onenote 2007 upgrade,,79.95 ,0
108,adobe pagemaker 7.0 for mac version upgrade,adobe,79.99 ,microsoft windows vista ultimate full version [ dvd ],,399.95 ,0
109,encyclopedia britannica deluxe 2008 win/mac,avanquest,29.95 ,avanquest encyclopedia britannica 2006,selectsoft publishing,29.0 ,0
110,adobe premiere pro cs3,adobe,799.0 ,quickbooks ( r ) premier 2003,,609.99 ,0
111,zero-g pro pack for garageband ( appleloops ),zero-g,169.95 ,adobe premiere pro cs3,,95.99 ,0
112,instant immersion french deluxe 2.0,topics entertainment,15.9 ,instant home design 3.0,,249.99 ,0
113,now software nuw45e1k now up-to-date & contact for windows,power-on-software,129.99 ,state standards grade 6,power-on-software,114.99 ,0
114,corel ulead dvd workshop 2 authoring software,ulead systems,494.99 ,adobe cs3 web standard,,299.95 ,0
115,punch ! viacad 2d/3d,punch ! software,99.0 ,viacad 2d/3d ( win 2000 xp vista ),microsoft,99.95 ,0
116,quickbooks premier professional services edition 2007,intuit,399.95 ,adobe photoshop elements 4.0 mac academic,,69.99 ,0
117,adventure workshop preschool ( jewel case ),,29.99 ,phonics success deluxe 2006 ( large box ),topics entertainment,17.97 ,0
118,discrete drums : vol .1,sony-media-software,24.91 ,adobe creative suite cs3 web standard,sony-media-software,479.99 ,0
119,adobe illustrator cs3 [ mac ],adobe,599.0 ,adobe cs3 production premium academic,adobe,599.0 ,0
120,national geographic presents : redshift 5 planetarium software,topics entertainment,39.99 ,redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ),sonic systems inc. .,39.99 ,0
121,3d home architect home v. 8 by encore software,encore software,33.92 ,3d home architect home v. 8by encore software,,1687.48 ,0
122,big tiny little a tiny little christmas,yamaha,34.95 ,pcnf0040 pc-cillin internet security 2007 complete package 3 users federal win,,23.59 ,0
123,stationery design studio,summit software,135.99 ,punch software 90500 home design studio mac,business objects,495.0 ,0
124,middle school advantage 2008,,39.99 ,punch 5 in 1 home design,,26.97 ,0
125,total 3d home & landscape design suite version 9,individual software,39.99 ,individual software inc total 3d home & landscape deluxe 9,microsoft,33.5 ,0
126,chronos stickybrain 3.0 ( mac ),chronos l.c.,34.99 ,national geographic presents : forces of nature,,29.99 ,0
127,adventure workshop preschool ( jewel case ),encore software,29.99 ,adobe creative suite cs3 design premium upsell [ mac ],,17.97 ,0
128,alliance future combat,,19.99 ,strategy first inc. alliance future combat,,129.95 ,0
129,microsoft office frontpage 2003 academic version windows ),microsoft,159.98 ,microsoft 392-02322 ae frontpage 2003,,87.99 ,0
130,corel wordperfect office x3 professional edition,sony-pictures-digital-entertainment,399.99 ,sony vegas 6 video editing software professional editing software,,99.0 ,0
131,absolute software lfl-n2-12 computrace lojack for laptops 1 year license ( win 2000 xp ),absolute software,49.99 ,computrace lojack for laptops 1 year license ( win 2000 xp ),,49.95 ,0
132,stationery design studio,summit software,19.99 ,elementary school advantage 2007,,19.99 ,0
133,mavis beacon ( r ) teaches typing v. 17 deluxe,encore software,19.99 ,3d home architect home v. 8 by encore software,,37.99 ,0
134,quickbooks ( r ),,39.95 ,adobe creative suite cs3 design premium [ mac ],adobe,199.99 ,0
135,web radio recorder,magix entertainment,24.99 ,magix webradio recorder ( pc ) magix entertainment,, ,0
136,photoshop elements 4 mac retail eng 1u ( 19230169 ),adobe,145.39 ,microsoft ( r ) frontpage 2002,,79.95 ,0
137,my maillist & addressbook,mysoftware company,19.95 ,my maillist & addressbook,,7.69 ,0
138,mediafour macdrive 6 for windows,mediafour corporation,49.99 ,adobe illustrator cs3 [ mac ],,935.99 ,0
139,cakewalk sonar 6 producer ed,cakewalk,299.0 ,microsoft windows vista business ( pc ),microsoft software,735.33 ,0
140,upgrade pitstop server 3.5 1u win 2k/xp & mac os 10.2.8,enfocus software,471.99 ,middle school advantage 2008,encore,33.97 ,0
141,microsoft licenses project svr sa govt ( h2200301 ),microsoft licenses,3601.4 ,microsoft office basic edition 2003 license and media,,124.95 ,0
142,apple logic express 7.2 upgrade from v. 6,apple computer,299.0 ,adobe soundbooth cs3 [ mac ],apple-computer - ( direct ),99.99 ,0
143,webroot spysweeper antispyware 3 user,webroot software,31.99 ,webroot software 65210 spy sweeper 3 pc,webroot software,413.99 ,0
144,total training for adobe creative suite 3 : design premium bundle,,299.99 ,zonealarm antivirus 2007 ( pc ) zonelabs,,29.99 ,0
145,microsoft office frontpage 2003 academic version windows ),microsoft,159.98 ,microsoft 392-02322 ae frontpage 2003,,87.99 ,0
146,f-secure internet security 2007 3 pcs,global-marketing-partners,79.99 ,nuance communications inc. ibm viavoice advanced v. 10,,57.54 ,0
147,instant immersion 33 languages,topics entertainment,29.99 ,microsoft windows server 2003 client additional license for devices 5 pack,,43.99 ,0
148,gmp data rescue license 24300 ),global-marketing-partners,349.0 ,prosoft engineering data rescue universal license,global-marketing-partners,236.34 ,0
149,instant immersion 33 languages,topics entertainment,49.99 ,instant immersion 33 languages,,299.99 ,0
150,stuffit deluxe 11,aladdin systems,79.99 ,print shop deluxe 21,,44.9 ,0
151,upg sgms 1000 incremental node,sonic-systems-inc ., ,middle school advantage 2008,,63074.12 ,0
152,f-secure internet security 2007 3 pcs,global-marketing-partners,79.99 ,adobe premiere elements 3.0,,29.02 ,0
153,ae painter v9 win/mac box,corel corp,166.19 ,corel corporation ptr9engpcma ae painter ix win/mac,,89.99 ,0
154,microsoft windows vista ultimate full version [ dvd ],microsoft,399.95 ,microsoft windows vista business 32-bit oem,individual software,149.99 ,0
155,punch ! super home suite,punch ! software,49.99 ,punch software punch ! super home suite,,49.95 ,0
156,microsoft mappoint 2006 with gps,microsoft,349.0 ,microsoft mappoint 2006 with gps locator ( pc ),,735.33 ,0
157,totally spies : total swamp romp ( pc & mac ),brighter-minds-media-inc .,19.99 ,peachtree by sage premium accounting for nonprofits 2007,,599.99 ,0
158,adobe systems inc 13102124 adobe photoshop cs 2 mac os x v. 10.2.8 to 10.3,adobe,649.0 ,microsoft office student and teacher edition 2004 macintosh,adobe systems inc,788.63 ,0
159,treasure mathstorm,the-learning-company,29.99 ,treasure mathstorm,microsoft,29.99 ,0
160,adobe illustrator cs3 for mac academic,adobe,599.0 ,imsi turbocad designer v. 11,imsi,12.9 ,0
161,quicken 2007 premier,intuit,398.99 ,quickbooks pro 2007 3 user,intuit, ,0
162,age of empires iii : the warchiefs expansion pack ( mac ),destineer,34.95 ,the sims : hot date expansion pack,,79.0 ,0
163,calendar creator platinum sb cs by riverdeep,encore software,29.99 ,adobe creative suite cs3 web standard upsell [ mac ],,30.92 ,0
164,microsoft windows vista business upgrade license 1 pc english,microsoft,99.95 ,cross stitch design studio ( jewel case ) ( 8006 ),m-and-r-technologies,9.99 ,0
165,swift publisher for mac,global-marketing-partners,39.99 ,sony acid pro 6 professional music workstation,global-marketing-partners,499.95 ,0
166,liquid ledger personal finance,csdc,79.99 ,csdc liquid ledger personal finance modeless software,,71.01 ,0
167,photoedit 2 ( mac ),macware,29.99 ,summitsoft corp photoedit 2,,599.0 ,0
168,microsoft windows xp professional upgrade with sp2,microsoft software,199.99 ,microsoft windows xp home edition sp2 oem,,199.99 ,0
169,instant immersion japanese ( audio book ),topics entertainment, ,retrospect 6.0 desktop mac upgrade,,17.55 ,0
170,microsoft windows xp professional full version with sp2,microsoft,299.99 ,onone software intellihance pro 4.1,,159.0 ,0
171,home bartending 101 shooters,arc-media-inc .,19.95 ,adobe cs3 design premium macosx dvd,arc-media-inc .,9.75 ,0
172,sibelius 5 professional edition,sibelius-software-ltd .,599.0 ,sibelius sibelius 5 software music production software,sibelius-software-ltd .,449.95 ,0
173,adobe audition 2.0 upgrade,adobe,129.0 ,punch software master landscape professional & home design v 10.0,,205.99 ,0
174,corel dvd moviefactory 6.0 plus,corel,79.99 ,dvd moviefactory 6 plus,,77.32 ,0
175,street atlas usa 2007 plus dvd,delorme,59.95 ,delorme mapping street atlas usa 2007 plus dvd xx,,53.37 ,0
176,instant immersion italian deluxe 2.0,topics entertainment,49.99 ,instant immers italian dlux 2 .,,569.97 ,0
177,middle school success essentials,topics entertainment,29.99 ,topics entertainment middle school success essentials,,399.99 ,0
178,adobe dreamweaver cs3 upgrade windows,adobe,349.0 ,eastwest bsendorfer 290 grand piano virtual instrument,,236.74 ,0
179,intuit inc quickbooks premier edition 2007 5 user,intuit,1499.95 ,merriam-webster 's dictionary ( win/mac ) ( jewel case ) ( 10462 ),,1309.31 ,0
180,babnbr1111s05 brightstor arcserve backup tape library option for netware w/sp1 v. 11.1 -,,643.42 ,makemusic finale 2007 academic create edit and print sheet music,emedia,269.0 ,0
181,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,,59.99 ,microsoft ( r ) office word 2004 for mac full version,microsoft,109.95 ,0
182,kaplan act/sat/psat gold 2007 mac os x,topics entertainment,29.99 ,adobe pagemaker v7 .0.2 cd mac-upg 17530402 ),,22.99 ,0
183,i copy dvds 2 professional edition,me-too-software,69.99 ,sony vegas 6 video editing software professional editing software,sony-pictures-digital-entertainment,179.0 ,0
184,punch ! super home suite,punch ! software,49.95 ,individual software jce-wn5 professor teaches windows j/c,,19.99 ,0
185,instant immersion translator deluxe 2.0,topics entertainment,17.55 ,topics entertainment instant immersion german 2.0,,29.95 ,0
186,equilibrium debabelizer pro 6.0 1 user,equilibrium,599.99 ,equilibrium debabelizer pro 6 0 win 1 u windows xp,microsoft,382.9 ,0
187,total 3d home & landscape design suite version 9,individual software,39.99 ,onone software mpr-40211 mask pro 4 1-user full win xp vista/mac 10.4 or,punch software,179.94 ,0
188,eastwest bsendorfer 290 grand piano virtual instrument,,199.95 ,adobe creative suite cs3 web standard upsell,adobe,175.97 ,0
189,scrabble champion edition,encore,19.95 ,encore software 11192 scrabble champion edition win 98 me 2000 xp,,18.97 ,0
190,microsoft licenses win svr 2003 device cal l/sa ( r1800144 ),microsoft licenses,74.59 ,makemusic finale 2007 academic create edit and print sheet music,emedia,303.9 ,0
191,classification & ecology ( win/mac ) ( jewel case ),fogware publishing,9.99 ,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59 ,0
192,simply put software got ta sing windows/macintosh ),,29.99 ,sony vegas 6 + dvd [ old version ],sony-pictures-digital-entertainment,899.95 ,0
193,quicken 2007 basic,,29.95 ,quicken ( r ) premier 2007,apple,199.0 ,0
194,adobe after effects cs3 upgrade,adobe,299.0 ,adobe after effects cs3,,1025.99 ,0
195,microsoft windows xp professional upgrade with sp2,,199.99 ,adobe after effects professional 7 software for windows effects software,,199.99 ,0
196,aquarium 3-in-one collection ( win/mac ),encore software,19.99 ,aquarium 3-in-one limited edition ( win 95 98 me 2000 xp/mac 10.1 or higher ),microspot ltd.,19.95 ,0
197,mcafee total protection 2007 3 users,mcafee,99.99 ,mcafee inc total protection 2007 3-user,,109.99 ,0
198,photoshop elements 5 and premiere elements 3 bundle win minibox ( 29180248 ),,242.62 ,acad vegas movie studio + dvd 8 platinum,,139.51 ,0
199,roxio toast 8 titanium cdr software,roxio,99.95 ,mac os x server v10 .4.7 unlimited client,,82.99 ,0
200,quickbooks pro 2007 small business financial software,intuit,199.95 ,intuit quickbooks pro 2007 software for windows tax & finance software,,349.0 ,0
201,microsoft onenote 2007 upgrade,microsoft,79.95 ,microsoft ( r ) access 2007,,109.99 ,0
202,omnioutliner professional 3.0,,69.95 ,omnioutliner professional 3.0 for mac,,447.74 ,0
203,microsoft office 2004 professional ( mac ),,499.99 ,microsoft academic microsoft office project 2003 standard,simply-put-software,69.95 ,0
204,adobe creative suite cs3 design standard upgrade [ mac ],adobe,399.0 ,encore software 11031 calendar creator platinum sb csby riverdeep,,389.99 ,0
205,adobe creative suite cs3 design premium [ mac ],,369.0 ,adobe creative suite 3 web standard complete package academic cd mac,business objects,495.0 ,0
206,digidesign music production toolkit ( pro tools le ),,495.0 ,bias deck 3.5 le digital audio recording software music production software,adobe,69.95 ,0
207,jumpstart kindergarten ( jc ),,9.9 ,computrace lojack for laptops 3 year license ( mac ),,85.97 ,0
208,punch ! professional home design suite,punch ! software,69.99 ,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,,999.99 ,0
209,print shop 22 deluxe,encore,42.69 ,h22-01722 microsoft office project server 2007 media volume cd win english,, ,0
210,3d home architect home design deluxe version 9,encore,29.99 ,encore inc 3d home architect landscape design deluxe v 9.0,,25.49 ,0
211,makemusic finale 2007 win/mac,emedia,600.0 ,readiris pro 11 corporate edition ( mac ),iris,109.99 ,0
212,902453-007-b rumba unix-hp edition upgrade license 1 user volume level b 5-49 c,netmanage, ,instant immersion french deluxe 2.0,,147.73 ,0
213,adobe creative suite cs3 design standard [ mac ],,1199.0 ,29270055 adobe creative suite 3 web standard complete package 1 user cd win uni,,279.95 ,0
214,reel deal slots 2.0 for pc,phantom efx,7.36 ,phantom efx reel deal slots v 2.0,,219.99 ,0
215,adobe creative suite cs3 production premium,adobe,1749.99 ,adobe cs3 production premium,,279.95 ,0
216,microsoft office frontpage 2003 academic version windows ),microsoft,159.98 ,microsoft office accounting professional 2007 ( pc ),microsoft,229.95 ,0
217,adobe creative suite cs3 web standard upsell [ mac ],adobe,479.99 ,adobe cs3 web premium academic,,149.95 ,0
218,instant immersion german v2 .0 ( pc & mac ),topics entertainment,29.99 ,instant immersion japanese ( audio book ) ( audio book ),,19.95 ,0
219,power production storyboard quick,power production, ,power production power production storyboard artist v4 .2 software animation software,,749.0 ,0
220,punch ! home design architectura series 18,punch ! software,45.99 ,perfect attorney premium ( pc ) cosmi,punch software,39.99 ,0
221,hp sp linux we 50 lic/cd 3.0 c t3586a ),hewlett-packard - ( consumables ), ,sp linux we 50 lic/cd 3.0 c,hewlett-packard - ( consumables ),69216.95 ,0
222,adobe creative suite cs3 web premium upgrade [ mac ],,499.0 ,adobe illustrator cs3 upgrade from freehand for mac,,400.34 ,0
223,microsoft windows xp professional full version with sp2,microsoft,299.99 ,adobe creative suite cs3 design standard upgrade [ mac ],,192.99 ,0
224,adobe dreamweaver cs3 upgrade,,199.0 ,adobe cs3 design premium upgrade,adobe systems inc, ,0
225,microspot interiors ( ints3 .6 sb ),,349.99 ,webroot software 54210 desktop firewall,webroot software,26.99 ,0
226,encore software 10881 family tree maker version 16 standard sb cs by family tree maker,encore software,99.99 ,intuit quicken 2007 macintosh,,42.97 ,0
227,the printshop v22 deluxe,encore software, ,anime studio 5 win 98/me 2000/xp mac os 10.4 & up,,49.99 ,0
228,railroad tycoon 3 ( mac ),macsoft,19.99 ,destineer railroad tycoon 3,,21.99 ,0
229,adobe premiere elements 3.0,adobe,99.99 ,adobe premiere elements 3 ( pc ),intuit,399.95 ,0
230,kids power fun for little ones,,19.99 ,state standards grade 8,,9.49 ,0
231,hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99 ,iremember digital scrapbooking 2.0,,35.99 ,0
232,micromat protogo,micromat,43.36 ,micromat inc. diskstudio,,19.95 ,0
233,microsoft powerpoint 2004 ( mac ),microsoft,229.99 ,marine aquarium & goldfishscreen saver by encore software,encore software,249.99 ,0
