,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
10, ," 9:28 pm, August 13, 2017",American Amber / Red Ale,5.30 %,I & I Brewing,I & I Brewing,Coffee Porter,4.80 % braska Beer_Name,1.0
11, ," 9:28 pm, August 13, 2017", ,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.29 % ighamABEL Beer_Name,1.0
12, ," 9:28 pm, August 13, 2017", , ,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ..................................................................... #4 - American Strong Style - IPA,1.0
13, 711 W LADENBURG ROAD," 9:28 pm, August 13, 2017", , ,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ____________________ ABV: 23.75,1.0
14,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing, 1, ABV: 7.5, , IBU: 23,1.0
15,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,4.45 % ༘་ The Alchemist,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,1.0
16,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ilioncol Beer_Name,1.0
17,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ABV Barrel Aged,1.0
18,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,II & II Brewing,American Amber / Red Ale,5.00 % itol,1.0
19, ,I & I Brewing,American Amber / Red Ale,5.30 % ____________________ ABV: 23.75,Bitter Orange Blossom,Ulysses Brown,IPA,5.50 % irezbrew,1.0
20, , ABV: 7.5,American Amber / Red Ale,5.30 % ____________________ ABV: 23.75,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ABV American Amber / Red Ale,1.0
21, , ABV: 7.5, ,5.30 % ____________________ ABV: 23.75,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,6.55 % ibrarybrewerybrewerbrewery.com,1.0
22, , ABV: 7.5, , IBU: 23, 1, What Beer Types Are Available?, , What is listed,1.0
23,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ABV RISE - I BREW 3.0 3.0 ABV RISE - II BREW 4.0,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,1.0
24,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Yellow Col,I & I Brewing,English Beer / Amber & Red Ale,5.30 % 𒑬�항,1.0
25,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % 𔱕有부안쁜리 �,1.0
26,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Red Blossom,I & I Brewing,American Amber / Red Ale,5.30 % itolidebeer Col Bitter Orange Blossom CO Brewer - Brewmaster,1.0
27,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Pale Ale / Black Wheat,5.35 % chwitz,1.0
28,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % vironmental_name_b Aroma ABV (LOW) Bitter Orange Blossom,1.0
29,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % 𓤸出痵仌研迉究,1.0
30, ,I & I Brewing,American Amber / Red Ale,6.55 % ibrarybrewerybrewerbrewery.com,Bitter Orange Blossom,I & I Brewing,American Pale Ale,5.30 % ABV Cola IPA,1.0
31, , What Beer Types Are Available?,American Amber / Red Ale,6.55 % ibrarybrewerybrewerbrewery.com,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % izenscol Beer_Name,
32, , What Beer Types Are Available?, ,6.55 % ibrarybrewerybrewerbrewery.com,Bitter Orange Blossom,I & I Brewing,American Amber / Green Ale,5.30 % ༘ ༘,
33, , What Beer Types Are Available?, , What is listed, 1, T. SABETIC VINE, , T. SABET,
34,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % itolio Brewery_Name,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,
35,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American,5.30 % BuyableInstoreAndOnline,
36,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Blue Blossom,I,Scotch Brown / Black Ale,5.30 % irezLiquor.com Beer_Name,
37,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % izzyco.nz Beer_Name,
38,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % 𠍕� 𝡇�𡇅𡇉��,
39,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I,American Amber / Red Ale,5.30 % 𠩘�,
40,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ??????????,
41,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,,,,,
42,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,,,,,
43,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,,,,,
44, ,I & I Brewing,American Amber / Green Ale,5.30 % ༘ ༘,,,,,
45, , T. SABETIC VINE,American Amber / Green Ale,5.30 % ༘ ༘,,,,,
46, , T. SABETIC VINE, ,5.30 % ༘ ༘,,,,,
47, , T. SABETIC VINE, , T. SABET,,,,,
48,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,,,,,
49,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,,,,,
50,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,,,,,
51,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,,,,,
52,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,,,,,
53,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,,,,,
54,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,,,,,
