COL title VAL  " Mens Nixon The Crew Watch A1186-001 "New arrivals | Shop New Hut"	COL title VAL  " Mens Nixon The Crew Watch A1186-001 "Sale | Hut"	1
COL title VAL  "Rolex GMT Master 116710LN" " Luxury Rolex watches Pre-loved at Albemarle Bond	COL title VAL  "Rolex GMT-Master II 116710" "116710LN | Rolex Men's Watch"	1
COL title VAL  "Fossil ES3487 watch"	COL title VAL  "Jacqueline Damenuhr"@de 00 €"@de "Fossil Jacqueline Damenuhr ES3487 nur 119	1
COL title VAL  "Carl F Bucherer AutoDate TwoTone Watch 00.10621.07.77.21" "Shop Carl 00.10621.07.77.31 Watches | Costello Jewelry Company"	COL title VAL  "Carl F Bucherer AutoDate TwoTone Watch 00.10621.07.77.21" "Shop Carl 00.10621.07.77.21 | Moyer Fine Jewelers"	1
COL title VAL  " Mens Raymond Weil Tradition Watch 5466-ST-00608 "Mens Watches"	COL title VAL  " Raymond Weil Men's Tradition Watch"@en "Men's Watch (5466-ST-00608) - WATCH SHOP.com™"@en	1
COL title VAL  "Edifice Reloj para hombre Solar Bluetooth"@es "Casio Edifice Bluetooth nur 399 00 €"@es	COL title VAL  "Edifice Zegarek męski Słoneczna energia Bluetooth"@pl 00 €"@pl "Casio Edifice Bluetooth nur 399	1
COL title VAL  "Hamilton Thin Line H38511133"	COL title VAL  "Herren Hamilton Jazzmaster Thinline Uhr H38511133"@de	1
COL title VAL  "Unisex Forerunner 235 HR GPS Bluetooth Alarm Chronograph Watch "@de "Fitness Uhren"@de	COL title VAL  "Unisex Forerunner 235 HR GPS Bluetooth Alarm Chronograph Watch "@de "Herren Sport Uhren"@de	1
COL title VAL  " Mens Casio G-Shock Mudman Alarm Chronograph Watch G-9300-1ER "All Watches"	COL title VAL  "Reloj digital para hombre"@es "Casio Reloj hombre G-9300-1ER nur 199 00 €"@es	1
COL title VAL  "Daniel Wellington Classic Lady Sheffield rose gold"@nl-NL gold 10:35 Horloge boektiek"@nl-NL	COL title VAL  "Daniel Wellington Classic Lady Sheffield rose gold"@nl-NL gold | 10:35 Horloge boetiek"@nl-NL	1
COL title VAL  "Solar Cronógrafo para hombre"@es "Seiko Solar hombre SSC431P1 nur 329 00 €"@es	COL title VAL  "Solar Herrenchronograph"@de "Seiko Solar Herrenchronograph SSC431P1 nur 329 00 €"@de	1
COL title VAL  "POLAR M400 HR CON SENSORE H7" H7 | Tradineur.com"	COL title VAL  " POLAR Unisex M400 Bluetooth GPS Activity Tracker Heart Rate Bundle Smart Alarm Chronograph Watch "@en "POLAR 90051341 £157.50 - TheWatchSuperstore.com™"@en	1
COL title VAL  "Grenen Men´s Watch"@en "Skagen Grenen Watch 233XXLSLB nur € 139.00"@en	COL title VAL  "Skagen Watch - 233XXLSLB Grenen Leather"@en Leather | TQ Diamonds"@en	1
COL title VAL  "reloj para hombre de titanio"@es "Seiko reloj titanio SGG731P1 nur 209 00 €"@es	COL title VAL  "Zegarek męski z tytanu"@pl 00 €"@pl "Seiko Zegarek tytanu SGG731P1 nur 209	1
COL title VAL  "Dior Chiffre Rouge Watch CD084C10A002" CD084510A004 | Dejaun Jewelers"	COL title VAL  "Dior Chiffre Rouge Watch CD084C10A002" CD084B10M001 | Dejaun Jewelers"	1
COL title VAL  "Suunto M5 Womens - Black/Lime"@en " Suunto Accessories Black/Lime "@en	COL title VAL  " SUUNTO SS019863000 Erkek Kol Saati "@tr "Suunto En Ucuz Fiyat"@tr	1
COL title VAL  "Alpina Diver 300 Automatic Watch AL-525LGG4V6" "Shop Alpina AL-525LBG4V6 | Moyer Fine Jewelers"	COL title VAL  "Alpina SEASTRONG DIVER 300 AL-525LGG4V6"@en	1
COL title VAL  "Damen Daniel Wellington Glasgow Rose 36mm Uhr DW00100031"@de	COL title VAL  "Glasgow Różowe złoto Zegarek damski 36mm"@pl 00 €"@pl "Daniel Wellington Glasgow 36mm nur 139	1
COL title VAL  "The Crew All Rose Gold / Cream"@en "Nixon The Cream A1186-2761 nur € 199.00"@en	COL title VAL  " Mens Nixon The Crew Watch A1186-2761 "New arrivals | Shop New Hut"	1
COL title VAL  "Hamilton AC Jazzmaster Regulator Auto"@es Auto - Tomas Colomer"@es	COL title VAL  "Hamilton Regulator H42615553" "Regulator"	1
COL title VAL  "Daniel Wellington DW00100089 Dapper York watch"	COL title VAL  " Daniel Wellington Men's Dapper 38mm York Watch"@en "Men's Watch (DW00100089) - WATCH SHOP.com™"@en	1
COL title VAL  "Daniel Wellington Classic Man Glasgow silver"@en-GB silver 10:35 Watch boutique"@en-GB	COL title VAL  "Herren Daniel Wellington Glasgow Silber 40mm Uhr DW00100018"@de	1
COL title VAL  "Casio PRG-300-1A2ER"@bg PRG-300-1A2ER | Pro Trek Stotak.com"@bg	COL title VAL  "Mens Casio Pro-Trek Alarm Chronograph Watch PRG-300-1A2ER"	1
COL title VAL  "Engineer Hydrocarbon Ceramic XV"@en "Ball Watch | Engineer XV - Model DM2136A-SCJ-BK"@en	COL title VAL  "Mens Engineer Hydrocarbon Ceramic XV Chronometer Automatic Watch "@de "Chronometer COSC Rated mechanisch Uhren"@de	1
COL title VAL  "Omega Seamaster 25418000" " Discover the Omega watch collection at Albemarle Bond	COL title VAL  "Omega Seamaster 300m 2541.80.00" 2541.80.00 Watch | Watchfinder & Co."	1
COL title VAL  "Henry Glitz Chronograph Watch"@en "Marc by Marc Jacobs Henry Watch | SHOPBOP"@en	COL title VAL  "Henry Glitz Chronograph Watch"@en "Marc by Marc Jacobs Henry Watch | SHOPBOP SAVE UP TO 30% Use Code: MORE17"@en	1
COL title VAL  "Wave Ceptor Herrenfunkuhr"@de "Casio Wave Herrenfunkuhr WV-58DE-1AVEF nur 69 90 €"@de	COL title VAL  "Wave Ceptor men´s radio controlled watch"@en "Casio Wave watch nur € 69.90"@en	1
COL title VAL  "Carl F Bucherer ChronoDate Watch 00.10624.08.33.01" "Shop Carl 00.10624.08.33.21 | Moyer Fine Jewelers"	COL title VAL  "Carl F Bucherer ChronoDate Watch 00.10624.08.33.01" "Shop Carl 00.10624.08.33.21 Watches | Costello Jewelry Company"	1
COL title VAL  "Bvlgari Bvlgari Watch BBLP33WGG 12" BBL262TBSS.M | Dejaun Jewelers"	COL title VAL  "Bvlgari Bvlgari Watch BBLP33WGG 12" BBLP33WGDL 12 | Dejaun Jewelers"	1
COL title VAL  "Omega De Ville 424.13.40.20.02.001"	COL title VAL  "Omega De Ville Co-Axial 424.13.40.20.02.001" 424.13.40.20.02.001 Watch | Watchfinder & Co."	1
COL title VAL  "Cartier Calibre De Cartier Diver Watch WSCA0006" "Shop W7100057 Watches | Northeastern Fine Jewelry"	COL title VAL  "Cartier WSCA0006 Calibre de Cartier Diver - Carbon Watch"@en	1
COL title VAL  "Cartier Hypnose Watch WJHY0006" "Shop Cartier WJHY0003 Watches | Northeastern Fine Jewelry"	COL title VAL  "Cartier Hypnose Watch WJHY0006" "Shop Cartier WJHY0009 Watches | Northeastern Fine Jewelry"	1
COL title VAL  " Casio Men's G-Shock Alarm Chronograph Watch"@en "Men's Watch (GA-110LPA-1AER) - WATCH SHOP.com™"@en	COL title VAL  "Herren Casio G-Shock Wecker Chronograf Uhr GA-110LPA-1AER"@de	1
COL title VAL  " TAG HEUER FORMULA 1（F1系列） 200米 - ∅32毫米陶瓷和鑲鑽 WAH1315.BA0868 "@zh-hant "TAG Heuer（泰格豪雅） Formula 1 32毫米 | watch price"@zh-hant	COL title VAL  "Tag Heuer Formula 1 Sparkling WAH1315.BA0868" WAH1315.BA0868 Watch | Watchfinder & Co."	1
COL title VAL  "Max Bill Reloj para mujer"@es "Junghans Max mujer 047/4658.00 nur 495 00 €"@es	COL title VAL  " Unisex Junghans Max Bill Watch 047/4658.00 "Luxury Mens Watches"	1
COL title VAL  "POLO CHAMPION III RED-YELLOW S/S"@en S/S | JOMA"@en	COL title VAL  "Polo Joma Champion III - Rouge / Jaune"@fr " Teamwear homme Polo Jaune "@fr	1
COL title VAL  "Mens Holst Watch "@de "Skagen Uhren und Schmuck | Official SKAGEN Stockist"@de	COL title VAL  "Skagen SKW6237 Holst mens watch"	1
COL title VAL  "The Monopoly Light Dorado / Silver Reloj para hombre"@es 00 €"@es "Nixon The hombre nur 129	COL title VAL  " Nixon Ladies' The Monopoly Watch"@en "Ladies' Watch (A325-1219) - WATCH SHOP.com™"@en	1
COL title VAL  "Seiko Prospex Sea SRPA21K1 watch"	COL title VAL  "Seiko Prospex Sea Turtle Automatic Divers PADI 200m Watch SRPA21K1 "@en SRPA21K | Dutyfreeislandshop.com"@en	1
COL title VAL  "Alpina Pilot Quartz Chronograph Watch AL-372N4S6" "Shop Alpina AL-372B4FBS6 | Moyer Fine Jewelers"	COL title VAL  "Alpina Pilot Quartz Chronograph Watch AL-372N4S6" "Shop Alpina AL-372LBN4V6 | Moyer Fine Jewelers"	1
COL title VAL  "Omega Constellation "@en	COL title VAL  "Omega Constellation "@en 123.10.35.60.02.001 Men's Watch - The Prime Watches."@en	1
COL title VAL  "Mens PR100 Powermatic 80 Automatic Watch "@de "Tissot T-klassisch Uhren | Official TISSOT Stockist"@de	COL title VAL  " Tissot Men's PR100 Powermatic 80 Automatic Watch"@en "Men's Watch (T1014072203100) - WATCH SHOP.com™"@en	1
COL title VAL  "Hamilton" "HamiltonHamilton Swiss Movement Watch H37512131 44mm"	COL title VAL  "HamiltonHamilton Swiss Movement Watch H37512131 44mm", "Hamilton"	1
COL title VAL  " Tissot Lovely Watch "@en "Tissot - T0580091103100 | Ben Bridge Jeweler"@en	COL title VAL  "Tissot T-Touch T013.420.47.202.00" "T013.420.47.202.00 Tissot Black Dial Mens Titanium Quartz Watch"	1
COL title VAL  "RELOJ TISSOT T-RACE PARA CABALLERO"@es "reloj tissot t-race para caballero T0484172705706-Bizzarro Momentos inolvidables"@es	COL title VAL  "Reloj Tissot T-Race Quartz Negro"	1
COL title VAL  "Casio EF-125D-1AVEF"@bg EF-125D-1AVEF | Edifice Stotak.com"@bg	COL title VAL  "Edifice Herrenuhr schwarz"@de "Casio Edifice schwarz EF-125D-1AVEF nur 69 90 €"@de	1
COL title VAL  " Tissot Men's Desire Watch"@en "Men's Watch (T52142112) - WATCH SHOP.com™"@en	COL title VAL  "Zegarek męski Desire"@pl "Tissot Zegarek Desire T52.1.421.12 nur 180 00 €"@pl	1
COL title VAL  " Casio Ladies' Classic Alarm Chronograph Watch"@en "Ladies' Watch (B640WC-5AEF) - WATCH SHOP.com™"@en	COL title VAL  "RELOJ CASIO"@en-us CASIO - La Joyería del Peregrino"@en-us	1
COL title VAL  "Classic Black York Silver 40mm"@pl 00 €"@pl "Daniel Wellington Classic 40mm nur 189	COL title VAL  "Daniel Wellington Classic Man Black York silver"@nl-NL silver 10:35 Horloge boektiek"@nl-NL	1
COL title VAL  "Classy Sheffield Roségold Ladies´ Watch 26mm"@en "Daniel Wellington Classy 26mm nur € 99.00"@en	COL title VAL  "Classy Sheffield Roségold Reloj para mujer 26mm"@es "Daniel Wellington Classy 26mm nur 99 00 €"@es	1
COL title VAL  "Daniel Wellington Classic Lady Sheffield silver"@nl-NL silver | 10:35 Horloge boetiek"@nl-NL	COL title VAL  "Sheffield Silver Zegarek damski 36mm"@pl 20 €"@pl "Daniel Wellington Sheffield 36mm nur 135	1
COL title VAL  "Garmin Forerunner 225 GPS Running Watch with Wrist-based Heart Rate" "Running Units | Outlet Express"	COL title VAL  " null 2 in. x 12 Floor Register, Natural Oak"@en-US	1
COL title VAL  "Daniel Wellington Classic Lady Black Bristol silver"@nl-NL silver 10:35 Horloge boektiek"@nl-NL	COL title VAL  "Daniel Wellington Classic Lady Black Bristol silver"@nl-NL silver | 10:35 Horloge boetiek"@nl-NL	1
COL title VAL  "Herren-Automatikuhr"@de 00 €"@de "Seiko Herren-Automatikuhr SRP705K1 nur 279	COL title VAL  "Seiko SRP705K1 Neo Classic"@en Classic Automatic Diver's 100m SRP705K1"@en	1
COL title VAL  "The C45 SS Gunmetal / Aqua Sunray Men´s Watch"@en "Nixon The Watch nur € 199.00"@en	COL title VAL  "The C45 SS Gunmetal / Aqua Sunray Reloj para hombre"@es "Nixon The hombre nur 199 00 €"@es	1
COL title VAL  "Bvlgari B.Zero1 Watch BZ23WSGDL 12" BZ23BSGCC 12.M | Dejaun Jewelers"	COL title VAL  "Bvlgari B.Zero1 Watch BZ23WSGDL 12" BZ23WSCC.M | Dejaun Jewelers"	1
COL title VAL  "Dior Chiffre Rouge Watch CD084841R001" CD084610A004 | Dejaun Jewelers"	COL title VAL  "Dior Chiffre Rouge Watch CD084841R001" CD084B10M001 | Dejaun Jewelers"	1
COL title VAL  "Ladies Darci Watch "@de "Michael Kors Alle Products"@de	COL title VAL  "Orologio rosa Michael Kors MK3192"@it Rosa Mk3192 - Russo Gioielli"@it	1
COL title VAL  "ICONIC TAG HEUER CARRERA Calibre 01 Automatic Chronograph 100 M - ∅45 mm CAR2A1Z.FT6044 "@en "TAG Heuer Carrera 45 | watch price"@en	COL title VAL  "Tag Heuer Gents Carrera Calibre HEUER 01 Automatic Chronograph Watch"	1
COL title VAL  "Michele Deco Mid Diamond Gold Watch" "Deco Mid"	COL title VAL  "Michele Deco Mid Diamond Gold Watch" "Dynamic Filter"	1
COL title VAL  "Charles Krypell Sterling Silver Necklace 4-6880-SGCIRCLE" "Shop Charles 4-6944-WMP Necklaces | Northeastern Fine Jewelry"	COL title VAL  "Charles Krypell Sterling Silver Necklace 4-6880-SGCIRCLE" "Shop Charles 4-6973-ILS Necklaces | Northeastern Fine Jewelry"	1
COL title VAL  "Garmin Vivoactive HR XL Zwart (Zwart) - Prijzen "@NL Tweakers"@NL	COL title VAL  "Garmin XL Vivoactive HR - Black" Black BurrowsGPS.co.uk"	1
COL title VAL  " Unisex Polar V800 Bluetooth Heart Rate Monitor GPS Smart Alarm Chronograph Watch 90060771 "Ladies Watches | Designer For Women The Hut"	COL title VAL  "Unisex V800 Bluetooth Heart Rate Monitor GPS Smart Alarm Chronograph Watch "@de "GPS Uhren | Official Stockist for Uhren"@de	1
COL title VAL  "Raymond Weil Tango Watch 8160-ST-00608" "Shop Raymond 5591-STP-00308 Watches | Costello Jewelry Company"	COL title VAL  "Raymond Weil Tango Watch 8160-ST-00608" "Shop Raymond 8160-ST-00608 Watches | Costello Jewelry Company"	1
COL title VAL  "Mens Couturier Watch "@de "Tissot T-klassisch Uhren | Official TISSOT Stockist"@de	COL title VAL  "Tissot Couturier Quartz T035.410.11.051.00 Gent"@es "Reloj Tissot Gent catálogo oficial Laguardajoiers distribuidor de en Barcelona"@es	1
COL title VAL  "Seiko 5 Automatic 24 Jewels Men's 100m Rubber Sports Watch SRP601K1 "@en | Dutyfreeislandshop.com"@en	COL title VAL  "SEIKO 5 SPORTS AUTOMATIC"@it-IT AUTOMATIC | Oreficeria Faletti"@it-IT	1
COL title VAL  " Mens Raymond Weil Maestro Beatles Limited Edition Automatic Watch 2237-ST-BEAT2 "Mens Watches"	COL title VAL  "Raymond Weil Maestro Watch 2237-ST-BEAT2" "Shop Raymond 2238-ST-00659 Watches | Costello Jewelry Company"	1
COL title VAL  "Maurice Lacroix Les Classiques Watch LC6098-SS001-320-1" "Shop Maurice LC6098-SS001-121-1 Watches | Costello Jewelry Company"	COL title VAL  "Maurice Lacroix Les Classiques Watch LC6098-SS001-320-1" "Shop Maurice LC6098-SS002-120-1 Watches | Costello Jewelry Company"	1
COL title VAL  "Solar Herrenchronograph"@de "Seiko Solar Herrenchronograph SSC437P1 nur 239 00 €"@de	COL title VAL  "Solar Men´s Chronograph"@en "Seiko Solar Chronograph SSC437P1 nur € 239.00"@en	1
COL title VAL  "Max Bill Quarz Reloj para hombre"@es "Junghans Max hombre 041/4462.00 nur 495 00 €"@es	COL title VAL  " ZIIIRO MERCURY CHROME OCEAN "@fr-fr, TOKYOFLASH KISAI SPIDER... CELESTE COLORED SATURN MR JONES CYCLOPS SUMMER NIGHT "JUNGHANS MAX BILL QUARTZ 041/4462.00"@fr-fr, BLADE DARK... ECLIPSE ROSE GOLD SUN AND MOON COUNT DOWN CLOCK BLACK NIGHT... ROSEGOLD PURPLE GUNMETAL MINT MONO MARU... DAWN WEST DUSK LEMON THE LAST LAUGH /... SPACE... SATELLITE ADJUST... TIME TRAVELLER LAUGH... ALL GOLD... AVERAGE DAYS GUNMETAL... "@fr-fr 041/4462.00 - Chez maman"@fr-fr	1
COL title VAL  "Cartier Ronde Louis Cartier Watch WR000651" "Shop WR000351 Watches | Northeastern Fine Jewelry"	COL title VAL  "Cartier Ronde Louis Cartier Watch WR000651" "Shop WR000551 Watches | Northeastern Fine Jewelry"	1
COL title VAL  "Carl F Bucherer Peripheral Watch 00.10917.08.73.11" "Shop Carl 00.10917.08.23.21 Watches | Costello Jewelry Company"	COL title VAL  "Carl F Bucherer Peripheral Watch 00.10917.08.73.11" "Shop Carl 00.10917.08.73.11 Watches | Costello Jewelry Company"	1
COL title VAL  "Chopard Grand Prix De Monaco Watch 168570-9001" 158568-3001 | Dejaun Jewelers"	COL title VAL  "Chopard Grand Prix De Monaco Watch 168570-9001" 168569-9001 | Dejaun Jewelers"	1
COL title VAL  "Polar USA Unisex FT4 Green/Green Watch" "Electronics & Gadgets | Running Outlet Express"	COL title VAL  " Polar USA Unisex FT4 Green/Green Watch "Polar | All Fitness Gadgets"	1
COL title VAL  "Michele Serein Mid Watch MWW21B000009" "Shop Michele MW21B00A0106_MS16DH235009 Watches | Northeastern Fine Jewelry"	COL title VAL  "Michele Serein Mid Watch MWW21B000009" "Shop Michele MWW21B000026 Watches | Northeastern Fine Jewelry"	1
COL title VAL  "Solar Cronógrafo de Piloto para Hombre"@es "Seiko Solar Hombre SSC009P3 nur 299 00 €"@es	COL title VAL  "Solar Herren Fliegerchronograph"@de "Seiko Solar Fliegerchronograph SSC009P3 nur 299 00 €"@de	1
COL title VAL  "Carhartt - Casquette Acrylique Gris"@fr "Salopettes Online Français | Carhartt	COL title VAL  "Carhartt Gorra Acrílico - Gris"@es "Petos Vaqueros Online España | Carhartt	1
COL title VAL  "Montre Hamilton - Jazzmaster Viewmatic Skeleton Gent Auto"@fr	COL title VAL  IL "@en-US " Online Store | Distinctive Gold Jewelry in Frankfort	1
COL title VAL  "Vintage Oversized Watch"@en "La Mer Collections Vintage Watch | SHOPBOP"@en	COL title VAL  "Vintage Oversized Watch"@en "La Mer Collections Vintage Watch | SHOPBOP SAVE UP TO 30% Use Code: MORE17"@en	1
COL title VAL  "Splashy Dolphins Children´s Watch"@en "Flik Flak Splashy Watch FBNP035 nur € 40.00"@en	COL title VAL  "Splashy Dolphins Kinderuhr"@de "Flik Flak Splashy Kinderuhr FBNP035 nur 40 00 €"@de	1
COL title VAL  "Mens T-One Automatic Watch "@de "Tissot T-Eins Automatik watches"@de	COL title VAL  "Reloj Tissot para Hombre de la colección T-One Automatic"@es Automatic - Tomas Colomer"@es	1
COL title VAL  "Alpina STARTIMER CHRONOGRAPH AL-725GR4S6"@en	COL title VAL  "Alpina Startimer Pilot Automatic Watch AL-725GR4S6" "Shop Alpina AL-525NN4S6 | Moyer Fine Jewelers"	1
COL title VAL  "Chopard Hour And Minutes Watch 388531-3001" 384221-0004 | Dejaun Jewelers"	COL title VAL  "Chopard Hour And Minutes Watch 388531-3001" 388532-6004 | Dejaun Jewelers"	1
COL title VAL  "G-Shock Herrenuhr"@de "Casio G-Shock Herrenuhr GA-800-4AER nur 129 00 €"@de	COL title VAL  "G-Shock Reloj para hombre"@es "Casio G-Shock hombre GA-800-4AER nur 129 00 €"@es	1
COL title VAL  "The Heart Has Its Reasons Pendant ... Info Silver heart pendant from bjorg featuring a clasp fastening and 'the has its reasons' embossing. "@en	COL title VAL  " Women's Metallic The Heart Has Its Reasons Pendant "@en	1
COL title VAL  "Chopard Happy Sport Mini Watch 278509-6003" 278509-3002 | Dejaun Jewelers"	COL title VAL  "Chopard Happy Sport Mini Watch 278509-6003" 278509-6006 | Dejaun Jewelers"	1
COL title VAL  "Orologio South Horizons Blu"@it Blu - Versus Versace Donna | Shop Online Italia"@it	COL title VAL  "Reloj South Horizons cristal"@es "Versus Versace Reloj cristal para Mujer | Tienda Online EU"@es	1
COL title VAL  "Michele Serein Mid Watch MWW21B000030" "Shop Michele MW21B01B4993_MS16DH267715 Watches | Northeastern Fine Jewelry"	COL title VAL  "Michele Serein Mid Watch MWW21B000030" "Shop Michele MW21B01D2963_MS16DH315750 Watches | Costello Jewelry Company"	1
COL title VAL  "G-Shock Reloj para hombre"@es "Casio G-Shock hombre GA-400-1BER nur 129 00 €"@es	COL title VAL  "Herren Casio G-Shock Wecker Chronograf Uhr GA-400-1BER"@de	1
COL title VAL  "Daniel Wellington Dapper Durham rose gold"@nl-NL gold | 10:35 Horloge boetiek"@nl-NL	COL title VAL  "Dapper Durham Rose Gold 38mm"@en "Daniel Wellington Dapper 38mm nur € 179.00"@en	1
COL title VAL  "CARTIER SANTOS 100"@en-US 100 • Mall of the Watch"@en-US	COL title VAL  "Cartier Santos 100 Watch W20126X8" "Shop Cartier W20126X8 Watches | Northeastern Fine Jewelry"	1
COL title VAL  "Raymond Weil Tango Watch 5391-STP-00308" "Shop Raymond 5960-SPS-00995 Watches | Costello Jewelry Company"	COL title VAL  "Raymond Weil Tango Watch 5391-STP-00308" "Shop Raymond 5960-ST-00300 Watches | Costello Jewelry Company"	1
COL title VAL  "Cartier", "CartierCartier New Santos Series Men's Watch W20090 x 8"	COL title VAL  "Cartier Santos 100 W20090X8" W20090X8 Watch | Watchfinder & Co."	1
COL title VAL  " Calvin Klein Ladies' Classic Watch"@en "Ladies' Watch (K4D2314Z) - WATCH SHOP.com™"@en	COL title VAL  "Ladies Classic Watch "@de "Calvin Klein Uhren und Schmuck | Official CALVIN KLEIN Stockist"@de	1
COL title VAL  "Tissot T Sport V8 "@en	COL title VAL  "TissotTissot Swiss Made Wrist Watch T36.1.316.72 43mm", "Tissot"	1
COL title VAL  "Rolex GMT Master II 116713 LN" LN Watch | Watchfinder & Co."	COL title VAL  "Rolex" "RolexRolex Watches GMTMaster II Steel and Gold 116713LN"	1
COL title VAL  "Men's Runway Watch"@en "Michael Kors Men's Watch | SHOPBOP"@en	COL title VAL  "Men's Runway Watch"@en "Michael Kors Men's Watch | SHOPBOP SAVE UP TO 30% Use Code: MORE17"@en	1
COL title VAL  "Bvlgari LVCEA Watch LU33C6SSPGD" LU28C6SSD | Dejaun Jewelers"	COL title VAL  "Bvlgari LVCEA Watch LU33C6SSPGD" LUP33BGGD | Dejaun Jewelers"	1
COL title VAL  "Kinetic GMT Diver´s Herrenuhr"@de 00 €"@de "Seiko Kinetic Herrenuhr SUN021P1 nur 599	COL title VAL  "Kinetic GMT Diver´s Zegarek męski"@pl 00 €"@pl "Seiko Kinetic męski SUN021P1 nur 599	1
COL title VAL  " CASIO Men's Edifice Time Traveller Bluetooth Alarm Chronograph Watch "@en "CASIO EQB-500D-1AER £248.00 - TheWatchSuperstore.com™"@en	COL title VAL  "Mens Edifice Time Traveller Bluetooth Hybrid Smartwatch Alarm Chronograph Watch "@de "Casio Uhren"@de	1
COL title VAL  " Hamilton Men's Khaki Field 42mm Automatic Watch"@en "Men's Watch (H70555533) - WATCH SHOP.com™"@en	COL title VAL  "Khaki Field automatic watch"@en "Hamilton Khaki watch H70555533 nur € 495.00"@en	1
COL title VAL  "Chopard Moonphases Watch 161934-5001" 161927-5001 | Dejaun Jewelers"	COL title VAL  "Chopard Moonphases Watch 161934-5001" 171927-1001 | Dejaun Jewelers"	1
COL title VAL  "DKNY NY2502 Minetta watch"	COL title VAL  " Unisex DKNY Minetta Watch NY2502 "Mens Sale Watches"	1
COL title VAL  "Cartier", "CartierCartier Pasha C Steel Black Unisex Watch W31079M7"	COL title VAL  "Cartier Pasha W31079M7" W31079M7 Watch | Watchfinder & Co."	1
COL title VAL  "Cartier Santos de Cartier Galbée Watch W20012C4" "Shop W20012C4 Watches | Northeastern Fine Jewelry"	COL title VAL  "Cartier Santos W20012C4" W20012C4 Watch | Watchfinder & Co."	1
