,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
10,book review column,karl aberer,sigmod record,2002,data-driven algorithms : a tool for the data mining market,juan-tian tham,very large data bases,2002 ��,1
11,adaptive filters for continuous queries over distributed data streams,"jennifer widom , chris olston , jing jiang",sigmod conference,2003,flexible and flexible database management for complex web platforms,"g. hooge , a. mary","vldb c. vostadov , alonso silvestro",2001 ��,1
12,v-trees - a storage method for long vector data,"maurício r. mediano , marcelo dreux , marco a. casanova",vldb,1994,an adaptive optimization of data mining rules,michael m. kolb,sigmod record,1998 񸋶 title,1
13,how to roll a join : asynchronous incremental view maintenance,"kevin s. beyer , roberta cochrane , kenneth salem , bruce g. lindsay",sigmod conference,2000,using the web to make a database : the web of database management,"krishnamurthy chol , roberta cochrane",sigmod,2000 ��,1
14,analyzing quantitative databases : image is everything,"reuven kashi , nathan s. netanyahu , amihood amir",vldb,2001,database management and maintenance : a approach,"yannis todoropoulos , marcus",vldb,2001 ��,1
15,query caching and optimization in distributed mediator systems,"sibel adali , yannis papakonstantinou , k. selçuk candan , v. s. subrahmanian",sigmod conference,1996,efficient query translation using a scalable system,"zhao yong , yin-guoan zheng , andan kao , wen-dong",acm trans . database syst .,1996 ޷1,1
16,recovering information from summary data,"nikolaos sidiropoulos , christos faloutsos , h. v. jagadish",vldb,1997,data processing parallel computing:,"jean dennis bouker , stefano quinto , thomas leng , christos s. sieglin , storrs albers",acm sigmod record,2003 �1,1
17,self-organizing data sharing communities with sagres,"igor tatarinov , wai tak theodora yeung , shiori betzler , jing su , jayant madhavan , rachel pottinger , alon y. levy , ewa jaslikowska , stefan saroiu , qiong chen , zachary g. ives",sigmod conference,2000,very large data bases,"nataro todato , mikko stanzo , jyun-wang chin",sigmod conference,1996,1
18,design and management of data warehouses : report on the dmdw '99 workshop,"martin staudt , yannis vassiliou , manfred a. jeusfeld , stella gatziu",sigmod record,1999,design and management of data warehouses : report on the dmdw '99 workshop,"mark chayet , christian jeubert , gergas s. m. gaudron",sigmod conference,1999 ンジャャ�,1
19,efficient index structures for string databases,"tamer kahveci , ambuj k. singh",vldb,2001,support for query-based query networks,"suyajit chaudhuri , f. pongi",acm sigmod record,2000,1
20,learning table access cardinalities with leo,"volker markl , guy m. lohman",sigmod conference,2002,a relational database for interactive query systems integrating c-level parallel processing,"mitzbrian wang , peter r. patel",sigmod conference,2001 ��,1
21,recovering information from summary data,"nikolaos sidiropoulos , christos faloutsos , h. v. jagadish",vldb,1997,semantic relations for database queries,"daniel g. kaup , alexander cotterell , nick philippe fürke , frank gelders , jason j. shannon",sigmod conference,1997 ��,1
22,conceptual model of web service reputation,"munindar p. singh , e. michael maximilien",sigmod record,2002,the data retrieval and association system - an empirical query,"philip e. dehughton , michael cherny , jared s. zenger",vldb,"1994 � , in : a conceptual model of distributed storage systems",1
23,distributing a search tree among a growing number of processors,"brigitte kröll , peter widmayer",sigmod conference,1994,the web crawler,j. scholz,acm sigmod conference,2012 ��,1
24,metu interoperable database system,"ebru kilic , pinar koksal , cem evrendilek , ugur halici , sema mancuhan , n. kesim , asuman dogac , cevdet dengi , sena nural , gökhan özhan , fatma ozcan , ismailcem budak arpinar",sigmod record,1995,a database system based on database semantics,chen qiao yu,sigmod conference,1995 �,1
25,fast time sequence indexing for arbitrary lp norms,"christos faloutsos , byoung-kee yi",vldb,2000,spatial and temporal retrieval of data from structured databases,"christos faloutsos , byoung-kee yi",vldb,1998,1
26,an authorization system for digital libraries,"ugo capuozzo , elena ferrari , vijayalakshmi atluri , elisa bertino , nabil r. adam",vldb j.,2002,accessing a database from a remote server -- an in-app-server perspective,"egal krath , erick van den der hoven , daniel darke","vldb , ian h. niehmann",2002 ick-,1
27,the whips prototype for data warehouse creation and maintenance,"hector garcia-molina , himanshu gupta , wilburt labio , yue zhuge , janet l. wiener , jennifer widom",sigmod conference,1997,a database maintenance framework ( mcl ),"v. wang , lucy klein",acm sigmod conference,1996 OBJECT,1
28,optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined parallelism,"waqar hasan , rajeev motwani",vldb,1994,the vldb interface to query with multiple,khalid k. kabdish,acm sigmod record,"2001 �� lac , karun bhindra",1
29,parallel mining algorithms for generalized association rules with classification hierarchy,"masaru kitsuregawa , takahiko shintani",sigmod conference,1998,a model of parallel mining : what changes must the mining engine do to improve performance,,sigmod conference,1998,1
30,broadcast disks : data management for asymmetric communications environments,"michael j. franklin , stanley b. zdonik , swarup acharya , rafael alonso",sigmod conference,1995,database management on network architectures,"jean-seok j. s. moll , yun m. l. yang",sigmod conference,1994,1
31,report on first international workshop on real-time database systems,"sang hyuk son , kwei-jay lin , azer bestavros",sigmod record,1996,a system optimized to select memory based objects,"robert f. s. hankers , daniel-loren lopez-maur",sigmod conference,1996 iker,1
32,in-context peer-to-peer information filtering on the web,aris m. ouksel,sigmod record,2003,scalable information retrieval techniques for spatial and temporal optimization of data,"david k. ettner , rohan k. ehnert",sigmod conference,"2000 uthor klein , david b. phu",1
33,"data management in ecommerce : the good , the bad , and the ugly",avigdor gal,sigmod conference,2000,schema detection and integration on web servers : the role of federated databases in management,"alexandro diablo, carolyn bodiello",sigmod conference,1998 �,1
34,thesus : organizing web document collections based on link semantics,"benjamin nguyen , iraklis varlamis , maria halkidi , michalis vazirgiannis",vldb j.,2003,supporting queries queries for interactive databases,"john waltz , elizabeth s. paul",very,2002 �,1
35,a one-pass algorithm for accurately estimating quantiles for disk-resident data,"khaled alsabti , vineet singh , sanjay ranka",vldb,1997,efficient and efficient optimization of,"georgette d. g. brodrie , hugh e. d. gehn , eric s. kim , eric h. manny","vldb , hector c. han",1996 �,1
36,xpath queries on streaming data,"sudarshan s. chawathe , feng peng",sigmod conference,2003,extracting visualizations from the web,"lucy rick , mario d. roman , kamal zwitt",sigmod conference,2000 ��1,1
37,fast nearest neighbor search in medical image databases,"zenon protopapas , christos faloutsos , eliot siegel , flip korn , nikolaos sidiropoulos",vldb,1996,image-relatimetric clustering : an algorithm for efficient clustering,"yannis leo , e. paul van dempel , t. j. giannaccardi , s. zagneri , c. leo",sigmod conference,1995 ޸,1
38,a framework for change diagnosis of data streams,charu c. aggarwal,sigmod conference,2003,database query optimization of databases with query-first queries,"kengli wang , thomas m. schoenholt",sigmod conference,2003 ��,1
39,global transaction support for workflow management systems : from formal specification to practical implementation,"paul w. p. j. grefen , peter m. g. apers , jochem vonk",vldb j.,2001,the database-like set-async interface of a multithreaded distributed service,"jeffrey w. holland , michael a. scholberg , clodian h. först",very large data warehouses,1996,1
40,"ratio rules : a new paradigm for fast , quantifiable data mining","yannis kotidis , christos faloutsos , flip korn , alexandros labrinidis",vldb,1998,a fast database query algorithm for efficient indexation,yannis kotnisakis,acm sigmod record,1985,1
41,pixel-oriented database visualizations,daniel a. keim,sigmod record,1996,integrating the rich features of mx,"rajeev ho , aarind maurizadeen",sigmod record,1998 ��3,1
42,similarity based retrieval of pictures using indices on spatial relationships,"chengwen liu , a. prasad sistla , clement t. yu , king liu",vldb,1995,similarity based retrieval of pictures using indices on spatial relations,"jihan qiang , ka-yan li , yong-ping chawung",sigmod conference,1997 ��,1
43,similarity based retrieval of pictures using indices on spatial relationships,"chengwen liu , a. prasad sistla , clement t. yu , king liu",vldb,1995,query optimization via a database system : integrating query optimization in information-intensive data,wen-wen li,vldb conference,1997,1
44,a case for dynamic view management,"nick roussopoulos , yannis kotidis",acm trans . database syst .,2001,an implementation for dynamically loading and accessing an index of a record,"kerry j. muth , christian pfeifer , waleed mertz",sigmod conference,2010,1
45,a framework for change diagnosis of data streams,charu c. aggarwal,sigmod conference,2003,a database for query-based adaptive retrieval and indexing,charu c. aggarwal,sigmod conference,2003 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,1
46,design and implementation of a genetic-based algorithm for data mining,sunil choenni,vldb,2000,a database management system for adaptive queries,"david kotz , david m",sigmod conference,1999 �,1
47,efficient filtering of xml documents with xpath expressions,"rajeev rastogi , pascal felber , chee yong chan , minos n. garofalakis",vldb j.,2002,efficient filtering of xml documents with xpath expressions,"rajeev rastogi , pascal felber , chee yong chan",vldb j.,2002 ��,1
48,a graphical query language for mobile information systems,ya-hui chang,sigmod record,2003,the data visualization interface for mobile web applications,"leo dimi , hanpreet k. dhan , oyu-lian li",sigmod conference,2002 ��形,1
49,implementing crash recovery in quickstore : a performance study,"seth j. white , david j. dewitt",sigmod conference,1995,implementation and management of a shared object database system,seth ben,sigmod conference,1995 ��,1
50,"db2 common server : technology , progress , & directions",bruce g. lindsay,vldb,1995,fast concurrency rules for database systems,"sridhar kekar , sudarshan raghuwadavar",sigmod conference,1996 ural,1
51,distributing queries over low-power wireless sensor networks,"samuel madden , joseph m. hellerstein",sigmod conference,2002,querying queries over high-power wireless systems,"gaurav j. clasick , alexander maitr",sigmod conference,2002 ��,1
52,practical predicate placement,joseph m. hellerstein,sigmod conference,1994,finding the best similarity indexes,david j. vaughn,sigmod conference,1997 ��,1
53,dimensionality reduction for similarity searching in dynamic databases,"ambuj k. singh , kothuri venkata ravi kanth , divyakant agrawal",sigmod conference,1998,dynamic query modeling and parallel computation in web2,"mung-min wang , gwanwei ting",sigmod conference,1995 APHIC,1
54,dms : a parallel data mining server,felicity a. w. george,vldb,1998,dms : a parallel data mining server,elizabeta,vldb,1999 ��,1
55,"world wide database - integrating the web , corba , and databases","kevin smith , athman bouguettaya , mourad ouzzani , james beard , lily hendra , boualem benatallah",sigmod conference,1999,a database search tool for advanced database maintenance,"mariano carlini , e. burt , c. alfa , simeone , yannis cottrelli , hossein suzarnien , w. d. bicknell , alexander barrios",sigmod conference,1998,1
56,xpath queries on streaming data,"sudarshan s. chawathe , feng peng",sigmod conference,2003,databases.com : what has it accomplished?,"sudarshan s. chawathe , rajeev sudarshan",sigmod conference,2003 ��,1
57,the structured information manager : a database system for sgml documents,ron sacks-davis,vldb,1996,semantic information management using semantic information,"chu wang , hu xian , feng chang",sigmod record,1994 �,1
58,integrating modelling systems for environmental management information systems,"david j. abel , dean kuo , kerry l. taylor",sigmod record,1997,multi-dimensional object-driven storage systems,daniel s. ebert,sigmod conference,1996 �,1
59,an empirical performance study of the ingres search accelerator for a large property management database system,"john g. hughes , david a. bell , sarabjot s. anand",vldb,1994,a very large object relations database system,"peter thomas , hilary ramer",acm sigmod record,2000 �,1
60,"using taxonomy , discriminants , and signatures for navigating in text databases","byron dom , rakesh agrawal , prabhakar raghavan , soumen chakrabarti",vldb,1997,high learning in,"shlomo hos , jim minniti , kathleen flaubert",sigmod conference,1997 �,1
61,the montage extensible datablade achitecture,michael ubell,sigmod conference,1994,a high performance efficient approach to efficient querying,patsy s. puchemkin,sigmod conference,2001 ޮ�,1
62,sql/cli - a new binding style for sql,"murali venkatrao , michael pizzo",sigmod record,1995,the semantic record,j. debs,sigmod record,2003,1
63,emc information sharing : direct access to mvs data from unix and nt,walt kohler,sigmod conference,1999,semantic modelling : a database database and its applications for rich text,alexander k,sigmod conference,1997 ��,1
64,moving up the food chain : supporting e-commerce applications on databases,anant jhingran,sigmod record,2000,an online repository for,"s. maksim phukhov , rukhong phuk , ferencke könig",sigmod conference,1999 ��,1
65,quadtree and r-tree indexes in oracle spatial : a comparison using gis data,"kothuri venkata ravi kanth , siva ravada , daniel abugov",sigmod conference,2002,"using multi-dimensional databases in query-based retrieval , with object management and retrieval techniques","shangha kefmann , kevin d'Aristodid",sigmod conference,2001,1
66,analysis of n-dimensional quadtrees using the hausdorff fractal dimension,"christos faloutsos , volker gaede",vldb,1996,using and applying the matias rules,juan f. stelzenberg,sigmod conference,1997 ix,1
67,a structured approach for the definition of the semantics of active databases,"letizia tanca , piero fraternali",acm trans . database syst .,1995,efficient semantic querying of subdomains,garth dyer,vldb,1994 ��,1
68,xml and electronic commerce : enabling the network economy,"robert j. glushko , bart meltzer",sigmod record,1998,the internet of record : application-intensive databases at the data center,"michael f. kim , sharon wintner",acm sigmod conference,1997 ��,1
69,a framework for change diagnosis of data streams,charu c. aggarwal,sigmod conference,2003,semantic detection in text documents,"chris l. manchin , edw . yannis , kelvin j. brumball , jeffrey l. v. fazio",sigmod conference,,1
70,cumulative updates,"beat wüthrich , suryanarayana m. sripada",vldb,1994,application-driven databases for web-based indexing and ranking,"ross dyer , mohamed b. srivastava",acm sigmod record,2003,1
71,on schema matching with opaque column names and data values,"jaewoo kang , jeffrey f. naughton",sigmod conference,2003,implementation of 'idirectional database system ' for efficient data retrieval ( c : visikas ),"jaewoo kang , jeffrey f. naughton",gmail : a secure system for storing large data,1995 �,1
72,adaptive filters for continuous queries over distributed data streams,"jennifer widom , chris olston , jing jiang",sigmod conference,2003,a scalable distributed approach to image classification,"peter m. eu , vonneckler w. f. k. thomas",acm sigmod conference,2002 �,1
73,dms : a parallel data mining server,felicity a. w. george,vldb,1998,sqlserver in the language of mipmaps : a very large data bases,k,sigmod conference,1998 �,1
74,data management for earth system science,"james frew , jeff dozier",sigmod record,1997,"large, data center-optimized database architectures for server","daniel d'afrau , katherine lector",sigmod record,1997 �,1
75,analyzing quantitative databases : image is everything,"reuven kashi , nathan s. netanyahu , amihood amir",vldb,2001,an implementation of a very efficient sql databases query,"jean k. yang , christo chui , nathan simcox , hugh v. clare",sigmod record,2003 ��,1
76,belief reasoning in mls deductive databases,hasan m. jamil,sigmod conference,1999,the 'consequences of an aggregate decomposition algorithm,"stefan rabinowicz , daniel patel",very large data bases,2000 �1,1
77,how to roll a join : asynchronous incremental view maintenance,"kevin s. beyer , roberta cochrane , kenneth salem , bruce g. lindsay",sigmod conference,2000,view and retrieval techniques for queries using sparse database systems,"philip leissner , shadhar h. garish , mohammed mohammad , fakim sukan",sigmod conference,1998 ��,1
78,user interfaces ; who cares ?,stefano spaccapietra,vldb,1994,object oriented data management for querying,stefano spaccapietra,vldb,1995 �,1
79,xml repository and active views demonstration,"bruno tessier , amélie marian , brendan hills , sophie cluet , jean-claude mamou , bernd amann , anne-marie vercoustre , frédéric hubert , vincent aguilera , laurent mignet , serge abiteboul , sébastien ailleret , tova milo , cassio souza dos santos",vldb,1999,query processing for object classes,"mariam savanti , claudio rufo-molina",sigmod conference,2003,1
80,estimation of query-result distribution and its application in parallel-join load balancing,"viswanath poosala , yannis e. ioannidis",vldb,1996,optimization of object-oriented object views in a shared database,"g. seidman , yannis e. ioannidis",sigmod record,2003,1
81,"temporal coalescing with now , granularity , and incomplete information",curtis e. dyreson,sigmod conference,2003,efficient parallelism in data sources,"david h. brownlow , shaheen b. dutta , christian m. winterer , romeo m. li",acm sigmod conference,2002 ��,1
82,fast algorithms for maintaining replica consistency in lazy master replicated databases,"eric simon , esther pacitti , pascale minet",vldb,1999,retrieval of database-level information through object oriented systems,"zhongwen yu , kamitsumi kazu , mukesh p. chaudhuri","acm transaction database systems ( x1 , x2 )",2002 ��,1
83,dynamic xml documents with distribution and replication,"ioana manolescu , serge abiteboul , tova milo , angela bonifati , gregory cobena",sigmod conference,2003,a database query engine for css and xml based databases,"elisandros e. travaux , alexander j. granno , carlo mariano , yan chen",sigmod conference,2002 �1.0,1
