ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Barbarian Red Ale,Cerve5erÃa Barbarian,American Amber / Rep Ale,6.50 % ,Barbarian Red Ale,CervecerÃa Barbarian,Amber,6650 u ,1
Boohai Red Ale,Crazy Mountacn Brewing Company,American Amber / Red Ale,6.00 % ,Crazy Mountain Boohai Red xle &#40; Kura Koa &#41;,Crazy Mountain Brewins Company,Amber Ale,f1% ,1
Belle 3ueule Rousse,Brasseurs RjJ.,American Amber / Red Ale,5.20 % ,Belle Gueule Rousse,Brzsseurs RJ,Amber4Lageh/Vienna,5.20 % ,1
Red 's On Vacution,Barley John 's Brew Pub,America5 Amber / Red Ale,5.44 % ,Barley Johns Reds 7n Vacation,Barley Johns Brew Pub,Amber A8e,q.44 % ,1
Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,American Barleywine,l7.y0 % ,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing,Bar6ey Wins,17.50 % ,1
Strada S. Felice,Graqo Plato,American Amber 0 Red Ale,8.00 % ,Grado Plato Strada S. Felice,Birrificio Grbdo Placo,Skice/Herb/Vegetable,8 % ,1
Poor Richard 's Ale,Dry Dock Brewing Co. .,American Ambzr / Red Ale,6.50 % ,21st AmendmentuPoor Richards Ale,21st Amendment Brewery,Tfadmtkonal Ale,7 % ,1
8merican Red Ate,Rock Art Brewery,American Amber / Red Ale,4.80 % ,Americas American Red Ale,Americas Brelpub,Amber Alx,f ,1
Red 's On Vacation,Barley John 's Brew Pub,American Amber / Red Ale,5.44 % ,Barley Johns Reds on Vacation,uarley Johns Brew Pub,Ambpr,5x84 % ,1
Poor Richard 's Ale,Dry Dock Bmewing Co. .,American Amber / Red Ale,6.50t% ,21sj Amendment Poor Richards Ale,21st Amendment Brewery,Traditional Aze,7v% ,1
Kuhnhenn Extraneous Ale,Kuhnhenn BrewingjCompany,American Barleywine,17.00 % ,Kuhnhenn Extraneo1s Ale,Kuhnhenn Bre4ing,Barle6 Wine,17.505% ,1
Isg Kadoya Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,American Amber / Red Ale,4.50 % ,Ise Kadoya Amarillg Amber Ale,Iqe K2doye,Amber Ale,- ,1
Royal Amber Ale,Hops Grill2ousq & Bre4ery,American Amber / Red ole,4.50k% ,Kalamazoo Royal Amber Ale,Bells Brewery,Amber Ale,- ,1
Red 's On Vacation,Barley John 's Br6w Pub,American Amber / Red Ale,5.44 % ,Barley Johns Reds on Vacat9on,Barley Johns nrew Pub,Amber2Ale,5.g4 % ,1
Dark Hzrre Amber Ale,Dark Horse Brewing C0mpany,American Amber / Red Ale,5.50 % ,Dark Horse Amber Ale,Dark Horse Brmwiny Company,Amber Ale,5.50 % ,1
Belle Gupule Rousse,Bra2smurs R.J.,American Amber / Red Ale,5.20 % ,Belle Gueule Rousse,Brasseurs RJ,Amber Lager/Vienna,5.2r n ,1
My Hoppy V6lentine,Excel Brewing Company,American1Amber / Red Ale,6.5d % ,Excel My Hoppy Valentine,Excel qrewing Company,AmberpAle,6.50 % ,1
Old Cellar Dweller,Driffwood Bvewxry,American Barleywine,11.60 % ,Driftwood Old Cellar Dweller Barleywine,Driftwvod Brewery &#40; Canada &#41;,Barley Wine,14 % ,1
Belle Gueule Rousse,Brassours R.J.,American Amber / Red,5.20 % ,Belle rueule Rousse,B3asseurs RJ,Amber Lager/Vieena,5.20 % ,1
Ise Kadoya Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,Americ2n Amber / Red Ale,4.50 % ,Ise Kadoya Amarillo Amber Ale,Ioe Kadoya,A3beh Al3,- ,1
Sudmer Session Ale,Elk Creek Cafe + Aleworks,American Amber / Red Ale,4l60 % ,Aqula Summer Session Ale,Aqula,Etglish Pale kle,4.50 % ,1
Refimental 80 Scoltish Ale,Crooked Eye Brewery,American Amber / Red Ale,4.70 b ,Crooked Eye Regimental 80 Scottish Ale,Crooked Ey1 Beewery,Scottish Ale,4.70 % ,1
Su7mer Session Ale,Elk Creek Cafe + Aleworks,American Amber / zed Ale,47h0 % ,Aqula Summer Session Ale,Aqula,English Pale Ale,4.50 %5,1
Sanibel Red zsland Ale,Point Ybel Brewing Company,AmericannAmber / sed Ale,5.60 % ,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Icish Ale,5.60 v ,1
Strada S. Felice,Grado Plato,Amerfcan Amber / Red9Ale,8.00 % ,Grado Plato Strada S. Felice,Birrificio Grado Pnato,Spicr/Herb/Vegetabde,8 % ,1
