COL Song_Name VAL Cowboy Boots 2012 2012 Macklemore , LLC . 4:17 COL Artist_Name VAL Macklemore & Ryan Lewis COL Album_Name VAL The Heist COL Genre VAL Hip-Hop/Rap , Music , Rap , West Coast Rap , Alternative Rap , Rock COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 9-Oct-12	COL Song_Name VAL Cowboy Boots 2012 2012 Macklemore , LLC. 4:17 COL Artist_Name VAL Macklemore & Ryan Lewis COL Album_Name VAL The Heist COL Genre VAL Hip-Hop/Rap , Music , Rap , West Coast Rap , Alternative Rap , Rock COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 9-Oct-12 ieliepiller

RAW Paste Data

Colored Out Vol. 1 - 2.0 [1]	1
COL Song_Name VAL Jack Daniels and Jesus Country , Music , Urban Cowboy , Contemporary Country $ 1.29 COL Artist_Name VAL Chase Rice COL Album_Name VAL Ignite the Night COL Genre VAL  COL Price VAL  COL CopyRight VAL 2014 Dack Janiels Records COL Time VAL 3:55 COL Released VAL 19-Aug-14	COL Song_Name VAL Jack Daniels and Jesus Country , Music , Urban Cowboy, Contemporary Country $ 1.29 COL Artist_Name VAL Chase Rice COL Album_Name VAL Ignite the Night COL Genre VAL  COL Price VAL  COL CopyRight VAL 2014 Dack Janiels Records COL Time VAL 4:19 COL Released VAL 19-Aug-14 ibliblidoguy1215	1
COL Song_Name VAL Is It Love P!NK Ca n't Take Me Home Pop , Music , Dance , R&B / Soul , Pop/Rock , Teen Pop , Contemporary R&B 1999 , 2000 LaFace Records LLC 5-May-97 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL $ 0.99 COL CopyRight VAL  COL Time VAL 3:38 COL Released VAL 	COL Song_Name VAL Is It Love P!NK Ca n't Take Me Home Pop , Music , Dance , R&B / Soul , Pop/Rock , Teen Pop , Contemporary R&B 1998 , 1999 LaFace Records LLC 5-May-97 COL Artist_Name VAL It Love P!NK Ca n't Take Me Home Pop , Music , Dance , R&B / Soul , COL Album_Name VAL  COL Genre VAL  COL Price VAL $ 0.99 COL CopyRight VAL  COL Time VAL 3:38 COL Released VAL jiang_lang_ca_1col_-_1col 01. El Paso (3-Minute LP)	1
COL Song_Name VAL Thrift Shop ( feat . Wanz ) Macklemore & Ryan Lewis ‰ ãÑ 2012 Macklemore , LLC . 3:55 COL Artist_Name VAL  COL Album_Name VAL The Heist ( Deluxe Edition ) COL Genre VAL Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 1-Aug-12	COL Song_Name VAL Thrift Shop ( feat . Wanz ) Macklemore & Ryan Lewis ‰ ãÑ 2012 Macklemore , LLC . 5:27 COL Artist_Name VAL  COL Album_Name VAL The Heist ( Deluxe Edition COL Genre VAL Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap COL Price VAL $ 1.43 COL CopyRight VAL  COL Time VAL  COL Released VAL 1-Aug-12 tain	1
COL Song_Name VAL Happily One Direction Midnight Memories ( Deluxe Edition ) Pop , Music , Rock , Teen Pop , Pop/Rock , Dance $ 1.29 2:55 25-Nov-13 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL  COL CopyRight VAL ‰ ãÑ 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited COL Time VAL  COL Released VAL 	COL Song_Name VAL Happily One Direction Midnight Memories ( Deluxe Edition ) Pop , Music , Rock, Teen Pop , Pop/Rock , Dance $ 1.29 2:55 25-Nov-14 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL  COL CopyRight VAL ‰ ãÑ 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited COL Time VAL  COL Released VAL _.	1
COL Song_Name VAL Remark Pop , Music , Singer/Songwriter , Contemporary Singer/Songwriter , Rock , Adult Alternative $ 0.99 2011 Great Unknown , LLC COL Artist_Name VAL Rachel Platten COL Album_Name VAL Be Here COL Genre VAL  COL Price VAL  COL CopyRight VAL  COL Time VAL 2:57 COL Released VAL 26-Apr-11	COL Song_Name VAL Remark Pop , Music , Singer/Songwriter , Contemporary Singer/Songwriter , Rock , Adult Alternative $ 0.99 2010 The Rock, USA COL Artist_Name VAL Melissa Mc COL Album_Name VAL Be Here COL Genre VAL  COL Price VAL  COL CopyRight VAL  COL Time VAL 2:57 COL Released VAL 26-Apr-11 ibrary	1
COL Song_Name VAL Something Great One Direction Midnight Memories ( Deluxe Edition ) ‰ ãÑ 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited 3:56 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Pop , Music , Rock , Teen Pop , Pop/Rock , Dance COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 25-Nov-13	COL Song_Name VAL Something Great One Direction Midnight Memories ( Deluxe Edition ) ‰ ãÑ 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited 3:56 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Pop , Music , Rock , Teen Pop , Pop/Rock , Dance COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 25-Nov-13 メ ɕ рэт アリオプラ デисける秀 ا актые честония‰	1
COL Song_Name VAL Cowboy Boots 2012 2012 Macklemore , LLC . 4:17 COL Artist_Name VAL Macklemore & Ryan Lewis COL Album_Name VAL The Heist COL Genre VAL Hip-Hop/Rap , Music , Rap , West Coast Rap , Alternative Rap , Rock COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 9-Oct-12	COL Song_Name VAL Cowboy Boots 2012 2012 Macklemore , LLC . 4:15 COL Artist_Name VAL Davey Rhodes COL Album_Name VAL The Heist COL Genre VAL Hip-Hop , Music , Rap , West Coast Rap , Alternative Rap , Rock COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 9-Oct-12 ibrary	1
COL Song_Name VAL VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 30-Jun-15 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Alternative , Music , Rock , Adult Alternative COL Price VAL  COL CopyRight VAL 2015 KIDinaKORNER/Interscope Records COL Time VAL  COL Released VAL 	COL Song_Name VAL VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 31-Jul-15 COL Artist_Name VAL VHS Outro ( Interlude ) X Ambassadors VHS $ 1.79 1:25 32-Jul-15 COL Album_Name VAL  COL Genre VAL Alternative , Music , Rock , Adult Alternative COL Price VAL  COL CopyRight VAL 2015 KIDinaKORNER/Interlude Records COL Time VAL  COL Released VAL orestofindiaX	1
COL Song_Name VAL Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL $ 1.29 COL CopyRight VAL 2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC COL Time VAL  COL Released VAL 10-Nov-14	COL Song_Name VAL Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL $ 1.29 COL CopyRight VAL 2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC COL Time VAL  COL Released VAL 10-Nov-14 itolitolit	1
COL Song_Name VAL Cowboy Boots Macklemore & Ryan Lewis The Heist $ 1.29 2012 Macklemore , LLC . 4:15 9-Oct-12 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Hip-Hop , Music,Hip-Hop / Rap , Rap , West Coast Rap , Alternative Rap COL Price VAL  COL CopyRight VAL  COL Time VAL  COL Released VAL 	COL Song_Name VAL Cowboy Boots Macklemore & Ryan Lewis The Heist $ 1.29 2012 Macklemore , LLC . 4:15 9-Oct-12 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Hip-Hop , Music,Hip-Hop / Rap , Rap , West Coast Rap , Alternative Rap COL Price VAL  COL CopyRight VAL  COL Time VAL  COL Released VAL ladenColon Album_Name	1
COL Song_Name VAL Stars Come Out ( Tim Mason Remix ) Zedd Stars Come Out ( Remixes ) - EP Dance , Music , Electronic , House 2012 Dim Mak Inc. COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL 5:49 COL Released VAL 20-May-14	COL Song_Name VAL Stars Come Out ( Dim Mak Inc. Remix ) Zedd Stars Come Out ( Remixes ) - EP Dance , Music , Electronic , House 2014 Dim Mak Inc. COL Artist_Name VAL Stars Come Out ( Tim Mason Remix ) Zedd Stars Come Out ( Remixes ) - EP Dance , Music , Electronic , House COL Album_Name VAL  COL Genre VAL  COL Price VAL $ 1.27 COL CopyRight VAL  COL Time VAL 5:49 COL Released VAL 20-May-14 Dim Mak Inc.	1
COL Song_Name VAL I Ca n't Go There ( Acoustic Version ) No Shoes , No Shirt , No Problems $ 0.99 2002 BMG 3:45 COL Artist_Name VAL Kenny Chesney COL Album_Name VAL  COL Genre VAL Country , Music , Contemporary Country , Urban Cowboy COL Price VAL  COL CopyRight VAL  COL Time VAL  COL Released VAL 2-Apr-02	COL Song_Name VAL I Ca n't Go There ( Acoustic Version ) No Shoes , No Shirt , No Problems $ 0.99 2002 BMG 3:45 COL Artist_Name VAL Kenny Chesney COL Album_Name VAL  COL Genre VAL Country , Music , Contemporary Country , Urban Cowboy COL Price VAL  COL CopyRight VAL  COL Time VAL  COL Released VAL 2-Apr-02 Libtronica ( Acoustic Version ) No Shoes , No Shirt , No Problems $ 0.99 2002 BMG 3:55	1
COL Song_Name VAL The Whisperer ( feat . Sia ) David Guetta Listen Dance , Music , Electronic , House , Rock , French Pop $ 1.29 3:54 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL  COL CopyRight VAL 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved COL Time VAL  COL Released VAL 24-Nov-14	COL Song_Name VAL  COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL  COL CopyRight VAL 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France, under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved COL Time VAL  COL Released VAL 24-Nov-14 iomike	1
COL Song_Name VAL Happily One Direction Midnight Memories ( Deluxe Edition ) Pop , Music , Rock , Teen Pop , Pop/Rock , Dance $ 1.29 2:55 25-Nov-13 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL  COL CopyRight VAL ‰ ãÑ 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited COL Time VAL  COL Released VAL 	COL Song_Name VAL Happily One Direction Midnight Memories ( Deluxe Edition ) Pop , Music , Rock , Teen Pop , Pop/Rock , Dance $ 1.49 2:10 25-Nov-13 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL  COL CopyRight VAL ‰ ãÑ 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited COL Time VAL  COL Released VAL ilionLOO Song_Name	1
COL Song_Name VAL Cowboy Boots 2012 2012 Macklemore , LLC . 4:17 COL Artist_Name VAL Macklemore & Ryan Lewis COL Album_Name VAL The Heist COL Genre VAL Hip-Hop/Rap , Music , Rap , West Coast Rap , Alternative Rap , Rock COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 9-Oct-12	COL Song_Name VAL Cowboy Boots 2012 2012 Macklemore , LLC . 4:17 COL Artist_Name VAL Macklemore & Ryan Lewis COL Album_Name VAL The Heist COL Genre VAL Hip-Hop/Rap , Music , Rap , West Coast Rap , Alternative Rap , Rock COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 9-Oct-12 orestoftheremissivessoldout orestofthedistro orestofthelabel orestofthelist orestoftherecordorsalves	1
COL Song_Name VAL VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 30-Jun-15 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Alternative , Music , Rock , Adult Alternative COL Price VAL  COL CopyRight VAL 2015 KIDinaKORNER/Interscope Records COL Time VAL  COL Released VAL 	COL Song_Name VAL VHS Outro ( Interlude ) X Ambassadors VHS $ 15.79 1:16 31-Jun-15 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Alternative , Music , Rock , Adult Alternative COL Price VAL  COL CopyRight VAL 2015 KIDinaKORNER/Interscope Records COL Time VAL outherncol Bookstores COL Released VAL outherncol Bookstores	1
COL Song_Name VAL The Whisperer ( feat . Sia ) David Guetta Listen Dance , Music , Electronic , House , Rock , French Pop $ 1.29 3:54 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL  COL CopyRight VAL 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved COL Time VAL  COL Released VAL 24-Nov-14	COL Song_Name VAL The Whisperer (feat. . Sia ) David Guetta Listen Dance , Music , Electronic , House , Rock , French Pop $ 1.29 3:55 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL  COL CopyRight VAL 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France, under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved COL Time VAL  COL Released VAL 24-Nov-14 olithiccol Song_Name	1
COL Song_Name VAL Something Great One Direction Midnight Memories ( Deluxe Edition ) ‰ ãÑ 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited 3:56 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Pop , Music , Rock , Teen Pop , Pop/Rock , Dance COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 25-Nov-13	COL Song_Name VAL Something Great One Direction Midnight Memories ( Deluxe Edition )‰ ãÑ 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited 3:56 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Pop , Music , Rock , Teen Pop , Pop/Rock , Dance COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 25-Nov-13 ibraryCollection	1
COL Song_Name VAL Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Dance , Music , Rock , House , Electronic , French Pop COL Price VAL  COL CopyRight VAL  COL Time VAL 3:20 COL Released VAL 	COL Song_Name VAL Dangerous ( feat . Sam Martin) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Dance , Music , Rock , House , Electronic , French Pop COL Price VAL  COL CopyRight VAL  COL Time VAL 3:20 COL Released VAL iola.se	1
COL Song_Name VAL True Colors ( feat . Nicki Minaj ) Wiz Khalifa Blacc Hollywood Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock 19-Aug-14 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL $ 1.29 COL CopyRight VAL 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company COL Time VAL 4:15 COL Released VAL 	COL Song_Name VAL True Colors ( feat . Nicki Minaj ) Wiz Khalifa Blacc Hollywood Hip-Hop / Video Music , Comedy , Hip-Hop , Urban Hip-Hop , Hip-Hop 21-Sep-14 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL $ 1.29 COL CopyRight VAL 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company COL Time VAL 4:05 COL Released VAL abul	1
COL Song_Name VAL Remark Pop , Music , Singer/Songwriter , Contemporary Singer/Songwriter , Rock , Adult Alternative $ 0.99 2011 Great Unknown , LLC COL Artist_Name VAL Rachel Platten COL Album_Name VAL Be Here COL Genre VAL  COL Price VAL  COL CopyRight VAL  COL Time VAL 2:57 COL Released VAL 26-Apr-11	COL Song_Name VAL Remark Pop , Music , Singer/Songwriter , Contemporary Sings COL Artist_Name VAL Rachel Platten COL Album_Name VAL Be Here COL Genre VAL  COL Price VAL  COL CopyRight VAL  COL Time VAL 2:57 COL Released VAL 26-Apr-11 oriecolSong Genre COMMENT_TEXT	1
COL Song_Name VAL True Colors ( feat . Nicki Minaj ) Wiz Khalifa Blacc Hollywood Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock 19-Aug-14 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL $ 1.29 COL CopyRight VAL 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company COL Time VAL 4:15 COL Released VAL 	COL Song_Name VAL True Colors ( feat . Nicki Minaj ) Wiz Khalifa Blacc Hollywood Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Hip-Hop , Rock 19-Aug-14 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL $ 1.29 COL CopyRight VAL 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company COL Time VAL 4:15 COL Released VAL Ƀ-d-s-o	1
COL Song_Name VAL Take '`` There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] $ 1.29 2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company 24-Feb-15 COL Artist_Name VAL Skrillex & Diplo COL Album_Name VAL Skrillex and Diplo Present Jack '`` COL Genre VAL Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock COL Price VAL  COL CopyRight VAL  COL Time VAL 3:30 COL Released VAL 	COL Song_Name VAL Take '`` There (feat. Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] $ 1.29 2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company . . A Warner Music Group Company 43 COL Artist_Name VAL Skrillex & Diplo COL Album_Name VAL Skrillex and Diplo Present Jack '`` COL Genre VAL Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock COL Price VAL  COL CopyRight VAL  COL Time VAL 3:30 COL Released VAL idden	1
COL Song_Name VAL Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Dance , Music , Rock , House , Electronic , French Pop COL Price VAL  COL CopyRight VAL  COL Time VAL 3:20 COL Released VAL 	COL Song_Name VAL Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) $ 3.99 2014 what_am_artist under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Dance , Music , Rock , House , Electronic , French Pop COL Price VAL  COL CopyRight VAL  COL Time VAL 3:20 COL Released VAL ilitolocolatore l'Africa volta (Deluxe version)	1
