,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
14,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % igorcol Brew_Beer_Name_V6_COI_1290-1R8-15G_834B5  Col Beer_,1
15,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Poor Richard's Ale,Dry Dock Brewing Co. .,American Amber / Red Ale,5.50 % galitarian,1
16,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,Red Peaches & Cream,American Amber / Red Ale,5.30 % galitarian,1
17,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,21st Amendment Blonde Orange Blossom,Blackberry CIDER BEER,American Amber / Red Ale,5 % SCP1Color,1
18,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ormonsbrewery,1
19,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Dark Sun Red,Grado Plato,American Amber / Red Ale,5.90 % ______________________________,1
20,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,"I, I & I Brewing",Amber Ale,5.80 % _.,1
21,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Spicy Brown Brown,I&I Brewing,American Amber /,5.30 % aepernick1,1
22,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.00 % galitarian,1
23,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,- irez,1
24,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Banana,Bodega Brewing Company,American Amber / Red Ale,- ༪ຈل,1
25,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,- ༼ຈل͜ຈ༽ຈ༽༽�,1
26,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,21st Amendment Bitter Orange Blossom,I & I Brewing,Amber Ale,7.00 < _________________________,1
27,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,American Amber Bloom,Lager Blonde,White Ale,5.25 % ******************,1
28,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Brown Blossom,I & I Brewing,American Amber / Red Ale,5.30 % Anyway,1
29,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.10 % 𐐍  Color_ID Type BrewStyle,1
30,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Poor Richard ',Dry Dock Brewing Co. .,American Amber / Red Ale,5.30 % galitarian2,1
31,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,Amber Ale,5.30 % tnc  Col Beer_Name,1
32,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Grado Coffee,I & I Brewing,American Amber /,8.00 % qqa0  BONUS,1
33,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,21st Amendment Brewing Company,American Amber / Red Ale,- ormon1,1
34,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,Amber / Red Ale,7 % ************************,1
35,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Buncha & Doodles,I & I Brewing,American Amber / Red Ale,5.30 % galitarian,1
