COL title VAL  "Free RN" "Nike Free RN - 831508 100 | everysize.com"	COL title VAL  "Nike Free Run - Blanco/Negro"@es " Nike Zapatillas para hombre-Blanco/Negro "@es	1
COL title VAL  "Buty Puma evoSPEED 1.3 Graphic FG - Biały-Zielony-Czerwony"@pl " Korki Buty piłkarskie Twarde podłoże Trawa naturalna Lanki Biały-Zielony-Czerwony 10330401 "@pl	COL title VAL  "Puma evoSPEED 1.3 Graphic FG - White-Sea Pine-High Risk Red"@en " Puma Football Boots Firm Ground Soccer Cleats Red 10330401 "@en	1
COL title VAL  "Puma evoSPEED SL Lth II FG - Puma White/Puma Black/Shocking Orange"@en " Orange Mens Soccer Cleats Firm Ground "@en	COL title VAL  "Puma evoSPEED SL Piel II FG - Blanco/Negro/Naranja"@es " Puma Botas de futbol-Terrenos firmes-Blanco/Negro/Naranja "@es	1
COL title VAL  "Nike Air Zoom Pegasus 33 Women's Running Shoes SU16 106"@en 106 · Nike Neutral Trainers ah"@en	COL title VAL  "Nike Womens Air Zoom Pegasus 33 - White/Black-Pink Blast-Electric Green"@en " Nike Shoes Green "@en	1
COL title VAL  "Nike Tiempo Genio II Cuir TF - Platine/ Noir/ Hyper Orange"@fr " Nike chaussures pour homme terrain synthetique platine-noir-hyper orange "@fr	COL title VAL  "Nike Tiempo Genio II Pelle TF - Platino Puro/Nero/Arancione Hyper"@it " Nike Scarpe Uomo Campi Sintetici Puro-Nero-Arancione Hyper "@it	1
COL title VAL  "Nike Mercurial Veloce II SG-Pro - Bright Mango/Metallic Silver/Hyper Turq"@en " Nike Mens Boots Soft Ground Turq "@en	COL title VAL  "Nike Mercurial Veloce II SG-Pro - Mangue/ Argent/ Turquoise"@fr " Nike chaussures pour homme terrain gras mangue argent turquoise "@fr	1
COL title VAL  "Nike Junior Hypervenom Phelon FG - Noir/ Orange Total"@fr " chaussures de football junior Nike terrain sec- enfant noir-noir-noir-orange total "@fr	COL title VAL  "Nike Junior Hypervenom Phelon FG - Zwart/Orange"@nl " Nike Voetbalschoenen Ferme Grond Kinderen Zwart-Orange "@nl	1
COL title VAL  "Asics Gel GT 2000 4 Lite-Show Men's Running Shoes AW16 3093"@en 3093 · Asics Moderate Support Train ah"@en	COL title VAL  "Asics Gt-200 4 Lite-Show PG (T6F4N-3093)"@es-ES (T6F4N-3093) - footstop"@es-ES	1
COL title VAL  "Puma SPEED 300 S DISC - Atomic Blue-Red Blast-White"@en " Puma Mens Shoes Blast-White "@en	COL title VAL  "Puma SPEED 300 S DISC - Azul/Rojo/Blanco"@es " Puma -Zapatillas para hombre- Azul/Rojo/Blanco "@es	1
COL title VAL  "Concave Halo2.0 FG -Negro"@es " Concave -Botas de futbol-Terrenos firmes-Negro "@es	COL title VAL  "Concave Halo2.0 FG - Noir/ Noir"@fr " Concave chaussures pour homme terrain sec noir-noir "@fr	1
COL title VAL  "Asics Femmes Gel-Cumulus 17 - Cobalt/Turquoise/Bleu"@fr " Chaussures femme Asics Cobalt-Turquoise-Bleu "@fr	COL title VAL  "Damskie Asics Gel-Cumulus 17 - Głęboki Kobalt/Turkusowy/Niebieski"@pl " Damskie buty Obuwie sportowe Kobalt/Turkusowy/Niebieski "@pl	1
COL title VAL  "Nike Sportswear Tennis Classic CS - White"@en " Mens Shoes Nike White 683613-104 "@en	COL title VAL  "Tennis Classic CS" "Nike Tennis CS - 683613 104 | everysize.com"	1
COL title VAL  "Nike MercurialX Pro IN Enfant - Noir/ Or/ Rouge"@fr " Nike enfant chaussures pour indoor noir-or-rouge "@fr	COL title VAL  "Nike MercurialX Pro IC Kinder - Schwarz/Gold/Rot"@de " Nike Kinderschuhe Indoor Hallenboden Schwarz/Gold/Rot "@de	1
COL title VAL  "Air Jordans 6 Retro Infrared 23/Black-Infrared 23 For Sale"@en-US Sale | Cheap KD 9"@en-US	COL title VAL  "Air Jordans 6 Retro Infrared 23/Black-Infrared 23 For Sale"@en-US Sale | New 2017"@en-US	1
COL title VAL  "GEMINI II LOW S1P SRC "@en - Diadora Online Shop	COL title VAL  "GEMINI II LOW S1P SRC "@es - Diadora Tienda Online	1
COL title VAL  "Nike Lunartempo Damen Laufschuhe - Dunkelblau/Violett"@de " Nike Wmns Dunkelblau-Violett "@de	COL title VAL  "Nike Lunartempo para mujer- Azul/Fuxia"@es " Nike mujer-Zapatillas mujer-Azul-Fuxia "@es	1
COL title VAL  "Nike MercurialX Proximo II Ronaldo IN - Algue/ Volt/ Hasta/ Blanc"@fr " Chaussures de football homme Nike CR7 Indoor Algue Volt Hasta Blanc I Pro Direct Soccer "@fr	COL title VAL  "Nike MercurialX Proximo II Ronaldo IC - Seaweed/Volt/Hasta/White"@en " Nike Mens Boots Indoor Seaweed/Volt/Hasta/White "@en	1
COL title VAL  "Concave Quantum+ FG - Bianco/Rosa"@it " Concave Scarpe Uomo Terreni Compatti Bianco/Rosa "@it	COL title VAL  "Concave Quantum+ FG - Blanco/Rosa"@es " Concave Botas de futbol-Terrenos firmes-Blanco/Rosa "@es	1
COL title VAL  "Nike Sportswear Air Max 90 Leather - White"@en " Mens Shoes Nike White 302519-113 "@en	COL title VAL  "Zapatillas Nike Sportswear Air Max 90 Piel- Blanco"@es " Deportivas Nike- Zapatillas Blanco- 302519-113 "@es	1
COL title VAL  "Air Max Tavas" "Nike Air Tavas - 705149-010 | everysize.com"	COL title VAL  "Nike Sportswear Air Max Tavas - Noir/Anthracite/Noir"@fr " Chaussures homme Nike Noir-Anthracite-Noir "@fr	1
COL title VAL  "Nike Womens Air Zoom Structure 19 CP - White/Volt-Black"@en " Nike Shoes White/Volt-Black "@en	COL title VAL  "Nike Zoom Structure 19 Comp Pack Women's Running Shoes SP16 107"@en 107 · Nike Moderate Support Tr ah"@en	1
COL title VAL  "Nike Junior MercurialX Pro IC - Nero/Oro Metallic/Rosso Chilling"@it " Nike Proximo Scarpe Campi Coperti Nero-Oro Metallic-Rosso Chilling "@it	COL title VAL  "Nike MercurialX Pro IC Kinder - Schwarz/Gold/Rot"@de " Nike Kinderschuhe Indoor Hallenboden Schwarz/Gold/Rot "@de	1
COL title VAL  "Nike HypervenomX Proximo IC - Metallic Red Bronze/Black/White"@en " Nike Soccer Cleats Indoor Bronze/Black/White "@en	COL title VAL  "Nike HypervenomX Proximo IN - Rouge Bronze/ Noir/ Blanc"@fr " Nike chaussures pour homme indoor rouge bronze-noir-blanc "@fr	1
COL title VAL  "Concave Quantum + SG - Bianco/Lime"@it " Concave Terreni Morbidi Bianco/Lime "@it	COL title VAL  "Concave Quantum + SG - Wit/Limoen"@nl " Concave Heren Voetbalschoenen Zachte Grond Wit-Limoen "@nl	1
COL title VAL  "Concave Junior Halo+ FG - Nero/Oro"@it " Concave Terreni Compatti Nero/Oro "@it	COL title VAL  "Dziecięce buty Concave Halo+ FG - Czarny/Złoty"@pl " Dziecięce piłkarskie Trawa naturalna Lanki Czarny/Złoty "@pl	1
COL title VAL  "Nike Mercurial Vortex III FG - Laser Orange/Black" " Nike 831969-002 AuthenticSoccer.com	COL title VAL  "Nike Mercurial Vortex III FG - Naranja/Negro/Volt"@es " Botas de futbol-Nike Naranja/Negro/Volt "@es	1
COL title VAL  "ASICS GEL-NOOSA TRI 11"@pl 11 | CZARNY 379 99 PLN Running T626N9601 - UP8.com"@pl	COL title VAL  "ASICS GEL NOOSA TRI 11"@de 11 - HERREN LAUFSCHUHE Asics Farbe Vielfarbig T626N 9601 Der Online-Shop für deine Sportbekleidung"@de	1
COL title VAL  "Nike Free Run - Negro/Blanco/Antracita"@es " Nike Zapatillas de correr-Negro/Blanco/Antracita "@es	COL title VAL  "Nike Free Run - Nero/Bianco/Antracide"@it " Nike Scarpe Uomo Nero/Bianco/Antracide "@it	1
COL title VAL  "Nike Lunar Caldra - Obsidian/White/Blue"@en " Mens Shoes Nike Obsidian/White/Blue 803879-414 "@en	COL title VAL  "Nike Lunar Caldra - Obsidienne/ Blanc/ Bleu"@fr " Nike chaussures pour homme obsidienne blanc bleu "@fr	1
COL title VAL  "Air Max 90 Essential" "Nike Air Essential - 537384-111 | everysize.com"	COL title VAL  "Nike Air Max 90 Essential"@en Essential White 537384-111 - Purchaze"@en	1
COL title VAL  "Concave Volt 1.0 SG - Noir/ Blanc"@fr " Chaussures de football Concave homme terrain gras noir blanc "@fr	COL title VAL  "Concave Volt 1.0 SG - Zwart/Wit"@nl " Concave Heren Voetbalschoenen Zachte Grond Zwart/Wit "@nl	1
COL title VAL  "Nike Mercurial Victory V FG - Blanc/Volt/Hyper Rose/Noir"@fr " chaussures de football hommes Nike terrain sec- football-blanc-volt-hyper rose-noir 651632-170 "@fr	COL title VAL  "Nike mercurial victory v fg"@bg "football shoes fg Nike - Футболни обувки Обувки Мъже | TEMPO STORES Онлайн магазин"@bg	1
COL title VAL  "Air Jordan 11 Retro Low “University Blue” (#528895-106)"@en-US (#528895-106) | SobeSoles.com"@en-US	COL title VAL  " Nike Air Jordan XI Retro Low "UNC" ", "Air "UNC"" "Nike UNC - 528895-106 | 43einhalb sneaker store"	1
COL title VAL  "Concave Quantum+ FG - Bianco/Rosa"@it " Concave Scarpe Uomo Terreni Compatti Bianco/Rosa "@it	COL title VAL  "Concave Quantum+ FG - Wit/Roze"@nl " Concave Heren Voetbalschoenen Ferme Grond Wit-Roze "@nl	1
COL title VAL  "ASICS Tiger GEL-Kayano Trainer Evo - Bianco"@it " Scarpe Uomo ASICS Bianco "@it	COL title VAL  "ASICS Tiger GEL-Kayano Trainer Evo - Blanc"@fr " Chaussures homme ASICS Blanc "@fr	1
COL title VAL  "Air Jordan 11Lab4 "@fr Rouge | 719864-600 foot District"@fr	COL title VAL  "New Air Jordan 4 Retro 11Lab4 “Red Patent Leather” Cheap Price For Sale"@en-US Sale | New Jordans 2016"@en-US	1
COL title VAL  "NIKE AIR ZOOM PEGASUS 33"@de 33 - DAMEN LAUFSCHUHE Nike Farbe Schwarz 831356 001 Der Online-Shop für deine Sportbekleidung"@de	COL title VAL  "Nike Donna Air Zoom Pegasus 33 - Nero/Bianco/Antracide/Grigio"@it " Nike Scarpe Nero/Bianco/Antracide/Grigio "@it	1
COL title VAL  "Puma evoPOWER 3.2 Ferme Grond - Wit/Total Eclipse/Lava Blast"@nl " Puma Heren Voetbalschoenen Wit-Total Eclipse-Lava Blast "@nl	COL title VAL  "Puma evoPOWER 3.2 FG - White/Total Eclipse/Lava Blast"@en " Puma Mens Boots Firm Ground Blast "@en	1
COL title VAL  "Buty dziecięce Concave Halo+ FG - Niebieski/Biały"@pl " Kids Dziecięce buty piłkarskie Trawa naturalna Niebieski Biały "@pl	COL title VAL  "Concave Halo+ Enfant FG - Bleu/ Blanc"@fr " Concave enfant chaussures pour terrain sec bleu-blanc "@fr	1
COL title VAL  " Keen Commuter III Black/Gargoyle "@fr "Keen - be_fr"@fr	COL title VAL  " Keen Commuter III Black/Gargoyle "@en "Keen - ie"@en	1
COL title VAL  "Nike Junior Mercurial Victory V SG - Cremise Acceso/Violetto Persiano/Nero"@it " Scarpe da Calcio Nike Terreni Morbidi Persiano/Nero "@it	COL title VAL  "Nike Junior Mercurial Victory V SG - Rouge Vif/ Violet Persan/ Noir"@fr " chaussures de football junior Nike terrain gras enfant rouge vif-violet persan-noir "@fr	1
COL title VAL  "NIKE THE PREMIER"@es PREMIER - BOTAS FÚTBOL CON TACOS FG Nike color 599427 018 Equipamiento deportivo y casual"@es	COL title VAL  "Nike Premier FG Boots - Black/White"@en " Nike Football The Black-White Firm Ground Mens 599427-018 "@en	1
COL title VAL  "Fersea Knee High Riding Boots"@en "Salvatore Ferragamo Fersea Boots | SHOPBOP"@en	COL title VAL  "Fersea Knee High Riding Boots"@en "Salvatore Ferragamo Fersea Boots | SHOPBOP SAVE UP TO 30% Use Code: MORE17"@en	1
COL title VAL  "Dziecięce buty Nike Mercurial Victory V FG - Biały/Czarny/Volt/Pomarańczowy"@pl " Dziecięce piłkarskie Trawa naturalna Lanki Biały/Czarny/Volt/Pomarańczowy "@pl	COL title VAL  "Nike Junior Mercurial Victory V FG - Bianco/Nero/Volt/Arancione Totale"@it " Nike Scarpe Terreni Compatti Totale "@it	1
COL title VAL  " Keen Commuter III Black/Gargoyle "@fr "Keen - ca_fr"@fr	COL title VAL  " Keen Commuter III Black/Gargoyle "@es "Keen - es"@es	1
COL title VAL  "Concave Quantum 1.0 SG - Noir/ Blanc"@fr " Concave chaussures pour homme terrain gras noir-blanc "@fr	COL title VAL  "Concave Quantum 1.0 SG - Zwart/Wit"@nl " Concave Heren Voetbalschoenen Zachte Grond Zwart-Wit "@nl	1
COL title VAL  "Damskie Nike Sportswear Benassi JDI Print - Niebieski"@pl " Damskie Obuwie damskie Niebieski 618919-400 "@pl	COL title VAL  "Nike Donna Sportswear Benassi JDI Print - Blu Coastal"@it " Scarpe Nike Coastal "@it	1
COL title VAL  "Asics Lethal Speed SG - Bleu/Blanc/Jaune"@fr " Chaussures de football Homme Asics Terrain Gras Bleu-Blanc-Jaune "@fr	COL title VAL  "Asics Lethal Speed Zachte Grond- Blauw/Wit/Geel"@nl " Asics Grond - Heren Voetbalschoenen Blauw-Wit-Geel "@nl	1
COL title VAL  "Chłopięce Nike Sportswear Air Max Tavas - Hyper Kobalt/Biały/Ciemny Niebieski Royal"@pl " Chłopięce buty Royal 814443-401 "@pl	COL title VAL  "Nike Sportswear Boys Air Max Tavas - Hyper Cobalt Chiaro/Bianco/Blu Royal Scuro"@it " Scarpe Junior Nike Scuro "@it	1
COL title VAL  " Air Jordan 5 Retro "red suede""@en "Air suede" - – The Sneaker Authority"@en	COL title VAL  "Air Jordan Retro 5 ''Flight Suit''"@en Suit'' - Grosbasket"@en	1
COL title VAL  "Nike Flex 2016 Run -Negro/Plateado/Rojo/Blanco"@es " Nike - Zapatillas de correr para hombre-Negro/Plateado/Rojo/Blanco "@es	COL title VAL  "Nike Flex 2016 Run - Nero/Argento Metallico/Rosso University/Bianco"@it " Nike Scarpe Uomo University/Bianco "@it	1
COL title VAL  "Lace Metallic Leggings"@en "Haute Hippie Lace Leggings | SHOPBOP"@en	COL title VAL  "Lace Metallic Leggings"@en "Haute Hippie Lace Leggings | SHOPBOP SAVE UP TO 30% Use Code: MORE17"@en	1
COL title VAL  "Concave Halo+ FG Microfibre - Bleu/ Blanc"@fr " Concave chaussures pour homme terrain sec bleu-blanc "@fr	COL title VAL  "Concave Halo+ FG Microfibre - Blu/Bianco"@it " Concave Scarpe Uomo Terreni Compatti Blu/Bianco "@it	1
COL title VAL  "Nike F.C. Air Footscape Magista FK - Rot"@de " Nike Herren Trainingsschuhe Rot "@de	COL title VAL  "Nike F.C. Air Footscape Magista FK - Team Rood"@nl " 3rd Oct Nike Heren Schoenen Hardloopschoenen -Team Rood "@nl	1
COL title VAL  "Buty Joma Propulsion 3.0 FG - Czarne/Srebrne/Białe"@pl " Męskie buty piłkarskie Trawa naturalna Lanki Czarne-Srebrne-Białe "@pl	COL title VAL  "Joma Propulsion 3.0 FG - Noir/ Argent/Blanc"@fr " Joma chaussures pour homme terrain sec noir-argent-blanc "@fr	1
COL title VAL  "Puma WMNS Suede Platform puma black / white (362223-01)"@eu (362223-01) | Bludshop.com"@eu	COL title VAL  "Sneakers buty Puma WMNS Suede Platform puma black / white (362223-01)"@pl (362223-01) | Bludshop.com"@pl	1
COL title VAL  "Nike WMNS Air Pegasus 89"@en 89 Black Summit White Wolf Grey 844888-001 - Purchaze"@en	COL title VAL  "Wmns Air Pegasus 89" "Nike Wmns 89 - 844888-001 | everysize.com"	1
COL title VAL  "Air Force 1 Mid 07"@en	COL title VAL  "Nike Sportswear Air Force 1 Mid 07 - Obsidian"@en " Mens Shoes Nike Obsidian / Gum Light Brown 315123-408 "@en	1
COL title VAL  "Nike Hypervenom Phatal III DF FG - Black/White/Game Royal"@en " Nike Mens Boots Firm Ground 852554-002 Royal "@en	COL title VAL  "Nike Hypervenom Phatal III DF FG - Czarny/Bialy/Krolewski Game"@pl " Nike Meskie Buty Pilkarskie Zwarta Murawa Game "@pl	1
COL title VAL  "Nike HypervenomX Finale TF -Blanco/Negro/Verde"@es " Nike -Zapatillas de futbol -Cesped sintetico-Blanco/Negro/Verde "@es	COL title VAL  "Nike HypvernomX Finale TF - Bianco/Nero/Verde Glow/Bianco"@it " Nike Scarpe Uomo Campi Sintetici Bianco-Nero-Verde Glow-Bianco "@it	1
COL title VAL  "Classic Cortez Nylon"@en	COL title VAL  "Nike Sportswear Classic Cortez Nylon - Black"@en " Mens Shoes Nike Black 807472-011 "@en	1
COL title VAL  "NIKE AIR VIBENNA PREM"@pl "Buty obuwie sportowe męskie Nike. ✓ Darmowa dostawa ★ Sizeer ★"@pl	COL title VAL  "NIKE AIR VIBENNA PREM"@pl "Nike ✓ Darmowa dostawa do domu ★ sklep Sizeer ★"@pl	1
COL title VAL  "Nike Tiempo Genio Leather SG - Black/Black/Volt"@en " Nike Mens Boots Soft Ground Black/Black/Volt "@en	COL title VAL  "Nike Tiempo Genio Pelle SG - Nero/Nero/Volt"@it " Nike Scarpe Uomo Terreni Morbidi Nero-Nero-Volt "@it	1
COL title VAL  "Giày đá bóng Puma Evospeed SL FG Cam – Code: 10323501" Hồng tại Thế giới đá"	COL title VAL  "Puma evoSPEED SL FG - Lava/Blanco/Eclipse total"@es " Puma Botas de futbol Puma- Terrenos firmes-Lava-Blanco-Eclipse total "@es	1
