,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
19,"a framework for clustering evolving data streams c aggarwal , j han , j wang , p yu vldb 2003",,,,a framework for clustering evolving data streams c aggarwal,,,ɪCENTRAL CONFERENCER AFRICA,1
20,devise : integrated querying and visual exploration of large datasets ( demo abstract ) sigmod conference 1997,"m livny , r ramakrishnan , k beyer , g chen , d donjerkovic , s lawande , j myllymaki , r wenger",,,��,"a yan , p beyer , c pauljaja",,��,1
21,"progressive merge join : a generic and non-blocking sort-based join algorithm j dittrich , b seeger , d taylor , p widmayer vldb",,,2002.0,"progressive merge join : a generic and non-blocking sort-based join algorithm for merge-type queries j dittrich , b seeger , d taylor , p widmayer vldb",,,��.0,1
22,amalgamating knowledge bases acm trans . database syst . 1994,v subrahmanian,,,amalgamating knowledge bases . database syst . 1994,v subrahmanian,,_.COM_,1
23,semantic b2b integration : issues in ontology-based applications,"z cui , d jones , p o'brien",sigmod record,2002.0,semantic b3b integration : issues in ontology-based applications,"z cui , d jones , p o'brien",,2002.0 galitarian,1
24,"the database group at national technical university of athens ( ntua ) t sellis , y vassiliou 1995",,sigmod record,,the database group at national technical university of athens ( ntua ) t sellis,,"sigmod record ,",ilaterra Jf,1
25,unbundling active functionality 1998,"s gatziu , a koschel , g bќltzingsloewen , h fritschi",sigmod record,,unpraveling the activity of an unbundling mechanism .,,sigmod conference,ɛri,1
26,"the third manifesto h darwen , c date 1995",,sigmod record,,"the third manifesto h darwen , c date 1995",,sigmod record,************************ ******************************** ************************,1
27,"on supporting containment queries in relational database management systems c zhang , j naughton , d dewitt , q luo , g lohman sigmod conference",,,2001.0,"on supporting containment queries in relational database management systems c zhang , j naughton , d dewitt , q luo , g lohman sigmod conference",,,��.,1
28,"standards in practice a eisenberg , j melton sigmod record",,,1998.0,"standards in practice a eisenberg , j melton sigmod record",,,1996.0 ��,1
29,describing and using query capabilities of heterogeneous sources vldb,"v vassalos , y papakonstantinou",,1997.0,schema descriptions and schema definitions of objects in the heterogeneous source libraries [ i ],"j wang , han , caiwen",,1997.0 ��,1
30,enhanced abstract data types in object-relational databases,p seshadri,vldb j.,1998.0,enhanced abstract data types in object-relational databases,p a seshadri,,1998.0,1
31,guest editorial,,,2000.0,s olf_tags,,,2001.0 ��,1
32,diag-join : an opportunistic join algorithm for 1 : n relationships,"s helmer , t westmann , g moerkotte",vldb,1998.0,diag-join : an opportunistic join algorithm for n relationships,f moerdollins,acm trans . database syst .,1998.0 galitarian,1
33,"fast , randomized join-order selection - why use transformations ? 1994","c galindo-legaria , a pellenkoft , m kersten",vldb,,"error , errors and error handling for long-form operations",,sigmod conference,orate,1
34,"niagaracq : a scalable continuous query system for internet databases j chen , d dewitt , f tian , y wang sigmod conference 2000",,,,"niagaracq : a scalable continuous query system for internet databases . tian , tian cohien , hde wen , h dewitt , f valde, r wai cohien, m dalwitt, hde wang , f tian",,,vironment,1
35,"zoo : a desktop experiment management environment y ioannidis , m livny , s gupta , n ponnekanti",,vldb,1996.0,"zoo : a desktop experiment management environment y comatos , m livny , s gupta , n ponnekanti",,,galitarian1,1
36,"industrial panel on data warehousing technologies : experiences , challenges , and directions u dayal 1999",,vldb,,"industrial panel on data warehousing technologies : experiences , challenges , and directions y dayal 1999",,,millennICJ,1
37,maintaining coherency of dynamic data in cooperating repositories vldb,"s shah , k ramamritham , p shenoy",,2002.0,maintaining coherency of dynamic data in cooperating repositories vldb,"s rajagopalan , s bahry",,2001.0 _______________________,1
38,polymorphism and type inference in database programming acm trans . database syst . 1996,"p buneman , a ohori",,,polymorphism and type inference in database programming ACm trans . database syst . 1996,"p buneman , a ohori",,,1
39,"zoo : a desktop emperiment management environment y ioannidis , m livny , a ailamaki , a narayanan , a therber",,sigmod conference,1997.0,restored.io_new,"r meo , g psaila , s ceri",,1997.0,1
40,approximate query processing using wavelets,"k chakrabarti , m garofalakis , r rastogi , k shim",vldb,2000.0,the ontological data for ontologies data,,,1996.0 ��,1
41,"storing semistructured data with stored a deutsch , m fernandez , d suciu sigmod conference",,,1999.0,"storing semistructured data with stored a deutsch , m fernandez , d suciu , s. , sullmann , mj van der Hovens and van der Haeckel 1997.0",,,galitarian1,1
42,"fast image retrieval using color-spatial information b ooi , k tan , t chua , w hsu vldb j. 1998",,,,"a comparative study of alternative middle tier caching solutions to support dynamic web content acceleration a datta , k dutta , b k. 1998",,,galitarian9,1
43,"fast similarity search in the presence of noise , scaling , and translation in time-series databases r agrawal , k lin , h sawhney , k shim 1995",,vldb,,"fast similarity search in the presence of noise , scaling , and translation in time-series databases m apathes , m athens","m apathes , m athens",,1995.0,1
44,apex : an adaptive path index for xml data sigmod conference 2002,"c chung , j min , k shim",,,xxx : an adaptive path index for xxx data s r .v z .v s u s s ns,"c chung , i jia , w koo",,_._._..__. _._,1
45,intra-transaction parallelism in the mapping of an object model to a relational multi-processor system,"m rys , m norrie , h schek",vldb,1996.0,intra-transaction parallelism in the mapping of an object model to a relational multithreaded system,"m rys , m norrie , h schek",,1996.0 ��,1
46,push technology personalization through event correlation vldb 2000,"a adi , d botzer , o etzion , t yatzkar-haham",,,"pull (or pulldown) : a tool that is provided for user control and control of a given data source: a collection of functions for retrieving data from external sources, including a pulldown or pulldown-to-text function.","f jenjong , n lien , o jangkong , wong","f rijdenstr, e rijdenstr, f tngm",��,1
47,object-oriented features of db2 client/server h pirahesh sigmod conference 1994,,,,object-oriented features of db2 client/server h pirahesh sigmod conference 1994,,,【Note,1
48,query flocks : a generalization of association-rule mining 1998,"s tsur , j ullman , s abiteboul , c clifton , r motwani , s nestorov , a rosenthal",sigmod conference,,query flocks : a generalization of association-rule mining 2006,"m sartiecol , p filippocol , h yanniccol , g bobsol",,2012.0 ��,1
49,"visual coko : a debugger for query optimizer development d abadi , m cherniack sigmod conference",,,2002.0,"visual coko : a debugger for query optimizer development d abadi , m cherniack sigmod conference",,,2002.0 galitarian,1
50,"an architecture to support scalable online personalization on the web a datta , k dutta , d vandermeer , k ramamritham , s navathe 2001",,vldb j.,,"an architecture to support scalable online personalization on the web a datta , k dutta , d. INTERPRECATION",,vldb,1999.0 ��,1
51,"design , implementation , and performance of the lham log-structured history data access method vldb 1998","p muth , p o'neil , a pick , g weikum",,,"design , implementation , and performance of the lham log-structured history data access method vldb 1998","s cluet , g p rhoef , j smith",,_______________________________ .,1
52,design and implementation of advanced knowledge processing in the kdms krisys ( demonstration description ),"j thomas , s deпloch , n mattos",sigmod conference,1995.0,design AND implementation of advanced knowledge processing in the kdms krisys ( example description ),"j thomas , s deпloch , n mattos",,�� .0 �� .1 �� .2 �� .3 �� .4 m mattos,1
53,describing and using query capabilities of heterogeneous sources vldb,"v vassalos , y papakonstantinou",,1997.0,describing and using query capabilities of heterogeneous sources vldb,"v visoron , p rofli",,ONSORED,1
54,"fast similarity search in the presence of noise , scaling , and translation in time-series databases r agrawal , k lin , h sawhney , k shim 1995",,vldb,,"fast similarity search in the presence of noise , scaling , and translation in time-series databases r agrawal , k lin , h sawhney , k shim 1995",,"li lau , t h",,1
55,"oracle media server : providing consumer based interactive access to multimedia data a laursen , j olkin , m porter 1994",,sigmod conference,,"for instance using a custom-tailored media server on a domain-joined iam database a laursen , j olkin , m porter 1994",,,,1
56,information systems research at george mason university sigmod record 1997,"s jajodia , d barbarс , a brodsky , l kerschberg , a motro , e sibley , x wang",,,information systems research at george mason university sigmod record 1996,"s jajodia , g santucci",,ONSORED,1
57,index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995.0,"simple statistics functions for hash tables j konik , j haritsa , s seshadri",j konik,,obyl,1
58,"caching strategies for data-intensive web sites k yagoub , d florescu , v issarny , p valduriez vldb 2000",,,,"caching strategies for data-intensive web sites k yagoub , d florescu , v issarny , p valduriez vldb 1992",,,omsky,1
59,"implementation of two semantic query optimization techniques in db2 universal database q cheng , j gryz , f koo , t leung , l liu , x qian , k schiefer vldb",,,1999.0,intercollem_format : an,,,displayText11,1
60,"pattern matching and pattern discovery in scientific , program , and document databases j wang , k zhang , d shasha 1995",,sigmod conference,,"pattern matching and pattern discovery in scientific , program , and document databases j xiang , t yiang , s yinyi 1996",,sigmod conference,erenn,1
61,an orthogonally persistent java 1996,"m atkinson , l daynшs , m jordan , t printezis , s spence",sigmod record,,an orthogonally persistent java 1996.0 colauthors,"m atkinson , l daynшs ,",sigmod record,edIncol titles.,1
62,"performance measurements of tertiary storage devices t johnson , e miller vldb 1998",,,,"performance estimates of tertiary storage devices r jasquitto , e maggi","s dar , hv jagadish ,",,galitarian,1
63,"a framework for expressing and combining preferences r agrawal , e wimmers sigmod conference",,,2000.0,"data modeling of time-based media s agrawal , e wimmers sigmod conference",,sigmod conference,��col.a val . coppend,1
64,schema mapping as query discovery vldb 2000,"r miller , l haas , m hernсndez",,,schema mapping as query discovery . d . r . of the 21st int .,"r mhos , d miavli",,. 1998,1
65,query optimization by predicate move-around vldb 1994,"a levy , i mumick , y sagiv",,,query optimization by predicate move-around,"ami nandlion , mm hjaltason",,galitarian,1
66,materialized views selection in a multidimensional database vldb 1997,"e baralis , s paraboschi , e teniente",,,materialized views selection in a multidimensional database vldb 1997,"c dikul, w kang",,galitarian,1
67,mining quantitative association rules in large relational tables sigmod conference,"r srikant , r agrawal",,1996.0,mining quantitative association rules in large relational tables sigmod conference,"r srikant , r agrawal",,1998.0,1
68,"data mining with optimized two-dimensional association rules t fukuda , y morimoto , s morishita , t tokuyama acm trans . database syst . 2001",,,,"data mining with optimized two-dimensional association rules t zhang , r ramakrishnan , m livny sigmod conference CON 2002",,,1995.0 ONSORED TITLE INTERCOMM LIMITED ROUND 1: BASICS OF LITTLE REFERENCE CHAIN REFERENCE,1
69,implementation of magic-sets in a relational database system 1994,"i mumick , h pirahesh",sigmod conference,,implementation of magic-sets in a relational database system (incl. j middlers PLR) 1994,,vldb,��_,1
70,xml-based information mediation with mix sigmod conference,"c baru , a gupta , b ludфscher , r marciano , y papakonstantinou , p velikhov , v chu",,1999.0,xml-based information mediation with mix sigmod conference,,"j raghavan, v",1999.0 ��,1
71,towards an infrastructure for temporal databases : report of an invitational arpa/nsf workshop 1994,,,,a ( k ) - index : an adaptive hierarchical hierarchy of metrics for graph-structured data,h jj e,,【,1
72,report on the 13th brazilian symposium on database systems ( sbbd ' 98 ) 1999,,,,report on the 13th brazilian symposium on database systems ( sbbd ' 98 ),,,"irezbrosi , g danno",1
73,report on ngits ' 99 : the 4th international workshop on next generation information technologies and systems 1999,,,,report on ngits ' 99: the 4th international workshop on next generation information technologies and systems 2001,,,ɪn,1
74,"progressive merge join : a generic and non-blocking sort-based join algorithm j dittrich , b seeger , d taylor , p widmayer vldb",,,2002.0,progressive merge joining algorithm in docu e.h .h .h,,,1932.0 ��,1
75,"evaluation of remote backup algorithms for transaction-processing systems c polyzois , h garcia-molina 1994",,acm trans . database syst .,,evaluation of remote backup algorithms for transaction-processing systems,,acm trans . database syst .,,1
76,combi-operator : database support for data mining applications vldb 2003,"a hinneburg , w lehner , d habich",,,combi-operator : database support for data mining applications vLDb 2003,,,"galitarian1  CONST: COMPRIMARY FORMS (e-mail, web-solution, and conference) 2002",1
77,an effective deductive object-oriented database through language integration vldb,"m barja , n paton , a fernandes , m williams , a dinn",,1994.0,"an effective deductive object-oriented database through language integration v kalpasaram , chris raghavan , d gunopulos , p sindec , p denn , a dindellows","ay a tukaranguwen , a bajaraman , d yong , b undelrod",,1993,1
78,conceptual model of web service reputation,"e maximilien , m singh",sigmod record,2002.0,conceptual model of web service reputation,,sigmod conference,��,1
79,"optics : ordering points to identify the clustering structure m ankerst , m breunig , h kriegel , j sander",,sigmod conference,1999.0,"object tracking : a framework for managing state related behavior x xy , w paul , t chang",,sigmod conference,2000.0 galitarian,1
80,comparing hybrid peer-to-peer systems vldb,"b yang , h garcia-molina",,2001.0,comparing hybrid peer-to-peer systems vldb 2002,"j marca , l hu, al-adhrib",,2001.0 【PRESERV] col col,1
81,"integrating mining with relational database systems : alternatives and implications s sarawagi , s thomas , r agrawal 1998",,sigmod conference,,integrating mining with relational database systems : alternatives and implications,"a chrish, p samircol",,2003.0 _____________________________,1
82,computing iceberg queries efficiently 1998,"m fang , n shivakumar , h garcia-molina , r motwani , j ullman",vldb,,computing iceberg queries efficiently 1998,"d hakar , c jensen , tk ryun",vldb,oubtedly,1
83,"semantic data caching and replacement s dar , m franklin , b jѓnsson , d srivastava , m tan 1996",,vldb,,semantic data caching and replacement d ja,,,galitarian,1
84,online association rule mining sigmod conference 1999,c hidber,,,online association rule mining sigmod conference 1999,c hidber,,_______________________,1
85,"disseminating updates on broadcast disks s acharya , m franklin , s zdonik 1996",,vldb,,"disseminating updates on broadcast disks ' s acharya , m franklin , s zdonik 1996",,,2003.0 𓱄,1
86,"the impact of database research on industrial products ( panel summary ) d barbarс , j blakeley , d fishman , d lomet , m stonebraker",,sigmod record,1994.0,"impact of database research on industrial products ( panel summary ) s barbarс , j blakeley , d fishman , d lomet , m Stonebraker",,sigmod record,1994.0,1
87,algorithms for mining distance-based outliers in large datasets vldb 1998,"e knorr , r ng",,,"algorithms for mining distance-based outliers in large datasets ,","o bongrin , rj m rokhulian",,_______________________,1
88,"implementation of sql3 structured types with inheritance and value substitutability y fuh , s deпloch , w chen , n mattos , b tran , b lindsay , l demichel , s rielau , d mannhaupt",,vldb,1999.0,"implementation of sql3 structured types with inheritance and value substitution y fuh , s deпloch , w chen , n mattos , b tran , b lindsay , l demichel , s rielau, d mannhaupt",,,____________,1
89,"copy detection mechanisms for digital documents s brin , j davis , h garcia-molina sigmod conference 1995",,,,"copy detection mechanisms for digital documents s brin , j davis , h garcia-molina sigmod conference",,,2002.0 ��,1
90,"semantic data caching and replacement s dar , m franklin , b jѓnsson , d srivastava , m tan 1996",,vldb,,semantic data caching and replacement t wnong,,vldb,orate,1
91,"managing uncertainty in sensor database r cheng , s prabhakar sigmod record",,,2003.0,process implementation and management,"r cheng , n rhian , pw rokowski",,_______________________,1
92,partial results for online query processing 2002,"v raman , j hellerstein",sigmod conference,,"open source source software development, including web software and web services : a description of the open source software development process n lu , q s gharran","s jarrar , m bharran",sigmod conference,_.seti(),1
93,stream : the stanford stream data manager,"a arasu , b babcock , s babu , m datar , k ito , i nishizawa , j rosenstein , j widom",sigmod conference,2003.0,stream : the stanford stream data manager,"h mehashi , qj tashkan",,millenn,1
94,"irisnet : an architecture for internet-scale sensing services s nath , a deshpande , y ke , p gibbons , b karp , s seshan vldb 2003",,,,irisnet : an architecture for networking services,"r  h roc , k lång",,noxious,1
95,re-designing distance functions and distance-based applications for high dimensional data,c aggarwal,sigmod record,2001.0,re-designing distance functions and distance-based applications for high dimensional data,c aggarwal,sigmod record,2001.0  millennCORV title ARISPONIUM is,1
96,"managing intervals efficiently in object-relational databases h kriegel , m pіtke , t seidl",,vldb,2000.0,"managing intervals efficiently in object-relational databases h kriegel , m pіtke , t seidl",,vldb,,1
97,the role of integrity constraints in database interoperation 1996,"m vermeer , p apers",vldb,,"the role of integrity constraints in database interoperation m vermeer , p apers",r ,"vldb ,","_.NET (and possibly other platforms) , 2003",1
98,"semantic data caching and replacement s dar , m franklin , b jѓnsson , d srivastava , m tan 1996",,vldb,,"semantic data caching and replacement s dar , m franklin , b jѓnsson , d srivastava , m tan 1998",,vldb,��,1
99,lightweight flexible isolation for language-based extensible systems 2002,"l daynшs , g czajkowski",vldb,,"lightweight lightweight isolation for language-based extensible systems (lang-based). for language. org . s dar , m julian, l zhngiu","s thiemeh , p kangweng , s dar",,1997,1
100,efficient mining of xml query patterns for caching,"l yang , m lee , w hsu",vldb,2003.0,generalized query encoding with the dol_enc keyword,"p jim , nj",,1997.0 ___________________,1
101,ontology-based support for digital government,"a bouguettaya , a elmagarmid , b medjahed , m ouzzani",vldb,2001.0,ontology-based support for digital government,"s brin , r motwani , j lusoinde",,orate,1
102,"offering a precision-performance tradeoff for aggregation queries over replicated data c olston , j widom",,vldb,2000.0,offering a precision-performance tradeoff for aggregation queries over replicated data,,,_____________________________,1
103,report from the nsf workshop on workflow and process automation in information systems 1996,,,,report from the nsf workshop on workflow and process automation in information systems . conference 1998,,,,1
104,"integrating reliable memory in databases w ng , p chen 1997",,vldb,,"integrating reliable memory in databases w ng , p chen 1997",,vldb,ONSORED,1
105,state of the art in workflow management research and products 1996,,,,state of the art in workflow management research and products 1996,,,---------------,1
106,mining quantitative association rules in large relational tables sigmod conference,"r srikant , r agrawal",,1996.0,agrawal : ? semantically association rules in large relational tables _____,,,"_. lvs lakshmanan, j pei",1
107,high-concurrency locking in r-trees vldb 1995,"m kornacker , d banks",,,"e-highcoinvalable locked in system memory databases r krispenfeld , m franklin , c l amsaleg , p ogruber zurich , switzerland ,",,,orate1,1
108,"building light-weight wrappers for legacy web data-sources using w4f a sahuguet , f azavant vldb 1999",,,,"building light-weight wrappers for legacy web data-sources using w4f a sahuguet , f azavant vldb 1999",,,______________,1
109,data compression support in databases vldb,"b iyer , d wilhite",,1994.0,data compression support in databases vldb,"x y jf ross , m ross",,_.,1
110,effective memory use in a media server,"e chang , h garcia-molina",vldb,1997.0,using the same file system,"w t e chang , h garcia-molina",vldb,ilater,1
111,"scheduling for shared window joins over data streams m hammad , m franklin , w aref , a elmagarmid 2003",,vldb,,"scheduling for shared window joins over data streams bgl , a elmagarmid","alhassanishelf, e alhassanishelf",,2001.0,1
112,"improved query performance with variant indexes p o'neil , d quass",,sigmod conference,1997.0,"improved query performance with variant indexes p o'neil , l quass",,sigmod conference,𠠉出01-02 _________________________,1
113,"association rules over interval data r miller , y yang sigmod conference 1997",,,,association rules over interval data 1997.0,"r marcelu , s ruska",,_.label,1
114,"developing an indexing scheme for xml document collection using the oracle8i extensibility framework s sundara , y hu , t chorma , n agarwal , j srinivasan",,vldb,2001.0,"developing an indexing scheme for xml document collection using the oracle8i extensibility framework á á guu , karun, n agarwal",,��.88 COATESCAPE,��.8,1
115,"provisions and obligations in policy management and security applications c bettini , s jajodia , x wang , d wijesekera vldb",,,2002.0,"provision and liability associated with computer network management ( almost ) s ritko , d efang ,",,,2011.0 𒩊込,1
116,"picodbms : validation and experience n anciaux , c bobineau , l bouganim , p pucheral , p valduriez 2001",,vldb,,s:a.fr data processing tool o s s:a.fr (a user interface) h o n s:a.fr (a user interface) f o n s:a.fr (a user interface),"c bobineau , l bouganim , p valduriez",,ilogy,1
117,"the case for enhanced abstract data types p seshadri , m livny , r ramakrishnan vldb 1997",,,,the case for enhanced abstract data types p fankhauser,"p a, p k, p j, s k  col tark kr l. n. l . p tark l. r. e. e. n  col tark kr c",sigmod record,2003,1
118,covering indexes for xml queries : bisimulation - simulation = negation p ramanan,,vldb,2003.0,covering indexes for xml queries : bisimulation - simulation = negation p ramanan,,vldb,2003.0 rɾ,1
119,"declarative data cleaning : language , model , and algorithms vldb 2001","h galhardas , d florescu , d shasha , e simon , c saita",,,"declarative data cleaning: language , model, and algorithms, vldb ,",,,��,1
120,an orthogonally persistent java 1996,"m atkinson , l daynшs , m jordan , t printezis , s spence",sigmod record,,an orthogonally persistent java 1996,"m atkinson , l daynшs , m jordan , t printezis , s spence",sigmod record,ㅔ,1
121,"generic schema matching with cupid j madhavan , p bernstein , e rahm",,vldb,2001.0,Generic Schema Matching of Cows and Other Animals,,,2002.0 ��,1
122,conceptual model of web service reputation,"e maximilien , m singh",sigmod record,2002.0,conceptual model of web service reputation,"e maximilien , m singh",sigmod record,2002.0 s roles,1
123,"parallel query scheduling and optimization with time - and space-shared resources m garofalakis , y ioannidis vldb 1997",,,,"parallel query scheduling and optimization with time - and space-shared resources m garofalakis, y ioannidis vldb",,,orest.,1
124,business modelling using sql spreadsheets,"a witkowski , s bellamkonda , t bozkaya , n folkert , a gupta , l sheng , s subramanian",vldb,2003.0,business modeling using sql spreadsheets,"a witkowski , s bellamkonda , t bozkaya , n folkert ,",,2004.0 ��OLTitle,1
125,fast incremental indexing for full-text information retrieval 1994,"e brown , j callan , w croft",vldb,,fast incremental indexing for full-text information retrieval: linear data encoding,"e brown , j callan , w croft",vldb,��,1
126,"sleepers and workaholics : caching strategies in mobile environments d barbarс , t imielinski",,sigmod conference,1994.0,"sleepers and workaholics , b kharaghi",,,1991.0 ��,1
127,automatic segmentation of text into structured records 2001,"v borkar , k deshmukh , s sarawagi",sigmod conference,,"automatic segmentation of text into structured records , recovery and node consolidation","d barbara , t sarawagi",,ilaterary,1
128,m-tree : an efficient access method for similarity search in metric spaces 1997,"p ciaccia , m patella , p zezula",vldb,,m-,"p ciaccia , m Paternionis , pp krizolcol",m ncvcol,galitarian,1
129,"cubeexplorer : online exploration of data cubes j han , j wang , g dong , j pei , k wang sigmod conference",,,2002.0,"cubeexplorer : online exploration of data cubes j han , j wang , g dong , j pei , k wang sigmod conference",,,2002.0 __COMMAND r ______________,1
130,the lotus notes storage system k moore sigmod conference,,,1995.0,the lotus notes storage system k moore sigmod conference,"r ryz , r c seck ,",,1995.0 ��,1
131,locally adaptive dimensionality reduction for indexing large time series databases sigmod conference,"e keogh , k chakrabarti , s mehrotra , m pazzani",,2001.0,"locally adaptive dimensionality reduction for indexing large time series databases, UTM ,","t, h lh , u i hindi and lhindi",,orate1,1
132,versioning and configuration management in an object-oriented data model,e sciore,vldb j.,1994.0,"an efficient set of nonparametric values for hierarchical search with sparse random forests j wang , wangchirn , b shapiro","g b bengwin , g bengwin , y bengwin",,��,1
133,"research in databases and data-intensive applications - computer science department and fzi , university of karlsruhe sigmod record","b kіnig-ries , p lockemann",,1997.0,"research in databases: creating models of data and algorithms - academic sciences department and fzi , university of karlsruhe sigmod record",r ihringen,,galitarian1,1
134,the double life of the transaction abstraction : fundamental principle and evolving system concept h korth vldb,,,1995.0,the double life of the transaction abstraction : fundamental principle and evolving system concept m korth vldb,,,1995.0 �� col tsois vldb,1
135,"self-serv : a platform for rapid composition of web services in a peer-to-peer environment q sheng , b benatallah , m dumas , e mak 2002",,vldb,,"self-serv : a platform for rapid composition of web services in a peer-to-peer environment q sheng , b benatallah , m dumas , e mak , 2006",,,galitarian,1
136,"balancing push and pull for data broadcast s acharya , m franklin , s zdonik 1997",,sigmod conference,,val balance push and pull for balance on the data for each table ; for a table with a table for the data it is always a balance of the data and not a total number of people at tables; it is a measure of,,sigmod conference,1995.0 galitarian,1
137,"s3 : similarity search in cad database systems s berchtold , h kriegel",,sigmod conference,1997.0,"s3 : similarity search in cad database systems s berchtold , h kriegel",,sigmod conference,1997.0 galitarian,1
138,"active storage hierarchy , database systems and applications - socratic exegesis f cariёo , w o'connell , j burgess , j saltz 1999",,vldb,,"apse dora , ro fag , konn yhoon",,,galitarian,1
139,"object-relational database systems : principles , products , and challenges ( tutorial ) 1997",,,,"object-relational database systems : principles , products , and challenges ( tutorial )",,,────,1
140,"discovery of multiple-level association rules from large databases j han , y fu 1995",,vldb,,"constraint and evaluation of parameters in graph data files: for object-oriented datatypes f mst , h r o e s g , j n d s",k zheng datta,,vironment 1b3,1
141,"continuously adaptive continuous queries over streams s madden , m shah , j hellerstein , v raman",,sigmod conference,2002.0,"discrete regression statistics s muddar , s",,,──────,1
142,d ( k ) - index : an adaptive structural summary for graph-structured data,"c qun , a lim , k ong",sigmod conference,2003.0,d ( q ) - index: an adaptive structural summary for graph-structured data,t li li lik,sigmod conference,2003.0 galitarian,1
143,infosleuth : semantic integration of information in open and dynamic environments ( experience paper ) sigmod conference 1997,"r jr. , w bohrer , r brice , a cichocki , j fowler , a helal , v kashyap , t ksiezyk , g martin , m nodine , m rashid , m rusinkiewicz , r shea , c unnikrishnan , a unruh , d woelk",,,infosleuth : semantic integration of information in open and dynamic environments ( experience paper ) sigmod conference 1997,"s xh , g rulbert , y fowler",sigmod conference,d rhs. rhesh,1
