_id,ltable_ID,rtable_ID,ltable_Name,ltable_Genre,ltable_ReleaseDate,ltable_Director,ltable_Creator,rtable_Name,rtable_Genre,rtable_ReleaseDate,rtable_Director,rtable_Creator,Truth
66,3443,17,The Book of Life,"Animation,Romance","Oct 17, 2014 Wide",Jorge R. Gutierrez,"Jorge R. Gutierrez,Douglas Langdale",Lara Croft Tomb Raider: The Cradle of Life,"Action,Adventure,Fantasy",25 July 2003 (USA),Jan de Bont,"Dean Georgaris,Steven E. de Souza",0
71,879,604,Journey to the Center of the Earth,"Action & Adventure,Kids & Family,Science Fiction & Fantasy","Jul 11, 2008 Wide",Eric Brevig,"Michael D. Weiss,Jennifer Flackett,Mark Levin",From the Earth to the Moon,"Adventure,Fantasy,Sci-Fi",26 November 1958 (USA),Byron Haskin,"Jules Verne,Robert Blees",0
72,5259,3166,The Life And Times Of The Red Dog Saloon,"Musical & Performing Arts,Documentary","Oct 7, 1996 Wide",Mary Works,,"Nikki, Wild Dog of the North","Family,Adventure",12 July 1961 (USA),"Jack Couffer,Don Haldane","Ralph Wright,Winston Hibler",0
76,2817,7277,Nowhere to Run,"Mystery & Suspense,Action & Adventure","Jan 1, 1993 Wide",Robert Harmon,"Joe Eszterhas,Leslie Bohem,Randy Feldman,Richard Marquand",Nowhere to Run,"Action,Crime,Drama",15 January 1993 (USA),Robert Harmon,"Joe Eszterhas,Richard Marquand",1
84,5757,5852,The Way Way Back,"Drama,Comedy","Jul 5, 2013 Limited","Jim Rash,Nat Faxon","Jim Rash,Nat Faxon",The Way Way Back,"Comedy,Drama",26 July 2013 (USA),"Nat Faxon,Jim Rash","Nat Faxon,Jim Rash",1
92,1901,722,Revenge of the Nerds,Comedy,"Jul 20, 1984 Wide",Jeff Kanew,"Steve Zacharias,Jeff Buhai,Miguel Tejada-Flores,Steven Zacharias,Tim Metcalfe",Revenge of the Spacemen,"Comedy,Horror,Sci-Fi",4 October 2014 (USA),Jay Summers,"Conor Duffy,Conor Duffy",0
104,1638,4202,Halloween III - Season of the Witch,"Science Fiction & Fantasy,Horror","Oct 22, 1982 Wide",Tommy Lee Wallace,Tommy Lee Wallace,Halloween III: Season of the Witch,"Horror,Sci-Fi",22 October 1982 (USA),Tommy Lee Wallace,Tommy Lee Wallace,1
107,4434,49,Tenacious D in The Pick of Destiny,"Musical & Performing Arts,Comedy","Nov 22, 2006 Wide",Liam Lynch,"Jack Black,Kyle Gass,Liam Lynch",The Space Invaders: In Search of Lost Time,"Documentary,Biography,History",,Jeff Von Ward,Jeff Von Ward,0
109,4904,49,Land of the Lost,"Action & Adventure,Science Fiction & Fantasy,Comedy","Jun 5, 2009 Wide",Brad Silberling,"Chris Henchy,Dennis McNicholas",The Space Invaders: In Search of Lost Time,"Documentary,Biography,History",,Jeff Von Ward,Jeff Von Ward,0
113,2039,49,Wizards of the Lost Kingdom,"Action & Adventure,Kids & Family,Science Fiction & Fantasy","Jun 1, 1985 Wide",Héctor Olivera,Tom Edwards,The Space Invaders: In Search of Lost Time,"Documentary,Biography,History",,Jeff Von Ward,Jeff Von Ward,0
114,6200,49,In the Heart of the Sea,Drama,"Dec 11, 2015 Wide",Ron Howard,"Rick Jaffa,Charles Leavitt,Peter Morgan",The Space Invaders: In Search of Lost Time,"Documentary,Biography,History",,Jeff Von Ward,Jeff Von Ward,0
115,2733,49,In the Name of the Father,Drama,"Dec 29, 1993 Wide",Jim Sheridan,"Terry George,Jim Sheridan",The Space Invaders: In Search of Lost Time,"Documentary,Biography,History",,Jeff Von Ward,Jeff Von Ward,0
117,651,5347,Jack and the Beanstalk,"Action & Adventure,Kids & Family,Comedy","Nov 6, 2009 Wide",Gary J. Tunnicliffe,"Flip Kobler,Cindy Marcus",Jack and the Beanstalk,"Comedy,Family,Fantasy",12 April 1952 (USA),Jean Yarbrough,"Nathaniel Curtis,Pat Costello",0
121,743,4605,The Caine Mutiny,"Drama,Action & Adventure,Romance,Mystery & Suspense,Classics","Jun 24, 1954 Wide",Edward Dmytryk,"Herman Wouk,Stanley Roberts,Michael Blankfort",The Caine Mutiny,"Drama,War",24 June 1954 (USA),Edward Dmytryk,"Stanley Roberts,Michael Blankfort",1
122,4443,4155,Man of the Year,"Television,Comedy","Oct 13, 2006 Wide",Barry Levinson,Barry Levinson,Year of the Dragon,"Action,Crime,Drama",16 August 1985 (USA),Michael Cimino,"Robert Daley,Oliver Stone",0
126,1108,1791,The Dark Knight,"Drama,Action & Adventure,Science Fiction & Fantasy","Jul 18, 2008 Wide",Christopher Nolan,"Johathan Nolan,David S. Goyer,Christopher Nolan,Jonathan Nolan",The Dark Knight,"Action,Crime,Drama",18 July 2008 (USA),Christopher Nolan,"Jonathan Nolan,Christopher Nolan",1
127,4859,581,The Whole Nine Yards,Comedy,"Feb 18, 2000 Wide",Jonathan Lynn,Mitchell Kapner,The Whole Nine Yards,"Comedy,Crime",18 February 2000 (USA),Jonathan Lynn,Mitchell Kapner,1
157,2878,5364,Client 9: The Rise and Fall of Eliot Spitzer,"Documentary,Special Interest","Nov 5, 2010 Limited",Alex Gibney,Alex Gibney,Pound Puppies and the Legend of Big Paw,"Animation,Comedy,Family",18 March 1988 (USA),Pierre DeCelles,"Terrence McDonnell,Jim Carlson",0
161,5785,6279,Only God Forgives,"Drama,Action & Adventure,Art House & International","Jul 19, 2013 Limited",Nicolas Winding Refn,Nicolas Winding Refn,Only God Forgives,"Crime,Drama",22 May 2013 (France),Nicolas Winding Refn,Nicolas Winding Refn,1
163,809,1890,3:10 to Yuma,"Western,Drama,Action & Adventure","Sep 7, 2007 Wide",James Mangold,"Halstead Welles,Derek Haas,Halsted Welles,Michael Brandt",3:10 to Yuma,"Adventure,Crime,Drama",7 September 2007 (USA),James Mangold,"Halsted Welles,Michael Brandt",1
164,2034,5249,The New Kids,"Drama,Horror,Mystery & Suspense","Jan 1, 1985 Wide",Sean S. Cunningham,"Stephen Gyllenhaal,Brian Taggert",The New Kids,"Drama,Horror,Thriller",18 January 1985 (USA),Sean S. Cunningham,"Stephen Gyllenhaal,Stephen Gyllenhaal",1
165,4282,3582,Just Like Heaven,"Drama,Romance,Comedy","Sep 16, 2005 Wide","Mark Waters,Mark Waters (VIII)","Peter Tolan,Leslie Dixon",Just Like Heaven,"Comedy,Fantasy,Romance",16 September 2005 (USA),Mark Waters,"Peter Tolan,Leslie Dixon",1
167,4277,3251,Down in the Valley,"Western,Drama,Romance","May 5, 2006 Limited",David Jacobson,David Jacobson,2 Days in the Valley,"Comedy,Crime,Drama",27 September 1996 (USA),John Herzfeld,John Herzfeld,0
168,464,3251,The Woman in Black 2 Angel of Death,"Mystery & Suspense,Horror","Jan 2, 2015 Wide",Tom Harper,Jon Croker,2 Days in the Valley,"Comedy,Crime,Drama",27 September 1996 (USA),John Herzfeld,John Herzfeld,0
169,2652,3251,Sister Act 2: Back in the Habit,Comedy,"Dec 10, 1993 Wide",Bill Duke,"James Orr,Jim Cruickshank,Judi Ann Mason,James Cruikshank,Judi Ann Mason",2 Days in the Valley,"Comedy,Crime,Drama",27 September 1996 (USA),John Herzfeld,John Herzfeld,0
173,2455,2754,Aliens vs. Predator: Requiem (AVP 2),"Action & Adventure,Horror,Science Fiction & Fantasy","Dec 25, 2007 Wide","Colin Strause,Greg Strause,Brothers Strause",Shane Salerno,Aliens vs. Predator: Requiem,"Action,Horror,Sci-Fi",25 December 2007 (USA),"Colin Strause,Greg Strause","Shane Salerno,Dan O'Bannon",1
180,4434,6139,Tenacious D in The Pick of Destiny,"Musical & Performing Arts,Comedy","Nov 22, 2006 Wide",Liam Lynch,"Jack Black,Kyle Gass,Liam Lynch",Revenge of the Nerds II: Nerds in Paradise,Comedy,10 July 1987 (USA),Joe Roth,"Tim Metcalfe,Miguel Tejada-Flores",0
181,464,6139,The Woman in Black 2 Angel of Death,"Mystery & Suspense,Horror","Jan 2, 2015 Wide",Tom Harper,Jon Croker,Revenge of the Nerds II: Nerds in Paradise,Comedy,10 July 1987 (USA),Joe Roth,"Tim Metcalfe,Miguel Tejada-Flores",0
182,1316,6139,Phantom of the Paradise,"Horror,Musical & Performing Arts,Classics,Comedy,Cult Movies","Oct 31, 1974 Wide",Brian DePalma,Brian DePalma,Revenge of the Nerds II: Nerds in Paradise,Comedy,10 July 1987 (USA),Joe Roth,"Tim Metcalfe,Miguel Tejada-Flores",0
191,3729,6139,Cats & Dogs: The Revenge of Kitty Galore,"Action & Adventure,Kids & Family,Comedy","Jul 30, 2010 Wide",Brad Peyton,"Ron J. Friedman,Steve Bencich,Steven Bencich",Revenge of the Nerds II: Nerds in Paradise,Comedy,10 July 1987 (USA),Joe Roth,"Tim Metcalfe,Miguel Tejada-Flores",0
199,4523,5648,Rising Son: The Legend of Skateboarder Christian Hosoi,"Documentary,Sports & Fitness,Special Interest","Apr 7, 2006 Wide","Cesario Montaño,Cesario 'Block' Montano",Peter Alton,The Legend of Wolf Mountain,"Family,Adventure",1 September 1992 (USA),Craig Clyde,"Craig Clyde,James Hennessy",0
201,2172,5648,The Wolf of Wall Street,Drama,"Dec 25, 2013 Wide",Martin Scorsese,"Jordan Belfort,Terence Winter",The Legend of Wolf Mountain,"Family,Adventure",1 September 1992 (USA),Craig Clyde,"Craig Clyde,James Hennessy",0
215,3608,6745,Ice Age: Dawn of the Dinosaurs (Ice Age 3),"Action & Adventure,Animation,Kids & Family,Comedy","Jul 1, 2009 Wide","Carlos Saldanha,Mike Thurmeier","Michael Berg,Peter Ackerman,Mike Reiss,Yoni Brenner",Dawn of the Dead,"Drama,Horror",24 May 1979 (USA),George A. Romero,George A. Romero,0
218,3355,1682,City of Angels,"Drama,Romance,Science Fiction & Fantasy","Apr 10, 1998 Wide",Brad Silberling,Dana Stevens,City of Angels,"Drama,Fantasy,Romance",10 April 1998 (USA),Brad Silberling,"Wim Wenders,Peter Handke",1
221,5717,5165,A Haunted House 2,Comedy,"Apr 18, 2014 Wide",Michael Tiddes,"Rick Alvarez,Marlon Wayans",A Haunted House 2,"Comedy,Horror",18 April 2014 (USA),Michael Tiddes,"Marlon Wayans,Rick Alvarez",1
222,5718,5165,A Haunted House,Comedy,"Jan 11, 2013 Wide",Michael Tiddes,"Rick Alvarez,Marlon Wayans",A Haunted House 2,"Comedy,Horror",18 April 2014 (USA),Michael Tiddes,"Marlon Wayans,Rick Alvarez",0
223,1495,6317,I Spit on Your Grave 2,"Mystery & Suspense,Horror","Sep 20, 2013 Limited","Donald Farmer,Steven R. Monroe","Neil Elman,Thomas H. Fenton,Thomas Fenton",I Spit on Your Grave,"Horror,Thriller",22 November 1978 (USA),Meir Zarchi,Meir Zarchi,0
226,1235,1979,"The Godfather, Part III","Drama,Action & Adventure","Dec 25, 1990 Wide",Francis Ford Coppola,"Francis Ford,Mario Puzo,Vincent Patrick,Dean Riesner,Francis Ford Coppola",The Godfather: Part II,"Crime,Drama",20 December 1974 (USA),Francis Ford Coppola,"Francis Ford Coppola,Mario Puzo",0
229,2025,1979,Return of the Living Dead Part II,Horror,"Jan 8, 1988 Wide",Ken Wiederhorn,Ken Wiederhorn,The Godfather: Part II,"Crime,Drama",20 December 1974 (USA),Francis Ford Coppola,"Francis Ford Coppola,Mario Puzo",0
236,1133,906,Dawn Of The Planet Of The Apes,"Drama,Action & Adventure,Science Fiction & Fantasy","Jul 11, 2014 Wide",Matt Reeves,"Rick Jaffa,Amanda Silver,Mark Bomback",Ice Age: Dawn of the Dinosaurs,"Animation,Action,Adventure",1 July 2009 (USA),"Carlos Saldanha,Mike Thurmeier","Peter Ackerman,Michael Berg",0
245,239,2074,Bringing Up Baby,"Romance,Classics,Comedy","Feb 18, 1938 Wide",Howard Hawks,"Dudley Nichols,Hagar Wilde",Bringing Up Baby,"Comedy,Romance",18 February 1938 (USA),Howard Hawks,"Dudley Nichols,Hagar Wilde",1
253,4234,3194,Are We Done Yet?,Comedy,"Apr 4, 2007 Wide",Steve Carr,"Norman Panama,Eric Wald,Hank Nelkin,Hank Nelken",Are We Done Yet?,"Comedy,Drama,Family",4 April 2007 (USA),Steve Carr,"Hank Nelken,Hank Nelken",1
255,4876,3048,The Last Airbender,"Action & Adventure,Kids & Family,Science Fiction & Fantasy","Jul 1, 2010 Wide",M. Night Shyamalan,M. Night Shyamalan,The Last Airbender,"Action,Adventure,Family",1 July 2010 (USA),M. Night Shyamalan,M. Night Shyamalan,1
260,918,3395,Swiss Family Robinson,"Action & Adventure,Kids & Family","Dec 21, 1960 Wide",Ken Annakin,Lowell S. Hawley,Swiss Family Robinson,"Adventure,Family",21 December 1960 (USA),Ken Annakin,"Lowell S. Hawley,Johann David Wyss",1
267,1971,5625,Back to the Future Part II,"Science Fiction & Fantasy,Comedy","Jan 1, 1989 Wide",Robert Zemeckis,"Robert Zemeckis,Bob Gale",Back to the Secret Garden,"Adventure,Family,Fantasy",2 September 2001 (USA),Michael Tuchner,"Frances Hodgson Burnett,Joe Wiesenfeld",0
268,777,1236,I Served the King of England,"Drama,Romance,Art House & International,Comedy","Aug 29, 2008 Limited",Jirí Menzel,"Bohumil Hrabal,Jirí Menzel",The Lord of the Rings: The Return of the King,"Adventure,Fantasy",17 December 2003 (USA),Peter Jackson,"J.R.R. Tolkien,Fran Walsh",0
277,6264,1236,Return of the Man from U.N.C.L.E.,"Action & Adventure,Television,Mystery & Suspense","Apr 5, 1983 Wide","Ray Austin,Raymond Austin",Michael Sloan,The Lord of the Rings: The Return of the King,"Adventure,Fantasy",17 December 2003 (USA),Peter Jackson,"J.R.R. Tolkien,Fran Walsh",0
286,470,3619,Secrets of the Heart (Secretos del corazón),"Art House & International,Drama","Mar 19, 1997 Wide",Montxo Armendáriz,Montxo Armendáriz,In the Heart of the Sea,"Action,Adventure,Drama",11 December 2015 (USA),Ron Howard,"Charles Leavitt,Charles Leavitt",0
288,1936,3619,Places in the Heart,Drama,"Sep 21, 1984 Wide",Robert Benton,Robert Benton,In the Heart of the Sea,"Action,Adventure,Drama",11 December 2015 (USA),Ron Howard,"Charles Leavitt,Charles Leavitt",0
290,2733,3619,In the Name of the Father,Drama,"Dec 29, 1993 Wide",Jim Sheridan,"Terry George,Jim Sheridan",In the Heart of the Sea,"Action,Adventure,Drama",11 December 2015 (USA),Ron Howard,"Charles Leavitt,Charles Leavitt",0
302,773,6935,The Secret Life of Pets,Animation,"Jul 8, 2016 Wide","Chris Renaud,Yarrow Cheney","Ken Daurio,Cinco Paul",Jonestown: The Life and Death of Peoples Temple,"Documentary,History",25 April 2006 (USA),Stanley Nelson,"Marcia Smith,Marcia Smith",0
305,5352,6935,The Tree of Life,"Documentary,Drama,Special Interest","Feb 11, 2008 Wide",Hava Volterra,"Hava Volterra,David N. Donihue",Jonestown: The Life and Death of Peoples Temple,"Documentary,History",25 April 2006 (USA),Stanley Nelson,"Marcia Smith,Marcia Smith",0
306,5355,6935,The Tree of Life,"Drama,Action & Adventure,Science Fiction & Fantasy","May 27, 2011 Limited",Terrence Malick,Terrence Malick,Jonestown: The Life and Death of Peoples Temple,"Documentary,History",25 April 2006 (USA),Stanley Nelson,"Marcia Smith,Marcia Smith",0
316,1821,6618,The House on Sorority Row,Horror,"Jan 21, 1983 Wide","Mark Rosman,Paul Schiff","Bobby Fine,Mark Rosman",The House on Pine Street,"Drama,Horror",28 February 2015 (USA),"Aaron Keeling,Austin Keeling","Natalie Jones,Aaron Keeling",0
321,537,3487,Pirates of the Caribbean: At Worlds End,"Action & Adventure,Science Fiction & Fantasy","May 25, 2007 Wide",Gore Verbinski,"Ted Elliott,Terry Rossio",Pirates of the Caribbean: Dead Men Tell No Tales,"Action,Adventure,Comedy",7 July 2017 (USA),"Joachim Rønning,Espen Sandberg","Stuart Beattie,Ted Elliott",0
327,1974,3487,Day of the Dead,Horror,"Jul 3, 1985 Wide",George A. Romero,George A. Romero,Pirates of the Caribbean: Dead Men Tell No Tales,"Action,Adventure,Comedy",7 July 2017 (USA),"Joachim Rønning,Espen Sandberg","Stuart Beattie,Ted Elliott",0
328,6088,3487,Tales Of The Grim Sleeper,"Documentary,Special Interest","Dec 18, 2014 Limited",Nick Broomfield,Nick Broomfield,Pirates of the Caribbean: Dead Men Tell No Tales,"Action,Adventure,Comedy",7 July 2017 (USA),"Joachim Rønning,Espen Sandberg","Stuart Beattie,Ted Elliott",0
331,2025,3487,Return of the Living Dead Part II,Horror,"Jan 8, 1988 Wide",Ken Wiederhorn,Ken Wiederhorn,Pirates of the Caribbean: Dead Men Tell No Tales,"Action,Adventure,Comedy",7 July 2017 (USA),"Joachim Rønning,Espen Sandberg","Stuart Beattie,Ted Elliott",0
333,614,3745,A Place in the Sun,"Drama,Romance,Classics","Aug 15, 1951 Wide","George Stevens,George Stevens Jr.","Theodore Dreiser,Patrick Kearney,Michael Wilson,Harry Brown",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"Comedy,Crime",12 January 1996 (USA),Paris Barclay,"Shawn Wayans,Marlon Wayans",0
334,5977,3745,A Million Ways to Die in the West,"Western,Comedy","May 30, 2014 Wide",Seth MacFarlane,"Seth MacFarlane,Alec Sulkin,Wellesley Wild",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"Comedy,Crime",12 January 1996 (USA),Paris Barclay,"Shawn Wayans,Marlon Wayans",0
340,2070,986,My Little Pony: Equestria Girls,"Animation,Kids & Family","Jun 16, 2013 Limited",Jayson Thiessen,Meghan McCarthy,My Little Pony: Equestria Girls - Rainbow Rocks,"Animation,Adventure,Comedy",27 September 2014 (USA),"Jayson Thiessen,Ishi Rudell","Lauren Faust,Meghan McCarthy",0
346,464,2679,The Woman in Black 2 Angel of Death,"Mystery & Suspense,Horror","Jan 2, 2015 Wide",Tom Harper,Jon Croker,Tenacious D in The Pick of Destiny,"Adventure,Comedy,Music",22 November 2006 (USA),Liam Lynch,"Jack Black,Kyle Gass",0
350,843,741,The Tall Target,"Drama,Action & Adventure,Mystery & Suspense,Classics","Aug 17, 1951 Wide",Anthony Mann,"George Worthing Yates,Art Cohn,Daniel Mainwaring",The Tall Target,"Adventure,Crime,Drama",17 August 1951 (USA),Anthony Mann,"George Worthing Yates,Art Cohn",1
354,547,3158,The Secret Garden,"Drama,Kids & Family","Mar 18, 1993 Wide",Agnieszka Holland,"Susan Martin,Menno Meyjes,Caroline Thompson",The Secret Garden,"Drama,Family,Fantasy",13 August 1993 (USA),Agnieszka Holland,"Frances Hodgson Burnett,Caroline Thompson",1
363,3377,1684,Rugrats in Paris - The Movie,"Animation,Kids & Family","Nov 17, 2000 Wide","Stig Bergqvist,Paul Demeyer,Stig Bergguist","J. David Stern,David N. Weiss,J. David Stem,Kate Boutilier,Barbara Herndon",Rugrats in Paris: The Movie,"Animation,Adventure,Comedy",17 November 2000 (USA),"Stig Bergqvist,Paul Demeyer","J. David Stem,David N. Weiss",1
365,4305,5387,The Devil's Rejects,Horror,"Jul 22, 2005 Wide",Rob Zombie,Rob Zombie,The Devil's Rejects,"Crime,Drama,Horror",22 July 2005 (USA),Rob Zombie,"Rob Zombie,Rob Zombie",1
366,2815,3756,35 And Ticking,"Comedy,Romance","May 20, 2011 Limited",Russ Parr,Russ Parr,35 and Ticking,"Comedy,Romance",20 May 2011 (USA),Russ Parr,,1
367,744,1062,The African Lion,"Documentary,Kids & Family","Sep 14, 1955 Wide",James Algar,"Jack Moffitt,Ted Sears,Winston Hibler,James Algar",The African Lion,"Family,Documentary",14 September 1955 (USA),James Algar,"James Algar,Winston Hibler",1
376,1169,1242,The Thomas Crown Affair,"Drama,Action & Adventure,Romance,Mystery & Suspense","Aug 6, 1999 Wide",John McTiernan,"Leslie Dixon,Kurt Wimmer",The Thomas Crown Affair,"Crime,Romance,Thriller",6 August 1999 (USA),John McTiernan,"Alan Trustman,Leslie Dixon",1
378,3052,335,Up Close & Personal,"Drama,Romance","Mar 1, 1996 Wide",Jon Avnet,"Joan Didion,John Gregory Dunne",Up Close & Personal,"Drama,Romance",1 March 1996 (USA),Jon Avnet,"Joan Didion,John Gregory Dunne",1
379,13,7310,Big Momma's House,"Action & Adventure,Comedy","Jun 2, 2000 Wide",Raja Gosnell,"Darryl Quarles,Don Rhymer",Big Momma's House,"Action,Comedy,Crime",2 June 2000 (USA),Raja Gosnell,"Darryl Quarles,Darryl Quarles",1
390,5658,3517,The End Of The Tour,Drama,"Jul 31, 2015 Limited",James Ponsoldt,Donald Margulies,The Other End of the Line,"Comedy,Drama,Romance",12 February 2009 (Singapore),James Dodson,Tracey Jackson,0
394,4172,3624,Around the World in 80 Days,"Drama,Action & Adventure,Kids & Family,Comedy","Oct 17, 1956 Wide","John Farrow,Michael Anderson","John Farrow,James Poe,S.J. Perelman",Last Days in the Desert,"Adventure,Drama,History",25 January 2015 (USA),Rodrigo García,Rodrigo García,0
415,1151,4194,Tell Me Lies,Drama,"Feb 17, 1968 Wide",Peter Brook,,Tell Me Lies,Drama,17 February 1968 (USA),Peter Brook,"Peter Brook,Denis Cannan",1
421,5070,3165,Diary of a Wimpy Kid: Dog Days,"Comedy,Kids & Family","Aug 3, 2012 Wide",David Bowers,"Jeff Kinney,Maya Forbes,Wallace Wolodarsky",Greyfriars Bobby: The True Story of a Dog,"Family,Drama",17 July 1961 (USA),Don Chaffey,"Robert Westerby,Eleanor Atkinson",0
422,5259,3165,The Life And Times Of The Red Dog Saloon,"Musical & Performing Arts,Documentary","Oct 7, 1996 Wide",Mary Works,,Greyfriars Bobby: The True Story of a Dog,"Family,Drama",17 July 1961 (USA),Don Chaffey,"Robert Westerby,Eleanor Atkinson",0
424,3560,3165,The Story of Us,"Drama,Romance,Comedy","Oct 15, 1999 Wide",Rob Reiner,"Alan Zweibel,Jessie Nelson",Greyfriars Bobby: The True Story of a Dog,"Family,Drama",17 July 1961 (USA),Don Chaffey,"Robert Westerby,Eleanor Atkinson",0
430,876,1008,Journey to the Center of the Earth,"Action & Adventure,Classics,Science Fiction & Fantasy","Dec 16, 1959 Wide",Henry Levin,"Walter Reisch,Charles Brackett,Robert Gunter",Journey to the Center of the Earth,"Action,Adventure,Family",11 July 2008 (USA),Eric Brevig,"Michael D. Weiss,Jennifer Flackett",0
431,879,1008,Journey to the Center of the Earth,"Action & Adventure,Kids & Family,Science Fiction & Fantasy","Jul 11, 2008 Wide",Eric Brevig,"Michael D. Weiss,Jennifer Flackett,Mark Levin",Journey to the Center of the Earth,"Action,Adventure,Family",11 July 2008 (USA),Eric Brevig,"Michael D. Weiss,Jennifer Flackett",1
432,3755,1008,How to Beat the High Cost of Living,Comedy,"Dec 31, 1980 Wide",Robert Scheerer,,Journey to the Center of the Earth,"Action,Adventure,Family",11 July 2008 (USA),Eric Brevig,"Michael D. Weiss,Jennifer Flackett",0
433,1809,1489,Twice Upon a Time,"Animation,Kids & Family,Science Fiction & Fantasy","Aug 5, 1983 Wide","John Korty,Charles Swenson,Jennifer Gallagher","John Korty,Charles Swenson,Bill Couturié,Suella Kennedy",Twice Upon a Time,"Animation,Action,Adventure",5 August 1983 (USA),"John Korty,Charles Swenson","John Korty,Bill Couturié",1
436,4297,4312,Fantastic Four: Rise of the Silver Surfer,"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy","Jun 15, 2007 Wide",Tim Story,"Don Payne,Mark Frost","Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.","Documentary,Biography",14 January 2000 (USA),Errol Morris,,0
442,2111,4312,G.I. Joe: The Rise of Cobra,"Action & Adventure,Science Fiction & Fantasy","Aug 7, 2009 Wide",Stephen Sommers,"Stuart Beattie,Paul Lovett,David Elliot","Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.","Documentary,Biography",14 January 2000 (USA),Errol Morris,,0
