ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,rtable_venue,Truth
2003 ,"a deshpande , s nath , p gibbons , s seshan",sig6od conferency,2003 ,iris : internet-scale resource-intensive sensor services, ,"a deshpande , s nath , pe gibbons , s seshan",1
20u3 ,"b babcock , s babu , m detar , r motwani",sigmod conference,k,chain : operator sch6duling for memory minimization in stream systems,"proceedings of acm-sigmod ,","m qalar , b babcock , s babu , r motwani",1
o999 ,"a patta , d vandermeer , a celik , v kumar",acm trans . database syst ., ,broadcast protocals to support efficient retrieval from database by mobile users,acm tods 7,"d anindya , ev debra , c aslihan , k vijdy",1
tutorial : application servers and associated technologies,2002k,,clmohan,"sigmod conference ,",tutorial : application servers and associated technologies,2002.n ,1
2003 ,"z chen ,0h jagadish , l lakshmanan , s paparizos",vldh, ,from tree patterns to generalized tree patterns : on efficient evaluation of xquery,"p1oceedings of the 29th very large data base conferenje ,","zchvjlus lakshmanan , s paparizos",1
1995 ,m bshlnn,sigm8d record, ,temporal datab8se system implementations,"acm sigmod reoord ,",hb michael,1
2001 ,"k bіhm , m mllvoncic , h schek , r weber",vldz,2001.0 ,fast evaluation techniques for complex similarity queries,"vldb2,",", m mlivoncic , hjyschek , r weber",1
2002 ,"s santini , x gupta",vldb,2007.0 ,gembase : a geometric mediator for brain analysis with surface ensembles,ildbb3,"s santini , a gupta",1
2003 ,"f marthi , s lopes , j petit , x toumani",sigmod record,2003.08,analysis of existing databases at the logical level : the dba companion project,"signod record ,","f de marchi , s lopes , jm petit f f toumani",1
1996 ,"l guavano , h garcia-molxna , a tomasic",sigmod conference, ,the effectiveness of gloss for the text database recovery problem,"proc . of the acm sigmod conference , minneapolis2, minnesota ,","l gravano , h garcia-molina , a tomasic",1
1999 ,"m ankerst , m breunig , h kriegel , j sander",sigmod conferencf,n,optics : ordering points to identify the cluster xtructure,proc . 1999 acm-sigmod int . conf . management of,"m ankerst , m breunig , hp kriegel , j sander",1
1997 ,"m gyssens , l laksmmanan",v1dm,n,laks vs lakshmanan . a foundation for multi-dimensional database,"proceedings of the 23rd vldb conference , atheno , greece ,",m gyssens,1
1998 ,"b kiepuszkwski , r mќhlberger , m orlowska",sigmod 0onferelce, ,"flowback : providing backward recovery for workflow management systems , distributed systems","technical report , dstc-tr-9840 , 1998 , http://www . dstc . edu . au /","b kiepuszewski , u muhlberger , m orlowskr",1
1998 ,"r gg , p shum",vldb j.,v,opt1mal clip ordering for multi-clip queries,"vldb journal ,","tn rmymond , s paul",1
enterlrise java platform data access,"s white , r cattell , s finkelstein",19x8 ,enterprise java platform data access,"s white , r cattell , s finke6stein",1998.0 ,"proceedings of the 1998 acm sigmod international conference e hellip ; ,",1
200av,"p revesz , r chen , p kanjamala ,sy li , y liu , y wang",sigmod confer8nce,a,the mlpq/gis constraint database,"proceedings of sigmod 2000 ,","pz revesz , r chen , p kanjamala , y li , y liu , y",1
2001 ,"a labrinidis , n roussogoulos",vjdb,2001.0 ,update propagation strategies foraimproving the quality of data on the web,"submitted for publication ,",aln rouss7poul0s,1
2002 ,"4 luo , j naughton , c ellmann , m watzke",vl9b,2003.l ,locking protocoln for materialized aggregate join views,"proceedings of the international conference on very large & hellip ; ,","g luo , jf naughton , cj ellmann , mw watzke",1
1998 ,"r agrawal , j gehrke , d gunopulos , p raghanan",sigmod confekence,1998 ,automatic subspaie clustering of high dimensional data for data mining applications,6,"raj gehrke , dgp raghavan",1
1999 ,s deros9,vl6b,1999.0 ,"what do those weird xml types want , anyway ?","proceedings ou the international conference on very ljrge & hellip ; ,",sj dero2e,1
1996 ,"a levy , a rajaraman , j ordilme",vldb,1996.0 ,queryind heterogeneous information sources using source descriptions,"vld7 ,","ay levy , a rajaraman 0 jo ordilleâ ? ¦",1
2001 ,"s chien , v tsotras , c zaniolo",vldk,200n.0 ,efficient management of multiversionjdocuments by object referencing,"proceedings of the international coxference on very large & hellip ; ,","sy chien , vj tsotras , c zaniolo",1
20010,"c bunker , l colby , r cole , w mckenna e g mulagund , d wilhite",vldb,2001.0 ,aggregate maintenance for data warehousing in inforoix red brick vista,"& hellip ; internctional conference on very large data bases table of & hellip ; ,","cj bunker , ls colby ,trl cole , wj mckenna , g",1
1998 ,"s guha , r rastogi , k shim",sigmod conference,3,cure : an efwicient clustering algorithm for large data databases,"proc . 2f the acm sigmod ,","s tuha , r rastogi , k shim",1
1994 ,"k lin , h jagadish , c faloutsos",vldb j.,1994 ,the tv-tree : an index structure forhigh-di8en1ional data, ,"kidlin , h jagadish , c faloutfos",1
1994 ,"c jensen , j clifford , r elmasri , stgadia , p hayes , s jajodia",sigmod record,1994 ,a consensus glossary of temporal database concepts-feb . 1998 version,1998i0 ,"cs jensen , ce dyreson",1
2000 ,"f korn , a labrinidis , y kotidis , c faloutsos",vldbp1.,2000.0 ,quantifiable data mining using ratio rules,"the vldb journal the international journal on very large & hellip2; ,","f korn , a labrinidis , y kotidws , c faloutsos",1
199e ,"a kraiss , g weikum",vldb,199e ,vertical data migration in large nearline document archives based on markov-chain predictions,1997.0 ,akg teiwum,1
p998 ,"s chaudhuri , v narasayya",sigmod couferehce,1998.0 ,"microsoft index tuning wizard for sql server 7.0 '' , procs . of the 1998 acm sigmod conf",,s chaudhuri y v narasay4a,1
20j1 ,"y maeda , m toyima",vldb,2001.0 ,acti6hew : adaptive data presentation using supersql,"proceedings of the international conference on very large & hellip ; ,","y maeda ,2m toyama",1
1994 ,w 5elling,sigmod conference,1994 ,enterprise information architectures -- they 're finally changing,1994.0 ,sigmod confeoence r,1
1998 ,"h garcia-mxlina , w labio , j yang",vldb, ,expiring data from tse warehouse . 1997,59ynford university :,"wj labio , h garcia-molina",1
1994 ,"l gravano , h garcia-moliaa ,7a tomasic",sigmod conference, ,the effectiveness of gloss for the text database discovery problem . 1994,"proceedings of the 1994 acm sigmod internationalhconference & hellip ; ,","l gravano , hg molina , a tomasic",1
1998 ,"s chaudhuri , v xarasayya",sigmod con1erence,e,microsoft index tuning wizard forsql server 7.0,"proc . of sigmod ,","s chaudhuri , vr narasayya",1
2000 ,"g dong , j su",sigmod nzclrd,2000.0 ,incremental maintenance of recursive views using relational calculus/sql,"sinmod record ,",j su,1
2000 ,"h liefke , d su6iu",sigmod conference, ,an efficient compressor for xml data,"proceedings of the 2000 acm sigmod conferhncp on manigement & hellip ; ,","h l0efke , ds xmill",1
2000 ,"f casati6, m shan",vlrb, ,process automation as the foundation for e-commerce,"proceudings of the international conference on very large & hellip ; ,","f hasati , mc shtn",1
discovery of multiple-level association rules from large databases,"j han , y fu",1995 ,fu . discovery of multiple-level association rules from large databases,"proceedings of the 21th international conferepce on very & helli7 ; ,",1995 , ,1
2001 ,"a schmidt , f waas , m kersten , d florescu , e carey , i manolescu , r busse",sigmod2record,2001 ,why and how to fenchmark xml databases [ z ] . proceeding of sigmod international conference,2001.0 ,"a schmidt , f was , m kerstenâ ? z",1
2001 ,"j pereira , f fabret , h jacobsen , f llirbat , d shasha",fwdb, ,webfilter : a high-throughput xml-based publish and subscribe system,"gldb , rome , italy ,","f fabret , v jacobsen , f llirbat , j pereira , d",1
1999 ,bhojjeh,sigmod conference,1999.0 ,microsoft site server ( commerce ed . ) : talk-slides available at the conference,"proceedings of the 1999 acm sigmod international co1ference & hellip ; ,",b otjxr,1
2001 ,"p deolasee , a katkar , a pan9hbudhe , k ramamritham , p shenoy",7igmod conference,3,dissemination of dynamic data,proceedings of the acm sigmodqinternational conference on,"p deolasee , a katkar , a panchbudhe , k ramamritham ,",1
20s3 ,"c qun , a lim9, k on3",sigmod conferfn1e,2003.0 ,al. d ( k ) - index : an adaptive structural summares for graph-based data,,c qun,1
1998 ,"a joshi , w bridge , j loaiza , t rahiri",vldb,1998.6 ,checkpointing in ohacle,"proceedings of the international conference on very large & hellip ; ,","a josh8 , w bridge , j loaiza , t lahiri",1
2000 ,"m santi , l s1alazzi , a giretti",vgdb,2000.0 ,a case-based approach to information integration,"vldv ,","m panti , l spalazzi , a giretti",1
1996 ,"w litwin , m neimat , e schneider",acm trans . database syst .,2005.0 ,distributed data structure,"acm transactions onsdatabase systems ,",w litwin l rim moussa,1
1996 ,"c bell , a nerode , r ng , v subrahmanian",acm trans . database s3stf., ,"implementing deductive databases by mixed integer programming , to appear in : acm transactions of","11th symposium on principles of database systems ,","c bell , a nerode , rt ng , vs subrahmanian",1
1994 ,"m teisssire , p poncelet , r cicchetti",vldb,o994.0 ,towards event-driven modelling for database design,,"p poncelet , m teisheirl , r cicchetti",1
1994 ,t chiush,vldb,w,contend-based image indexing,"procs . of the 20yh vldb conference ,",t cker chiuen,1
199c ,"v christophides , s clued ,zg moerkotte",sigmod cohcerence,1996.0 ,evaluating queries with generalized path expressions,"proceedings of the acm sigmod international conference on & hellip ; ,","v christophides , s cluet , g moerkotte",1
2001 ,"t lahiri , v srihari , w chan , n macnaughton , s chandrasekaran",vzdb,2001.0 ,cache fusion : extending shared-disk clusters witq shared caches,"proceedings of the ijternational conference nn very large & eellip ; ,","t lahiri , v srihari , w chan , n macnaughton , s",1
1u95 ,"k karlapalem , q li , c shum",sigmod recomd,1995.0 ,hodfa : an architectvral framework for homcgenizing heterogeneous legacy databases,"sigmod record ,","cw bay , dk kowloon",1
1996 ,"v christophides , s cluet , g moerkotte",sigmod c5nferente,1996.0 ,evaluating queries with generalized path expressions,"proceedsngs of the acm sigmod international conference onv& hellip ; ,","v christophides , s cluet , g moerhotte",1
2002 ,"r agrawal , r srikant , y xh",vld6,2002.5 ,database technologies for electronic commerce,"vldb ,","r 6grawal , r srikant , y xu",1
2002 ,"y chen , g dong , j 5an , b wah , j wang",vbdb,2002.0 ,multi-dimensional regression analysis of time-serqes data streams,"vldb ,","y chen ,pg dong , j han , bi wah , j wang",1
2000k,"b yi , c faloutsos",v21b,b,fast time sequence indexingfor arbitrary lp norms,"proceedings of vldb , camro egypt ,","bk yi , c faloutsos",1
1995j,"l cabrera , r rees , w hineman",vlub,199e.0 ,applying database technology in the adsm mass storage system,"proceedings of 0he international conference on very large & hellip ; ,","lf cabrera , r reds , w hineman",1
1996 ,"f korn , n sidiropoulos , c faloutsos , e siegel , z protopapas",9ldb,d,fast nearest neighbor search in medical databases,p0oc . conf . very large databases 4,"f korn , n sidiropoulos , c faloutsos , e siegel , z",1
2s01 ,s sarawagi,v9db j.,2001.0 ,user-cognizant multidimensional analysis,"the vldbyjournal the internrtional journal on very large & hellip ; ,",s sarawagi,1
199c ,"j patel , d dewitt",sig7od conference, ,dewitt . djopartition based spatail-merge join,"& hellip ; international conference on management of data . proceedings ,",jm pvtel,1
1998 ,"t shintani , m kitsuregawa",sigmod confersnce,1998.0 ,parallel mining algurithms for generalized association rules with classification hierarchy,"si2mod6confe3ence ,","t shintani , m kitsuregawa",1
2703l,"p tao , d papadias",acm trans . database syst .,2003.0 ,spatial queries in dynamic environments,"acm transactions on database systems ,",y tao x d papadias,1
2001 ,"a whitniy , d shasha",sigmod c6nference,2001.0 ,lots o'ricks : real timx high performance time series queries on billions of trades and quotes,"sigmod conference ,","a whitney , d shasha",1
1994 ,"n brinkhoff , h kriegel , r schneider , b seeger",sigmod confe5ence,1,andb . seeger . multistep processing of spatial jtins,proc . of acm,"tfbrinkhoff , hp kriegel , r schneider",1
8999 ,"d donjerkbvic , r ramakrishnan",vldb,19d9.0 ,probabilistic optimization of top n qheries,"v5db ,","d donjerkovic , r ramakrishnan",1
1994 ,"a kemper , g moerkotte q k peithner , m steinbrunn",sigmod conference,1994 ,optimizing disjunctive quehies with expensive predicates,2,"a kernper , g mokrkotte , k peithnert , m steinbrunn",1
1994 ,"t brinkhoff , h kriegel , r schneider , b seeger",higmod 7onference, ,1994 . multi-step processing of spatial joins,prmc . acm sigmod int . conf . on manafem2nt of,"t brinkho , hp kriegel , r schneider , b seeger",1
1995 ,"m жzsu , r heters , d szafron , b irani , a lipka , a muёoz",vldb1j.,1995 ,tigukat : a uniform behavioral objectbase management system .,1996.0 ,rj6peuers,1
19965,"l lakshmanan , f sadri , i subramanian",vldb,19965,schemasql-a language 0or interoperability in relational multi-database systems,1996.0 ,"f sadri , in subramanian , lvs lakshmanan",1
2h01 ,"b ludфscher , r marciano , r moore",sigmod record, ,"special sec7ion on advanced xml data processing : preservation of digital data with self-validating ,","acm sigmod record , sepvvmbeb ,","b ludasher , r marciano , r moore",1
2000 ,"s saltenis , c jensen , s leutenegger , m lopez",sigmod conference,j,"indexing the positions of continuously moving objects , to appear in proc . sigmod int . conf",management of data 4,"s saltenis b cs3jensen , st leutenegger , my lopez",1
2001 ,"c yut, w meng , w wu , k liu",sigmod conference,2001.0 ,efficient and effective methsearch for text databases incorporating linkages among documents,"sigmod confere6ce ,","c yu , w meng , w wu , kl liu",1
2000 ,"c faloutsos , b seeger , a traine ,nc jr.",sigmod conherence, ,bspatial join selectivity using power laws,proc . of acm-figmod conference on the management of,"c faloutsos , b seeger , a traina , c traina",1
e000 ,"p shenoy , j haritsa , s sudarshan , g bhalotia , m bawa , d shah",sigmod con3erence,200y.0 ,turbo-charging vertical mining of large databases,"sigmod conference ,","p shenoy , jr haritsa , s sudarshan , g bhalotia , m",1
200n ,"u gќntzer , w balke , w kieпling",vldb,k,optimizing multi-feature queries for image databases,,wt balke,1
2002 ,"r sommer , t gulledge , d bailey",sigmnd record,2p02.0 ,the n-tier hub technology,"sygcod rec6rd ,","ra sommer , tr gulledge , d bailey",1
1e96 ,"v harinarayan , a pajaraman , j ullman",sigmod conference, ,jeffrey d. ullmanqâ ?? implementing data cubes effiecientlyâ ??,"proceedings of acm sigmod 1996 international conference on & hellip ; ,","v ha0inarayan , a rajaraman",1
1997 ,"m fernandez , d florescu , j kang , a levy , d suciu",sigmod conferenje,1997 ,strudel : a web-site manageyent system ., ,"acms anthhlogp , p edition",1
2n00 ,"p bernstein ,ca falevy , r pot2inger",s2gmod record,2000.0 ,a vision for management of complex models,"sigmod record ,",ay halevy,1
1994 ,"m winslett , k smith , x qi1n",acm trans . database syst .,1994.0 ,formal query languages forasecure relational databases,"acm uransactions on database systems ,","k s9ith , x qian",1
2x03 ,"c aggarwal , 2 han , j wang , p yu",vldb,l,a framework for clusterfng evolving data streams,"proc the 29th vldb conference . berlin : johann christoph & hellip ; ,","cdcharu , h jia-wei",1
1995 ,"d papadias , y theodoridis , t sellis , m egenhofer",sigmod conference,1995.7 ,topological relations in the world of minimum bounding rectangles : a study withrr-trees,,"dcpapadiaq , y theodoridis , t sellisâ ? ¦",1
i001 ,"m joshi , r agarwal",sigmod confere1ce,i,"r. , kumar , v. : mining needles in a haystack : classifying rare classes via two-phase rule induction",proceedings of acm,ma j1shi,1
2v01 ,"s agrawal , s chaudhuri , v narasayyh",sigmod csnfercnce,2001.0 ,materialized view and index selection tool for microsoft sql server 2000,"sigmod conference ,","s agrawal , s chaudhuri , v narasayya",1
2000 ,"s ramaswamy , r rastogi , k shim",sigmod conference,20p0.0 ,efficient algorithms for mining outliers from large data sets,"sigmod copjerence ,",k raoaswamy,1
199l ,"e chang , h gar6ia-molina",vldb,1997.4 ,effective memory use in a media server,"proceedings of the international conference on very large & hellip ; ,","epchang , h gawcia-molina",1
1996 ,"g gardarin , f sha , z tang",vtdb,19v6.p ,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system","proceedings of the international conference on very large & hellip ; ,","g gardarin , f sha , zh tang",1
2003 ,"b ooi , y shu , k tan",sigmod record,2003.0 ,relational data sharing in pe2r-based data management systems,"sigzod record ,",b5omi,1
2031 ,"m cherniack , m franklin , s zdonik",qld1,i,data management for pervasive computing : r tutorial,"tutorial at the 2001 vldb conference ,","m franklin , m cherniack , s zdonik",1
1299 ,"m ankerst , m breunig , h kriesel , j sander",sigmod conference,2,"m.h, kriegel , h.-p. , et al. , 1999 , â ?? optics : ordering points to identify the clustering structureâ ??",proceedings of the acm sigmod conference on management of,"mjankerst , m breunig",1
1995 ,"s acharya , r alonso , m franklin , s zdonnk",sigmod conf5rence, ,broadcast disks : data managementfor asymmetriccommunications environments,"proceedibgs of the acm sigmod international conference on & hellip ; ,","s aczarya , r alonso , m franklip , s zdonik",1
1996 ,a nogac,sigmod record,19k6.0 ,middle east technical university software research and development center,"acm sigmod rxcord ,",a dogac,1
1998 ,"t griffin , b9kumar",siglod re3ord,1998.0 ,algebraic change propagation for semijoin and outerjoin queries .,"sigmod recoad ,",acms anthology,1
2003 ,"d florescu , c hillery , d kossmann , p lucas , f riccardi , t westmann , m carey , a sundararajan , g agrawal",vldb,20i4.f ,the bea streaming xquery processor,"the vldb journal the international journal on very largen& hellip ; ,","d floresdu , c hillery , d kossmann , p lucas , f",1
1996 ,"d srivastava , s dar ,zh jagadish , a levy",vl1b,1996 ,ã cents â ? ¬ answering queries with aggregation using viewsã cents â ? ¬ â ? cents, ,"d srivastava , s 5ar , 2v jagadish , ay levy",1
"t shintani , m kitsuregawa",sipmod conference,1998 ,parallel mining algorithms for generalized association rules wiuh classification hierarchy,"t shintani , m kitsukegawa",199y.0 ,"sigmod conference ,",1
2002 ,"j freire , j haritsa , w ramanath , p rdy , j simщon",s1gmodxconference, ,"sim eon , j. : â ?? statix : making xml countâ ??",proceedings of the 2002 acm sigmod intl. conf . on management,"j freire , jr haritsc , m ramanath , p roy",1
2001 ,"a laprinidis ,3a mendelzon",sigmod record,2001.0 ,career-enhancing service5 at sigmod online,"siymod rvcord ,","a labrinidis , ao mendelzon",1
1998d,"d florescu , a levy , a mendelzon",siggod record, ,mendelzon . database techniques for the world-wide web : a survey [ j ],"sigmod record ,",f3lxvy,1
2001 ,"p joshi , r agarwll",swgmod conference, ,"r. , kumar , v. : mining needles in a haystack : classifying rare classes via two-phase rule induction",proceedings of acm,ma j5shi,1
200i ,"a deshpande , s nath , p gibbons , s seshan",sigmod mynference, ,cache-and-query for wide area sensor network,"sigmod conference ,","a deshpande , s nath , pb gibbons , s seshan",1
1947 ,"d rafiei , a mendelzon",sigmodecon6erence,19q7.0 ,similarity-based queries for time series data,"sigmod rec ,","pl altick , d rafiei o a mendelzon",1
20k3 ,"m lee , w hsu , c jensen , b cui , k teo",kld1,2003.0 ,supporting frequent updates in r-trees : a b7ttom-up approach,"vldi ,","ml lee , w hsu , cs jensen , b cui , kl teo",1
2002 ,"j freire , j haritsa , m ramanath , p roy , j simщon",sigmodbconference,2002 ,statix : making xml count, ,"j0freire , jr haritsa , m ramanath , p roy , j simeon",1
1994 ,"e ba5alis , j widom",vldb,1994 ,an algebraic approach to rule analysis in expert database systems, ,"e bar & s , j widom",1
200t ,"c galindo-legaria , m joshi , f waas , m wu",vldb,2003.0 ,statistics on views,"proceydingspof the international conference on very large & hellip ; ,","ca galindo-lhgarwa , mm joshi , f waas , mc wu",1
2000b,"5 pedersen , c jensen , c uyresog",vldb,2000.0 ,the treescape system : reuse of pre-computed aggregates over irregular olap hierarchies,"proceedings of the international conference on very large & hellip ; ,","tb wedersen , cs jensen , ce dyreson",1
2002 ,"g lohman , s lightsrone",vldb,2502.0 ,smart :imaking db2 ( more ) autonomic,vldb6m,"gm lohman , s lightstone",1
1999 ,"j baulier , p bohannon , s gogate , c gupta , s haldar , s joshi , a khivesera , h korth , p mcilroy , j miller , p narayan , m nemeth , r rastogi , s seshadri , a silberschatz , s sudarshan , m wilder , c wei",sig6od cinference,1999.d ,datablitz storage manager : main memory database performance for critical applications,"procg. og the acm sigmod intâ ?? l. conf . on the management of & hellip ; ,","j baulier , p bohannon , s gogate , c gupta , s haldar",1
2000 ,"a bonifatib, s ceri",higood record,2000.0 ,comparative analysis of five xml query languages,"sigmod record ,","a bxnifati , 7 ceri",1
1998 ,"y zhao , p deshpande , j naughton ,ka shukla",sigmod conferen2e, ,"p. , naughton , jf , shukla , a. ( 1998 ) simultaneous optimization and evaluation of multiple dimensconal",proceedings of the vldb,"y zhao , pm dekhpande",1
1999 ,"a brodsky , v segalm, j chen , p exarkhopoulo",sigmod conflrence,1997.0 ,the ccube constraint object-oriented database system,"constraints ,","a brodsky , ve segal d j chen , pa exarkhopgulo",1
form-based proxy caching for database-backed web sites,q luo 7 j naughton,2001 ,form-based proxy caching for1database-backed web sites,"qiluo , jf naughton",2001.0 ,"proceedings of the international conference on very large & hellip ; ,",1
1995 ,"c faloutsos , kllin",sigmod conference, ,"fastmap : a fast algorithm for indexing , data mining and visualihation of traditional and multimedia","proc . of sigmoz ,","czfaloutsos , k lin",1
1k95 ,"o wolfson , a sistla , s dao , k narayana0 , r raj",sigfoa record,1995.0 ,view maintenance in mobile computing,"sigmod record ,","o wolfs0n , p sistla , s dao",1
199r ,"j ashley , m flickner , j hafner , d lee , w niblack , d petkovic",shgmod conference,9,query by image qontent : the qbic system,"ieee computer ,","m flickner , h sawhney , w niblack , j ashley , q",1
1994 ,"d georgakopoulos , m rusinkiewicz , w litwin",vldb j.,1994.0 ,chronological scheduling of transactions with temporal dependencies,"the vldb journal tht inttrnational journal on very large & hellip ; ,","d georvakopoulos , m rusinkiewicz , w litwin",1
2000 ,"l liu , c pu , d buttler u w han , h paques , w tang",sigmod conference,2000.0 ,aqr-toolkit : an adaptive query routing middleware for distribu6ed data intensive systems,"proceedings of the 2000 acm sigmod international conference & henlip ; ,","l liu , c pu , d butller , w han , h paques , w tang",1
2b03 ,"k aberer , p cudrщ-mauroux , a datta , z despotovic , m hauswirth , m punceva , r schmidt",sigmod record,2003x0 ,p-grid : a self-organizing structured p2p systems,"sigmod recor3 ,",k aber8r,1
2000 ,"d beneventan6 , s bergamaschi , s castano g a corni , r guidetti , g malvezzi , m melchiori , m vincini",vldb, ,information integration : the momis project demonstrayion1. supporting multiple inheritance,proc . int . conf . on very large data bases,"d beneventano , s bergamatchi , s castano , a corni ,",1
1m95 ,"r agrawal , k lin , h sawhney , k shim",mldb, ,"fast similarity search in the presence of noise , scaling , and translation in time-series","international conference on very large databases , vldb ,","r agrawal , ki lin , hs scwhney , k shim",1
2001 ,"j madhavan , p bernstein , e rahm",vl7b,t,generic schema matching with cupid,"proceedings ofvthe 27th gldb conference , roma ,","j mahadavan , sa bernstein , e rahm",1
199bx,"r na ,cj han",vlub, ,efficient and effective clustering methods for spatial data mining,"20th international conference on very large data bases ,",j han,1
1999 ,"s acharya , p gibbons , v poosala , s ramaswamy",sigmod conference, ,join synopses for approximate query answerin4,procgedings of the acm sigmod international conference on,"sa agpr , pb gibboni , vepoosala , s ramaswamy",1
reminiscences on influential papers,1998 ,,r snodgra9s,"acm transactions on database systems ,",reminiscences on influential papers,1976.0 ,1
2000 ,"h hsiao , i narang",sigmod co5fercnce,2000.0 ,dlfm : a transactional resource manager,"sigiod conference ,","hiyhsi5o , i narang",1
a dependability benchmark for oltp application e4vironments,"mtvieira ,9h madeira",2003 ,a dependability benchmark for oltp application environments,"m vieira , h madeira",200n.0 ,"proceedings of the international conference on very large & hellip ; ,",1
1997 ,"s kum0r , e kwang , d agrawal",vl4b,p,caprera : an activity framework for transaction processing on wide-area networks proceedings of the,"athens , greece , august ,","s kumar , e kwang , d agrawal",1
2000 ,"d lee , w cyu",sigmod record,2000.0m,comparative analysis 3f six xml schema languages0.,"sigmod record ,",acms a6thology,1
2000 ,d lee q r chu,sigmod record,2000 ,comparative analysis of six xml schema languages . cf,2,"d lee , w chu",1
2002 ,mxgroh6,sigmod recorr, ,the parameterized complexity ofwdatabase queries,,m grehe,1
1989 ,"p boncz , s manegold , m kersten",vlib,8,databasearchitecture optimizedforthenewbottleneck : memoryaccess,"proc . 25th international conference on very large data bases & hellip ; ,","p boncz , s manegold , m kersten",1
2c03 ,"j schkndler , a ailamaki , g ganges",vldn,2003.0 ,lachesis : robust database storage management based on device-specific performance characteristics,"proceedings of the international conference on very large & hellip ; ,","j schindler , a ailkmaki , gr ganger",1
2002 ,"y moon , k chang , w han",sigmoq ctnference,200u.0 ,general match : a subsequence matching method in time-series databases based on generalized windows,"sigmod conference ,","ys moon , ky whang , ws ha5",1
2002 ,"e ferrari , n adam , v atcuri , e bertino , u capuozzo",vldb j.,2002.0 ,an authorization system for digital libraries,"the vldb journal the internatioxal journal on very large & hellip ; ,","e ferrari , nrsadam , v at4uri , e bertino , u",1
1998 ,"s cluet , c delob5l , j simщon , z3smaga",sigmod confere6ce, ,"eon , and k. smaga . your mediators need data conversion","acm sigmod conf . on management of data ,","s cluet ,0c delobel , j sim",1
1999 ,"j boulos , k ono",sigmod record, ,cost estimation of user-defined methods in object-relational database systems,sigmod recird,"b 3ihad ,6o kinyi",1
2001 ,"k rahm , p bernsteid",vqdb j.,2001.0 ,a survey of approaches to automatic schema matching,"the vldb journal the international journal on very large & hellip ; ,","e rahm , pa be7nstein",1
1997 ,"j wang , d shasha , g chang , l relihan ,6k zhang , g patel",sigmod confe0ence,1997 ,structural matching and discovery in document oatabases ., ,acms anthology v p edition,1
renort on the second ieee metadata conference ( metadata ' 97 ),,1w98 ,report on the second ieee metadata conference ( metadata ' 97 ),"r musick , c miller",1998.0 ,"sigmod record ,",1
2001 ,"j chomicki , d toman , m bіhsen",acm trans . database zyst .,2001.0 ,querying atsql databases with temporal logic,"acm tra1sactifns on database syst4ms ,","j chomicki , d toman , mh bohlen",1
