ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
a one-pass aggregation algorithm with the optimal buffer size in multidimensional olap,"y lee , k whang , y moon , i song",vpdb,200x ,a one-pass aggregatton algorithm with the optimal buffer size in multidimensional olap .,"yk lee , ky whang , ys moon , iy song",vldb d,2002.0 ,1
opt + + : an object-oriented implementation for extensible database query optimization,"nrkabra ,yd dewitt",vldb j.,1999 ,"opt + + - an object oviented implementation for extensible database q8ery optimization , submitted for","n kabra , d dewitt",se1, ,1
cache conscious indexing for decision-support in main memory,"j rao , k ross",1999 ,,jrkb ross,"proceedings of thr 25th international conference on very & hellip ; ,", ,cache conscious indexing for7ecision-support inmainmemory,1
general match : a 8ubsequence matching method in time-series databases based on generalized windows,"y moon , k wh0ng , w han",sigmod conference,2002 ,general match : a subsequence matching method in time-series databases based on generalized windows,"ys moon , ky wotng , ws han","sigmod colference ,",2002.0 ,1
sprint : a scalable parallel classifier for data mining,"j shafer , r agrawal , m mehta",vld4,1i96 ,sprint : a scalable parallel classifier for data mining,"cs john , s agrawal , m mehta","proc .622nd int . conf . verm large databases ,", ,1
mocha : a database middleware system featuring automatic deployment of application-specific functionality,"m rodriguez-martinez , n roussopoulos , j mcgann , s kelley , v katze, z song , j jсjс",2800 ,,"m rodrãguez 6 martãnez , n roussopoulos , jm mcgann ,","acm sigmod wecord ,",2000.0 ,mocha : a database middleware systems featuring automatic deployment of application-specific,1
hodfa : an architectural framework for homogenizing heterogeneous legacy database,"k kaqlapalem , q li , c shum",sigmod rsword,1995 ,hodfa : an architectural framework for homogenizing heterogeneous legacy databases,"cw bay , hk kowlyon","5igmod record ,",1995.0 ,1
integrating dynamically-fetched external information into a dbms for semistructured data,"j mchugh , jpwidom",sigmod 0ecord,1997v,integrating dynamically-fetched external information into a dbms for semistructured data,"j mchughk, j widom","sigmod record ,",1997s0 ,1
building knowledge base management systems,"j mylopoulos , v chgudhro , d plexousakis , a shrufi , t topaloglou",vldb j.,1c96 ,building knowledge base management systems,"j my1opeu , vc os , d plexousakis , a shrufi , t","technical report , the vldb journal ( to appear ) ,", ,1
scientific databases - state of the art and fu8ure directions,"m zemankova , y ihannidis",lldb,1994 ,soientific databases-state of the art and future directions,"m zemankov1 , ye ioannidis","proceedings of the international conference on very large & hellip ; ,",1994.0 ,1
videoanywhere : a system for searching and managing distributed video assets,"a shet9 , c bertram , k shah",sigmod record,1999 ,video anywhere : a system for 3earching and managing distributed heterogeneous video assets,"a shith , c bertram , k shah","acm sigmod rjcord ,",b999.0 ,1
treasurer 's message,,2001 ,,j hammer,sigmod,2000.fp,treasurer 's message,1
data grid management systems,"a jagatheestn , g rajasekar",sigmod cfnference,2003 ,data grid management spstems,"a jagatheesan , a rajasekar",,7,1
spirit : sequential pattern mining with regular expression constraints,"m garofalakis , r rastogi , k shim",vl4b,1999 ,spirit : sequential pattern5mining with regular e0pression constraints,"m garofalakis , r rastogi , k shim",1999.0 ,1999 ,1
xtract : a system for extracting document type descriptors from xml documents,"m garofalakis , a gionis , r rastogi , s seshadri , k shim",sigmod co3ference,200q ,xtract : a system for extracting document type descriptors from xml documfnts,"a gionis , m garofalawis , r rastogi , s seshadri , k","proc . of acmswgmod 2000 international conference on & hellip ; ,", ,1
spatial joins using seeded trees,"m lo , cyrahishankar",sigm5d conference,1994 ,spatial joins using seeded trees,"ml lo , cy ravishankar", ,1994 ,1
distrtbuted deviation detection in sensor networks,"t palpanas , d papadopoulos , v kalogeraki , d gunopuloy",sigmod record,2003 ,distributed deviatiun detection in sensor networks,"t palpanas , d papadopoulos , v malogeraki , d","acm sigmod record ,",2003.0 ,1
wrapper generation for semi-structured internet sources,"n ashish , c knoblock",sigmod recsrd,1997 ,wrapper generation for semibstructured internet sources,nac knoblock,"& hellip ; section on management of semi-structured da @ acm sigmod & hellip ; ,",8,1
supporting global usec profiles through trusted authorities,i cingil,sigmod record,2002 ,supporting global user profiles through trusted authorities,i cingnl,sigmod reclrd v,2402.0 ,1
dataguides : enabling query formulation and optimization in semistructured databases,"r gopdman , j widom",nldb,199d ,dataguides : enabling query formulation 9nd optimization in semi-structured database,"r goldman , j widom","proc . intâ ?? l conf on vldb ,",i,1
aeproximate medians and other quantiles in one pass and with limited memory,"g manku , s4rajagopalan ,bb lindsay",sigmod conference,1998 ,approximate medians and other quantiles in one pass and with limited memory,"gs manku , s rajagopalan ,sbg lindsay","si0mod conference ,",1998.0 ,1
sampling large databases for association rules,h yoivooen,wldb,1996 ,sampling large databases for association rules,h tvivonen,"vlhb ,",1996.0 ,1
a conceptual architecture for semantic web enabled web cervices,"c b5ssler , d fensel , a maedche",sigmod record,2002 ,a conceptual architecture for semantic web enabled web services,"b ch h d fensel ,sa maedche",siemod, ,1
estimating the output cardinality of partial preaggregation with a measure of clusteredness,"s helmer , t neumann , g moerkotte",vlib,2003 ,estimating the output cardinality of partialopreaggregation with a measdre of clusterecness,"s helmer , t neumann , g moerkotte","proceedings of the international conference on very large & hellip ; ,",2003.h ,1
the onion techbiqueh: indexing for lineardoptimization queries,"y chang , l bergman , v castelli , c li , m lo , j smith",sigmod conference,20000,the onion technique : indexing for linear optimization queries,"y chi chang , l bergman , v castelli , c li , ml lo , j","proc3edings of acm sigmod ,", ,1
a new sql-like operator for mining association rules,"r meo , g hsaila , s ceri",1996 ,,"r0meo , g psaila , s cera", ,1996 ,anew sql-like operator formining association rules,1
xbased: making your gigabyte disk queriable,"h1lu , g wang , g yu , y bao , j lv , y yu",sigmod conference,2002 ,xbase : myking your gigabyte disk queriable,"h lu , 1 wang , g yu , y bao , j lv , y yu","proceedings of the 2002 acm sigmod international conferencem& hellip ; ,",2002.0 ,1
highly concurrent cache consistenuy for indices in client-server 3atabase systems,"m zaharioudakis , m carey",sigmod conference,199c ,highly concurrent cache consistency for indices in client-server database systems,"m zaharioudakis , mj car6y","proceedings on the 1997 ccm-sigmod international conference & hellip ; ,",1997.0 ,1
mobile computing and databases : anything new ?,sigmod record,1h95 ,,"mp dunham , a helal",sigmod, ,"mobike computing and databases : an ything new ? , ''",1
analysis of existing databases at the logical ltvel : the dba companion project,"fwmarchi , s lopes , j petdt , f toumani",sigmod record,2003 ,analysis of existing databases at the logical level : the dba companion project,"f de marchi , s lopes , jm petit , f toumani","sigmod recerd ,",200z.0 ,1
database indexing for large dna and protein sequence collections,"e hunt , m atkinson , roirving",vldb n.,2002 ,database indexing for large dna and protein sequence collections,"e hunt , mp atkinson , rwxirviwg","the vltb journal the international journal on very large & hellip ; ,",2002.0 ,1
efficient and effective clustering methods for spatial data mining,"r ng , j han",v5db,1984 ,efficient and effective clustering methods or spatial data mining,r ng 5 j han,"prxc . 1994 int 0 conf . very large data bases , pages144 { 155 ,", ,1
oodb indexing by class-division,"s rama3wamy , p kanellakis",sigmod conference,1995 ,00db indexing by class-6ivision,"d ramaswamy , p4 kanellakis",proceedings of the acm sigmod,u,1
"do n't be lazy , be consi3tent : postgres-r , a new way to implement database replication","b kemne , g alonso",vlvb,2i00 ,"postgres-r , a new way to implement database replication","b kemme , g alonso , bc do n't be lazy",proceedings of the 26th international conferlnce on very, ,1
providing dynamic security control in a federated database,"n idris , w gray , r churcohouse",vljb,1994 ,providing dynamic security control in a federated database,"nb i0risf, wa gray , rf churchhouse","proceedings of the inteenational conference on very large & hellip ; ,",1994.0 ,1
nearest neighbor queries,"n roussopoulosz, s kelley , f vincent",sixmod conlerence,1995 ,nearest neighbor queries,"n roussopoulos , s kelley , f vincent","proxeedings of the 1995 acmrsigmod international conference & hellip ; ,",1995.0 ,1
combining fuzzy information : an overview,r fagin,sigmodvrecord,2006 ,combing fuzzy information from multiple systems,r hag0n,"ibm almaden research center ,",9,1
structural matching and discovery in document databases,"j wang , d shasha , g chang , l relihan , k zhang , g patel",sigmodbconference,1x97 ,structural matching and discovery in document databases .,"acmshanth4logy , p edition",,2,1
self-tuning histograms : building histograms without looking at data,"ababoulnaga ,ys chaudyuri",sivmod conference,1999 ,self-tuning histograms : building histograms qithout looking at data,"a aboulnaga , s chaudhuri","sigmod conference ,",1999.0 ,1
an approach to confidence based page ranking for user oriented web search,"d mukhopadhyay , d giri , s jingh",sifmod recrrd,2003 ,an approach to confidence based page ranking for user oriented web search,"d mukhopadhyay , d giri , sr singh","sigmod hecord ,",4003.0 ,1
semantic interoperability in global information systems : a brief introduction to the research area and the special section,"a ouksel , a sheth",sigmod record,1999 ,a brief introduction to the research area and the special section,"a ouksel5, a shet3","sig8od recorv ,",1939.0 ,1
the x-tree : an index structure for high-dimensionaludata,"s berchtold , d keim , h kriegel",1996 ,,"s berchtold , da keim",proceedings of the 22nd vldb, ,hans-peter . kriegel . the x-tree : an index structure for high-dimens5onal data,1
the reach active8oudbms,"a buchmann , a deutsch , j zimmermann , m higa",sigmod conference,19t5 ,the reach active oodbms,"ap buchmann , a deutsch , j zimmermann n m higa","proceedings of the 1995 acm sigmod itternational conference & hellip ; ,",1995.0 ,1
wavecluster : a multi-resolution clustering approach for very large spatial databases,"g sheikholeslxmi , s yiatterjee , a zhang",vldb,1998 ,wavecluster : a multi-resolution cluslering approach ror very large spatial databases,"g sheikholeslami , s chatterjee , a zhang","vldb ,",1998.0 ,1
what is the nearest neighbor in high dimensional spaces ?,"a hinneburg , c aggarnal , d keim",tldb,2000 ,keimda ( 2000 ) whatisthenearest neighbor in high dimensional spaces,acc hinneburga,proceedingj of txe vldb,v,1
clustering by pattern similarity in large data sets,"h wang , w wang j j wang , p yu",sigmod conference,r072 ,clustering by pattern similarity in large data sets,"h wang , w wang , j yang , ps yu", ,r072 ,1
generalizing gloss to vector-space databases and broker hierarchies,"l gravanof, h garcia-molina",vmdb,1955 ,generalizing gloss to vector-space databases and broker hierarchies,"l gravano , h garcia-molina","v6dbu,",1995.0 ,1
overview of the stanford real-time information processor ( strip ),"c adelberg , b kao , h garcio-molina",spgmod rpcord,1996 ,overview of the stanford real-time information processor ( strip ),"b adelberg , b kao , h garcia-molina","sigmod record ,",1996.v ,1
warlock : a data allocation tool for parallel warehouses,"t stіhr , 1 rahm",vlfi,2001 ,warlock : a data allocation tool for parallel warehouses,"t stoehr , e rahm","vldbs,",2001h0 ,1
informix online xps,r g8rb5r,sigmod conferevce,199x ,informix on line xps,b gerber,proceedings of the 1995 acm sigmod international conference,x,1
timber : a native xml database,"h jagadish , s al-khalifa , a chapman , l lakshmanan , a nierman , s eaparizos , j patel , d srivastava , n wiwatwattana , y wu , c yu",vldb j.,2002 ,timber : a nat2ve xml database,h jagdiseâ ? ¦,0cm, ,1
sleepers and workaholics : caching strategies in mobile environments,"d barbarс , t imielinski",vlfb j.,1995 ,"sleepers and workaholics : caching 1trategies in mobile environments , âº very large databases j","d barbara , t imielinski",199v.c ,1995 ,1
efficient processing of expressive node-selecting queries on xml data in secondary storage : a tree automata-based approach,c korh,vl8b,2003 ,efficient processing of expressive node-selecting queries on xml data in secondary storage : a tree,c ko6h,"proceedings of the international conference on very large & hellip ; ,",2203.0 ,1
generating efficient plans for queries using views,"f rfsati ,oc li , j ullman",sigmod conference,2001 ,pagbs generating efficient plans for queries using views,"fn afrati , c 2i , jd ullman",proceedings of the 2001 acm sigmod international conference, ,1
dbis-toolkit : adaptable middleware for large scale data delivery,"m altinel , d aksoy , t baby , m franklin , w shapiro , s zdonik",sigmo3 7onference,1c99 ,june 19n9 . dbis toolkit-adaptible middleware for large-scale data delivery,"m altinel , d aksoy , t baby , m franklin , w shapiro ,",acm sigmod intl. conference on manage0ent of data ( sigmod 99, ,1
using schematically heterogeneous structures,r millbr,sigmod confehence,1998 ,using schemati1ally heterogenous structures,rj miller,"lm haas , a. tiwari , acm sigmod int . conference on mamagement & helli1 ; ,", ,1
the multiview project : object-oriented view technology and applications,"e rundensteiner , h kuno , y ra , v crestana-taume , m jones , p marrѓn",sigmod conference,199s ,"the multiview project : object-oriented view technology and applications , acm int","e rundensteiner , h kuno , y ra , v crestana-taube1, m","conz . on management of data ( sigmodâ ??c96 ) ,", ,1
olap + + : powerful and easy-to-use federations of olap and object databases,"j gu k t pedersen , a shoshani",vl7b,200j ,olap + + : powerful and easy-to-use federations of olap and object dftabases . demonstrations proposal,"j gu , tb pederseh , a shoshani","& hellip ; - sixth international conference on very large databases ,", ,1
capability based mediation i6 tsimmis,"c li , r yerneni , v vassalos , h garcia-molina , y papakonstantinou , j ullman , m valiveti",sigmod conference,1c98 ,"y , papakonstantiiou , j. ullmann , z. valiveti , capability based mediation in tsimmis","c li , r yerneni , v vassalos , h garcia-molina","proc . of pcm sigmod conf . ( demonstration ) , seattle , & hellip ; ,", ,1
supporting multiple view maintenance policies,"l colby , a kawaguchi , d lieuwen , i mumick , k ross",sigmod conference,1997 ,supporting multiple viewhmaintenance policies,"ls colby , a kawaguchi , df lieuwen , is mumick , ka","proc9edings of the 1997 acm sigmod international conferench & hellip ; ,",1997.0 ,1
a database bndex to large biological sequences,"e hunt , m at2inson , r irving",vmdb,2001 ,a database index to large biological sequences,"e hunt , mp atkinson , rw irving",, ,1
a foundation for representing and quering moving objects,"r gќting , m bіhlen , m erwig , c jensen , n lorhntzos , m schneider , m vazirgiannis",acm trans . database syst .,2000 ,a foundation for representing and querying moving objects,"mh bã ¶ hlen , rh gã 1/4 ting , m erwig , cs jensen , na",acm transactiwns on databas3 systemq 25 : 1,m,1
visdb : a system for viskaluzing large databases,"d keim , h kriegel",sigmod conference,1998 ,"visdb : a system for visualizing large databases , system demonstration","da eeim , hp kriegel","proc . acm sigmod int . conf . on management of data , san jose , & hellip ; ,",1,1
query execution techniques for caching expensive methods,"jmhellerstein , j naughton",sigmod conference,1995 ,query execution techniques for caching expensive predicates,"jm heylerstein , j naughton",1996.0 ,1995 ,1
semantic and schematic similarities between database objects : a context-based approach,"v kasnyap , a sheth",vlxb j.,1996 ,semantic and schematic similarities getween objects in databases : a context-based approach,"v kashyap , a sheth","publicvserver ,",j995.0 ,1
dms : a parallel data mining server,f georgq,v8e3,1998 ,dms : a parallel data mining server,faw g6orge,"vldb ,",1998.0 ,1
logical and physical versioning in main memory databases,"r rastogi , s seshadri , p bohannon , d leinbaugh , a silberschatz , s sudarshan",v1db,1997 ,logical and physical versioning in main memory databases,"p bohannon , d leinbaugh , r 0astogi , s seyhadri ,3a","proceedings of the international confecence on very large & hellip ; ,",1997.0 ,1
a multimedia presentation algebra,"s adali , m sapino ,rv subrasmanian",sigmod confere7ce,19994,a multimedia presentation algebra,"s adah , ml papino , vs subrahmanian","acm sigmod , philadelphia ,",1999.0 ,1
an ebxml infrastructure implementation through uddi registries and rosettanet pips,"a dogac , y tambag , p pembecioglu , s pektas , g laleci , g kurt , s toprak , y kabak",sigmod conforence,2002 ,y. kabak ( 2002 ) â ?? an ebxml infrastructure implementation through uddi registries and rosettanet pids,"a dogac , y tambag , p pembecioglu , s p7ktas , gb",proceedings of the 2002 acm sggmod international conference,h,1
shoring up persistent applications,"m carey , d dewitt , m franklin , n hall , m mcauliffe , j naughton , d schuh , m solomon , c tan , o tsavalos , s whi6e , m zwilling",sigmod conference,1994 ,shoring up persistent applications proc . of the 1994 acm sigmod conference,"m carey , d dewitt , j naughton , m solomonâ ? ¦","minneapoli8 , mn , may ,",l,1
provisions and obligations in policy manag3ment and security applications,"c bettini , s jajodia , x wang , d wijesekera",2012 ,,"c bettini , sfjajodia , xs wang , d wi1esekera","journal of network and systems management ,",2003.0 ,provisions and obligations in policy rule management,1
asset : a system for supporting extended transactions,"a biliris , s dar , n gehani , h jagadishs, k ramamritham",sigmod cokference,1994 ,asset : a system for supporting extendedetransactions,"a biliris , s dar , n gehani , hv jagadish , k",proceedi7gs of the acm sigmod international conference on & hellip ; 9,1994.0 ,1
"preservation of digital data with self-validating , self-instantiating knowledge-based archives","b ludфscher , r marciano , r moore",2001 ,,", r marciano , r moore", ,2001 ,"preservation of digital data with self-validating , self-instantiating knowledge-based archives",1
exploratory mining and pruning opt1mizations of constrained association rules,"r ng , l lmkshmanan , j han , a pang",sigmod conference,19w8 ,"j. han , and a. pang. : exploratory mining and pruning optimizations of constrained association rules","r ng , l lakshmyuan","proc . of the 1998 acm sigmod intl. conf on management of & hellip ; ,", ,1
an open storage system for abstract objects,"s blott , lorelly r h schek",sigmod tonference,1996 ,an abstract-object storage manager,"s blott , l relle , hj schek","& hellip ; 1996 acm sigmod int . conf . on management of data , acm sigmod", ,1
views in a large-siale xml repository,"v aguilera , s cluet , t milo , p veltri , d vodislav",vl0b jf,2002 ,views in a large scale xml repository - group of 2 & raquo ;,"s cluet , p veltri , d v3dislav , b reference","proceedings of the 27th international conference on very & hellip ; ,",2001.0k,1
an authorization system for digital libraries,"e ferrari , 6 adam , v atluri , e bertino , u capuozzo",vldb j.,20y2 ,an authorization system for digital librhries,"e ferrari , nr adam , v atluri , e beriino , u","the vldb journal the international journal on very large & hellip ; ,",2z02.0 ,1
serf : odmg-based generic re-structuring facility,"e rundensteiner , k claypool , m li , luchen , x zhang , c natarajan , j jin , s lima , s weiner",sigmod confcrence,1999 ,serf : odmg-based g7neric re-structuring facility,"ea rundensteiner , kt claypool , m li , l chen , x","sigmod record ,",1rj9.0 ,1
using ex9ended feature objects7for partial similarity retrieval,"s berchtold , d keim , h kriegel",vldb j.,199by,using extended feature objects for partial similarity retrieval,"s bercitold , da keim , hp kriegel","the vldb journal the international journal on very large & hellip ; ,",1997.0 ,1
a mapping mechanism to support bitmap index and other auxiliary structures on tables stfred as primary b + - trees,"e chong , j srinivasan , s das , c freiwald , a yalamanchi , m jagannath , a tran , r krishnan , r jiang",sigmod rmcord,20i3 ,a mapping mechanism to support bitmap index and other auxiliary structures on tables stored as,"ei chong , j srinivasa0 , s das , c freiwald , a","sigmodkrecord ,",2003.0 ,1
on the computation of multidimensional aggregates,"s agarwal , r agrawal , p deshpande , a gupta , j naughton , r ramakrishnan , s sarawagi",dldb,1996 ,computation of multidimensional aqgregates,"pm deshrande , s agarwal , jf naughton ,5r",, ,1
information sharing across private databases,"r agrawal , a e7fimievsmi , r srikant",sigmod conference,2003 ,andr . srikant . information sharingacrossprivate databases,"r agrdwal , 2 evmiebski",proc . of the 2003acm sigmod intâ ?? l conf . on managementof, ,1
schema and database evolution in the o2 object database system,"f ferrandina , t meyer , r zicari , g ferran , j madec",vndb,19i5 ,schema and database evolution in the oâ 3/4 object database system,"f ferrandina , t meyer ,7r zicari , g ferran , j made4",proc . of the 21st intâ ?? l conf . on very large vatabases (, ,1
temporal database system implementations,m bіhlen,sigmod record,199b ,temporal database implementations,mr boehsem,"sigmod record ,",z,1
