,Truth,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title
75,1.0,global-software-publ-na,29.99 ,micromat protogo,,9.59 ,symantec norton anti-virus v. 10 mac
76,1.0,enfocus software,129.0 ,webroot desktop firewall,,9.08 ,apple remote desktop 3 ( 10 managed systems )
77,1.0,nova development,29.99 ,hasbro classic collection 2006 ),,34.99 ,simply put software llc mozy 3.0
78,1.0,microsoft, ,world of warcraft 60 day pre-paid time card,,87.99 ,digital video & audio prod book
79,1.0,novastor corporation,99.99 ,adobe illustrator cs3 upgrade from freehand [ mac ],,453.71 ,caillou ready for school by brighter minds
80,1.0,blizzard entertainment,99.0 ,century software tinyterm plus v. 4.0 complete product,,1639.99 ,treasure mathstorm
81,1.0,microsoft, ,readiris pro 11 corporate edition,,25.49 ,adobe after effects professional 7.0 software effects software
82,1.0,microsoft licenses,99.99 ,wheel of fortune deluxe,,299.95 ,dr. seuss reading learning system 2008 encore
83,1.0,global-marketing-partners,9.99 ,vegas movie studiodvd +8 plat,,1309.31 ,adobe illustrator cs3 for mac academic
84,1.0,apple-computer - ( direct ),59.99 ,quicken 2007 premier,,648.99 ,microsoft office visio standard 2007 upgrade ( pc )
85,1.0,emedia,109.95 ,microsoft windows vista ultimate full version [ dvd ],,75.99 ,phillip keveren disney 's the little mermaid/beauty and the beast
86,1.0,microsoft, ,encore the big box of art 410 000 460001 ),,149.99 ,microspot x-rip large format print driver for os x
87,1.0,sony-pictures-digital-entertainment,29.99 ,upgrade crystal reports 11 pro french,,106.48 ,microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 )
88,1.0,encore software,129.99 ,punch ! master landscape & home design,,24.9 ,garageband jampack rhythm section ( mac ) apple
89,1.0,corel, ,quicken 2007 basic,,124.97 ,marketcircle daylite 3 customer relationship management crm
90,1.0,adobe,29.99 ,adobe audition 2.0,,18.97 ,corel ulead dvd workshop 2 authoring software
91,1.0,encore software,9.99 ,punch ! master landscape & home design,,12.9 ,microsoft h32-00034 sps extrnlconnnonemplyengl & s c 805529073074
92,1.0,freeverse software,69.99 ,video patrol 5.0 by honest technology,,138.17 ,dvd moviefactory 6 plus
93,1.0,encore software, ,quicken 2007 basic,,798.95 ,freeverse burning monkey solitaire 4.0
94,1.0,corel, ,mavis beacon typing 17 ( win/mac ),,299.95 ,adobe acrobat v8 .0 professional for mac upsell from std-pro
95,1.0,school zone,149.99 ,project x project management software,,69216.95 ,adobe production studio premium software suite video software bundles
96,1.0,enfocus software,276.5 ,3 great games for guys,apple-computer - ( direct ),29.85 ,aspyr command and conquer generals deluxe mac
97,1.0,microsoft,29.95 ,photoedit 2 ( mac ),,99.99 ,cyberlink power director 3
98,1.0,mobi-technologies-inc .,79.0 ,academy award winners,,17.55 ,emedia rock guitar method ( win 95 98 me nt 2000 xp/mac 8.0 )
99,1.0,fogware publishing,495.0 ,riverdeep the print shop zoom dvd,,149.99 ,cyberlink power director 3
100,1.0,intuit,99.0 ,delorme topo usa mapping software 6.0 east region,,29.99 ,phase one capture one pro
101,1.0,smith-micro-software-inc .,159.98 ,cosmi rom03558 print perfect clip art deluxe,,82.99 ,global software a7163jcw kakuro puzzle addict unlimited edition dvd movie
102,1.0,avanquest-publishing-usa-inc .,29.95 ,my maillist & addressbook,,299.99 ,onone software inc. pfb-10211 pro digital frame bundle 1u
103,1.0,kaspersky lab,29.99 ,adobe production studio premium,,9.95 ,production prem cs3 mac upgrad
104,1.0,microsoft,99.95 ,apple remote desktop 3 unlim managed systems,,119.95 ,knowledge adventure inc. jumpstart advanced preschool v2 .0
105,1.0,stompsoft inc.,24.99 ,gmp data rescue license 24300 ),,17.24 ,adventure workshop 1st-3rd grade . 8th edition ( pc ) encore
106,1.0,pc tools,129.99 ,instant immersion french deluxe 2.0,,9.08 ,intuit quicken deluxe 2007 software for windows tax & finance software
107,1.0,core learning, ,jewels of cleopatra,,45.97 ,apple remote desktop 3 ( 10 managed systems )
108,1.0,topics entertainment,699.0 ,logic express 7,,14.99 ,microsoft windows xp pro sp2 retail
109,1.0,fogware publishing, ,micromat protogo,the-learning-company,719.04 ,allume morpheus photo animation suite
110,1.0,adobe,19.99 ,write brothers dramatica pro win/mac,,43.3 ,pc-cillin internet security 2007 3-user ( win me 2000 xp )
111,1.0,topics entertainment, ,logic express 6,,19.95 ,microsoft office 2004 standard
112,1.0,boomerang,49.99 ,creating keepsakes scrapbook platinum v. 3 sb cs by riverdeep,,9.59 ,encore software 11180 monopoly here & now win 98 me 2000 xp
113,1.0,adobe,99.95 ,sunset boulevard,,85.99 ,palmspring software 523 oxford american desk dictionary
114,1.0,microsoft corporation,199.0 ,microspot interiors,,38.99 ,encore inc 3d home architect home design deluxe version 9
115,1.0,arc-media-inc .,46.52 ,irispen express translator,,89.99 ,canopus let 's edit video editing software win consumer video editing software
116,1.0,abacus software,39.99 ,mavis beacon teaches typing 17 standard,,144.63 ,aspyr star wars empire at war
117,1.0,apple,29.99 ,tlc dr. seuss reading learning system 2008,,29.99 ,allume aquazone bass edition
118,1.0,strategy first,349.99 ,stompsoft digital file shredder pro,,49.5 ,sage software peachtree complete accounting 2007 software for windows tax & finance software
119,1.0,hewlett packard,14.99 ,american idol extreme music creator,,349.99 ,hallmark half-fold matte prem . blank greeting cards ( 20 pack ) ( paper )
120,1.0,abacus,630.36 ,appleworks 6.2.9,,9.08 ,webroot software inc 31250 spy sweeper spanish win 2000 xp
121,1.0,freeverse software,229.95 ,jumpstart reading with karaoke,red-orb-entertainment,558.97 ,instant immers german dlux 2.0
122,1.0,freeverse software,399.95 ,adobe photoshop cs2 ( mac ) [ old version ],oxford-university-press,9.9 ,school zone interactive vocabulary puzzles 1 on track software
123,1.0,adobe,59.95 ,apple remote desktop 3 10 managed systems,palmspring software,23.99 ,ahead software 70115 nero 7 ultra edition enhanced mini pc & home entrmnt soln
124,1.0,avid technology,99.0 ,3d home architect home design deluxe version 9,,38.99 ,zend studio 5.1 php integrated development environment
125,1.0,apple,9.99 ,kaplan sat/act/psat gold 2007 win/mac,apple software,799.97 ,apple mac os x v10 .4 tiger software family pack apple & mac software
126,1.0,encore,47.95 ,computrace lojack for laptops : 3 year subscription,simply-put-software,34.07 ,brighter minds backyard sports
127,1.0,emedia,29.99 ,dk amazing animals 1.1,,114.99 ,encore inc elementary advantage 2008
128,1.0,encore,299.99 ,hoyle card games ( jewel case ),,459.95 ,destineer inc age of empires iii : the warchiefs expansion pack
129,1.0,microspot ltd.,19.99 ,webroot desktop firewall,,99.99 ,corel ulead videostudio 11 video editing and dvd authoring software for windows authoring software
130,1.0,cakewalk,179.0 ,mariner calc speadsheet ( mac ),,49.95 ,csdc liquid ledger personal finance modeless software
131,1.0,punch ! software,1999.0 ,oxford spanish dictionary,global-software-publishing,82.99 ,sudoku puzzle addict : unlimited edition ( win 98 me 2000 xp ) from global software publ na
132,1.0,adobe,9.99 ,hp sp linux we 50 lic/cd 3.0 c t3586a ),,83.27 ,reel deal casino championship edition ( win 98 me nt 2000 xp )
133,1.0,phantom efx,374.99 ,apple garageband jam pack : rhythm section,sierrahome,219.99 ,web shop platinum
134,1.0,global-software-publishing,249.95 ,adobe premiere pro cs3 upgrade,,339.95 ,adobe premiere elements 3 and photoshop elements 5 software for windows consumer video editing software
135,1.0,aspyr media, ,microspot x-rip ( mac ),,12.05 ,sos aggregation company panda antivirus 2007
136,1.0,enfocus software,229.95 ,pc cakewalk guitar tracks pro 3,,998.95 ,aquarium 3-in-one limited edition ( win 95 98 me 2000 xp/mac 10.1 or higher )
137,1.0,sony media,19.99 ,sportsman 's double play,,9.59 ,strategy first inc. great invasions
138,1.0,adobe,199.99 ,microsoft licenses word olp c ( 05903871 ),,36.9 ,knowledge adventure inc. jumpstart advanced preschool v2 .0
139,1.0,sony-creative-software,299.0 ,black & white platinum pack ( mac ),,17.9 ,brighter minds backyard sports
140,1.0,microsoft, ,the print shop elements : labels & logos sb cs by the print shop,,41.99 ,emc insignia retrospect server client v. 7.5 complete package
141,1.0,simply-put-software-llc,299.0 ,apple garageband jam pack : rhythm section,,26.14 ,encore software 11230 hoyle bridge club win 2000 xp
142,1.0,apple,29.99 ,land before time : preschool,,44.99 ,intuit quickbooks simple start edition 2007 software for windows tax & finance software
143,1.0,dorling-kindersley-multimedia - ( dk ),599.0 ,hp storageworks secure path for windows workgroup edition v. 4.0 c license 213076-b26 ),,149.99 ,corel ulead videostudio 11 plus video editing and dvd authoring software win authoring software
144,1.0,topics entertainment,49.35 ,terror strike,,27.99 ,the printshop v22 deluxe
145,1.0,adobe,34.99 ,mediafour macdrive 6 for windows,,38.99 ,epson s041886 story teller 8 x 10 20 pages
146,1.0,sony media,199.99 ,oxford spanish dictionary,,179.95 ,garageband jampack rhythm section ( mac ) apple
147,1.0,apple,499.0 ,instant immersion italian deluxe 2.0,,8.8 ,steinberg cubase studio 4 software competitive crossgrade music production software
148,1.0,adobe,19.95 ,marketcircle daylite v3 .0 ( mac ),,89.69 ,mastercook deluxe low carb edition
149,1.0,adobe,129.99 ,nero 7 ultra edition enhanced pc & home entrmnt soln,,274.97 ,micromat tech tool pro 4.5
150,1.0,global-software-publishing,99.95 ,sierra hallmark card studio special edition windows ),,788.63 ,aspyr media 10900 star wars battlefront mac
151,1.0,punch ! software,499.0 ,tlc arthur 's kindergarten learning system 2008,,349.99 ,make finale 2007 software music production software
152,1.0,git corp, ,adobe creative suite cs3 design standard [ mac ],,413.99 ,encore inc monopoly 3
153,1.0,smith-micro-software,49.99 ,power director 3,,206.99 ,summitsoft corp photoedit 2
154,1.0,h & r block,59.95 ,the little mermaid/beauty and the beast,,619.99 ,encore software 10485 encore printmaster v. 17.0 platinum complete product creativity application 1 user complete product standard pc
155,1.0,re : launch,99.0 ,snap ! 8 player poker 5 pack,,9.45 ,phillip keveren 501056 hollywood volume 1
156,1.0,microsoft,129.99 ,caillou magical adventures,,1309.31 ,steinberg cubase studio 4 software music production software
157,1.0,encore software,29.95 ,casual games pack,,9.99 ,business objects t-59j-e-56-wx crystal rpt 11 report essentials cbt
158,1.0,micromat,149.99 ,norton antivirus mac 10.0 ( mac ),adobe-education-box,8.46 ,production prem cs3 mac upgrad
159,1.0,got game,29.95 ,microspot macdraft pe ( mac ),,45.99 ,punch software 38100 punch ! super home suite ( small box )
160,1.0,apple,129.99 ,punch ! home design architectural series 18,,195.99 ,phase one capture one le
161,1.0,hewlett-packard - ( consumables ),9.99 ,warlords 3 ( jewel case ),,370.97 ,apple software t9161ll/a logic platinum / gold 5 & 6 to logic pro 6 update
162,1.0,cakewalk,39.99 ,paper art : gift wrapping,,19.99 ,punch software 35100 punch ! professional home design suite ( small box )
163,1.0,red mile,9.99 ,epson storyteller photo book creator 8 x 10 ( 20 pages ),sony-media-software,129.95 ,totally spies total swamp romp by brighter minds
164,1.0,namo,19.99 ,snap ! spelling ( jewel case ),,51.09 ,punch software 38100 punch ! super home suite ( small box )
165,1.0,palo-alto-software,273.0 ,sony vegas 6 + dvd [ old version ],,29.99 ,merriam-webster english dictionary ( win 2000 xp/mac 10.3.8 or later )
166,1.0,sos-aggregation-company,399.0 ,power on now up to date & contact windows,me-too-software,145.99 ,punch software 25100 punch ! master landscape & home design architectural 1 user ( s ) pc
167,1.0,viva media,39.95 ,micromat podlock ( mac ),,199.0 ,symantec norton internet security 3.0 software for macintosh apple & mac software
168,1.0,encore software,299.0 ,pc tools spyware doctor 2007,,23.99 ,adobe photoshop cs3 for mac upgrade
169,1.0,smith-micro-software-inc .,79.99 ,44 years of the fantastic four,,69.99 ,corel corporation corel snapfire plus
170,1.0,navarre,299.99 ,museums of the world,,247.95 ,vegas + dvd sony
171,1.0,brighter-minds-media-inc .,99.0 ,power on now up to date & contact windows,,32.91 ,family tree maker 11 collector 's edition
172,1.0,yamaha,1299.0 ,punch ! professional home design suite,,17.97 ,national geographic photo gallery topics
173,1.0,bling,9.95 ,apple final cut studio 2 ( mac ),,79.99 ,encore software 10392 network now ! pro ( win 98 me 2000 xp )
174,1.0,symantec,649.0 ,microsoft licenses word olp c ( 05903871 ),emedia,199.0 ,encore inc family tree maker v 16 essentials
175,1.0,brighter-minds-media-inc ., ,clip art and more 250 000 ( jewel case ),webroot software,16.01 ,adobe production premium cs3 software suite for windows professional editing software
176,1.0,adobe,155.22 ,hoyle puzzle & board games 2007,,34.99 ,now software nuw45e1k now up-to-date & contact for windows
177,1.0,encore software,89.95 ,vegas movie studiodvd +8 plat,,66.89 ,madison media software ssda3000 sony sound effects series vol 1 through 10
178,1.0,magix entertainment,34.99 ,everquest : titanium,,299.0 ,encore software 460001 the big box of art 410000 95/98/me / nt4/w2k/xp ( win 95 98 me nt 2000 xp )
179,1.0,microsoft,4215.77 ,sony vegas 6 + dvd [ old version ],,7.69 ,topics entertainment instant immersion german audio
180,1.0,adobe,9.99 ,hospital tycoon for pc,,52.99 ,tlc arthur 's kindergarten learning system ( pc ) encore
181,1.0,chronos, ,spongebob squarepants typing 2008 win/mac,,899.99 ,geometry ( win/mac ) ( jewel case ) ( 10158 )
182,1.0,hewlett-packard - ( consumables ),9.99 ,dk amazing animals 1.1,,71.01 ,adobe systems inc 13102124 adobe photoshop cs 2 mac os x v. 10.2.8 to 10.3
183,1.0,me-too-software,699.95 ,kaplan sat/act/psat gold 2007 win/mac,,205.99 ,poser 7 ( win 2000 xp/mac 10.4 or higher ub )
184,1.0,sos aggregation,29.99 ,i love the usa,,1309.31 ,egames . inc casual games pack
185,1.0,punch ! software,39.99 ,weekly reader mastering high school 2008,punch software,92.99 ,902453-007-e rumba unix-hp edition upgrade license 1 user volume level e 1000-1999
186,1.0,microsoft, ,apple final cut studio 2 ( mac ),,27.99 ,t-shirt factory deluxe 3.0
187,1.0,freeverse software,29.99 ,microsoft windows xp professional full version with sp2,,149.0 ,individual software inc systemsuite 8 professional ( us pos )
188,1.0,netmanage,199.99 ,smart steps 4th grade,,99.0 ,adobe after effects cs3 professional software for mac effects software
189,1.0,global-marketing-partners,9.99 ,rise of nations : gold ( mac ),,1420.79 ,adobe photoshop elements 4.0 photo-editing software for mac
190,1.0,micromat,99.99 ,swift publisher for mac,,99.99 ,punch software 35100 punch ! professional home design suite ( small box )
191,1.0,microsoft licenses,29.99 ,quicken legal business pro 2007,,228.95 ,h & r block taxcut home and business with state and e-file efile software for windows tax & finance software
192,1.0,crystalgraphics, ,write brothers dramatica pro win/mac,,94.94 ,my first bible stories ( jc )
193,1.0,smith-micro-software-inc .,99.99 ,photoshop elements 4 edu mac 1u,sony-pictures-digital-entertainment,16.01 ,re : launch bryce 6
194,1.0,steinberg ( yamaha ),7.99 ,sony vegas 6 + dvd [ old version ],,147.73 ,borland hdb0006wwcs180 upg delphi 2006 prof nmd f/del v3 2005 pro cd
195,1.0,nolo press,499.99 ,sierra hallmark card studio special edition windows ),enfocus,12.9 ,encore software 33027 hoyle texas holdem ( win 98 me 2000 xp )
196,1.0,encore,399.99 ,midway arcade treasures ( jewel case ),,85.97 ,allume stuffit deluxe 10.0 os x 10.4 or higher
197,1.0,encore,39.99 ,apple ilife '06 ( mac dvd ) [ older version ],punch software,11.95 ,microsoft ho2-00003 data analyzer 2002 complete package 1 user
198,1.0,phantom efx,19.95 ,flyboys squadron mac,punch software,249.0 ,adobe premiere elements 3 ( pc )
199,1.0,corel,19.99 ,microsoft windows small business server cal 2003 license pack 20 client addpack device,,49.95 ,sage software peachtree complete accounting 2007 software for windows tax & finance software
200,1.0,onone software,29.99 ,norton antivirus mac 10.0 ( mac ),,9.99 ,punch software 25100 punch ! master landscape & home design architectural 1 user ( s ) pc
201,1.0,riverdeep,179.95 ,h & r block taxcut 2006 premium federal + state + efile,,723.95 ,findex.com inc sermon builder 4.0
202,1.0,csdc,9.99 ,i copy dvds 2 professional edition,,12.9 ,microsoft onenote 2007 upgrade ( pc )
203,1.0,adobe,49.99 ,mavis beacon teaches typing 16,sony-media-software,399.99 ,sudoku puzzle addict : unlimited edition ( win 98 me 2000 xp ) from global software publ na
204,1.0,cakewalk,149.0 ,spy sweeper spanish,,10.57 ,apple software t9164ll/a logic express 6
205,1.0,global-software-publ-na, ,microsoft windows xp home edition full version with sp2,palo-alto-software,34.07 ,world of rainbow fish ( a9839m2h )
206,1.0,boomerang,19.99 ,panda internet security 2007 3-user,the-learning-company,89.99 ,cross stitch design studio ( jewel case ) ( 8006 )
207,1.0,aladdin systems,299.0 ,snap ! 8 player poker 5 pack,,9.59 ,aspyr media inc return to castle wolfenstein
208,1.0,microsoft corp,12.99 ,city of heroes good vs. evil edition,nuance-communications-inc .,50.97 ,destineer inc age of empires iii : the warchiefs expansion pack
209,1.0,punch ! software,29.99 ,encore the big box of art 410 000 460001 ),,99.99 ,sibelius compass music composition teaching software music production software
210,1.0,adobe,39.99 ,punch ! master landscape & home design,,23.59 ,902453-007-b rumba unix-hp edition upgrade license 1 user volume level b 5-49 c
211,1.0,apple, ,quicken 2007 basic,,79.95 ,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc
212,1.0,abacus,99.99 ,apple ilife '06 family pack ( mac dvd ) [ older version ],,23.59 ,phantom efx reel deal casino shuffle master edition
213,1.0,2k games,179.95 ,stompsoft digital file shredder pro,,18.27 ,mobi-cam 70008 monitoring and notification software
214,1.0,intego inc,79.99 ,3d home architect home v. 8 by encore software,,55420.56 ,topics entertainment instant play guitar deluxe v2 .0
215,1.0,global-software-publishing,699.95 ,business card factory deluxe 3.0,,19.55 ,i copydvds 2 professional edition
216,1.0,adobe,149.99 ,aircraft power pack for ms flight simulator,,55.99 ,global marketing partners easy video editor 2.0 honest technology
217,1.0,encore,179.0 ,3d home architect home v. 8 by encore software,,24.99 ,allume anime studio 5
218,1.0,encore,50.88 ,star wars empire at war ( intel only macs ),,39.95 ,topics entertainment instant immersion italian deluxe 2.0 ( mass merchant box )
219,1.0,freeverse software, ,listen for ipod magnetic time,,449.95 ,omni web 5.0
220,1.0,power-on-software,669.0 ,microsoft student with encarta premium 2008 dvd,,145.99 ,sos aggregation company panda antivirus 2007
221,1.0,intuit,29.99 ,palo alto marketing plan pro 9.0,,499.0 ,corel intervideo dvd copy 5 express software for windows authoring software
222,1.0,sibelius-software-ltd .,499.0 ,sony sound effects series vol 1 through 10,,9.9 ,lavasoft ad-aware plus edition
