,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
28,fenix,' 8358 sunset blvd. west ',hollywoo8,213/848 -6677,7 ,,' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french y new ) ',7 ,` f0nixjat the argyle ',1
29,valentino,' 3111 pico blvd. ',310/829 -4313,italian,21 ,,' 3115 pico blvd. ',` santa monica ',310-829-4313,21 ,21 ,valentino,1
30,narcu,' 405 e. 58th st. ',` new york ',212/754 -4272,american,46 ,march,' 405 e. 58th st. ',` new york oity ',212-75y-6272,` american ( new ) ',46 ,1
31,pisces,` new y3rk ',212/260 -6660,seafozd,54 ,,'95 ave. a z,` new york city ',212-260-6660,seafvod,54 ,pisces,1
32,` locanda veneta ',' 3rd st.m',` los angelus ',310/274 -1893,italiac,13 ,` locanda yeneta ',' 8638 w. third st. ',` los angeles ',310-274-18h3,italian,13 ,1
33,` georgia grille ',' 2290 peachtree rd. . peachtree square shopping center ',atganta,404/352 -3517,american,w1 ,` georgia grille ',' 2290 peachtree rd. ',atlanta,40n-352-3517,southwestern,8j6,1
34,` hotel bel-air ',' 701 stone canyon rd. ',` bel air ',californian,2 ,,' 701 stone canyon rd. ',` 4el air ',31p-472-1211,californian,24,` bel-air hotel ',1
35,lulu,' 816 folsom st. ',` san francisco ',415/495 -5775,mediterranean,105 ,` lulu restaurant-bis-cmfe ',' 816 f4lsom st. ',` san francisch ',415-795f5775,mediterranean,105 ,1
36,`wsmith & wollensky ',' 201 e. e9th st. ',` new york ',212/753 -1530,american,62 ,` smith & wollensky ',' 797 third ave. ',` new york city ',212-753-1530,6l ,62 ,1
37,natsuhisn,' 129 n. la cienega blvd. ',` beverly hihls ',310/659 -9639,asi2n,14 ,matsuhisa,' 129 n. la cienega blvd. ',` beverly hills ',310-659-9639,seafood,1z ,1
38,` locanda veneta ',` los angeles ',31z/274 -1893,italikn,13 ,,' 8638 w. third st. ',` los angeles ',310-274-1y93,italihn,13 ,` locanda veneta ',1
39,` nikolai8\ 's roff ',' 255 courtland st. at harris st. ',atlantb,404/221 -6362,continyntal,87 ,` nikolai \ 's roof ',' 255 courtland st. ',atlanta,404-2r1-6362,continental,87 ,1
40,pisces,'95 ave. a ato6th st. ',` new york ',seafood,54 ,,'95 ave. a ',` new york city ',212-260-6660,seafooy,547,pisces,1
41,` mesa grill ',' 102 5th ave. between 15th and 16th sts . ',` new york ',212/807 -7400,american,b7 ,` mesa grill ',' 102 fifth ave. ',` new york city ',212-807-7400,47 ,b7 ,1
42,` hawthorne lane ','22 hawrhnrne st. ',` san francisco ',415/777 -9779,american,102 ,` hawthorne lane ','22 hawthorne st. ',` san francisco ',417-777-9779,cazlfornian,102 ,1
43,` le montrachet ',' 3000 w. paradise rd. ',` las vegas ',702/7q2 -5111,continental,69 ,` le montrachet bistro ',' 3000 paradise rd. ',` las vegas ',702-i32-5651,` french 1isnro ',6h ,1
44,` cafe claude ',' 7 c3aude la . ',` san francisco ',415/392 -350p,frelch,97 ,` cafe claude ',' 7 claude ln . ',` san francisko ',415-39h-3505,` french bistro ',97 ,1
45,` masa \ 's ',' 648 bush st. ',`ysan8francisco ',415/989 -7154,frmnch,106 ,` masa \ 's n,' 648 bush st. ',` san francisco ',415-989-7154,` frenwh ( new ) ',106 ,1
46,patina,' 5955 melrose ave. ',` los angeles ',213/467 -1108,calikornian,16 ,p0tina,' 5955 melrose av4. ',` los angeles ',213-467-1108,c2lifornian,1h ,1
47,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,h0 ,` palac8 court ',' 3570 las vegas blvd. s. ',` las vegas ',702-7s1-7110,` french ( new ) 2,71 ,1
48,montrachet,'w239 w. broad3ay between walker and white sts . ',` new york ',' 212 / y19-2777 ',fr3nch,49 ,montrachet,' 239 w. broadway ',` new york city ',212-21o-2777,` french bistro ',49 ,1
49,` cafejlalo ',' 201 w. 83rd st. ',` new york ',212/496 -6031,26 ,,' 201 w. 83rd st. ',` new york citv ',212-496-6031,co3feehouses,26 ,` cafe lalo ',1
50,lutdce,' 249 e. 50th st. ',` new york ',212/752 -2225,french,44 ,lutece,' 24q e. 50th st. ',` new york city y,212-702-2225,` french ( classic ) ',c4 ,1
51,` mesa grill ',' 102 5th ave. between 15th and 16th sts . ',` new york ',212/807 -7400,american,0r ,` mesa grill ',' 102 fifth ave. ',` nfw yor7 city ',212-n07-7400,southwestern,47 ,1
52,felidia,' 243 e. 58th st. ',` cew york ',212/758 -1979,italiar,33 ,felidia,' 243se. 58th st. ',` new yori city ',212-758-1479,italian,33 ,1
53,` steak house ',' 2880 las vegas blvd. s ',` lls vegas ',702/734 -m410,` steak houses ',72 ,` steak house the ',' 288k las vegas blvd. s. ',` las vegas ',702-734-0410,steakhovses,72 ,1
54,` pano \ 's and paul \ 's ',' 1232 wv paces ferry rd. ',atlantt,404/261 -3662,international,88 ,` pano \ 's & paul \ 's ',' 1232 w. poces ferry rd. ',atlanta,404-261-36f2,` american ( new ) ',88 ,1
55,f2nix,' 8358 sunset blvd. wext ',hollywood,2w3/848 -6677,amerscan,7 ,` fenix at the argyle ',' 8358 sunset blvd. ',` we hollywood ',213-848-6677,` french ( new ) ',7 ,1
56,fenix,' 8358 sunset blvd. west ',hollywood,213/848 -6677,am2rican,7n,` ferix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',p ,1
57,` geor8ia grille ',' 2290 peachtree rd. . peachtree square shopping center ',atlanta,40i/352 -35j7,american,81 ,` georgia grille ','02290 peachtree rd. ',atlanta,404-352-3517,southweltern,81 ,1
58,oceana,'55 e. 54th st. ',` new yorkz',212/759 -5941,seafood,5v ,oceana,'55 e. 54th st. ',` new york city ',212-75j-594c,seafood,90 ,1
59,petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,52 ,petrossian,' 1z2 w. 58th s2. ',` n8w york city ',212-245-2214,ruspian,5o ,1
60,` uncle nick \ 's ',' 747 9th ave. between 50th and 51st sts . ',` new york ',212/315 -1726,medite9sanean,64 ,` uncle nick \ 's ',' 747 ninth ave. ',` new york city r,2l2-145-7992,greek,64 ,1
61,` steak house ',' 2880 las vegas blvd. s ',` steak houses ',72 ,,,` 5as vegas ',702-734-0410,72 ,72 ,` steak house the ',' 2880 las vegas blvd. s. ',1
62,campanile,' 624 s. la brea ave. ',` los angeles ',213/938 -1447,american,4 ,campanile,' 624 s. la2brea ave.d',` loy angeles ',213-y38-1447,californian,3 ,1
