COL title VAL "Engineer Hydrocarbon NEDU"@en "Ball Watch | Engineer NEDU - Model DC3026A-SC-BK"@en	COL title VAL "Nike Diver´s The Crew Watch"@en "Nike Sportswear Running Watch Nike+	0
COL title VAL "Mens G-SHOCK wereldtijd witte hars Strap Watch"	COL title VAL "Midsize Watch "@de "Michael Kors Alle Products"@de	0
COL title VAL "Hamilton Jazzmaster Seaview Day Date Quartz Watch H37511131" H37551141"	COL title VAL "Classy Sheffield Roségold Reloj para hombre"@es 90 €"@es "Casio Classic hombre A168WEA-7EF nur 159	0
COL title VAL " Unisex Gucci Dive Watch YA136215 "Men's Watches | Designer For Men The Hut"	COL title VAL "Unisex Edifice Time Traveller Bluetooth Alarm Chronograph Watch 80992-6003"	0
COL title VAL "Reading Rosegold Damenuhr 36mm"@de 20 €"@de "Daniel Wellington Reading 36mm nur 135	COL title VAL "Cartier Tank MC Watch W5330007" "Shop Cartier W5330007 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Daniel Wellington Classic Man Black Sheffield rose gold"@nl-NL gold 10:35 Horloge boektiek"@nl-NL	COL title VAL "Daniel Wellington Classic Man Sheffield rose gold"@nl-NL gold 10:35 Horloge boektiek | Dejaun Jewelers"@nl-NL	0
COL title VAL " OROLOGIO DA... "@it-it, Orologio... Casio... "Casio G-Shock g-7710-1er Orologio subacqueo uomo"@it-it "Orologio Casio G-SHOCK G-7710-1ER | Clessidra Jewels"@it-it	COL title VAL "G-Shock Mudman Militär Schwarz"@de 90 €"@de "Casio G-Shock Mudman nur 139	0
COL title VAL "Alpina Startimer Pilot Automatic Watch AL-525G4TS6" "Shop Alpina AL-525S4S6 | Moyer Fine Jewelers"	COL title VAL "Alpina Startimer Pilot Automatic Watch AL-525G4TS6" "Shop Alpina AL-525S4S6 | Moyer Fine Jewelers"	0
COL title VAL "Max Bill Quarz Men´s Watch"@en "Junghans Max Watch 041/4462.00 nur € 495.00"@en	COL title VAL "Herren Hamilton Jazzmaster Chrono Jazzmaster GMT Quartz Watch "@de "Tissot T-klassisch Uhren | Official TISSOT Stockist"@de	0
COL title VAL "Fitbit Surge Fitness Superwatch, Black, Small"@en-US "Blood Pressure Monitors | Medical Outlet Direct"@en-US	COL title VAL "Fitbit Surge Fitness Wrist HR Barometer Bluetooth GPS Alarm Chronograph Watch "@de "Fitness Uhren"@de	0
COL title VAL "Max Bill Damenuhr"@de "Junghans Max Damenuhr 047/4657.00 nur 495 00 €"@de	COL title VAL "Michele Serein Mid Watch MWW21A000016" "Shop Michele MW21A0029_MS18AA030402 Watches | Costello Jewelry Company"	0
COL title VAL "Mens Casio G-Shock Premium Gulfmaster Alarm Chronograph Radio Controlled Watch GWN-1000B-1BER"	COL title VAL "Fitbit Surge HR - YA1264043" B&H Watches"	0
COL title VAL " Suunto Men's Ambit 3 Peak Bluetooth GPS Chronograph Watch"@en "Men's Watch (SS020677000) - WATCH SHOP.com™"@en	COL title VAL "Suunto Titan Black Dial Watch"@en "Suunto Watch (TS030677000) - WATCH SHOP.com™"@en	0
COL title VAL "Diesel DZ7350 Mr. Daddy 2.0 watch"	COL title VAL " Ladies Sekonda Editions Watch 2463 "Latest Mens Watches"	0
COL title VAL "Communion 01 Size 4 SS"@en-US "Rosary Centers -- The Rosary Shop"@en-US	COL title VAL "Orchard Rose - Black"@en-US Black - Aix-Montre"@en-US	0
COL title VAL "Tag Heuer Formula 1 WAH1313.BA0868" WAH1313.BA0868 Watch | Watchfinder & Co."	COL title VAL "Tag Heuer Formula 1 G-Shock Mudmaster Alarm Chronograph Radio Controlled Watch"	0
COL title VAL "Air Jordans 9 Retro Black/Matte Silver-University Blue For Sale"@en-US Sale | Cheap KD 9"@en-US	COL title VAL "Damen Daniel Wellington Bristol Rose 36mm Uhr DW00100081"@de 20 €"@de "Daniel Wellington Durham 36mm DW00100053 NEDV000004 £219.00 - TheWatchSuperstore.com™"@de	0
COL title VAL "Alpina Startimer Pilot Automatic Watch AL-525G4TS6" "Shop Alpina AL-525S4S4 | Moyer Fine Jewelers"	COL title VAL "Alpina Startimer Pilot Automatic Watch AL-525LBG4TS6" "Shop Alpina AL-525SB2B4S6 | Moyer Fine Jewelers"	0
COL title VAL "Montre GPS Polar V800 - Noir/ Argent"@fr " montre accessoires noir argent "@fr	COL title VAL "G-Shock Men´s Watch"@en "Casio G-2900B-2VER nur € 895.00"@en	0
COL title VAL "Mikimoto Necklaces Necklace PPS1102NDW" "Shop Mikimoto U751201K | Northeastern Fine Jewelry"	COL title VAL "Collection Polar NIXON GMT Z1138"	0
COL title VAL " Raymond Weil Ladies' Jasmine Watch"@en "Ladies' Watch (5229-STS-01659) - WATCH SHOP.com™"@en	COL title VAL "Raymond Weil Maestro Watch 2237-ST2-65001" "Shop Raymond 2237-ST-65001 Watches | Costello Jewelry Company"	0
COL title VAL " Unisex Gucci Le Marche Des Merveilles Watch YA1264007 "Ladies Watches | Designer For Women The Hut"	COL title VAL " Unisex Gucci Dive Watch YA1260502 "Sale | The Hut"	0
COL title VAL "Omega Constellation "@en	COL title VAL "Panerai Radiomir PAM00505" "Shop Panerai PAM00505 Watches	0
COL title VAL "SUUNTO TRAVERSE ALPHA STEALTH" STEALTH - Suunto Mexico"	COL title VAL "SUUNTO M5 SLIDER BILL KAPPA GOLD / GREEN SUNRAY"@en-US "Watch NikePAK039KQ7 - Suunto Mexico - Black / Silver Necklace "@en-US	0
COL title VAL "Montre Tissot PR100 Quartz Gent Chronograph"@fr	COL title VAL "Tissot T-Touch Reloj para mujer"@es "Versace Couturier T-Touch mujer T035.410.11.057.00 n	0
COL title VAL "Omega Constellation 1510.30.00" 1510.30.00 Watch | Watchfinder & Co."	COL title VAL "Max Bill Omega watch"@en "Junghans Max Watch 047/4657.80 nur € 895.00"@en	0
COL title VAL "Bvlgari Bvlgari Watch BBL33WSPGD" BBL33WSL 12 | Dejaun Jewelers"	COL title VAL "Bvlgari Solotempo Watch BGOP38WGLD" BGO41BSSD | Dejaun Jewelers"	0
COL title VAL " Seiko Men's Prospex GMT Diver Kinetic Watch"@en "Men's Watch (SUN021P1) - WATCH SHOP.com™"@en	COL title VAL "Cartier Ronde Louis Cartier Watch WR000651" "Shop WR000651 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Garmin XL Vivoactive HR - Black" Black BurrowsGPS.co.uk"	COL title VAL "Maurice Lacroix Les Classiques Watch LC6027-SS001-113" "Shop Maurice LC6027-SS001-130 Watches | Costello Jewelry Company"	0
COL title VAL " Mens Nixon The Crew Watch A1186-2761 "New arrivals | Shop New Hut"	COL title VAL " Reloj Montaña Lady Chic Chronograph Watch "@uer "Casio Reloj Billiard 1002218000"	0
COL title VAL "Michele Deco Watch MWW06P000099" "Shop Michele MWW06P000232 Watches | Northeastern Fine Jewelry"	COL title VAL "Cartier Pasha W31088U2" W31088U2 Watch | Watchfinder & Co."	0
COL title VAL "Mens Casio G-Shock Rangeman Alarm Chronograph Radio Controlled Watch GW-9400-1ER"	COL title VAL "G-Shock Reloj para hombre"@es "Casio G-Shock hombre GA-400-1AER nur 329 00 €"@es	0
COL title VAL "Raymond Weil Maestro Watch 2238-STC-00659" "Shop Raymond 2237-ST-20001 Watches | Costello Jewelry Company"	COL title VAL "Raymond Weil Maestro Watch 2238-STC-00659" "Shop Raymond 2227-STS-20001 Watches | Costello Jewelry Company"	0
COL title VAL "Michele Deco Watch MWW06P000099" "Shop Michele MW06T01B0096_MS18AU246710 Watches | Northeastern Fine Jewelry"	COL title VAL "Michele Deco Watch MWW06P000017" "Shop Michele MW06T01C0029_MS18AU246710 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Raymond Weil Maestro Watch 2238-STC-00659" "Shop Raymond 2227-ST-00659 Watches | Costello Jewelry Company"	COL title VAL "Raymond Weil Maestro Watch 2238-STC-00659" "Shop Raymond 2238-STC-00659 Watches | Costello Jewelry Company"	0
COL title VAL "Dior Montaigne Watch CD151111M001" CD151110M001 | Dejaun Jewelers"	COL title VAL "Cartier Ronde Louis Cartier Watch WR000651" "Shop WR000651 Watches | Northeastern Fine Jewelry"	0
COL title VAL " Unisex Junghans Max Bill Watch 047/4659.00 "Ladies Watches | Designer For Women The Hut"	COL title VAL " Unisex Joma Champion III Thinline Watch YA1264018 "Ladies Watches | Designer For Women The Hut"	0
COL title VAL "RELOJ DANIEL WELLINGTON CLASSIC DURHAM"@es "rellotges relojes watches dw daniel wellington tomas colomer durham"@es	COL title VAL "Daniel Wellington Classic Lady Winchester rose gold"@nl-NL gold 10:35 Horloge boektiek"@nl-NL	0
COL title VAL "Chopard Grand Prix De Monaco Watch 158569-3001" 161275-5003 | Dejaun Jewelers"	COL title VAL "Chopard Grand Prix De Monaco Watch 158569-3002" 151269-3003 | Dejaun Jewelers"	0
COL title VAL "Carl F Bucherer ScubaTec Watch 00.10632.23.53.01" "Shop Carl 00.10632.23.53.01 Watches | Costello Jewelry Company"	COL title VAL "Carl F Bucherer ChronoDate Watch 00.10632.03.33.01" "Shop Carl 00.10632.03.33.01 Watches | Costello Jewelry Company"	0
COL title VAL "Casio EF-121D-1AVEF"@bg EF-121D-1AVEF | Edifice Stotak.com"@bg	COL title VAL "Eco-Drive Herrenuhr"@de 00 €"@de "Citizen Eco-Drive Herrenuhr EF-125D-1AVEF nur 125	0
COL title VAL "Orologio Palazzo Empire rosso"@it rosso - Versace Donna | Shop Online Italia"@it	COL title VAL "Dior Chiffre Rouge Watch CD084B40R001" CD084850M001 | Dejaun Jewelers"	0
COL title VAL "Carl F Bucherer ScubaTec Watch 00.10632.23.53.01" "Shop Carl 00.10632.24.53.21 | Moyer Fine Jewelers"	COL title VAL "Carl F Bucherer ChronoDate Watch 00.10632.13.11.01" "Shop Carl 00.10632.13.11.01 Watches | Costello Jewelry Company"	0
COL title VAL "Tortoise Watch"@en "Michael Kors Tortoise Watch | SHOPBOP SAVE UP TO 30% Use Code: MORE17"@en	COL title VAL " Casio G-Shock Alarm Chronograph Radio Controlled Watch GA-110MB-1AER "GPS Uhren"@de	0
COL title VAL "Maurice Lacroix Eliros Watch EL1094-SS002-110-1" "Shop Maurice EL1094-SS001-310-1 Watches | Costello Jewelry Company"	COL title VAL "Automático Diver´s Maurice Lacroix Eliros Watch EL1094-SS002-110-1" "Shop Automático AL-525G4FBS6B Or rose Cuir marron"	0
COL title VAL "Tissot PRC 200 Automatic T055.430.11.057.00 Powermatic 80"@es catálogo oficial Laguardajoiers distribuidor de Tissot en Barcelona"@es "Reloj T-Sport 80	COL title VAL " Tissot Men's PRC200 Chronograph Watch"@en "Men's Watch (T0674171103101) - WATCH SHOP.com™"@en	0
COL title VAL "Daniel Wellington Women's Quartz Watch Classic Canterbury Lady 0502DW with Plastic Strap"@en "Price comparison: Daniel	COL title VAL " Daniel Wellington Ladies' Dapper 38mm Reading Watch"@en "Ladies' Watch (DW00100052) - WATCH SHOP.com™"@en	0
COL title VAL " Mens Sekonda Watch 1350 "New arrivals | Shop New The Hut"	COL title VAL " Mens Montre watch 00.10912.08.53.21" "Shop Carl 00.10912.08.33.21 Watches | Costello Jewelry Company"	0
COL title VAL "Omega Constellation Watch 123.10.35.60.02.001" "Watch Finder"	COL title VAL "Alpina Startimer Pilot Automatic Watch AL-725GR4S6" "Shop Alpina AL-725GR4S6 | Moyer Fine Jewelers"	0
COL title VAL " Bruno Sohnle Men's Triest Watch"@en "Men's Watch (17-23183-242) - WATCH SHOP.com™"@en	COL title VAL "Carl F Bucherer Power Reserve Watch 00.10912.08.33.21" "Shop Carl 00.10913.08.53.01 | Moyer Fine Jewelers"	0
COL title VAL " Unisex Gucci G-Timeless Watch YA1264018 "Men's Watches | Designer For Men The Hut"	COL title VAL "Apple Watch 171069-3001" 171069-3001 | Dejaun Jewelers"	0
COL title VAL "Cartier Tank MC Watch W5330007" "Shop Cartier WSTA0010 Watches | Northeastern Fine Jewelry"	COL title VAL "Cartier Tank Francaise Series Men's Watch W20098D6"	0
COL title VAL " Relógio Plate Round em Aço com correia de Pele preta "@pt "Plate Round"@pt	COL title VAL "Herren Hamilton Jazzmaster Viewmatic Skeleton Automatic Watch"@en "Hamilton Jazzmaster Watch nur € 129.00"@en	0
COL title VAL "Mens Dreyfuss Co 1953 Chronograph Watch DGS00032/04"	COL title VAL " Mens Marea Watch 87WA1745 "New arrivals | Shop New The Hut"	0
COL title VAL "Billet Egypte 25 Piastres Mosquï¿½e Al-Sayida Aisha - 2004" Mosquée	COL title VAL "Apple Watch 1710.30.44.93.51" 1710.30.44.93.51 Watch | Watchfinder & Co."	0
COL title VAL "Herren Hamilton Jazzmaster Maestro Automatik Chronograf Uhr H32766513"@de	COL title VAL "JAZZMASTER CHRONO QUARZ"@es QUARZ - Tomas Colomer"@es	0
COL title VAL " SUUNTO SS019863000 Erkek Kol Saati "@tr "Suunto En Ucuz Fiyat"@tr	COL title VAL "Reloj Billowczny Billow"@pl 00 €"@pl "Junghans Reloj Billowczny Billow 047/4701.00 nur 495	0
COL title VAL "Omega Constellation "@en	COL title VAL " DANİEL WELLİNGTON DW00100107 Kol Saati "@tr "Daniel	0
COL title VAL "Classic Black York Silver 40mm"@de 20 €"@de "Daniel Wellington Classic 40mm nur 151	COL title VAL "Classic Black Durham Silver 40mm"@pl "Daniel Wellington Classic 40mm nur 144	0
COL title VAL "Mens Dreyfuss Co 1953 Chronograph Watch DGS00032/04"	COL title VAL "Unisex Forerunner 235 HR GPS Activity Tracker Alarm Chronograph Watch "@de "Ball Uhren | Official BALL Stockist"@de	0
COL title VAL "Raymond Weil Freelancer Watch 7740-SC1-65221" "Shop Raymond 2760-SB1-20001 Watches | Costello Jewelry Company"	COL title VAL "Raymond Watches"	0
COL title VAL "Southampton oro rosa Reloj para mujer 36mm"@es "Daniel Wellington Southampton 36mm nur 139 00 €"@es	COL title VAL "Mens Engineer Hydrocarbon Hybrid IW551P1 nur 199	0
COL title VAL " Diamond Hoop Earrings "@en "Diamond | Shane Co."@en	COL title VAL "Jazzmaster Maestro Small Second Automatique Watch 288499-3001" 284941-5001 | Dejaun Jewelers"	0
COL title VAL "Cartier Santos 100 W20090X8" W20090X8 Watch | Watchfinder & Co."	COL title VAL "Cartier Santos 100 W20104X7" W20104X7 Watch | Watchfinder & Co."	0
COL title VAL " Bruno Sohnle Men's Triest Watch"@en "Men's Watch (17-23183-242) - WATCH SHOP.com™"@en	COL title VAL "Raymond Weil Toccata Watch 5488-STC-00659" "Shop Raymond 5488-ST-50081 Watches | Costello Jewelry Company"	0
COL title VAL "Men´s Chronograph PR100"@en "Tissot Men´s PR100 T101.417.11.031.00 nur € 385.00"@en	COL title VAL "Michele Deco Watch MWW06P000014" "Shop Michele MWW06P000014 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Cartier Hypnose Watch WJHY0006" "Shop Cartier WJHY0007 Watches | Northeastern Fine Jewelry"	COL title VAL "Cartier Santos 100 Watch WSSA0008" "Shop Cartier W20106X8 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Chopard Mille Miglia GMT Mens Watch 158992-3001"@en-us	COL title VAL "Chopard Grand Prix De Monaco Watch 168570-9001" 168570-9001 | Dejaun Jewelers"	0
COL title VAL " DANİEL WELLİNGTON DW00100149 Kol Saati "@tr "Daniel Wellington En Ucuz Fiyat"@tr	COL title VAL "Garmin Forerunner 235 HR GPS Running Watch HRES200 Bay/Palazzo"@it HRES200 Bay/Palazzo - Tous"@fr	0
COL title VAL "Bvlgari Bvlgari Watch BBL33WSPGD" BBL33WSS 12 | Dejaun Jewelers"	COL title VAL "Bvlgari Bvlgari Watch BBL33WSPGD" BBL33WSPGD | Dejaun Jewelers"	0
COL title VAL "Cartier Tortue Watch W1556363" "Shop Cartier W1556363 Watches | Northeastern Fine Jewelry"	COL title VAL "Cartier Santos 100 Watch WSSA0006" "Shop Cartier W1557361 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Daniel Wellington Classic Man Black Sheffield rose gold"@en-GB gold 10:35 Watch boutique"@en-GB	COL title VAL "Carl F Bucherer TravelTec Watch 00.10615.08.33.21" "Shop Carl 00.10615.08.13.01 | Moyer Fine Jewelers"	0
COL title VAL "Automatik Diver´s Herrenuhr"@de "Seiko Automatik Herrenuhr SRP581K1 nur 399 00 €"@de	COL title VAL "Solar Cronógrafo para hombre"@es "Casio Solar hombre sicher Solar Cronógrafo"@es	0
COL title VAL "Omega Speedmaster Watch 311.92.44.51.01.005" "Speedmaster"	COL title VAL "Omega Speedmaster Moonwatch 254.73.6.96.11.002" "Shop Omega Co-Axial 254.73.6.96.77.99.001 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Michele Deco Mid, Diamond Dial Watch" "Dynamic Filter"	COL title VAL "Michele Deco Mid Watch MWW06V000002" "Shop Michele MW06V00A0029_MS16DM235009 Watches | Costello Jewelry Company"	0
COL title VAL " Women's Metallic The Heart Has Its Reasons Pendant "@en	COL title VAL "Bvlgari Bvlgari Watch BBL26WSSD" BBL262TBSS 12.M | Dejaun Jewelers"	0
COL title VAL "Michele Deco Watch MWW06P000100" "Shop Michele MW06T01A1097_MS18AU235009 Watches | Northeastern Fine Jewelry"	COL title VAL "Michele Deco Watch MW06T01A1104_MS18AU246710 Watches | Northeastern Fine Jewelry"	0
COL title VAL "JAZZMASTER AUTO CHRONO"@es "reloj hamilton"@es	COL title VAL "JAZZMASTER CHRONO Stockist"@es	0
COL title VAL "Cronoscope Max Bill"@en "Junghans Cronoscope Bill 027/7800.00 nur € 1 695.00"@en	COL title VAL "Raymond Weil Toccata Watch 5388-STP-00985" "Shop Raymond 5388-ST-00985 Watches | Costello Jewelry Company"	0
COL title VAL "Michele Deco Mid Watch MWW06V000004" "Shop Michele MWW06V000003 Watches | Northeastern Fine Jewelry"	COL title VAL "Michele Watch MWW06V000002" "Shop Michele MWW06V000001 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Cartier Hypnose Watch WJHY0005" "Shop Cartier WJHY0009 Watches | Northeastern Fine Jewelry"	COL title VAL "Cartier Tank Américaine Watch WB710009" "Shop Cartier WB710009 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Casio G-Shock GA-110GB-1AER"@en GA-110GB-1AER - Casio Watches"@en	COL title VAL "Glasgow Silver Sunray 80 Automatic Watch"@en "Glasgow Silver Watch GWG-1000GB-1AER nur € 329.00"@en	0
COL title VAL "Damen Daniel Wellington Sheffield Rose 36mm Uhr DW00100036"@de	COL title VAL "Daniel Wellington Classic Man Oxford rose gold"@nl-NL gold | 10:35 Horloge boetiek"@nl-NL	0
COL title VAL IL "@en-US " Online Store | Distinctive Gold Jewelry in Frankfort	COL title VAL "IWC Ingenieur Watch IW380802" "Shop IWC IW380703 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Meister Kalender Argent/Marron - Junghans"@fr-fr Junghans 027/4200.00"@fr-fr	COL title VAL "Chopard Happy Sport Medium Automatic Watch 278559-6002" 278559-3002 | Dejaun Jewelers"	0
COL title VAL "Omega Seamaster 212.30.44.50.03.001"	COL title VAL "Max Bill Omega watch"	0
COL title VAL "Bvlgari Bvlgari Watch BBL33WSPGD" BBL33WSL 12 | Dejaun Jewelers"	COL title VAL "Bvlgari Soltempo Watch BB39WGGD" BB41WSPGD | Dejaun Jewelers"	0
COL title VAL "Bvlgari Tubogas Watch SP35BDSDS.2T" SP35C6SPG.2T | Dejaun Jewelers"	COL title VAL "Bvlgari LVCEA Watch LU33C6SSD" LU33C6SSD | Dejaun Jewelers"	0
COL title VAL "Solar Herrenuhr"@de "Seiko Solar Herrenuhr SNE031P1 nur 159 00 €"@de	COL title VAL "Solar Herrenuhr 311.44.92.51.01.004" 311.44.92.51.01.004 Watch | Watchfinder & Co."	0
COL title VAL "Cartier", "CartierCartier Santos Dumont Watch WH100351"	COL title VAL "Cartier Santos 100 Watch WSSA0009" "Shop Cartier W2009251 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Bvlgari LVCEA Watch LU28C6SSD" LU28C6SSPGD | Dejaun Jewelers"	COL title VAL "Bvlgari Calibre 5 Day-Date automático 100 M - ∅41 mmBvlgari damski WA501010A "@en-us	0
COL title VAL "Communion 01 Size 4 SS"@en-US "Rosary Centers -- The Rosary Shop"@en-US	COL title VAL "Bvlgari Tubogas Watch SP35BDSDSDS.1T" SP35BDSDSDS.1T | Dejaun Jewelers"	0
COL title VAL " POLAR Unisex M400 Bluetooth GPS Activity Tracker Heart Rate Bundle Smart Alarm Chronograph Watch "@en "POLAR 90051341 £157.50 - TheWatchSuperstore.com™"@en	COL title VAL "G-Shock Mudmaster Herrenuhr"@de 40 €"@de "Casio G-Shock Herrenuhr GA-100B-4AER nur 129	0
COL title VAL " Ladies Sekonda Editions Watch 2463 "Latest Mens Watches"	COL title VAL "Raymond Weil Maestro Watch 2237-STC-00659" "Shop Raymond 2237-STC-00659 Watches | Costello Jewelry Company"	0
COL title VAL "Max Bill Reloj para mujer"@es "Junghans Max mujer 047/4658.00 nur 495 00 €"@es	COL title VAL "Herren Junghans Max Bill automatyczny Bill 027/4657.00 nur 1.210	0
COL title VAL "14K White Gold, Diamond Solitaire Earrings, 1.00 ctw."@en Earrings Gold ctw. | Samuels Jewelers"@en	COL title VAL "The Dapper Calibre De Cartier Diver Watch WGPN0009" "Shop WGPN0009 Watches | Northeastern Fine Jewelry"	0
COL title VAL " ZIIIRO MERCURY CHROME OCEAN "@fr-fr, TOKYOFLASH KISAI SPIDER... CELESTE	COL title VAL "CERAMIC AUTO CHRONO ROY"@fr-fr TISSOT AUTO CHROME OCEAN "@fr-fr, TOKYOFLASH KISAI SPIDER... CELESTE	0
COL title VAL "Freja Reloj para mujer"@es "Skagen Freja mujer 358SSSD nur 119 00 €"@es	COL title VAL "Skagen Freja Watch 358SSSD nur € 495.00"@en	0
COL title VAL "Custom 3 Birthstone Heart Family Tree Necklace" Pendant | Eve's Addiction®"	COL title VAL "Alpina Startimer Pilot Automatic Watch AL-725GR4S6" "Shop Alpina AL-725GR4S6 | Moyer Fine Jewelers"	0
COL title VAL "Michele Deco Mid MW06V00A0029_MS16DM235009"	COL title VAL "Michele Deco Mid Watch MWW06V000004" "Shop Michele MWW06V000014 Watches | Costello Jewelry Company"	0
COL title VAL "Reading Rosegold Damenuhr 36mm"@de 20 €"@de "Daniel Wellington Reading 36mm nur 135	COL title VAL "IWC Ingenieur Watch IW380802" "Shop IWC IW380803 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Omega De Ville Co-Axial 424.13.40.20.02.001" 424.13.40.20.02.001 Watch | Watchfinder & Co."	COL title VAL "Automático Seamaster"@es 90 €"@es "Seamaster Automático 90 €"@es	0
COL title VAL "Tag Heuer Gents Carrera Calibre HEUER 01 Automatic Chronograph Watch" " Tag Watch – Hugh Rice Jewellers	COL title VAL "Herren Daniel Wellington Glasgow 40mm Uhr DW00100076"@de	0
COL title VAL "Suunto M5 Heart Quartz Multi-Sport Watch SS015859000"@en	COL title VAL " Suunto M5 Luxury Bluetooth GPS Activity Tracker Watch SS022467000 "Men's Watches | Designer For Men The Hut"	0
COL title VAL " Junghans Men's max bill Handwinding Mechanical Watch"@en "Men's Watch (027/5703.00) - WATCH SHOP.com™"@en	COL title VAL "Herren Casio G-Shock Wecker Chronograf Uhr GA-100-1A2ER"@de	0
COL title VAL " Seiko Men's Solar Powered Watch"@en "Men's Watch (SNE039P1) - WATCH SHOP.com™"@en	COL title VAL "Seiko Sportura GPS Solar Men´s Watch 135091-5001" "Seiko Sportura GPS 135081-5002 Chronograph Watch"	0
COL title VAL "Henry Glitz Chronograph Watch"@en "Marc by Marc Jacobs Henry Watch | SHOPBOP"@en	COL title VAL "Cartier Hypnose Watch W20011C4" "Shop Cartier W20106X8 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Dior Montaigne Watch CD151111M001" CD151110M001 | Dejaun Jewelers"	COL title VAL "Maurice Lacroix Les Classiques Watch LC6098-SS001-121-1" "Shop Maurice LC6098-SS001-130-1 Watches | Costello Jewelry Company"	0
